LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01000683,Bromley 035C,E02000161,Bromley 035,E09000006,Bromley,3.0,5.0,4.0,5.0,4.0,9.0,2.0,7.0,10.0,16.0,5.0
E01000684,Bromley 035D,E02000161,Bromley 035,E09000006,Bromley,24.0,6.0,2.0,8.0,7.0,2.0,1.0,2.0,7.0,0.0,0.0
E01000685,Bromley 037B,E02000163,Bromley 037,E09000006,Bromley,15.0,11.0,10.0,13.0,11.0,6.0,7.0,6.0,6.0,4.0,4.0
E01000686,Bromley 037C,E02000163,Bromley 037,E09000006,Bromley,12.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,0.0,5.0
E01000687,Bromley 037D,E02000163,Bromley 037,E09000006,Bromley,17.0,7.0,7.0,7.0,3.0,4.0,5.0,10.0,7.0,6.0,2.0
E01000688,Bromley 037E,E02000163,Bromley 037,E09000006,Bromley,8.0,0.0,0.0,5.0,2.0,6.0,2.0,5.0,1.0,4.0,2.0
E01000689,Bromley 002A,E02000128,Bromley 002,E09000006,Bromley,28.0,32.0,16.0,10.0,4.0,9.0,10.0,14.0,11.0,12.0,6.0
E01000690,Bromley 002B,E02000128,Bromley 002,E09000006,Bromley,10.0,8.0,2.0,9.0,2.0,6.0,4.0,2.0,3.0,14.0,1.0
E01000691,Bromley 002C,E02000128,Bromley 002,E09000006,Bromley,7.0,13.0,8.0,4.0,11.0,12.0,6.0,8.0,10.0,14.0,14.0
E01000692,Bromley 002D,E02000128,Bromley 002,E09000006,Bromley,17.0,32.0,14.0,35.0,17.0,20.0,12.0,9.0,10.0,10.0,7.0
E01000693,Bromley 010A,E02000136,Bromley 010,E09000006,Bromley,21.0,11.0,11.0,6.0,10.0,12.0,7.0,12.0,10.0,12.0,6.0
E01000694,Bromley 007C,E02000133,Bromley 007,E09000006,Bromley,6.0,4.0,6.0,9.0,9.0,7.0,11.0,8.0,5.0,4.0,0.0
E01000695,Bromley 007D,E02000133,Bromley 007,E09000006,Bromley,7.0,8.0,9.0,10.0,7.0,14.0,6.0,6.0,7.0,10.0,5.0
E01000696,Bromley 007E,E02000133,Bromley 007,E09000006,Bromley,19.0,19.0,9.0,8.0,10.0,11.0,4.0,9.0,7.0,2.0,7.0
E01000697,Bromley 007F,E02000133,Bromley 007,E09000006,Bromley,10.0,4.0,8.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,4.0
E01000698,Bromley 010B,E02000136,Bromley 010,E09000006,Bromley,4.0,7.0,6.0,2.0,3.0,7.0,11.0,9.0,7.0,16.0,12.0
E01000699,Bromley 015A,E02000141,Bromley 015,E09000006,Bromley,16.0,13.0,12.0,12.0,11.0,15.0,15.0,10.0,9.0,18.0,9.0
E01000700,Bromley 013A,E02000139,Bromley 013,E09000006,Bromley,2.0,5.0,3.0,13.0,5.0,7.0,3.0,2.0,4.0,0.0,11.0
E01000701,Bromley 015B,E02000141,Bromley 015,E09000006,Bromley,8.0,6.0,2.0,6.0,7.0,6.0,3.0,2.0,4.0,8.0,5.0
E01000702,Bromley 013B,E02000139,Bromley 013,E09000006,Bromley,4.0,8.0,3.0,7.0,4.0,2.0,3.0,0.0,5.0,2.0,1.0
E01000703,Bromley 013C,E02000139,Bromley 013,E09000006,Bromley,7.0,7.0,11.0,8.0,6.0,13.0,10.0,8.0,8.0,8.0,8.0
E01000704,Bromley 015C,E02000141,Bromley 015,E09000006,Bromley,0.0,5.0,1.0,3.0,8.0,7.0,5.0,6.0,7.0,2.0,11.0
E01000705,Bromley 015D,E02000141,Bromley 015,E09000006,Bromley,13.0,8.0,5.0,11.0,5.0,5.0,3.0,3.0,2.0,14.0,7.0
E01000706,Bromley 013D,E02000139,Bromley 013,E09000006,Bromley,5.0,6.0,13.0,2.0,4.0,8.0,5.0,8.0,9.0,12.0,11.0
E01000707,Bromley 041A,E02006787,Bromley 041,E09000006,Bromley,3.0,4.0,2.0,4.0,6.0,15.0,3.0,5.0,5.0,2.0,2.0
E01000708,Bromley 041B,E02006787,Bromley 041,E09000006,Bromley,8.0,3.0,4.0,5.0,7.0,10.0,8.0,6.0,2.0,4.0,1.0
E01000709,Bromley 006A,E02000132,Bromley 006,E09000006,Bromley,5.0,6.0,2.0,10.0,8.0,5.0,6.0,3.0,3.0,8.0,5.0
E01000710,Bromley 006B,E02000132,Bromley 006,E09000006,Bromley,9.0,2.0,3.0,10.0,19.0,7.0,11.0,5.0,3.0,4.0,4.0
E01000711,Bromley 006C,E02000132,Bromley 006,E09000006,Bromley,6.0,11.0,9.0,10.0,7.0,5.0,13.0,5.0,10.0,12.0,15.0
E01000712,Bromley 012A,E02000138,Bromley 012,E09000006,Bromley,4.0,3.0,4.0,24.0,5.0,7.0,8.0,5.0,6.0,16.0,9.0
E01000713,Bromley 012B,E02000138,Bromley 012,E09000006,Bromley,4.0,6.0,2.0,14.0,7.0,4.0,15.0,9.0,8.0,4.0,3.0
E01000714,Bromley 006D,E02000132,Bromley 006,E09000006,Bromley,29.0,18.0,22.0,38.0,38.0,19.0,40.0,33.0,30.0,26.0,16.0
E01000715,Bromley 012C,E02000138,Bromley 012,E09000006,Bromley,5.0,6.0,5.0,16.0,8.0,8.0,4.0,8.0,5.0,4.0,5.0
E01000716,Bromley 011C,E02000137,Bromley 011,E09000006,Bromley,2.0,5.0,5.0,7.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0
E01000717,Bromley 011D,E02000137,Bromley 011,E09000006,Bromley,5.0,6.0,2.0,6.0,4.0,2.0,8.0,14.0,4.0,2.0,3.0
E01000718,Bromley 006E,E02000132,Bromley 006,E09000006,Bromley,6.0,18.0,6.0,13.0,9.0,13.0,12.0,12.0,8.0,6.0,6.0
E01000719,Bromley 019A,E02000145,Bromley 019,E09000006,Bromley,38.0,49.0,31.0,27.0,22.0,13.0,37.0,28.0,28.0,24.0,20.0
E01000720,Bromley 019B,E02000145,Bromley 019,E09000006,Bromley,32.0,25.0,33.0,39.0,24.0,27.0,23.0,23.0,25.0,40.0,47.0
E01000721,Bromley 019C,E02000145,Bromley 019,E09000006,Bromley,37.0,26.0,29.0,37.0,26.0,29.0,37.0,27.0,29.0,34.0,48.0
E01000722,Bromley 023A,E02000149,Bromley 023,E09000006,Bromley,29.0,35.0,17.0,15.0,20.0,14.0,30.0,28.0,14.0,14.0,16.0
E01000723,Bromley 029A,E02000155,Bromley 029,E09000006,Bromley,5.0,3.0,1.0,3.0,5.0,3.0,2.0,4.0,4.0,6.0,2.0
E01000724,Bromley 019D,E02000145,Bromley 019,E09000006,Bromley,45.0,29.0,21.0,18.0,27.0,40.0,37.0,22.0,28.0,10.0,17.0
E01000725,Bromley 023B,E02000149,Bromley 023,E09000006,Bromley,22.0,22.0,21.0,12.0,24.0,35.0,30.0,22.0,16.0,18.0,17.0
E01000726,Bromley 029B,E02000155,Bromley 029,E09000006,Bromley,11.0,11.0,3.0,9.0,7.0,6.0,7.0,3.0,8.0,10.0,7.0
E01000727,Bromley 028A,E02000154,Bromley 028,E09000006,Bromley,21.0,22.0,16.0,15.0,29.0,11.0,20.0,14.0,17.0,18.0,13.0
E01000728,Bromley 019E,E02000145,Bromley 019,E09000006,Bromley,22.0,26.0,15.0,21.0,29.0,38.0,31.0,27.0,35.0,28.0,30.0
E01000729,Bromley 014A,E02000140,Bromley 014,E09000006,Bromley,42.0,21.0,18.0,24.0,45.0,27.0,39.0,33.0,23.0,28.0,23.0
E01000730,Bromley 014B,E02000140,Bromley 014,E09000006,Bromley,39.0,52.0,22.0,22.0,23.0,22.0,18.0,36.0,35.0,14.0,39.0
E01000731,Bromley 023C,E02000149,Bromley 023,E09000006,Bromley,23.0,22.0,8.0,5.0,12.0,16.0,12.0,12.0,7.0,14.0,10.0
E01000732,Bromley 023D,E02000149,Bromley 023,E09000006,Bromley,6.0,17.0,3.0,6.0,14.0,12.0,9.0,4.0,8.0,0.0,4.0
E01000733,Bromley 023E,E02000149,Bromley 023,E09000006,Bromley,24.0,17.0,20.0,15.0,15.0,13.0,13.0,8.0,12.0,4.0,13.0
E01000734,Bromley 028B,E02000154,Bromley 028,E09000006,Bromley,5.0,9.0,0.0,6.0,4.0,4.0,7.0,3.0,8.0,0.0,5.0
E01000735,Bromley 014C,E02000140,Bromley 014,E09000006,Bromley,29.0,6.0,13.0,29.0,10.0,21.0,31.0,11.0,14.0,20.0,9.0
E01000736,Bromley 010C,E02000136,Bromley 010,E09000006,Bromley,25.0,14.0,11.0,9.0,11.0,21.0,6.0,13.0,4.0,4.0,16.0
E01000737,Bromley 010D,E02000136,Bromley 010,E09000006,Bromley,29.0,22.0,10.0,14.0,8.0,18.0,13.0,26.0,12.0,26.0,25.0
E01000738,Bromley 014D,E02000140,Bromley 014,E09000006,Bromley,43.0,25.0,6.0,15.0,28.0,18.0,13.0,16.0,4.0,12.0,12.0
E01000739,Bromley 014E,E02000140,Bromley 014,E09000006,Bromley,28.0,33.0,34.0,22.0,25.0,25.0,25.0,21.0,21.0,24.0,24.0
E01000740,Bromley 005A,E02000131,Bromley 005,E09000006,Bromley,37.0,27.0,30.0,46.0,39.0,38.0,24.0,20.0,32.0,54.0,31.0
E01000741,Bromley 005B,E02000131,Bromley 005,E09000006,Bromley,13.0,12.0,12.0,14.0,13.0,6.0,4.0,7.0,10.0,18.0,7.0
E01000742,Bromley 005C,E02000131,Bromley 005,E09000006,Bromley,25.0,14.0,19.0,23.0,20.0,12.0,14.0,8.0,13.0,4.0,10.0
E01000743,Bromley 009A,E02000135,Bromley 009,E09000006,Bromley,32.0,21.0,22.0,17.0,14.0,26.0,14.0,11.0,21.0,16.0,15.0
E01000744,Bromley 009B,E02000135,Bromley 009,E09000006,Bromley,29.0,21.0,14.0,21.0,15.0,10.0,15.0,16.0,18.0,16.0,15.0
E01000745,Bromley 005D,E02000131,Bromley 005,E09000006,Bromley,18.0,6.0,11.0,16.0,13.0,9.0,7.0,12.0,11.0,2.0,6.0
E01000746,Bromley 005E,E02000131,Bromley 005,E09000006,Bromley,22.0,17.0,14.0,8.0,13.0,11.0,15.0,4.0,5.0,6.0,8.0
E01000747,Bromley 042B,E02006789,Bromley 042,E09000006,Bromley,9.0,10.0,11.0,13.0,11.0,7.0,9.0,13.0,9.0,14.0,14.0
E01000748,Bromley 042C,E02006789,Bromley 042,E09000006,Bromley,6.0,11.0,4.0,4.0,6.0,9.0,6.0,6.0,6.0,8.0,6.0
E01000749,Bromley 036A,E02000162,Bromley 036,E09000006,Bromley,13.0,6.0,7.0,5.0,5.0,5.0,7.0,16.0,2.0,4.0,7.0
E01000750,Bromley 036B,E02000162,Bromley 036,E09000006,Bromley,5.0,12.0,16.0,10.0,6.0,9.0,9.0,8.0,8.0,8.0,11.0
E01000751,Bromley 036C,E02000162,Bromley 036,E09000006,Bromley,11.0,12.0,9.0,14.0,7.0,14.0,16.0,18.0,22.0,16.0,10.0
E01000752,Bromley 036D,E02000162,Bromley 036,E09000006,Bromley,14.0,6.0,9.0,9.0,9.0,18.0,11.0,4.0,8.0,12.0,8.0
E01000753,Bromley 031A,E02000157,Bromley 031,E09000006,Bromley,4.0,7.0,7.0,1.0,4.0,2.0,2.0,8.0,4.0,6.0,2.0
E01000754,Bromley 031B,E02000157,Bromley 031,E09000006,Bromley,12.0,5.0,9.0,3.0,7.0,7.0,7.0,11.0,12.0,8.0,3.0
E01000755,Bromley 031C,E02000157,Bromley 031,E09000006,Bromley,7.0,0.0,4.0,3.0,5.0,1.0,12.0,5.0,2.0,4.0,6.0
E01000756,Bromley 033D,E02000159,Bromley 033,E09000006,Bromley,11.0,14.0,13.0,27.0,16.0,16.0,11.0,26.0,13.0,2.0,6.0
E01000757,Bromley 031D,E02000157,Bromley 031,E09000006,Bromley,3.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0
E01000758,Bromley 031E,E02000157,Bromley 031,E09000006,Bromley,4.0,4.0,2.0,3.0,1.0,5.0,4.0,8.0,2.0,0.0,4.0
E01000759,Bromley 034A,E02000160,Bromley 034,E09000006,Bromley,12.0,3.0,6.0,4.0,1.0,5.0,5.0,6.0,8.0,4.0,6.0
E01000760,Bromley 034B,E02000160,Bromley 034,E09000006,Bromley,9.0,9.0,12.0,8.0,10.0,13.0,8.0,8.0,8.0,2.0,3.0
E01000761,Bromley 034C,E02000160,Bromley 034,E09000006,Bromley,4.0,3.0,6.0,0.0,4.0,4.0,8.0,8.0,2.0,0.0,3.0
E01000762,Bromley 018D,E02000144,Bromley 018,E09000006,Bromley,0.0,6.0,4.0,4.0,14.0,4.0,7.0,6.0,8.0,8.0,8.0
E01000763,Bromley 027A,E02000153,Bromley 027,E09000006,Bromley,5.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0
E01000764,Bromley 027B,E02000153,Bromley 027,E09000006,Bromley,11.0,5.0,4.0,4.0,6.0,4.0,7.0,13.0,7.0,2.0,7.0
E01000765,Bromley 034D,E02000160,Bromley 034,E09000006,Bromley,16.0,17.0,20.0,16.0,15.0,18.0,16.0,11.0,10.0,12.0,6.0
E01000766,Bromley 027C,E02000153,Bromley 027,E09000006,Bromley,5.0,3.0,4.0,7.0,3.0,4.0,5.0,4.0,5.0,0.0,3.0
E01000767,Bromley 027D,E02000153,Bromley 027,E09000006,Bromley,8.0,5.0,7.0,2.0,4.0,5.0,6.0,10.0,8.0,0.0,0.0
E01000768,Bromley 034E,E02000160,Bromley 034,E09000006,Bromley,1.0,6.0,11.0,4.0,9.0,9.0,7.0,12.0,5.0,8.0,1.0
E01000769,Bromley 024A,E02000150,Bromley 024,E09000006,Bromley,57.0,43.0,42.0,31.0,25.0,41.0,32.0,58.0,51.0,50.0,36.0
E01000770,Bromley 012D,E02000138,Bromley 012,E09000006,Bromley,4.0,5.0,5.0,7.0,5.0,5.0,7.0,3.0,6.0,4.0,2.0
E01000771,Bromley 041C,E02006787,Bromley 041,E09000006,Bromley,11.0,5.0,9.0,3.0,4.0,9.0,6.0,8.0,7.0,2.0,4.0
E01000772,Bromley 012E,E02000138,Bromley 012,E09000006,Bromley,1.0,2.0,3.0,5.0,3.0,4.0,8.0,5.0,6.0,6.0,4.0
E01000773,Bromley 024B,E02000150,Bromley 024,E09000006,Bromley,6.0,6.0,4.0,3.0,2.0,4.0,7.0,3.0,1.0,2.0,0.0
E01000774,Bromley 041D,E02006787,Bromley 041,E09000006,Bromley,10.0,3.0,7.0,6.0,8.0,14.0,9.0,14.0,11.0,6.0,9.0
E01000775,Bromley 024C,E02000150,Bromley 024,E09000006,Bromley,10.0,8.0,3.0,9.0,9.0,8.0,8.0,10.0,1.0,2.0,10.0
E01000777,Bromley 024D,E02000150,Bromley 024,E09000006,Bromley,11.0,9.0,10.0,6.0,8.0,6.0,10.0,7.0,3.0,4.0,6.0
E01000778,Bromley 024E,E02000150,Bromley 024,E09000006,Bromley,15.0,19.0,16.0,11.0,10.0,4.0,9.0,9.0,2.0,12.0,5.0
E01000779,Bromley 001A,E02000127,Bromley 001,E09000006,Bromley,20.0,3.0,13.0,13.0,16.0,7.0,14.0,14.0,9.0,16.0,7.0
E01000780,Bromley 001B,E02000127,Bromley 001,E09000006,Bromley,24.0,13.0,9.0,11.0,15.0,17.0,20.0,14.0,8.0,14.0,12.0
E01000781,Bromley 001C,E02000127,Bromley 001,E09000006,Bromley,24.0,13.0,18.0,11.0,17.0,13.0,16.0,15.0,14.0,14.0,10.0
E01000782,Bromley 001D,E02000127,Bromley 001,E09000006,Bromley,25.0,17.0,32.0,26.0,38.0,33.0,23.0,21.0,20.0,20.0,27.0
E01000783,Bromley 001E,E02000127,Bromley 001,E09000006,Bromley,15.0,18.0,17.0,26.0,31.0,14.0,35.0,23.0,12.0,20.0,9.0
E01000784,Bromley 002E,E02000128,Bromley 002,E09000006,Bromley,16.0,13.0,17.0,3.0,11.0,7.0,8.0,11.0,5.0,10.0,2.0
E01000785,Bromley 001F,E02000127,Bromley 001,E09000006,Bromley,10.0,35.0,21.0,17.0,19.0,12.0,19.0,10.0,7.0,10.0,11.0
E01000786,Bromley 032A,E02000158,Bromley 032,E09000006,Bromley,14.0,14.0,17.0,13.0,9.0,9.0,4.0,3.0,1.0,2.0,4.0
E01000787,Bromley 029C,E02000155,Bromley 029,E09000006,Bromley,16.0,9.0,9.0,14.0,11.0,15.0,13.0,9.0,8.0,6.0,16.0
E01000788,Bromley 029D,E02000155,Bromley 029,E09000006,Bromley,15.0,7.0,8.0,26.0,12.0,9.0,11.0,14.0,13.0,12.0,9.0
E01000789,Bromley 032B,E02000158,Bromley 032,E09000006,Bromley,28.0,25.0,14.0,20.0,35.0,37.0,38.0,41.0,33.0,34.0,22.0
E01000790,Bromley 028C,E02000154,Bromley 028,E09000006,Bromley,35.0,74.0,31.0,57.0,43.0,29.0,43.0,35.0,39.0,32.0,33.0
E01000791,Bromley 029E,E02000155,Bromley 029,E09000006,Bromley,10.0,5.0,5.0,5.0,7.0,6.0,3.0,7.0,3.0,8.0,3.0
E01000792,Bromley 032C,E02000158,Bromley 032,E09000006,Bromley,28.0,17.0,13.0,17.0,29.0,19.0,18.0,15.0,8.0,18.0,15.0
E01000793,Bromley 032D,E02000158,Bromley 032,E09000006,Bromley,2.0,0.0,1.0,7.0,2.0,6.0,1.0,2.0,4.0,0.0,2.0
E01000794,Bromley 035E,E02000161,Bromley 035,E09000006,Bromley,4.0,1.0,4.0,5.0,5.0,2.0,1.0,0.0,3.0,2.0,1.0
E01000795,Bromley 032E,E02000158,Bromley 032,E09000006,Bromley,12.0,4.0,8.0,3.0,8.0,7.0,7.0,11.0,5.0,10.0,5.0
E01000796,Bromley 009C,E02000135,Bromley 009,E09000006,Bromley,21.0,19.0,18.0,26.0,16.0,9.0,10.0,22.0,8.0,22.0,13.0
E01000797,Bromley 013E,E02000139,Bromley 013,E09000006,Bromley,18.0,12.0,11.0,10.0,14.0,18.0,6.0,23.0,16.0,6.0,15.0
E01000798,Bromley 009D,E02000135,Bromley 009,E09000006,Bromley,24.0,8.0,17.0,18.0,16.0,17.0,10.0,14.0,14.0,24.0,12.0
E01000799,Bromley 004A,E02000130,Bromley 004,E09000006,Bromley,21.0,35.0,36.0,51.0,32.0,44.0,36.0,28.0,27.0,44.0,18.0
E01000800,Bromley 009E,E02000135,Bromley 009,E09000006,Bromley,18.0,12.0,24.0,14.0,15.0,16.0,20.0,23.0,15.0,38.0,11.0
E01000801,Bromley 015E,E02000141,Bromley 015,E09000006,Bromley,13.0,8.0,7.0,19.0,14.0,5.0,5.0,8.0,11.0,12.0,11.0
E01000802,Bromley 004B,E02000130,Bromley 004,E09000006,Bromley,17.0,9.0,10.0,14.0,21.0,8.0,11.0,10.0,23.0,4.0,16.0
E01000803,Bromley 004C,E02000130,Bromley 004,E09000006,Bromley,14.0,11.0,11.0,13.0,12.0,6.0,5.0,7.0,8.0,4.0,13.0
E01000804,Bromley 004D,E02000130,Bromley 004,E09000006,Bromley,11.0,2.0,9.0,1.0,14.0,11.0,5.0,13.0,15.0,0.0,2.0
E01000805,Bromley 004E,E02000130,Bromley 004,E09000006,Bromley,11.0,6.0,12.0,18.0,29.0,12.0,17.0,20.0,19.0,18.0,11.0
E01000806,Bromley 009F,E02000135,Bromley 009,E09000006,Bromley,20.0,22.0,11.0,12.0,15.0,16.0,22.0,15.0,20.0,18.0,10.0
E01000807,Bromley 022C,E02000148,Bromley 022,E09000006,Bromley,15.0,17.0,17.0,8.0,13.0,11.0,7.0,13.0,5.0,12.0,7.0
E01000808,Bromley 025A,E02000151,Bromley 025,E09000006,Bromley,5.0,7.0,1.0,3.0,7.0,1.0,2.0,3.0,3.0,10.0,0.0
E01000809,Bromley 022D,E02000148,Bromley 022,E09000006,Bromley,0.0,6.0,3.0,3.0,6.0,3.0,4.0,5.0,5.0,2.0,4.0
E01000810,Bromley 025B,E02000151,Bromley 025,E09000006,Bromley,7.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0
E01000811,Bromley 025C,E02000151,Bromley 025,E09000006,Bromley,4.0,6.0,0.0,5.0,4.0,4.0,6.0,2.0,4.0,4.0,8.0
E01000812,Bromley 028D,E02000154,Bromley 028,E09000006,Bromley,9.0,3.0,2.0,7.0,10.0,6.0,5.0,5.0,12.0,2.0,5.0
E01000813,Bromley 025D,E02000151,Bromley 025,E09000006,Bromley,5.0,7.0,6.0,15.0,8.0,7.0,5.0,5.0,4.0,0.0,1.0
E01000814,Bromley 028E,E02000154,Bromley 028,E09000006,Bromley,1.0,0.0,0.0,4.0,8.0,4.0,3.0,3.0,7.0,0.0,6.0
E01000815,Bromley 025E,E02000151,Bromley 025,E09000006,Bromley,10.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,0.0,4.0,2.0
E01000816,Bromley 040A,E02006782,Bromley 040,E09000006,Bromley,7.0,3.0,6.0,1.0,5.0,5.0,10.0,7.0,6.0,8.0,9.0
E01000818,Bromley 040B,E02006782,Bromley 040,E09000006,Bromley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000819,Bromley 040C,E02006782,Bromley 040,E09000006,Bromley,21.0,20.0,20.0,9.0,15.0,21.0,14.0,14.0,15.0,14.0,5.0
E01000820,Bromley 008C,E02000134,Bromley 008,E09000006,Bromley,11.0,18.0,14.0,22.0,17.0,24.0,15.0,21.0,18.0,26.0,15.0
E01000822,Bromley 008D,E02000134,Bromley 008,E09000006,Bromley,5.0,7.0,10.0,3.0,8.0,5.0,8.0,14.0,6.0,6.0,4.0
E01000823,Bromley 008E,E02000134,Bromley 008,E09000006,Bromley,11.0,8.0,4.0,7.0,5.0,10.0,4.0,7.0,13.0,12.0,9.0
E01000824,Bromley 008F,E02000134,Bromley 008,E09000006,Bromley,16.0,7.0,11.0,9.0,6.0,11.0,12.0,5.0,9.0,6.0,11.0
E01000825,Bromley 008G,E02000134,Bromley 008,E09000006,Bromley,5.0,6.0,6.0,10.0,27.0,9.0,8.0,11.0,7.0,4.0,9.0
E01000826,Bromley 021A,E02000147,Bromley 021,E09000006,Bromley,5.0,3.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0
E01000827,Bromley 021B,E02000147,Bromley 021,E09000006,Bromley,7.0,4.0,10.0,7.0,7.0,7.0,5.0,6.0,7.0,4.0,5.0
E01000828,Bromley 011E,E02000137,Bromley 011,E09000006,Bromley,2.0,2.0,6.0,6.0,9.0,1.0,7.0,7.0,6.0,4.0,5.0
E01000829,Bromley 018E,E02000144,Bromley 018,E09000006,Bromley,8.0,6.0,5.0,8.0,5.0,6.0,2.0,6.0,4.0,4.0,4.0
E01000830,Bromley 021C,E02000147,Bromley 021,E09000006,Bromley,3.0,3.0,3.0,6.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0
E01000831,Bromley 021D,E02000147,Bromley 021,E09000006,Bromley,3.0,7.0,4.0,5.0,2.0,1.0,3.0,5.0,3.0,2.0,0.0
E01000832,Bromley 030A,E02000156,Bromley 030,E09000006,Bromley,9.0,7.0,2.0,3.0,3.0,5.0,2.0,4.0,6.0,4.0,4.0
E01000833,Bromley 021E,E02000147,Bromley 021,E09000006,Bromley,2.0,3.0,4.0,4.0,3.0,5.0,2.0,7.0,3.0,0.0,0.0
E01000834,Bromley 027E,E02000153,Bromley 027,E09000006,Bromley,7.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0
E01000835,Bromley 030B,E02000156,Bromley 030,E09000006,Bromley,7.0,9.0,9.0,26.0,6.0,16.0,14.0,14.0,4.0,8.0,9.0
E01000836,Bromley 030C,E02000156,Bromley 030,E09000006,Bromley,7.0,4.0,0.0,2.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0
E01000837,Bromley 030D,E02000156,Bromley 030,E09000006,Bromley,7.0,5.0,9.0,8.0,6.0,4.0,4.0,5.0,8.0,8.0,6.0
E01000838,Bromley 030E,E02000156,Bromley 030,E09000006,Bromley,2.0,1.0,7.0,1.0,5.0,3.0,8.0,4.0,6.0,6.0,3.0
E01000839,Bromley 030F,E02000156,Bromley 030,E09000006,Bromley,3.0,4.0,2.0,0.0,2.0,2.0,7.0,2.0,0.0,0.0,1.0
E01000840,Bromley 030G,E02000156,Bromley 030,E09000006,Bromley,6.0,4.0,4.0,2.0,5.0,5.0,2.0,5.0,9.0,0.0,4.0
E01000841,Bromley 030H,E02000156,Bromley 030,E09000006,Bromley,5.0,10.0,14.0,6.0,5.0,3.0,4.0,5.0,6.0,4.0,3.0
E01000842,Camden 011A,E02000176,Camden 011,E09000007,Camden,5.0,9.0,3.0,2.0,0.0,1.0,15.0,4.0,5.0,10.0,3.0
E01000843,Camden 014A,E02000179,Camden 014,E09000007,Camden,8.0,5.0,11.0,5.0,10.0,2.0,10.0,10.0,8.0,8.0,6.0
E01000844,Camden 011B,E02000176,Camden 011,E09000007,Camden,7.0,5.0,4.0,7.0,7.0,5.0,13.0,12.0,6.0,2.0,7.0
E01000845,Camden 014B,E02000179,Camden 014,E09000007,Camden,18.0,14.0,11.0,11.0,20.0,11.0,9.0,8.0,23.0,14.0,12.0
E01000846,Camden 014C,E02000179,Camden 014,E09000007,Camden,4.0,10.0,2.0,3.0,9.0,8.0,6.0,2.0,6.0,12.0,8.0
E01000847,Camden 014D,E02000179,Camden 014,E09000007,Camden,16.0,14.0,14.0,1.0,11.0,13.0,8.0,19.0,9.0,14.0,12.0
E01000848,Camden 011C,E02000176,Camden 011,E09000007,Camden,7.0,4.0,12.0,7.0,7.0,13.0,7.0,9.0,4.0,4.0,9.0
E01000849,Camden 011D,E02000176,Camden 011,E09000007,Camden,2.0,3.0,5.0,8.0,4.0,4.0,5.0,1.0,7.0,4.0,2.0
E01000850,Camden 026A,E02000191,Camden 026,E09000007,Camden,23.0,30.0,13.0,29.0,20.0,31.0,29.0,29.0,23.0,24.0,35.0
E01000851,Camden 026B,E02000191,Camden 026,E09000007,Camden,15.0,19.0,14.0,10.0,12.0,22.0,14.0,11.0,23.0,6.0,9.0
E01000852,Camden 026C,E02000191,Camden 026,E09000007,Camden,14.0,27.0,11.0,9.0,8.0,15.0,17.0,16.0,15.0,22.0,13.0
E01000853,Camden 025A,E02000190,Camden 025,E09000007,Camden,16.0,14.0,12.0,5.0,7.0,10.0,13.0,20.0,13.0,16.0,21.0
E01000854,Camden 026D,E02000191,Camden 026,E09000007,Camden,32.0,35.0,22.0,26.0,29.0,33.0,25.0,48.0,30.0,26.0,36.0
E01000855,Camden 028A,E02000193,Camden 028,E09000007,Camden,44.0,33.0,26.0,29.0,26.0,31.0,31.0,43.0,37.0,28.0,25.0
E01000856,Camden 019A,E02000184,Camden 019,E09000007,Camden,27.0,21.0,19.0,19.0,12.0,15.0,33.0,17.0,11.0,30.0,13.0
E01000857,Camden 018A,E02000183,Camden 018,E09000007,Camden,1.0,9.0,8.0,3.0,8.0,5.0,8.0,8.0,3.0,6.0,8.0
E01000858,Camden 018B,E02000183,Camden 018,E09000007,Camden,34.0,35.0,25.0,29.0,30.0,32.0,29.0,15.0,17.0,24.0,24.0
E01000859,Camden 018C,E02000183,Camden 018,E09000007,Camden,9.0,10.0,9.0,6.0,7.0,11.0,8.0,3.0,6.0,8.0,11.0
E01000860,Camden 018D,E02000183,Camden 018,E09000007,Camden,8.0,3.0,4.0,5.0,2.0,7.0,3.0,5.0,7.0,12.0,5.0
E01000861,Camden 019B,E02000184,Camden 019,E09000007,Camden,19.0,19.0,21.0,16.0,26.0,28.0,33.0,26.0,35.0,30.0,16.0
E01000862,Camden 018E,E02000183,Camden 018,E09000007,Camden,12.0,14.0,4.0,16.0,16.0,11.0,10.0,10.0,10.0,14.0,13.0
