LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,TotalRes11,TotalRes21,sqkm21
E01002978,Kingston upon Thames 015B,E01002978,Kingston upon Thames 015B,U,E09000021,Kingston upon Thames,1761,1857,0.36374
E01003114,Lambeth 032B,E01003114,Lambeth 032B,U,E09000022,Lambeth,1817,2424,0.19851
E01002979,Kingston upon Thames 015C,E01002979,Kingston upon Thames 015C,U,E09000021,Kingston upon Thames,1549,1529,0.33822
E01003253,Lewisham 002E,E01003253,Lewisham 002E,U,E09000023,Lewisham,1438,1422,0.14823
E01002980,Kingston upon Thames 012C,E01002980,Kingston upon Thames 012C,U,E09000021,Kingston upon Thames,1413,1407,0.23048
E01003308,Lewisham 024B,E01003308,Lewisham 024B,U,E09000023,Lewisham,1824,1789,0.15759
E01002981,Kingston upon Thames 012D,E01002981,Kingston upon Thames 012D,U,E09000021,Kingston upon Thames,1544,1603,0.37702
E01002996,Kingston upon Thames 016B,E01002996,Kingston upon Thames 016B,U,E09000021,Kingston upon Thames,1513,1545,0.20327
E01002982,Kingston upon Thames 015D,E01002982,Kingston upon Thames 015D,U,E09000021,Kingston upon Thames,1438,1485,0.25812
E01003151,Lambeth 026E,E01003151,Lambeth 026E,U,E09000022,Lambeth,1961,1954,0.13445
E01002983,Kingston upon Thames 015E,E01002983,Kingston upon Thames 015E,U,E09000021,Kingston upon Thames,1626,1669,0.64927
E01003048,Lambeth 009B,E01003048,Lambeth 009B,U,E09000022,Lambeth,1764,1918,0.12144
E01002984,Kingston upon Thames 012E,E01002984,Kingston upon Thames 012E,U,E09000021,Kingston upon Thames,1426,1431,0.27147
E01003200,Lewisham 009B,E01003200,Lewisham 009B,U,E09000023,Lewisham,1553,1475,0.73843
E01002985,Kingston upon Thames 007E,E01002985,Kingston upon Thames 007E,U,E09000021,Kingston upon Thames,1662,1720,0.17212
E01003115,Lambeth 034A,E01003115,Lambeth 034A,U,E09000022,Lambeth,1618,1618,0.10873
E01002986,Kingston upon Thames 008E,E01002986,Kingston upon Thames 008E,U,E09000021,Kingston upon Thames,1273,1370,0.43877
E01003254,Lewisham 021A,E01003254,Lewisham 021A,U,E09000023,Lewisham,1437,1438,0.32252
E01002987,Kingston upon Thames 011B,E01002987,Kingston upon Thames 011B,U,E09000021,Kingston upon Thames,1702,1895,0.21259
E01003309,Lewisham 027A,E01003309,Lewisham 027A,U,E09000023,Lewisham,1510,1620,0.15859
E01002988,Kingston upon Thames 011C,E01002988,Kingston upon Thames 011C,U,E09000021,Kingston upon Thames,1906,1678,0.28518
E01002997,Kingston upon Thames 016C,E01002997,Kingston upon Thames 016C,U,E09000021,Kingston upon Thames,1462,1522,0.23338
E01003152,Lambeth 027E,E01003152,Lambeth 027E,U,E09000022,Lambeth,1945,1906,0.22024
E01003049,Lambeth 011C,E01003049,Lambeth 011C,U,E09000022,Lambeth,1695,1768,0.11885
E01003201,Lewisham 007B,E01003201,Lewisham 007B,U,E09000023,Lewisham,1664,1680,0.1566
E01003116,Lambeth 029A,E01003116,Lambeth 029A,U,E09000022,Lambeth,1598,1785,0.28166
E01003255,Lewisham 021B,E01003255,Lewisham 021B,U,E09000023,Lewisham,1886,1990,0.1808
E01003310,Lewisham 027B,E01003310,Lewisham 027B,U,E09000023,Lewisham,1559,1589,0.16007
E01002998,Kingston upon Thames 016D,E01002998,Kingston upon Thames 016D,U,E09000021,Kingston upon Thames,1530,1612,0.14364
E01002999,Kingston upon Thames 013E,E01002999,Kingston upon Thames 013E,U,E09000021,Kingston upon Thames,1449,1535,0.18948
E01003000,Kingston upon Thames 017C,E01003000,Kingston upon Thames 017C,U,E09000021,Kingston upon Thames,1553,1870,1.14723
E01003001,Kingston upon Thames 017D,E01003001,Kingston upon Thames 017D,U,E09000021,Kingston upon Thames,1831,1916,0.36785
E01003002,Kingston upon Thames 016E,E01003002,Kingston upon Thames 016E,U,E09000021,Kingston upon Thames,1826,1907,0.30381
E01003003,Kingston upon Thames 017E,E01003003,Kingston upon Thames 017E,U,E09000021,Kingston upon Thames,1557,1727,0.23346
E01003312,Lewisham 027D,E01003312,Lewisham 027D,U,E09000023,Lewisham,1760,1756,0.19825
E01003325,Lewisham 018D,E01003325,Lewisham 018D,U,E09000023,Lewisham,1729,1816,0.13385
E01003153,Lambeth 029D,E01003153,Lambeth 029D,U,E09000022,Lambeth,2066,2172,0.12218
E01003119,Lambeth 032C,E01003119,Lambeth 032C,U,E09000022,Lambeth,1885,2066,0.17071
E01003276,Lewisham 014D,E01003276,Lewisham 014D,U,E09000023,Lewisham,1904,1907,0.46235
E01003056,Lambeth 015D,E01003056,Lambeth 015D,U,E09000022,Lambeth,1935,1707,0.08311
E01003120,Lambeth 032D,E01003120,Lambeth 032D,U,E09000022,Lambeth,1983,2411,0.1456
E01003202,Lewisham 009C,E01003202,Lewisham 009C,U,E09000023,Lewisham,1559,1558,0.23082
E01003121,Lambeth 006B,E01003121,Lambeth 006B,U,E09000022,Lambeth,1624,1569,0.0614
E01003203,Lewisham 009D,E01003203,Lewisham 009D,U,E09000023,Lewisham,1769,1966,0.14826
E01003277,Lewisham 011B,E01003277,Lewisham 011B,U,E09000023,Lewisham,1714,1674,0.14299
E01003122,Lambeth 004D,E01003122,Lambeth 004D,U,E09000022,Lambeth,1813,1904,0.10318
E01003057,Lambeth 017D,E01003057,Lambeth 017D,U,E09000022,Lambeth,1678,1705,0.09625
E01003313,Lewisham 027E,E01003313,Lewisham 027E,U,E09000023,Lewisham,1530,1571,0.23444
E01003204,Lewisham 007C,E01003204,Lewisham 007C,U,E09000023,Lewisham,1391,1612,0.25694
E01003278,Lewisham 011C,E01003278,Lewisham 011C,U,E09000023,Lewisham,1887,2085,0.15049
E01003154,Lambeth 030E,E01003154,Lambeth 030E,U,E09000022,Lambeth,1839,1996,0.18742
E01003123,Lambeth 006C,E01003123,Lambeth 006C,U,E09000022,Lambeth,1489,1597,0.14486
E01003058,Lambeth 015E,E01003058,Lambeth 015E,U,E09000022,Lambeth,1931,1979,0.091
E01003314,Lewisham 024C,E01003314,Lewisham 024C,U,E09000023,Lewisham,1599,1645,0.15512
E01003205,Lewisham 007D,E01003205,Lewisham 007D,U,E09000023,Lewisham,1332,1391,0.09
E01003206,Lewisham 007E,E01003206,Lewisham 007E,U,E09000023,Lewisham,1582,1409,0.20549
E01003207,Lewisham 005A,E01003207,Lewisham 005A,U,E09000023,Lewisham,1399,2333,0.12094
E01003326,Lewisham 035A,E01003326,Lewisham 035A,U,E09000023,Lewisham,1475,1814,0.13744
E01002989,Kingston upon Thames 011D,E01002989,Kingston upon Thames 011D,U,E09000021,Kingston upon Thames,1830,1900,0.15141
E01003209,Lewisham 005B,E01003209,Lewisham 005B,U,E09000023,Lewisham,2007,1897,0.12632
E01003327,Lewisham 035B,E01003327,Lewisham 035B,U,E09000023,Lewisham,1796,1631,0.20594
E01002990,Kingston upon Thames 009D,E01002990,Kingston upon Thames 009D,U,E09000021,Kingston upon Thames,1680,1708,0.16896
E01003210,Lewisham 005C,E01003210,Lewisham 005C,U,E09000023,Lewisham,1746,1774,0.18844
E01003328,Lewisham 035C,E01003328,Lewisham 035C,U,E09000023,Lewisham,1718,1773,0.19104
E01002991,Kingston upon Thames 009E,E01002991,Kingston upon Thames 009E,U,E09000021,Kingston upon Thames,1613,1564,0.22776
E01003211,Lewisham 008B,E01003211,Lewisham 008B,U,E09000023,Lewisham,1566,1556,0.20163
E01003329,Lewisham 033A,E01003329,Lewisham 033A,U,E09000023,Lewisham,1590,1641,0.17615
E01003212,Lewisham 005D,E01003212,Lewisham 005D,U,E09000023,Lewisham,1976,2011,0.22514
E01003330,Lewisham 033B,E01003330,Lewisham 033B,U,E09000023,Lewisham,1550,1591,0.2594
E01002992,Kingston upon Thames 010D,E01002992,Kingston upon Thames 010D,U,E09000021,Kingston upon Thames,1752,1568,0.33007
E01002993,Kingston upon Thames 013C,E01002993,Kingston upon Thames 013C,U,E09000021,Kingston upon Thames,1519,1576,0.1661
E01003213,Lewisham 008C,E01003213,Lewisham 008C,U,E09000023,Lewisham,1938,1963,0.21433
E01003331,Lewisham 033C,E01003331,Lewisham 033C,U,E09000023,Lewisham,1412,1522,0.15741
E01003214,Lewisham 008D,E01003214,Lewisham 008D,U,E09000023,Lewisham,1772,1780,0.15661
E01003332,Lewisham 033D,E01003332,Lewisham 033D,U,E09000023,Lewisham,1467,1592,0.20427
E01003215,Lewisham 005E,E01003215,Lewisham 005E,U,E09000023,Lewisham,1950,1893,0.21283
E01003333,Lewisham 035D,E01003333,Lewisham 035D,U,E09000023,Lewisham,1542,1535,0.1258
E01003216,Lewisham 025A,E01003216,Lewisham 025A,U,E09000023,Lewisham,1875,1672,0.21142
E01003696,Redbridge 035G,E01003696,Redbridge 035G,U,E09000026,Redbridge,1877,1784,0.19224
E01003697,Redbridge 035H,E01003697,Redbridge 035H,U,E09000026,Redbridge,1630,1728,0.2725
E01003698,Redbridge 006A,E01003698,Redbridge 006A,U,E09000026,Redbridge,1385,1526,0.18571
E01003699,Redbridge 006B,E01003699,Redbridge 006B,U,E09000026,Redbridge,1415,1554,0.85888
E01003700,Redbridge 006C,E01003700,Redbridge 006C,U,E09000026,Redbridge,2240,2525,0.65911
E01003701,Redbridge 006D,E01003701,Redbridge 006D,U,E09000026,Redbridge,1788,2053,0.29494
E01003702,Redbridge 006E,E01003702,Redbridge 006E,U,E09000026,Redbridge,1620,2252,0.31016
E01003703,Redbridge 006F,E01003703,Redbridge 006F,U,E09000026,Redbridge,2501,2651,0.99326
E01003704,Redbridge 006G,E01003704,Redbridge 006G,U,E09000026,Redbridge,1681,2032,0.2919
E01003705,Redbridge 010A,E01003705,Redbridge 010A,U,E09000026,Redbridge,2192,2420,0.31172
E01003706,Redbridge 010B,E01003706,Redbridge 010B,U,E09000026,Redbridge,1594,1702,0.19442
E01003707,Redbridge 008A,E01003707,Redbridge 008A,U,E09000026,Redbridge,1335,1529,0.25044
E01003708,Redbridge 008B,E01003708,Redbridge 008B,U,E09000026,Redbridge,1476,2064,0.44041
E01003709,Redbridge 008C,E01003709,Redbridge 008C,U,E09000026,Redbridge,1627,1772,0.23654
E01003710,Redbridge 008D,E01003710,Redbridge 008D,U,E09000026,Redbridge,1515,1520,0.21906
E01003711,Redbridge 010C,E01003711,Redbridge 010C,U,E09000026,Redbridge,1812,1912,0.36447
E01003712,Redbridge 010D,E01003712,Redbridge 010D,U,E09000026,Redbridge,1359,1500,0.16841
