LAD22CD,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median
E09000002,27.246,125.201,31.961,4.1,31.095
E09000003,27.21,221.121,33.656,5.625,32.493
E09000004,26.396,84.028,30.378,3.256,29.921
E09000005,31.233,447.855,36.871,5.82,36.157
E09000006,22.212,74.967,27.576,3.613,27.243
E09000007,35.344,170.194,42.581,8.13,40.676
E09000001,44.201,335.378,54.214,20.31,48.386
E09000008,24.483,138.402,30.091,4.086,29.246
E09000009,29.916,324.587,36.384,5.537,35.229
E09000010,26.592,162.928,31.398,5.02,30.429
E09000011,29.601,127.467,34.883,5.092,33.799
E09000012,34.974,122.273,40.926,5.96,39.525
E09000013,35.722,148.561,40.943,6.742,39.251
E09000014,32.908,133.902,37.228,4.746,36.177
E09000015,27.226,108.573,30.848,2.976,30.519
E09000016,20.996,85.984,26.844,3.731,26.197
E09000017,23.984,447.633,31.975,6.052,30.809
E09000018,28.909,138.415,35.108,5.247,34.101
E09000019,36.457,132.505,42.965,6.464,41.441
E09000020,37.618,393.458,44.282,9.925,41.822
E09000021,25.842,127.231,31.997,4.451,31.798
E09000022,32.828,201.981,39.871,6.429,38.479
E09000023,29.882,141.923,35.925,4.727,35.026
E09000024,30.351,106.939,33.959,3.331,33.312
E09000025,31.344,158.701,37.494,5.276,36.474
E09000026,25.234,133.4,32.603,5.467,31.967
E09000027,28.327,169.439,32.989,3.713,32.265
E09000028,33.591,250.323,40.588,6.31,39.455
E09000029,26.717,95.178,30.724,2.982,30.592
E09000030,36.469,204.887,42.922,7.554,41.159
E09000031,27.461,139.529,34.987,5.376,34.429
E09000032,32.013,104.959,37.837,4.765,36.574
E09000033,38.938,431.67,48.12,11.722,45.574
