MSOA21CD,PM10d-2019-min,PM10d-2019-max,PM10d-2019-mean,PM10d-2019-std,PM10d-2019-median
E02000221,2.693,50.177,3.732,2.295,3.247
E02000222,2.724,40.155,3.843,1.888,3.386
E02000223,2.267,16.116,2.626,0.672,2.473
E02000224,2.769,33.816,3.561,2.077,3.085
E02000225,2.081,5.263,2.363,0.22,2.341
E02000226,2.276,19.7,3.091,1.039,2.736
E02000227,1.856,36.554,2.543,1.454,2.317
E02000228,2.236,18.032,2.734,0.786,2.588
E02000229,1.866,6.282,2.239,0.413,2.176
E02000230,2.459,47.092,3.461,2.278,2.944
E02000231,2.353,36.769,2.846,1.288,2.601
E02000232,1.893,14.704,2.211,0.613,2.111
E02000233,2.022,20.929,2.686,1.368,2.408
E02000234,2.056,38.785,2.772,1.809,2.516
E02000235,1.813,19.092,2.194,0.737,2.074
E02000236,1.79,36.477,2.521,1.385,2.348
E02000237,1.677,8.134,1.965,0.355,1.908
E02006788,3.005,12.812,3.357,0.779,3.184
E02006987,4.191,71.908,7.164,5.108,5.723
E02006988,3.167,46.489,4.843,2.664,4.118
E02000238,3.322,35.299,4.001,1.412,3.746
E02000239,3.388,20.244,3.784,1.018,3.557
E02000240,3.582,68.591,5.51,5.318,4.093
E02000241,3.503,70.341,4.941,4.725,3.988
E02000242,3.532,6.971,3.984,0.355,3.905
E02000243,3.443,78.052,5.11,4.866,3.909
E02000244,3.449,50.094,5.809,5.632,4.198
E02000245,3.42,78.294,5.463,4.894,4.226
E02000246,3.266,75.884,4.315,2.801,3.754
E02000247,3.427,56.462,4.948,4.86,3.899
E02000248,4.127,144.354,9.563,12.649,5.908
E02000249,3.492,45.673,4.593,3.497,3.859
E02000250,3.683,44.509,4.561,2.016,4.285
E02000251,3.512,19.098,3.951,0.792,3.817
E02000252,4.579,138.271,7.784,9.368,5.819
E02000253,3.473,113.219,4.201,3.331,3.776
E02000254,3.393,12.859,3.957,0.781,3.821
E02000255,3.585,17.067,4.16,1.04,3.915
E02000256,3.96,25.204,4.636,1.314,4.377
E02000258,4.581,23.284,5.14,1.103,4.915
E02000259,3.409,23.047,3.828,1.225,3.652
E02000260,3.588,23.938,4.683,1.778,4.203
E02000261,4.724,130.435,6.955,9.212,5.246
E02000262,4.866,115.649,6.415,6.014,5.357
E02000263,3.599,32.365,4.596,1.614,4.342
E02000264,4.719,53.41,6.931,3.689,5.935
E02000265,3.802,33.306,4.675,2.116,4.14
E02000266,3.444,66.189,4.343,2.294,3.931
E02000267,3.552,40.975,4.592,2.603,4.04
E02000268,4.304,21.141,6.481,1.695,6.196
E02000269,4.072,16.936,4.725,0.936,4.504
E02000270,4.966,52.203,5.868,2.982,5.413
E02000271,4.695,113.53,5.446,4.043,4.97
E02000272,3.534,16.706,4.274,0.869,4.144
E02000275,3.611,20.617,4.736,1.306,4.347
E02000276,4.248,21.574,5.498,1.435,5.071
E02006791,4.79,13.316,5.356,0.877,5.123
E02006968,4.198,49.37,5.109,2.185,4.762
E02006969,4.632,49.577,6.327,3.812,5.283
E02006970,3.85,14.985,5.045,0.754,5.009
E02006971,3.735,20.17,4.292,1.075,4.102
E02000277,2.454,54.028,4.71,6.067,2.896
E02000278,2.493,116.397,4.329,5.55,2.877
E02000279,2.313,42.902,3.38,3.796,2.609
E02000280,2.145,82.653,3.626,5.366,2.489
E02000281,2.369,96.731,3.34,3.365,2.765
E02000282,2.546,22.721,3.362,1.764,2.934
E02000283,2.541,36.827,3.074,1.322,2.88
E02000284,2.775,22.704,3.238,0.973,2.998
E02000285,2.716,21.775,3.115,0.928,2.927
E02000286,2.546,23.461,3.412,1.208,3.064
E02000287,2.19,18.91,2.597,0.91,2.428
E02000288,2.815,155.969,3.864,4.081,3.204
E02000289,2.39,15.915,2.794,0.69,2.701
E02000290,2.326,51.538,3.216,2.2,2.838
E02000291,2.966,23.091,3.475,1.447,3.156
E02000292,2.731,62.485,3.913,3.09,3.24
E02000293,2.712,28.93,3.168,0.908,2.975
E02000294,2.758,34.997,3.32,1.471,3.139
E02000295,2.745,9.751,3.198,0.62,3.076
E02000296,2.547,30.127,3.568,1.758,3.177
E02000297,2.947,31.577,3.818,2.143,3.332
E02000298,2.933,15.816,3.304,0.741,3.155
E02000299,3.067,13.782,3.531,0.839,3.359
E02000300,3.249,77.947,4.263,3.866,3.515
E02000301,2.747,32.884,3.418,1.505,3.129
E02000302,3.182,43.586,3.875,1.924,3.481
E02000303,3.311,84.283,4.753,5.749,3.63
E02000304,3.133,48.857,3.778,1.692,3.416
E02000305,3.128,78.813,3.984,3.342,3.498
E02000306,3.128,128.522,5.088,6.505,3.813
E02000307,3.428,83.629,5.886,6.843,4.054
E02000308,3.244,120.044,5.35,7.102,4.014
E02000309,3.416,133.203,6.98,11.952,4.227
E02000311,3.434,80.091,5.561,6.343,3.982
E02000312,3.275,117.153,5.132,7.185,3.895
E02006793,3.516,89.586,5.847,7.615,4.13
E02000313,3.138,13.568,3.88,1.159,3.485
E02000314,3.02,71.896,4.179,2.869,3.614
E02000315,3.183,52.579,3.491,1.204,3.353
E02000317,4.211,53.014,5.086,2.794,4.551
E02000318,3.27,31.172,3.946,1.832,3.593
E02000319,3.48,77.118,4.86,5.034,3.896
E02000320,3.007,22.194,3.564,1.068,3.29
E02000321,3.575,67.038,4.898,4.855,3.879
E02000323,3.468,29.491,4.517,1.872,4.054
E02000324,3.817,35.635,4.85,2.015,4.534
E02000326,4.512,74.835,6.66,4.91,5.529
E02000327,3.687,47.352,4.67,2.314,4.087
E02000328,4.387,42.175,5.74,2.85,5.214
E02000329,3.142,14.987,3.427,0.689,3.29
E02000331,3.693,70.789,5.074,3.503,4.209
E02000332,3.182,25.833,3.754,1.302,3.558
E02000333,3.732,88.559,5.506,4.8,4.538
E02000334,3.62,27.956,4.482,2.36,3.921
E02000335,3.304,69.07,4.494,4.246,3.815
E02000337,3.771,69.262,5.895,5.115,4.485
E02000339,3.309,75.641,5.31,5.682,4.041
E02000340,2.939,79.126,3.838,3.62,3.238
E02000341,3.102,62.067,4.139,2.77,3.48
E02000342,2.93,10.49,3.229,0.551,3.094
E02000343,2.864,32.908,3.823,2.25,3.284
E02000344,2.735,73.751,3.657,2.309,3.153
E02006786,3.022,29.191,3.644,1.256,3.396
E02006927,3.5,61.801,4.642,2.991,3.907
E02006928,4.695,62.886,6.417,4.879,5.202
E02006930,4.96,89.658,9.886,8.612,7.631
E02006931,4.279,109.654,5.766,5.064,4.811
E02006991,3.907,58.136,5.949,5.371,4.578
E02006992,5.013,128.393,10.008,10.836,7.356
E02006993,5.628,80.04,7.411,4.135,6.617
E02006994,4.405,61.548,6.277,4.327,5.252
E02000345,3.916,140.846,5.674,6.295,4.535
E02000346,4.526,68.959,6.713,5.246,5.229
E02000347,4.333,14.908,4.733,0.853,4.549
E02000348,3.963,38.549,5.284,3.239,4.614
E02000350,4.345,39.647,5.581,3.22,4.861
E02000351,4.765,91.211,6.075,4.195,5.206
E02000352,4.527,19.588,5.132,1.256,4.823
E02000353,4.572,29.902,5.806,2.386,5.151
E02000354,4.63,70.539,5.544,3.002,4.963
E02000355,4.364,75.234,5.917,4.19,5.0
E02000356,4.842,16.437,5.585,1.402,5.219
E02000357,3.953,22.251,4.454,1.045,4.223
E02000358,4.843,24.966,5.769,2.066,5.267
E02000359,4.364,21.545,5.032,1.38,4.752
E02000360,4.836,25.89,5.935,1.861,5.47
E02000361,4.828,70.653,7.439,4.625,6.022
E02000362,4.899,74.558,7.698,6.839,5.574
E02000363,4.793,22.931,6.045,2.073,5.521
E02000364,5.176,67.85,6.44,2.925,5.813
E02000366,5.065,27.594,6.255,2.229,5.588
E02000367,5.29,59.982,6.76,3.458,5.992
E02000368,5.474,32.854,6.999,1.966,6.587
E02000369,6.261,27.036,7.617,1.826,7.284
E02000370,6.737,56.796,8.366,3.602,7.734
E02006918,4.055,34.383,4.899,2.285,4.43
E02006921,3.974,28.942,4.969,2.058,4.588
E02007108,5.338,41.153,7.507,4.278,6.31
E02007109,5.549,29.741,6.866,2.095,6.34
E02007110,7.608,121.213,10.649,8.829,8.856
E02007111,7.7,133.937,12.634,10.243,10.491
E02000372,4.511,147.26,6.423,6.241,4.966
E02000373,5.058,86.684,7.213,7.855,5.861
E02000374,4.982,73.936,6.606,5.723,5.42
E02000375,5.646,98.606,8.62,5.589,7.693
E02000376,5.39,37.128,6.902,2.941,6.152
E02000377,4.942,37.998,6.43,3.214,5.564
E02000378,5.878,115.772,8.527,9.311,6.624
E02000379,4.7,36.696,6.041,2.686,5.278
E02000380,6.007,26.468,7.104,2.241,6.498
