LSOA21CD,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median
E01000001,27.29,40.915,29.602,2.529,28.499
E01000002,27.136,32.269,27.884,0.957,27.595
E01000003,27.199,33.67,27.874,0.983,27.558
E01000005,27.253,59.832,29.724,3.799,28.398
E01000006,24.327,25.023,24.577,0.147,24.568
E01000007,24.629,31.568,25.558,1.333,25.126
E01000008,24.642,47.754,25.873,2.28,25.224
E01000009,24.595,32.198,25.401,1.256,24.983
E01000011,24.477,29.077,25.069,0.799,24.871
E01000012,24.479,28.832,24.783,0.403,24.709
E01000013,23.639,31.671,24.479,1.362,24.009
E01000014,23.651,30.814,23.91,0.635,23.758
E01000015,23.493,27.121,23.872,0.537,23.717
E01000016,23.508,28.247,23.895,0.724,23.707
E01000017,23.603,28.653,23.996,0.738,23.799
E01000018,23.512,24.894,23.734,0.186,23.692
E01000019,23.666,25.226,23.892,0.239,23.833
E01000020,23.777,27.296,24.079,0.436,23.941
E01000021,23.728,32.165,24.341,1.029,24.014
E01000022,23.801,24.234,23.951,0.085,23.936
E01000024,23.9,31.392,24.577,1.259,24.172
E01000025,23.893,29.785,24.24,0.557,24.12
E01000027,22.911,29.897,23.307,0.646,23.133
E01000028,23.234,25.139,23.413,0.147,23.386
E01000029,23.414,34.579,24.226,1.546,23.777
E01000030,23.254,38.24,24.256,1.875,23.634
E01000031,23.052,59.221,24.204,2.02,23.675
E01000032,23.333,30.832,23.734,0.768,23.56
E01000033,23.238,30.366,23.732,0.749,23.563
E01000034,23.161,26.787,23.429,0.488,23.289
E01000035,23.262,30.632,24.009,1.099,23.659
E01000036,23.177,29.785,23.589,0.643,23.481
E01000037,23.255,26.454,23.539,0.422,23.455
E01000038,23.273,27.046,23.63,0.48,23.54
E01000039,23.092,26.66,23.244,0.284,23.189
E01000040,24.222,29.183,24.646,0.673,24.452
E01000041,23.939,29.74,24.669,0.99,24.352
E01000042,24.038,30.575,24.44,0.551,24.322
E01000043,24.453,39.092,25.195,1.544,24.732
E01000044,24.319,36.943,25.218,1.721,24.723
E01000045,24.229,53.197,26.162,3.824,24.868
E01000046,24.042,29.295,24.416,0.664,24.236
E01000049,24.816,43.156,26.118,2.692,25.212
E01000050,24.646,31.408,25.257,1.049,24.96
E01000051,24.797,32.261,25.626,1.34,25.146
E01000052,24.656,41.61,25.952,1.958,25.228
E01000053,24.022,43.471,25.176,2.148,24.495
E01000054,23.839,25.112,24.018,0.193,23.969
E01000055,23.888,25.595,24.161,0.256,24.096
E01000056,23.836,29.061,24.404,0.605,24.228
E01000057,23.798,27.981,24.302,0.674,24.1
E01000058,23.722,26.115,24.043,0.458,23.906
E01000059,23.815,25.869,24.058,0.306,23.985
E01000060,23.183,32.351,23.754,0.928,23.575
E01000061,23.197,32.54,23.81,1.137,23.456
E01000062,23.477,25.902,23.709,0.276,23.671
E01000063,23.601,31.208,24.151,1.02,23.831
E01000064,23.475,30.101,23.916,0.873,23.649
E01000065,23.603,28.692,24.11,0.921,23.809
E01000066,24.022,31.579,24.289,0.539,24.205
E01000067,24.132,32.117,24.799,1.295,24.371
E01000068,24.218,32.629,24.618,0.809,24.431
E01000069,24.031,27.776,24.288,0.241,24.254
E01000070,24.106,32.561,24.74,1.076,24.448
E01000071,24.046,27.907,24.399,0.437,24.299
E01000072,23.97,30.795,24.256,0.66,24.044
E01000073,23.946,28.714,24.183,0.394,24.097
E01000074,23.886,28.931,24.272,0.804,24.048
E01000075,23.672,29.167,24.006,0.535,23.891
E01000076,23.892,28.769,24.177,0.524,24.039
E01000077,23.871,30.738,24.48,1.06,24.119
E01000078,23.71,33.48,24.545,1.375,24.088
E01000079,23.632,30.774,24.091,1.056,23.783
E01000080,23.673,30.56,24.198,0.923,23.947
E01000081,23.597,24.708,23.763,0.129,23.737
E01000082,23.601,28.83,24.058,0.863,23.79
E01000083,23.781,31.836,24.417,1.105,24.066
E01000084,23.735,29.466,24.365,0.936,24.065
E01000085,23.838,30.124,24.289,0.793,24.095
E01000086,23.832,28.594,24.279,0.865,24.015
E01000087,23.829,34.907,24.582,1.391,24.115
E01000088,23.594,25.364,23.847,0.249,23.806
E01000089,23.589,24.074,23.754,0.095,23.737
E01000090,23.471,34.798,24.126,1.244,23.763
E01000091,23.995,24.993,24.226,0.231,24.129
E01000093,24.008,52.089,25.754,3.235,24.649
E01000094,23.888,25.514,24.269,0.216,24.276
E01000095,23.71,46.363,24.841,2.0,24.313
E01000096,24.085,55.649,25.523,2.316,24.738
E01000097,23.822,28.464,24.366,0.816,24.056
E01000098,23.837,28.845,24.29,0.719,24.087
E01000099,23.478,30.373,23.987,0.71,23.79
E01000100,23.539,27.631,23.834,0.61,23.69
E01000101,23.568,30.085,24.078,0.958,23.79
E01000102,23.531,25.814,23.868,0.383,23.76
E01000103,23.44,28.907,23.669,0.444,23.58
E01000104,23.357,29.873,24.178,1.049,23.835
E01000105,23.632,28.776,23.989,0.556,23.86
E01000106,23.573,25.814,23.838,0.333,23.748
E01000107,23.175,25.098,23.315,0.153,23.266
E01000108,23.257,30.295,23.827,0.977,23.611
E01000110,23.365,29.284,23.866,0.766,23.675
E01000111,23.487,32.172,24.365,1.405,23.902
E01000112,23.56,40.9,24.324,1.586,23.804
E01000113,23.616,30.968,24.189,1.053,23.887
E01000114,23.306,33.618,24.162,1.429,23.768
E01000115,23.472,30.08,23.958,0.722,23.787
E01000116,23.467,29.753,23.972,0.772,23.791
E01000117,23.538,28.314,23.783,0.307,23.706
E01000118,23.626,29.353,24.241,0.878,23.944
E01000119,23.643,26.468,23.811,0.245,23.74
E01000120,23.691,29.668,24.112,0.806,23.89
E01000121,23.676,26.623,23.844,0.329,23.748
E01000122,23.669,27.247,24.006,0.41,23.901
E01000123,23.714,26.751,24.022,0.415,23.916
E01000124,23.981,32.667,24.859,1.188,24.43
E01000126,24.412,25.896,24.83,0.274,24.79
E01000127,23.918,27.197,24.178,0.455,24.049
E01000128,24.097,25.575,24.296,0.169,24.249
E01000129,24.027,36.585,25.417,2.242,24.613
E01000130,24.102,25.925,24.42,0.271,24.363
E01000131,24.115,35.398,24.567,0.828,24.4
E01000132,23.915,25.434,24.093,0.224,24.042
E01000133,23.999,25.471,24.297,0.24,24.243
E01000134,23.924,30.956,24.545,1.031,24.222
E01000135,24.707,40.545,25.505,2.111,24.928
E01000136,24.551,31.828,24.94,0.66,24.802
E01000137,24.757,30.461,25.277,0.837,25.005
E01000138,24.783,40.674,26.434,2.914,25.346
E01000139,24.668,40.728,25.627,1.679,25.117
E01000140,24.869,33.276,26.156,1.511,25.536
E01000141,24.772,36.534,25.55,1.266,25.104
E01000142,24.768,28.56,25.035,0.455,24.945
E01000143,24.685,30.798,25.161,0.795,24.969
E01000144,24.799,33.261,25.528,1.219,25.136
E01000145,24.809,37.945,25.297,1.276,24.974
E01000146,24.771,35.223,25.719,1.39,25.161
E01000147,24.696,29.196,24.978,0.537,24.857
E01000150,24.673,36.384,25.153,1.01,24.902
E01000151,24.727,26.687,25.06,0.237,25.001
E01000152,24.543,28.132,25.27,0.813,24.92
E01000153,24.303,26.233,24.673,0.223,24.648
E01000154,24.864,26.622,25.134,0.351,25.034
