LSOA21CD,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median
E01000001,15.14,38.534,16.275,2.804,15.407
E01000002,15.079,27.277,15.584,1.473,15.265
E01000003,14.986,20.698,15.286,0.786,15.122
E01000005,14.831,34.406,15.958,2.468,15.143
E01000006,12.864,13.174,12.978,0.061,12.98
E01000007,13.033,16.55,13.414,0.631,13.215
E01000008,13.025,19.761,13.462,0.783,13.221
E01000009,12.987,16.768,13.326,0.609,13.142
E01000011,12.947,15.085,13.186,0.321,13.122
E01000012,12.967,15.207,13.115,0.211,13.073
E01000013,12.556,15.676,12.863,0.528,12.695
E01000014,12.544,15.493,12.649,0.232,12.597
E01000015,12.499,14.023,12.636,0.212,12.584
E01000016,12.493,14.114,12.644,0.251,12.579
E01000017,12.537,14.453,12.677,0.23,12.623
E01000018,12.503,13.124,12.602,0.077,12.587
E01000019,12.55,13.121,12.672,0.086,12.658
E01000020,12.632,14.015,12.755,0.158,12.712
E01000021,12.619,16.123,12.921,0.418,12.803
E01000022,12.674,12.949,12.773,0.05,12.77
E01000024,12.763,16.129,13.044,0.48,12.895
E01000025,12.782,14.905,12.981,0.209,12.95
E01000027,11.938,15.071,12.095,0.259,12.031
E01000028,12.096,12.958,12.207,0.075,12.191
E01000029,12.223,16.005,12.577,0.614,12.409
E01000030,12.079,19.087,12.493,0.724,12.278
E01000031,11.982,29.371,12.465,0.746,12.295
E01000032,12.293,15.703,12.484,0.285,12.414
E01000033,12.256,15.4,12.524,0.323,12.462
E01000034,12.121,14.183,12.304,0.237,12.212
E01000035,12.423,15.836,12.727,0.46,12.602
E01000036,12.22,15.708,12.528,0.295,12.512
E01000037,12.14,13.804,12.284,0.215,12.24
E01000038,12.183,13.94,12.33,0.198,12.293
E01000039,12.047,13.926,12.228,0.174,12.18
E01000040,12.812,15.641,13.005,0.337,12.928
E01000041,12.695,14.868,12.934,0.334,12.839
E01000042,12.713,15.412,12.859,0.191,12.813
E01000043,12.856,16.836,13.148,0.526,13.001
