MSOA21CD,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median
E02000002,11.938,19.087,12.211,0.441,12.102
E02000003,11.982,29.371,12.594,0.617,12.51
E02000004,12.047,14.183,12.258,0.199,12.213
E02000005,12.25,17.135,12.691,0.389,12.605
E02000007,12.179,16.318,12.506,0.391,12.458
E02000008,12.506,16.964,12.762,0.367,12.672
E02000009,12.619,16.129,12.984,0.391,12.894
E02000010,12.493,15.717,12.662,0.281,12.597
E02000011,12.134,15.836,12.496,0.367,12.453
E02000012,12.747,16.404,12.978,0.355,12.904
E02000013,12.556,15.145,12.816,0.241,12.78
E02000014,12.544,16.032,12.759,0.327,12.694
E02000015,12.202,15.313,12.492,0.273,12.462
E02000016,12.967,19.761,13.31,0.553,13.148
E02000017,12.813,19.939,13.103,0.492,12.998
E02000018,12.695,22.536,12.978,0.608,12.822
E02000019,12.377,19.22,12.852,0.581,12.701
E02000020,12.352,18.878,12.884,0.57,12.801
E02000021,12.302,19.306,12.668,0.384,12.566
E02000022,12.963,18.105,13.325,0.581,13.139
E02000023,12.415,22.74,12.893,0.652,12.74
E02006799,12.541,15.339,12.769,0.285,12.701
E02000024,11.724,18.292,12.082,0.346,12.017
E02000025,11.926,16.043,12.125,0.238,12.09
E02000026,11.976,14.65,12.286,0.22,12.278
E02000027,12.038,16.706,12.244,0.23,12.216
E02000028,12.248,16.8,12.52,0.486,12.395
E02000029,12.128,15.409,12.53,0.343,12.477
E02000030,11.783,17.449,12.202,0.359,12.153
E02000031,12.282,18.369,12.734,0.515,12.598
E02000032,12.383,24.409,12.642,0.339,12.584
E02000033,12.484,16.881,12.761,0.339,12.667
E02000034,12.585,19.978,12.804,0.357,12.732
E02000035,12.326,20.035,12.678,0.558,12.613
E02000036,12.127,19.503,12.775,0.668,12.632
E02000037,12.009,16.901,12.367,0.474,12.227
E02000038,12.613,21.578,12.933,0.622,12.783
E02000039,12.399,20.02,12.988,0.748,12.77
E02000040,12.227,14.992,12.512,0.209,12.488
E02000041,12.541,18.084,12.818,0.488,12.682
E02000042,12.605,22.984,12.969,0.658,12.831
E02000043,12.259,16.11,12.665,0.227,12.671
E02000044,12.602,15.463,12.848,0.332,12.758
E02000045,12.74,20.886,13.122,0.791,12.902
E02000046,12.754,23.697,13.079,0.64,12.932
E02000047,12.636,18.079,12.941,0.449,12.839
E02000048,12.556,19.766,13.0,0.643,12.819
E02000049,12.771,15.21,13.079,0.274,13.023
E02000050,12.766,20.514,13.202,0.814,12.971
E02000051,12.799,26.041,13.29,0.927,13.06
E02000052,12.947,17.811,13.186,0.39,13.086
E02000054,12.918,24.337,13.605,0.879,13.343
E02000055,12.956,20.296,13.4,0.704,13.213
E02000056,12.918,21.062,13.157,0.496,13.049
E02000057,13.079,22.732,13.635,1.024,13.32
E02000058,12.987,21.922,13.348,0.742,13.171
E02000059,12.881,24.427,13.36,0.692,13.187
E02000060,13.141,24.156,13.709,1.057,13.423
E02000061,13.072,19.792,13.418,0.524,13.308
E02000062,13.173,49.249,13.938,1.477,13.498
E02000063,13.253,19.912,13.579,0.709,13.396
E02000064,13.253,19.496,13.574,0.589,13.408
E02006953,13.067,15.998,13.524,0.341,13.504
E02006954,13.014,18.001,13.659,0.478,13.619
E02000065,12.267,14.323,12.405,0.149,12.375
E02000066,12.307,16.64,12.528,0.337,12.45
E02000067,12.274,14.877,12.551,0.243,12.516
E02000068,12.226,16.758,12.627,0.329,12.569
E02000069,12.329,14.459,12.564,0.25,12.524
E02000070,12.341,16.58,12.566,0.33,12.501
E02000071,12.311,14.44,12.479,0.192,12.442
E02000072,11.744,16.589,12.151,0.338,12.079
E02000073,12.449,15.755,12.675,0.322,12.595
E02000074,12.096,17.6,12.433,0.48,12.334
E02000075,12.371,15.249,12.555,0.224,12.517
E02000077,12.519,14.798,12.705,0.188,12.672
E02000078,12.112,14.895,12.329,0.196,12.305
E02000079,12.293,17.23,12.599,0.345,12.52
E02000080,12.475,16.626,12.858,0.311,12.814
E02000081,12.093,17.271,12.374,0.385,12.286
E02000082,12.522,19.687,12.935,0.679,12.766
E02000083,12.045,17.545,12.252,0.44,12.141
E02000084,12.26,16.376,12.696,0.521,12.537
E02000085,12.35,19.784,12.777,0.629,12.603
E02000086,12.3,15.49,12.532,0.199,12.514
E02000087,11.87,16.093,12.293,0.456,12.214
E02000088,12.014,15.346,12.394,0.303,12.35
E02000089,12.378,15.547,12.547,0.251,12.499
E02000090,12.233,16.302,12.538,0.366,12.442
E02000091,12.067,16.552,12.374,0.354,12.303
E02000092,11.76,16.743,12.065,0.344,12.024
E02006785,12.561,15.724,12.785,0.268,12.743
E02000093,12.655,17.537,12.883,0.331,12.805
E02000094,12.746,18.234,13.174,0.442,13.073
