MSOA21CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E02000503,31.733,109.08,36.332,5.997,34.92
E02000504,28.131,151.451,34.028,9.434,31.908
E02000506,25.938,225.881,35.053,15.089,31.975
E02000507,31.751,144.751,37.278,12.845,33.849
E02000508,30.101,165.577,36.44,9.807,33.849
E02000509,28.84,142.966,35.078,9.861,32.413
E02000510,31.731,161.088,37.835,10.635,34.986
E02000511,32.161,106.098,35.359,4.752,34.493
E02000512,32.188,192.688,38.322,9.544,36.309
E02000513,34.094,79.388,37.693,4.997,36.558
E02000514,34.21,179.051,39.01,7.666,37.41
E02000515,29.649,129.571,34.471,6.654,33.304
E02000516,35.812,238.063,40.133,9.688,37.489
E02000517,35.303,152.322,40.026,9.542,37.557
E02000518,33.59,125.108,38.662,7.982,36.578
E02000519,36.1,169.01,43.634,13.165,39.814
E02000520,35.342,229.401,42.383,10.041,40.13
E02000521,36.39,239.233,46.807,17.256,41.87
E02000522,33.493,142.419,41.544,10.564,38.316
E02000523,41.215,200.36,51.753,15.915,46.696
E02000524,33.65,5889.501,58.495,39.004,53.717
E02000525,42.838,185.813,54.947,17.834,49.265
E02006796,31.87,200.378,39.186,13.242,35.604
E02000526,42.92,625.524,63.552,52.31,48.796
E02000529,38.622,168.477,47.933,15.687,42.636
E02000530,38.914,324.552,51.717,21.26,44.761
E02000531,36.589,240.235,48.624,20.524,42.693
E02000532,37.921,262.916,47.001,20.106,41.695
E02000533,38.136,252.296,47.656,19.79,42.313
E02000534,36.373,211.876,44.426,14.632,40.412
E02000535,38.591,255.805,47.799,17.837,42.337
E02000536,37.301,195.402,44.738,13.106,41.176
E02000537,36.434,220.683,42.501,10.698,40.198
E02000538,37.188,204.342,47.621,13.911,45.046
E02000539,38.684,182.074,47.338,9.306,45.966
E02000540,39.69,152.886,46.398,9.191,44.375
E02000541,37.084,223.426,43.454,11.708,40.211
E02000542,37.878,188.357,45.043,11.574,41.498
E02000543,37.006,205.607,44.295,12.144,41.154
E02000544,38.39,73.429,44.056,3.964,43.159
E02000545,38.453,174.502,45.513,6.987,44.504
E02000546,33.476,113.362,37.074,5.286,35.714
E02000547,35.116,151.84,44.214,9.164,41.283
E02000548,31.77,145.619,39.461,9.449,36.862
E02000549,32.826,190.001,38.376,9.156,36.176
E02000550,33.791,107.349,36.439,4.703,35.573
E02000551,32.281,192.879,39.314,13.932,35.488
E02000552,30.448,84.611,33.668,4.269,32.648
E02000553,29.846,133.6,36.977,11.426,33.987
E02006792,40.442,298.729,57.949,31.903,48.144
E02006972,39.571,225.742,52.198,24.057,44.902
E02006973,37.455,261.428,51.718,26.893,45.281
E02000554,42.598,137.622,48.158,8.307,45.92
E02000555,43.212,170.22,50.052,11.11,46.729
E02000556,43.955,161.629,48.532,7.845,46.794
E02000557,44.944,154.675,53.222,13.458,48.712
E02000558,44.754,204.311,53.553,13.632,49.825
E02000559,45.338,168.423,50.071,9.59,47.255
E02000560,46.907,170.457,57.269,14.223,52.698
E02000561,45.332,138.218,48.324,5.657,47.084
E02000562,45.558,108.461,49.439,6.379,47.564
E02000563,46.486,210.071,54.098,13.356,50.539
E02000564,47.095,297.327,56.902,18.84,51.786
E02000565,46.294,115.125,52.207,7.568,50.035
E02000566,46.307,221.576,56.123,16.041,52.402
E02000567,47.196,180.184,54.855,9.138,52.008
E02000568,49.557,153.041,56.646,8.846,54.181
E02000569,49.027,241.773,59.545,16.142,54.949
E02000570,51.792,134.797,56.719,7.097,54.726
E02000571,51.172,151.951,57.567,10.518,54.495
E02000572,53.345,223.517,63.106,14.351,59.203
E02000573,53.14,464.091,63.098,24.427,57.931
E02000574,56.499,336.353,68.195,26.282,61.261
E02000575,58.133,391.794,69.053,25.11,62.349
E02000576,58.667,415.724,68.568,30.672,60.927
E02000577,43.336,227.097,52.329,17.516,48.768
E02000578,44.36,110.193,48.015,4.923,46.765
E02000579,44.923,245.987,62.223,24.321,53.421
E02000580,49.011,206.749,58.471,17.996,53.459
E02000581,47.301,376.166,54.689,18.83,50.604
E02000582,49.475,173.122,56.947,12.499,53.45
E02000583,47.318,386.272,56.63,20.222,51.0
E02000584,47.709,367.247,57.07,23.561,52.28
