LSOA21CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E01000847,8.16,53.422,11.327,7.141,9.211
E01000848,7.706,31.893,9.795,4.185,8.342
E01000849,7.631,29.482,9.194,3.491,8.057
E01000850,13.567,68.24,18.589,7.958,16.481
E01000851,12.206,68.551,17.26,10.647,14.835
E01000853,12.521,21.752,13.683,1.804,13.074
E01000855,12.845,68.553,17.952,8.994,15.049
E01000856,8.684,65.993,13.583,8.673,10.682
E01000857,8.267,13.074,8.645,0.491,8.497
E01000858,8.3,34.003,9.762,3.271,8.843
E01000859,8.292,9.945,8.532,0.222,8.447
E01000860,8.139,35.908,9.681,3.239,8.686
E01000861,10.041,53.069,14.006,6.896,11.559
E01000862,8.494,26.475,9.651,2.371,8.892
E01000863,8.784,42.264,12.115,5.03,10.256
E01000866,8.268,28.242,9.937,3.263,8.938
E01000867,8.942,56.712,13.415,7.68,10.797
E01000868,8.776,34.824,9.937,3.215,9.087
E01000869,8.478,52.244,11.125,6.268,9.366
E01000870,8.193,38.404,9.23,3.142,8.536
E01000871,6.646,43.306,7.366,2.366,6.935
E01000872,6.991,39.417,8.667,4.436,7.437
E01000873,6.797,20.387,7.447,1.378,7.133
E01000874,7.473,62.425,10.385,8.099,7.94
E01000875,7.0,38.214,8.998,4.243,7.598
E01000876,7.21,38.525,8.136,2.969,7.562
E01000877,7.186,67.58,10.564,9.377,7.587
E01000878,6.878,65.236,9.016,6.963,7.444
E01000879,6.932,41.422,8.663,3.914,7.838
E01000880,6.971,67.636,8.846,7.459,7.465
E01000881,7.747,55.518,10.205,6.527,8.277
E01000882,7.813,30.317,9.242,3.267,8.414
E01000883,7.976,64.114,12.841,10.694,8.5
E01000884,6.578,46.367,7.822,3.722,6.989
E01000885,6.58,29.511,7.079,1.309,6.904
E01000886,7.098,24.2,8.388,2.217,7.749
E01000887,7.13,55.067,10.847,6.768,8.774
E01000888,7.128,36.383,9.559,4.376,8.13
E01000889,7.9,15.025,8.548,0.941,8.241
E01000890,8.071,44.458,10.494,5.839,8.792
E01000891,8.007,27.403,8.846,2.102,8.32
E01000892,7.718,40.169,8.815,2.77,8.119
E01000893,6.032,37.797,6.788,1.806,6.467
E01000894,6.363,41.938,8.466,4.601,7.379
E01000895,6.974,27.193,9.127,3.596,8.0
E01000896,7.032,40.751,8.052,2.952,7.407
E01000897,7.366,26.728,8.354,1.854,7.901
E01000898,7.528,33.636,8.939,2.947,8.137
E01000899,6.027,41.195,7.291,2.948,6.484
E01000900,8.094,41.223,10.27,5.038,8.819
E01000901,8.124,20.341,8.685,1.143,8.431
E01000902,7.948,29.193,9.731,4.138,8.364
E01000903,7.801,36.426,9.641,4.23,8.426
E01000904,8.522,32.127,9.766,2.769,9.02
E01000905,8.398,43.699,11.07,5.593,9.164
E01000906,8.2,33.509,9.958,3.282,8.906
E01000907,6.381,23.583,7.187,1.741,6.905
E01000908,6.299,7.563,6.63,0.229,6.583
E01000909,6.318,22.207,7.164,1.705,6.835
E01000910,6.918,34.978,8.291,2.847,7.555
E01000911,7.127,25.257,8.699,2.484,7.936
E01000912,6.037,34.48,6.967,1.982,6.535
E01000913,5.99,41.762,6.626,1.865,6.292
E01000914,13.038,68.526,18.507,12.597,14.338
E01000915,12.995,57.102,14.604,5.683,13.704
E01000916,13.571,63.172,16.783,7.839,14.419
E01000917,13.432,68.227,17.635,11.912,13.708
