MSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E02000074,21.716,50.555,23.389,3.189,22.487
E02000075,22.607,44.877,23.752,1.85,23.36
E02000077,23.121,45.091,24.2,1.498,23.928
E02000078,21.847,45.329,22.969,1.547,22.646
E02000079,22.915,69.779,25.008,3.191,24.153
E02000080,22.978,62.427,25.304,3.029,24.532
E02000081,21.846,71.829,24.708,4.086,23.583
E02000082,23.382,68.493,27.087,5.747,25.329
E02000083,21.171,77.083,23.555,3.854,22.498
E02000084,22.705,70.382,25.939,4.875,24.274
E02000085,22.793,69.569,26.532,5.929,24.616
E02000086,22.506,48.152,23.735,1.371,23.473
E02000087,20.662,86.443,24.13,4.809,22.846
E02000088,21.532,45.395,23.58,2.258,23.107
E02000089,22.779,47.227,23.915,2.123,23.446
E02000090,22.602,65.177,24.761,3.758,23.594
E02000091,21.691,57.715,23.819,3.463,22.932
E02000092,20.344,57.901,22.022,2.368,21.568
E02006785,23.443,48.274,24.969,2.408,24.369
E02000093,24.881,52.069,26.195,2.04,25.689
E02000094,25.3,58.268,27.261,2.665,26.619
E02000095,24.602,60.817,26.94,3.586,25.9
E02000096,24.492,58.974,25.709,2.399,25.117
E02000097,25.231,53.385,26.953,2.007,26.573
E02000098,24.99,48.824,26.248,1.934,25.765
E02000099,24.911,44.307,25.864,1.518,25.513
E02000100,24.439,71.946,26.367,3.816,25.361
E02000101,25.645,76.677,28.688,4.065,27.531
E02000102,26.485,77.878,29.664,6.073,28.284
E02000103,27.046,91.171,29.861,4.985,28.574
E02000104,25.531,50.038,27.106,2.157,26.56
E02000105,25.213,63.055,27.053,3.397,26.072
E02000106,27.224,92.27,33.03,7.958,30.333
E02000107,27.791,69.271,29.614,3.329,28.803
E02000108,25.226,36.934,26.153,1.198,25.858
E02000110,27.898,57.732,29.111,1.932,28.679
E02000111,25.444,58.518,27.428,2.746,26.723
E02000112,26.376,88.628,29.571,4.535,28.241
E02000113,27.096,83.217,32.585,8.086,29.858
E02000114,28.17,66.66,29.77,3.659,28.968
E02000115,28.503,58.647,30.298,2.57,29.51
E02000116,28.016,90.748,29.417,3.58,28.617
E02000117,28.227,62.096,30.482,3.593,29.381
E02000118,26.922,52.37,28.502,1.73,28.152
E02000119,28.248,84.12,30.751,4.568,29.386
E02000120,29.472,53.503,31.167,2.479,30.48
E02000121,26.304,72.35,29.07,3.948,28.096
E02000122,28.378,46.863,29.548,1.729,29.008
E02000123,28.699,87.047,31.637,4.626,30.315
E02000124,28.96,55.827,31.1,2.779,30.294
E02000125,28.566,54.093,30.59,2.677,29.9
E02000126,30.666,55.882,32.318,2.485,31.517
E02006955,26.749,51.689,28.033,2.578,27.259
E02006956,26.726,56.835,28.196,1.739,27.885
E02000127,22.615,49.726,24.374,2.058,23.819
E02000128,21.88,46.906,23.121,1.724,22.741
E02000130,24.232,56.96,26.019,2.485,25.367
E02000131,24.62,51.789,26.132,2.163,25.592
E02000132,24.089,55.149,25.522,2.751,24.696
E02000133,20.797,62.188,22.9,2.454,22.536
E02000134,22.688,55.139,24.968,3.146,24.093
E02000135,24.395,48.502,26.03,2.743,25.353
E02000136,20.749,53.132,22.324,2.58,21.638
E02000137,22.535,50.766,23.979,1.979,23.504
E02000138,23.067,49.684,24.428,2.106,23.9
E02000139,23.747,59.41,25.407,2.909,24.656
E02000140,20.813,53.757,22.789,3.184,21.87
E02000141,23.834,55.978,25.818,3.286,24.943
E02000142,21.835,56.341,24.268,3.039,23.454
E02000144,22.098,73.961,24.356,3.335,23.453
E02000145,18.515,45.211,20.255,2.13,19.819
E02000146,21.222,61.159,23.068,2.671,22.468
E02000147,21.84,43.029,23.164,1.65,22.797
E02000148,20.304,38.142,21.549,1.078,21.315
E02000149,20.416,51.801,21.641,2.011,21.166
E02000150,22.036,43.399,23.454,1.681,23.135
E02000151,20.189,38.987,21.453,1.794,21.027
E02000152,20.236,52.245,21.623,2.035,21.154
E02000153,21.042,40.724,22.357,1.62,22.009
E02000154,20.071,46.688,21.551,2.469,20.857
E02000155,18.917,44.728,20.95,2.137,20.479
E02000156,21.171,50.443,22.639,2.178,22.117
E02000157,19.69,39.206,20.936,1.771,20.55
E02000158,18.768,40.988,19.93,1.339,19.717
E02000159,19.09,68.031,20.951,2.689,20.425
E02000160,19.288,49.914,20.921,1.879,20.663
E02000161,19.041,42.922,20.289,1.495,20.013
E02000162,17.227,57.242,18.834,1.725,18.534
E02000163,17.179,57.77,18.983,1.955,18.628
E02000165,17.105,35.014,18.153,1.099,17.976
E02006782,22.499,43.717,23.625,1.533,23.489
E02006787,23.325,65.007,25.504,3.609,24.515
E02006789,16.76,40.575,18.067,1.202,17.848
E02000166,27.587,54.867,29.077,1.861,28.682
E02000167,27.888,56.772,29.988,2.695,29.444
E02000168,29.569,66.782,32.741,3.574,31.618
E02000169,28.728,95.626,31.013,4.964,30.008
E02000170,28.443,100.573,31.451,5.707,30.202
E02000171,30.186,50.236,32.4,2.686,31.634
E02000172,31.135,58.974,32.921,2.676,32.155
E02000173,30.351,78.845,33.307,4.976,31.874
E02000174,31.194,62.54,34.196,3.368,33.236
E02000175,29.881,96.246,33.048,5.9,31.43
E02000176,30.888,62.707,32.444,3.004,31.642
E02000177,31.0,60.481,33.461,2.717,32.727
E02000178,29.685,54.888,31.856,3.258,30.801
E02000179,30.885,55.109,34.004,3.477,32.837
E02000180,32.992,79.209,36.689,5.555,34.918
E02000181,30.102,53.871,31.492,2.241,30.906
E02000182,30.571,91.955,34.707,7.047,32.605
E02000183,32.026,63.758,34.884,3.846,33.604
E02000184,32.87,77.92,37.619,4.549,36.312
E02000185,30.735,71.157,33.701,3.629,32.42
E02000186,32.986,187.58,38.065,9.256,35.916
E02000187,33.464,140.54,37.913,8.262,36.178
E02000188,34.844,124.679,38.894,7.062,37.196
E02000191,37.015,190.817,43.014,16.305,38.327
E02000192,36.721,85.786,39.03,6.185,37.363
E02000193,36.736,128.527,40.967,9.45,38.161
E02007115,36.279,140.442,39.762,8.686,37.344
E02000001,35.009,155.457,40.994,10.572,37.819
E02000194,24.417,50.465,26.443,2.445,25.791
E02000195,24.927,53.397,26.34,2.183,25.789
E02000196,25.068,64.787,26.114,2.536,25.637
E02000197,24.862,63.366,26.166,3.165,25.496
E02000198,24.976,43.102,26.004,1.615,25.537
E02000199,24.942,46.094,26.101,2.141,25.467
E02000200,24.382,44.909,25.68,1.936,25.2
E02000201,23.65,50.356,25.924,3.123,25.052
E02000202,24.939,50.306,26.099,2.551,25.545
E02000203,24.849,54.809,26.594,2.915,25.742
E02000204,24.567,59.57,26.609,3.686,25.689
E02000206,24.264,53.492,26.043,2.423,25.459
E02000207,22.899,58.345,25.256,3.049,24.584
E02000208,24.858,53.062,26.422,2.795,25.705
E02000209,24.185,72.496,26.734,3.84,25.784
E02000210,24.161,48.292,25.093,1.407,24.743
E02000211,22.421,52.222,23.415,1.34,23.177
E02000212,23.807,58.873,26.95,4.103,25.992
E02000213,25.248,62.83,27.568,3.813,26.414
E02000214,22.926,54.711,24.899,2.802,24.23
E02000215,24.168,68.388,26.45,3.309,25.476
E02000216,22.22,55.21,24.458,2.859,23.831
E02000217,23.782,64.806,27.469,4.921,25.979
E02000218,21.202,46.768,22.461,2.148,21.906
E02000219,21.065,61.429,22.703,2.651,22.087
E02000221,22.271,72.655,24.826,3.551,23.985
E02000222,21.621,62.423,24.178,3.125,23.394
E02000223,20.241,46.207,21.53,1.778,21.094
E02000224,22.065,52.489,24.122,3.061,23.285
E02000225,19.504,30.221,20.457,0.753,20.308
E02000226,20.623,49.565,21.986,1.627,21.675
E02000227,18.758,52.13,21.091,2.496,20.714
E02000228,20.559,48.101,22.082,1.889,21.677
E02000229,18.621,32.526,20.005,1.422,19.78
E02000230,20.955,73.425,23.904,3.869,22.889
E02000231,20.332,56.663,22.208,2.292,21.712
E02000232,19.158,44.719,20.363,1.545,20.079
E02000233,19.681,41.744,21.365,2.227,20.793
E02000234,19.675,55.864,21.339,2.601,20.805
E02000235,18.929,39.557,20.187,1.431,19.917
E02000236,18.945,56.558,20.396,2.364,19.991
E02000237,18.637,34.995,19.441,1.025,19.274
E02006788,23.469,47.6,24.618,2.132,24.113
E02006987,25.381,71.311,29.246,5.877,27.202
E02006988,23.492,70.465,27.208,4.318,26.058
E02000238,24.705,57.291,26.53,2.455,25.981
E02000239,25.174,47.554,26.155,1.834,25.667
E02000240,24.336,75.601,27.339,5.154,25.705
E02000241,25.242,70.71,27.884,4.651,26.557
E02000242,25.739,36.31,27.079,1.064,26.862
E02000243,25.303,74.602,28.344,5.133,26.685
E02000244,25.437,65.426,29.766,6.027,27.7
E02000245,24.612,89.903,27.918,5.983,26.158
E02000246,23.587,87.608,25.93,4.272,25.007
E02000247,25.13,65.613,28.023,4.562,26.711
E02000248,27.109,94.887,33.837,8.728,30.793
E02000249,25.683,59.075,27.809,3.88,26.729
E02000250,26.214,59.74,28.11,2.308,27.569
E02000251,25.673,45.683,26.881,1.428,26.632
E02000252,27.942,89.915,32.215,6.258,30.276
E02000253,25.721,81.795,27.211,2.68,26.579
E02000254,25.363,44.242,26.93,1.924,26.593
E02000255,26.041,46.958,27.441,1.969,26.96
E02000256,26.852,50.774,28.185,2.13,27.622
E02000258,27.894,47.235,29.089,1.803,28.623
E02000259,25.518,46.056,26.639,1.813,26.269
E02000260,25.756,54.45,27.867,2.894,27.003
E02000261,28.503,83.835,31.584,5.859,29.867
E02000262,28.166,89.84,30.755,5.003,29.505
E02000263,25.598,56.158,27.215,2.345,26.62
E02000264,27.783,73.536,29.991,3.867,28.815
E02000265,26.53,60.42,28.264,3.125,27.344
E02000266,25.617,75.744,27.417,2.95,26.576
E02000267,26.099,60.739,28.402,3.691,27.389
E02000268,26.875,46.895,28.272,1.842,27.853
E02000269,26.828,46.599,27.785,1.538,27.41
E02000270,27.651,71.91,29.412,3.417,28.699
E02000271,28.475,86.732,29.519,3.636,28.949
E02000272,26.052,41.392,27.231,1.423,26.853
E02000275,26.101,48.526,27.541,2.294,26.902
E02000276,26.595,49.986,28.39,2.201,27.879
E02006791,27.655,43.674,29.389,1.868,28.895
E02006968,27.101,62.069,28.97,2.762,28.35
E02006969,27.485,66.834,31.018,4.912,29.35
E02006970,26.385,46.086,27.376,1.434,26.989
E02006971,26.537,54.048,28.374,2.227,28.029
E02000277,22.073,65.992,26.08,7.189,23.464
E02000278,22.162,72.439,25.326,5.554,23.378
E02000279,21.592,64.4,24.127,5.085,22.921
E02000280,20.86,72.366,23.154,5.798,21.524
E02000281,21.504,78.729,24.126,4.508,22.988
E02000282,22.537,50.93,24.672,3.258,23.709
E02000283,22.553,56.496,24.277,2.244,23.806
E02000284,22.507,55.37,23.993,2.217,23.39
E02000285,22.816,54.647,24.13,2.194,23.595
E02000286,21.322,51.663,23.464,2.53,23.057
E02000287,21.131,55.557,22.327,1.894,21.847
E02000288,23.288,107.067,25.808,4.512,24.646
E02000289,21.425,44.113,22.964,1.582,22.882
E02000290,22.212,67.409,24.362,3.287,23.563
E02000291,23.89,54.362,25.298,2.724,24.574
E02000292,22.925,79.584,26.124,4.592,24.94
E02000293,23.01,48.944,24.638,2.122,24.101
E02000294,23.682,59.287,25.316,2.523,24.934
E02000295,23.14,41.365,24.631,1.77,24.301
E02000296,22.201,56.587,25.232,3.396,24.379
E02000297,24.123,58.065,26.466,3.711,25.443
E02000298,24.006,48.642,25.324,1.892,24.908
E02000299,24.487,44.721,26.353,1.851,26.045
E02000300,25.108,77.317,27.433,4.579,26.18
E02000301,23.652,61.806,27.124,3.288,26.442
E02000302,24.99,64.423,26.873,3.121,26.116
E02000303,25.487,74.863,28.082,4.81,26.635
E02000304,24.548,61.08,26.519,2.731,25.727
E02000305,24.953,85.017,27.085,3.924,26.225
E02000306,25.487,82.116,29.081,5.241,27.563
E02000307,25.945,69.317,29.91,6.267,27.753
E02000308,25.231,82.525,29.055,5.508,27.58
E02000309,25.543,80.676,30.072,7.203,27.822
E02000311,26.063,91.873,29.547,5.915,27.645
E02000312,25.386,80.961,28.83,5.328,27.383
E02006793,26.268,69.817,29.533,5.531,27.881
E02000313,23.823,40.976,25.602,2.523,24.69
E02000314,23.57,70.558,25.796,3.55,24.852
E02000315,23.78,67.706,24.583,1.523,24.297
E02000317,26.28,56.486,27.579,2.745,26.873
E02000318,23.919,51.898,25.612,2.571,25.012
E02000319,24.886,66.155,27.178,4.182,25.961
E02000320,23.302,51.443,24.856,2.431,24.188
E02000321,25.184,61.008,27.32,4.16,26.089
E02000323,24.83,58.926,27.528,3.578,26.469
E02000324,25.718,53.343,27.467,2.408,27.035
E02000326,27.002,74.046,30.144,5.692,28.467
E02000327,25.356,70.237,27.505,3.548,26.414
E02000328,27.02,65.347,28.925,3.642,27.891
E02000329,23.784,42.304,24.745,1.557,24.395
E02000331,25.56,67.07,28.117,4.254,26.748
E02000332,24.119,55.575,25.653,2.399,25.194
E02000333,25.723,65.965,28.634,4.286,27.485
E02000334,25.231,54.736,27.08,3.386,26.1
E02000335,24.548,65.158,26.885,3.992,25.914
E02000337,25.535,75.538,29.367,5.719,27.381
E02000339,24.526,81.401,28.196,5.424,26.539
E02000340,23.4,69.257,25.373,3.761,24.403
E02000341,24.038,75.018,26.394,3.742,25.272
E02000342,23.243,40.017,24.14,1.476,23.744
E02000343,23.072,68.213,25.857,4.374,24.631
E02000344,22.683,76.405,25.28,3.983,24.13
E02006786,23.374,53.525,25.117,2.318,24.558
E02006927,25.245,71.122,27.472,3.922,26.254
E02006928,28.173,66.493,30.797,4.653,29.327
E02006930,27.697,77.252,32.343,7.009,30.063
E02006931,26.781,69.654,29.296,4.2,28.302
E02006991,25.799,66.943,29.139,5.458,27.427
E02006992,27.77,95.04,32.344,7.063,30.25
E02006993,27.773,69.283,29.751,3.38,28.907
E02006994,26.531,68.501,29.3,4.402,27.912
E02000345,27.273,89.528,30.078,5.002,28.772
E02000346,28.549,69.554,32.046,5.349,30.233
E02000347,28.23,40.764,29.116,1.42,28.768
E02000348,27.349,56.816,29.867,3.529,29.029
E02000350,28.414,62.503,30.63,3.575,29.652
E02000351,29.395,65.022,31.382,3.539,30.343
E02000352,28.722,51.48,30.212,2.327,29.607
E02000353,28.826,58.372,31.241,3.352,30.239
E02000354,29.115,68.074,30.903,3.145,30.07
E02000355,28.466,69.422,31.045,4.189,29.873
E02000356,29.582,49.245,31.152,2.335,30.516
E02000357,27.265,53.33,28.373,1.898,27.897
E02000358,29.487,51.906,31.432,2.829,30.622
E02000359,28.341,50.986,29.7,2.042,29.257
E02000360,29.792,56.345,32.0,2.897,31.167
E02000361,29.352,80.793,33.562,4.663,31.944
E02000362,28.521,79.455,33.47,6.694,31.005
E02000363,29.311,56.35,32.102,3.367,31.131
E02000364,30.497,79.693,32.486,3.17,31.61
E02000366,29.954,54.653,32.327,3.251,31.278
E02000367,30.422,64.866,32.848,3.664,31.845
E02000368,30.593,55.385,32.967,2.535,32.336
E02000369,31.914,56.136,33.726,2.249,33.2
E02000370,33.078,80.862,35.449,3.989,34.634
E02006918,27.57,55.715,29.381,2.979,28.622
E02006921,27.348,56.558,29.551,2.748,29.02
E02007108,30.766,57.382,34.177,4.271,32.736
E02007109,30.993,58.102,33.378,3.111,32.418
E02007110,33.463,111.058,37.892,7.255,35.892
E02007111,33.256,102.721,38.177,7.264,36.399
E02000372,28.532,98.536,31.381,5.23,29.754
E02000373,29.271,86.551,32.044,6.016,30.441
E02000374,29.124,80.01,31.942,5.936,30.194
E02000375,29.512,100.696,32.96,5.63,31.328
E02000376,29.646,60.18,31.594,3.708,30.478
E02000377,29.034,66.044,31.39,4.137,30.152
E02000378,30.044,106.44,33.73,7.378,31.863
E02000379,28.619,63.207,30.141,3.099,29.338
E02000380,29.564,53.23,31.032,2.608,30.351
E02000381,29.744,81.606,31.56,3.927,30.903
E02000382,29.078,82.489,33.782,7.656,31.224
E02000383,30.248,96.039,34.988,7.089,32.72
E02000384,29.158,161.666,36.359,11.413,32.077
E02000385,29.679,97.359,34.255,9.71,31.056
E02000386,29.973,81.675,32.352,3.938,31.486
E02000387,29.333,97.441,31.202,4.565,30.211
E02000388,29.797,82.728,31.688,3.246,30.917
E02000389,27.366,79.641,29.643,4.806,28.885
E02000390,29.07,45.542,30.502,1.743,30.052
E02000391,29.119,69.982,32.195,4.637,31.033
E02000392,29.022,68.446,30.849,3.194,29.987
E02000393,28.879,63.828,30.309,2.939,29.503
E02000394,29.329,47.424,30.482,1.438,30.137
E02000395,27.327,76.677,29.376,3.569,28.423
E02000396,28.335,72.023,30.81,3.61,29.708
E02000397,26.398,53.507,27.612,1.718,27.277
E02000398,25.641,59.611,27.465,2.51,26.952
E02000400,25.724,74.939,28.437,3.897,27.373
E02000401,26.203,84.697,29.056,4.981,27.713
E02000402,26.276,52.871,28.076,2.572,27.419
E02000403,26.23,67.985,28.647,3.542,27.761
E02000404,26.591,50.579,28.089,2.393,27.447
E02000405,25.722,50.849,27.19,1.654,26.804
E02000406,27.099,46.621,28.197,1.832,27.697
E02000407,27.23,79.98,29.067,4.631,27.977
E02000408,27.088,70.708,29.482,4.787,28.24
E02000409,26.915,56.539,28.318,2.428,27.654
E02000410,26.168,59.912,28.174,3.428,27.263
E02000411,26.296,81.549,28.867,4.161,27.663
E02000412,27.379,101.252,30.152,6.187,28.475
E02000413,25.964,40.121,26.998,1.201,26.832
E02000414,27.098,40.994,28.22,1.486,27.854
E02000415,27.119,60.048,28.939,2.777,28.247
E02000416,26.735,71.491,29.028,3.365,28.097
E02000417,26.681,64.344,28.302,3.052,27.422
E02000418,26.8,53.175,28.68,2.622,28.01
E02000419,28.021,77.834,30.552,4.886,28.924
E02000420,27.657,91.747,29.977,5.212,28.452
E02000421,27.277,82.707,31.359,5.984,29.537
E02000422,27.894,60.649,29.721,3.285,28.831
E02000423,27.979,54.213,29.685,2.979,28.833
E02000424,27.694,46.108,28.673,1.594,28.273
E02000425,26.97,65.323,29.029,3.385,28.28
E02000426,26.886,62.462,28.886,3.361,27.834
E02000427,28.102,73.644,30.612,3.571,29.472
E02000428,28.083,59.249,29.909,3.358,28.987
E02000429,27.138,56.091,28.827,2.133,28.309
E02000430,28.156,61.484,29.821,3.203,28.875
E02000431,28.27,64.288,30.686,3.916,29.475
E02000432,28.184,52.115,30.102,2.258,29.584
E02006794,26.488,54.115,28.203,3.037,27.393
E02000433,21.425,59.446,23.186,3.329,22.283
E02000434,23.014,45.558,24.226,1.705,23.824
E02000435,21.935,48.832,23.495,1.875,23.097
E02000436,20.777,53.193,22.097,1.941,21.615
E02000437,22.323,51.27,24.371,3.05,23.563
E02000438,21.567,53.324,24.129,3.351,23.167
E02000439,23.8,54.342,25.473,2.524,24.813
E02000440,23.026,48.793,24.674,2.282,24.063
E02000441,20.623,50.049,22.111,2.359,21.579
E02000442,23.746,41.017,25.524,2.034,25.067
E02000443,23.055,43.753,24.48,2.007,23.925
E02000444,23.792,64.554,25.461,2.993,24.514
E02000445,23.384,53.445,25.55,3.207,24.458
E02000447,21.811,43.898,23.495,1.844,23.122
E02000448,21.912,43.511,23.077,1.884,22.607
E02000449,24.38,59.783,26.2,3.207,25.361
E02000451,21.973,49.471,23.768,2.354,23.301
E02000452,23.491,61.719,25.695,3.217,24.788
E02000453,23.309,52.87,24.806,2.593,24.129
E02000454,22.089,38.817,23.37,1.615,23.02
E02000455,24.226,59.979,26.582,3.288,25.574
E02000456,23.463,51.486,24.683,2.173,24.167
E02000457,22.846,44.779,24.297,1.93,23.827
E02000459,23.731,51.731,25.329,2.172,24.75
E02000460,23.563,44.886,24.809,1.995,24.326
E02000461,24.07,65.832,25.61,2.939,24.835
E02000462,24.363,49.441,25.847,2.577,25.127
E02000463,23.917,38.655,25.192,1.322,24.897
E02006795,22.953,46.311,24.168,1.255,23.997
E02006882,23.802,50.673,25.404,2.407,24.801
E02000464,18.447,61.521,20.233,5.089,18.977
E02000465,18.73,64.202,21.299,5.306,19.818
E02000466,18.462,38.429,19.58,1.137,19.237
E02000467,19.441,36.395,20.601,1.368,20.287
E02000468,18.92,53.817,20.177,1.642,19.692
E02000469,19.673,55.94,21.715,3.597,20.757
E02000470,18.675,65.816,20.764,4.211,19.525
E02000471,19.99,63.124,22.329,3.558,21.614
E02000472,20.858,78.66,23.026,3.66,22.069
E02000473,18.963,52.961,21.745,3.192,20.995
E02000474,21.019,64.796,23.075,3.835,22.142
E02000475,20.604,53.695,22.384,2.892,21.652
E02000476,21.327,80.495,25.517,5.684,23.838
E02000477,20.578,42.462,22.127,1.878,21.694
E02000478,18.963,43.543,20.483,1.51,20.255
E02000479,21.253,75.065,24.548,4.888,23.007
E02000480,21.903,77.91,23.455,3.347,22.547
E02000481,16.344,60.657,19.951,5.342,18.809
E02000482,18.79,34.688,19.657,1.401,19.287
E02000483,20.034,50.594,22.026,2.868,21.173
E02000484,20.555,46.251,22.243,2.614,21.686
E02000485,19.041,47.007,20.621,2.249,20.14
E02000486,20.291,40.005,21.687,2.075,21.15
E02000487,18.461,61.704,19.624,2.896,19.13
E02000488,19.678,34.095,20.714,1.047,20.561
E02000489,19.913,46.625,21.872,2.264,21.539
E02000490,20.254,46.98,22.059,2.284,21.598
E02000491,20.945,53.563,23.882,3.102,23.106
E02000492,19.261,58.056,21.424,2.941,20.835
E02000493,20.574,45.397,22.235,1.646,22.0
E02000494,19.354,48.582,20.647,1.629,20.422
E02000495,20.362,51.325,21.958,2.334,21.436
E02000496,18.294,37.752,19.58,1.078,19.399
E02000497,20.791,57.891,22.599,2.175,22.181
E02000498,19.931,38.57,21.485,1.46,21.389
E02000499,22.158,39.328,23.633,1.746,23.277
E02000500,20.809,52.926,23.094,2.595,22.688
E02000501,22.659,42.143,23.793,1.257,23.565
E02000502,21.661,54.504,23.875,2.83,23.115
E02000503,22.859,47.522,24.639,1.958,24.155
E02000504,21.042,57.085,23.452,3.062,22.884
E02000506,19.858,74.763,23.651,4.637,22.932
E02000507,23.179,55.381,24.94,3.918,23.82
E02000508,22.009,60.18,24.436,3.051,23.617
E02000509,21.552,55.482,23.778,3.13,22.928
E02000510,22.995,58.895,25.125,3.268,24.236
E02000511,23.412,45.193,24.64,1.526,24.375
E02000512,23.369,62.994,25.488,2.932,24.853
E02000513,24.352,39.793,25.71,1.752,25.303
E02000514,24.442,62.83,26.123,2.351,25.608
E02000515,21.977,52.668,24.01,2.224,23.636
E02000516,25.254,73.577,26.729,2.945,25.834
E02000517,24.9,57.593,26.414,2.965,25.6
E02000518,23.86,51.239,25.842,2.565,25.194
E02000519,25.292,60.035,27.942,4.043,26.745
E02000520,24.978,75.615,27.779,3.253,27.055
E02000521,25.31,74.82,29.314,5.149,27.857
E02000522,23.873,57.524,27.02,3.438,25.937
E02000523,27.658,72.498,31.263,4.866,29.685
E02000524,24.033,2320.027,33.89,13.794,33.015
E02000525,28.39,70.052,33.13,5.344,31.505
E02006796,23.244,69.768,25.81,4.033,24.694
E02000526,28.608,135.563,34.012,11.61,30.341
E02000529,26.461,64.807,29.608,5.01,27.882
E02000530,26.748,86.818,31.132,6.315,29.018
E02000531,25.74,79.543,29.77,6.097,27.982
E02000532,26.357,84.404,29.355,5.691,27.739
E02000533,26.409,81.266,29.499,5.614,27.901
E02000534,25.652,73.519,28.401,4.551,27.157
E02000535,26.489,76.207,29.592,5.231,27.9
E02000536,25.94,68.673,28.434,4.013,27.303
E02000537,25.681,74.883,27.748,3.305,27.041
E02000538,25.875,72.261,29.919,4.343,29.422
E02000539,26.618,67.247,30.074,3.117,29.503
E02000540,26.877,57.065,29.551,2.84,28.983
E02000541,25.834,72.923,28.036,3.598,26.989
E02000542,25.957,67.954,28.33,3.481,27.249
E02000543,25.473,66.591,28.107,3.452,27.211
E02000544,26.425,40.163,29.024,1.768,28.69
E02000545,26.576,64.845,29.398,2.359,28.988
E02000546,24.087,48.308,25.556,1.776,25.114
E02000547,24.777,58.955,28.659,3.215,27.647
E02000548,22.992,57.324,26.363,3.287,25.461
