MSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E02000002,21.044,72.143,22.706,2.664,22.073
E02000003,21.319,110.132,24.37,3.782,23.475
E02000004,21.232,42.296,22.114,1.418,21.813
E02000005,22.155,67.759,24.089,2.885,23.417
E02000007,21.708,47.583,23.479,2.477,22.957
E02000008,22.867,58.642,24.599,2.494,23.933
E02000009,23.587,51.646,25.324,2.709,24.516
E02000010,22.49,38.934,23.589,1.37,23.294
E02000011,21.348,44.794,22.818,1.967,22.516
E02000012,24.247,47.518,25.97,2.186,25.496
E02000013,23.301,55.93,24.809,1.987,24.361
E02000014,23.007,54.124,24.325,2.339,23.77
E02000015,22.125,52.437,23.672,2.369,23.048
E02000016,26.29,83.009,29.608,4.399,28.192
E02000017,25.313,48.96,27.102,2.172,26.543
E02000018,24.111,65.862,26.676,4.663,25.319
E02000019,23.394,53.144,25.545,3.923,24.343
E02000020,23.382,67.702,26.079,4.511,24.505
E02000021,22.815,68.277,25.41,3.706,24.349
E02000022,26.645,67.207,30.034,5.139,28.289
E02000023,23.579,56.104,26.54,4.405,25.374
E02006799,22.762,41.042,24.615,1.993,24.122
E02000024,21.146,73.592,22.856,2.508,22.27
E02000025,21.705,59.044,23.001,1.849,22.61
E02000026,21.92,44.834,23.417,1.458,23.29
E02000027,22.167,56.456,23.303,2.016,22.886
E02000028,23.162,63.174,25.395,3.629,24.293
E02000029,22.717,47.804,24.759,2.227,24.244
E02000030,21.465,55.568,23.742,2.859,23.112
E02000031,23.27,90.487,25.84,4.196,24.717
E02000032,23.68,46.332,25.143,1.642,24.816
E02000033,24.133,59.747,26.042,2.385,25.369
E02000034,24.44,61.522,25.773,2.335,25.271
E02000035,23.511,98.397,25.249,4.823,24.585
E02000036,23.111,82.468,27.929,5.959,25.767
E02000037,22.562,58.621,25.246,4.529,23.861
E02000038,24.96,64.297,26.961,3.409,26.11
E02000039,24.393,74.953,29.217,6.559,26.935
E02000040,23.18,43.077,24.679,1.341,24.517
E02000041,23.841,68.696,26.078,3.312,25.121
E02000042,24.919,94.218,27.284,4.284,26.325
E02000043,23.231,40.803,25.382,1.723,25.207
E02000044,24.902,56.206,27.448,3.57,26.172
E02000045,25.735,68.108,28.558,5.023,26.955
E02000046,25.631,85.225,27.954,4.049,26.974
E02000047,24.98,50.624,26.479,2.625,25.742
E02000048,24.793,72.202,28.226,5.115,26.557
E02000049,25.433,46.849,27.048,2.423,26.391
E02000050,26.007,84.436,29.004,5.419,27.332
E02000051,26.463,99.381,30.179,6.192,28.383
E02000052,26.857,59.676,28.374,2.755,27.619
E02000054,26.581,83.41,32.085,6.56,29.742
E02000055,26.84,86.118,30.31,5.044,28.898
E02000056,26.898,69.819,28.493,3.394,27.622
E02000057,28.045,104.617,32.407,7.868,29.752
E02000058,27.191,84.017,29.644,4.889,28.309
E02000059,26.11,84.33,29.589,5.258,27.58
E02000060,28.053,101.26,32.112,7.535,29.681
E02000061,27.672,72.413,29.647,3.432,28.771
E02000062,28.324,90.557,33.672,8.052,30.623
E02000063,27.891,74.024,30.387,5.023,28.987
E02000064,28.362,87.304,30.993,4.877,29.549
E02006953,25.78,46.528,27.88,2.668,27.096
E02006954,25.366,59.991,28.385,3.674,27.308
E02000065,22.913,44.044,23.994,1.812,23.646
E02000066,22.712,67.043,24.379,2.683,23.714
E02000067,22.63,54.453,23.893,2.057,23.362
E02000068,21.756,56.587,24.163,3.119,23.23
E02000069,22.106,40.814,23.423,1.744,22.968
E02000070,22.598,42.23,23.946,2.006,23.43
E02000071,22.317,37.98,23.28,1.221,22.959
E02000072,20.388,49.628,21.654,1.918,21.255
E02000073,22.888,66.294,24.268,1.987,23.742
