LAD22CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median
E09000002,14.755,29.406,15.469,0.535,15.371
E09000003,14.641,31.578,15.465,0.712,15.332
E09000004,14.671,20.886,15.216,0.392,15.176
E09000005,15.162,28.073,15.855,0.691,15.751
E09000006,14.227,20.698,14.942,0.477,14.879
E09000007,15.668,30.211,16.818,1.061,16.48
E09000001,17.428,30.743,18.486,1.221,18.062
E09000008,14.432,22.987,15.234,0.537,15.108
E09000009,14.906,31.257,15.842,0.831,15.641
E09000010,14.55,33.792,15.155,0.638,15.039
E09000011,15.209,28.654,15.803,0.647,15.663
E09000012,15.658,25.26,16.515,0.684,16.399
E09000013,15.867,32.548,16.636,0.911,16.451
E09000014,15.323,24.024,15.905,0.52,15.785
E09000015,14.637,20.943,15.185,0.369,15.149
E09000016,14.035,21.946,14.74,0.446,14.685
E09000017,14.251,110.827,15.116,0.672,15.062
E09000018,14.834,28.424,15.608,0.698,15.455
E09000019,15.856,23.879,16.961,0.759,16.749
E09000020,16.002,26.781,17.129,0.978,16.909
E09000021,14.568,25.598,15.339,0.558,15.313
E09000022,15.662,25.649,16.497,0.728,16.347
E09000023,15.298,23.515,15.985,0.528,15.901
E09000024,15.2,22.826,15.71,0.405,15.648
E09000025,15.306,27.344,16.06,0.642,15.934
E09000026,14.465,29.923,15.4,0.689,15.337
E09000027,14.872,22.587,15.471,0.464,15.368
E09000028,15.647,24.36,16.553,0.726,16.397
E09000029,14.763,21.367,15.323,0.384,15.313
E09000030,15.946,31.037,16.855,0.924,16.62
E09000031,14.697,28.755,15.678,0.686,15.619
E09000032,15.357,23.248,16.246,0.6,16.103
E09000033,16.173,30.14,17.703,1.271,17.385
