LAD22CD,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median
E09000002,24.651,165.587,31.317,6.216,29.98
E09000003,24.595,187.464,32.463,7.951,30.852
E09000004,24.897,94.421,29.672,4.776,28.802
E09000005,28.911,150.542,35.993,8.011,34.267
E09000006,20.705,91.03,26.783,4.496,26.248
E09000007,32.571,188.02,43.016,11.166,39.712
E09000001,42.382,234.123,58.809,18.464,51.901
E09000008,22.797,122.431,29.645,5.438,28.515
E09000009,27.345,169.645,35.841,8.158,33.852
E09000010,24.068,245.154,30.152,7.437,28.592
E09000011,28.293,168.429,34.742,7.433,33.062
E09000012,32.257,144.631,40.504,8.866,38.207
E09000013,34.321,227.323,42.105,10.526,39.147
E09000014,30.053,137.256,36.56,7.143,34.745
E09000015,24.458,100.933,29.711,4.342,29.048
E09000016,19.153,109.891,25.727,5.637,24.716
E09000017,21.943,643.046,30.787,8.107,29.044
E09000018,27.122,164.561,34.795,7.577,33.166
E09000019,34.313,140.596,43.373,9.238,40.65
E09000020,35.519,168.07,46.594,12.127,42.812
E09000021,24.162,146.206,31.576,6.325,30.728
E09000022,31.914,172.275,40.703,9.015,38.395
E09000023,28.52,140.437,36.099,6.809,34.575
E09000024,28.748,137.265,33.836,5.018,32.784
E09000025,29.429,190.792,36.791,7.864,34.883
E09000026,22.727,179.176,31.262,7.684,30.113
E09000027,26.788,113.931,32.289,5.119,31.103
E09000028,31.907,152.09,40.789,8.75,38.636
E09000029,25.302,92.602,30.28,4.205,29.746
E09000030,34.025,188.12,42.75,10.913,39.578
E09000031,24.906,183.02,33.961,7.923,32.496
E09000032,30.331,131.237,38.284,7.024,36.436
E09000033,37.041,253.889,50.559,16.042,46.279
