LSOA11CD,PM10d-2019-min,PM10d-2019-max,PM10d-2019-mean,PM10d-2019-std,PM10d-2019-median
E01000001,10.563,92.006,16.855,14.727,12.095
E01000002,10.806,85.476,13.423,8.023,11.873
E01000003,9.858,117.604,12.082,10.098,10.643
E01000005,9.311,160.453,17.269,17.016,12.244
E01000006,3.908,6.812,4.285,0.25,4.247
E01000007,4.253,26.412,5.64,2.361,4.955
E01000008,4.42,139.345,8.049,9.333,5.783
E01000009,4.431,19.635,5.535,2.166,4.851
E01000010,4.501,32.507,5.865,2.463,5.139
E01000011,4.096,10.216,4.636,0.662,4.497
E01000012,4.075,9.657,4.473,0.38,4.418
E01000013,3.195,19.44,3.868,1.756,3.46
E01000014,3.114,11.152,3.334,0.736,3.199
E01000015,3.293,6.843,3.685,0.382,3.588
E01000016,3.311,11.164,3.643,0.79,3.461
E01000017,3.236,12.108,3.623,0.863,3.428
E01000018,3.295,4.419,3.46,0.152,3.426
E01000019,3.109,4.199,3.284,0.151,3.246
E01000020,3.216,9.187,3.626,0.713,3.434
E01000021,3.189,18.131,3.878,1.468,3.474
E01000022,3.293,3.865,3.485,0.095,3.473
E01000023,3.336,29.451,4.278,1.898,3.72
E01000024,3.473,17.817,4.355,2.046,3.753
E01000025,3.462,14.689,3.727,0.734,3.593
E01000027,2.326,8.999,2.631,0.516,2.486
E01000028,2.694,4.795,2.868,0.195,2.82
E01000029,2.812,15.55,3.549,1.806,3.04
E01000030,2.579,83.358,3.894,4.112,2.968
E01000031,2.394,166.777,3.599,4.545,2.926
E01000032,2.775,27.525,3.28,1.547,2.969
E01000033,3.46,10.722,4.171,0.743,4.02
E01000034,3.016,9.559,3.699,0.87,3.318
E01000035,3.738,21.12,5.628,1.698,5.325
E01000036,3.861,17.568,5.262,1.019,5.142
E01000037,3.08,7.961,3.366,0.515,3.271
E01000038,3.017,9.199,3.355,0.667,3.22
E01000039,2.886,15.203,3.94,1.198,3.412
E01000040,3.756,10.045,4.253,0.884,4.015
E01000041,3.356,31.274,4.131,2.196,3.692
E01000042,3.497,16.54,4.074,1.101,3.841
E01000043,4.019,46.78,5.452,4.119,4.466
E01000044,3.902,18.2,4.769,1.339,4.465
E01000045,3.68,69.782,7.461,8.224,4.681
E01000046,3.345,5.19,3.652,0.267,3.613
E01000048,4.755,7.295,5.04,0.308,4.987
