LSOA11CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E01001371,47.635,143.844,57.537,17.058,51.419
E01001372,47.959,78.027,51.272,3.055,50.707
E01001373,51.269,259.942,65.36,32.551,56.407
E01001374,57.941,85.3,61.825,3.363,61.135
E01001375,55.973,86.77,60.962,4.839,60.129
E01001376,57.268,111.886,63.774,8.309,61.653
E01001377,56.202,87.75,60.757,4.655,59.811
E01001379,57.842,79.564,61.145,2.456,60.762
E01001380,54.858,104.468,62.294,7.188,60.709
E01001381,55.921,210.533,67.2,19.218,61.136
E01001382,50.153,62.729,52.763,2.016,52.628
E01001383,49.574,77.269,52.02,3.672,51.237
E01001384,51.023,113.622,56.861,8.662,53.918
E01001385,50.314,94.927,54.996,6.846,52.756
E01001386,49.831,156.906,56.167,10.12,53.802
E01001387,50.457,230.433,59.688,18.364,55.557
E01001388,51.952,224.555,69.51,28.007,60.651
E01001389,50.29,185.87,62.718,22.596,55.232
E01001390,51.771,294.597,65.147,27.747,56.896
E01001391,51.25,292.314,69.82,38.723,58.765
E01001392,51.965,299.036,60.994,20.237,56.207
E01001393,51.059,382.148,65.793,31.969,57.263
E01001394,49.678,259.121,73.212,41.439,57.527
E01001395,45.336,56.589,48.723,2.67,48.237
E01001396,48.397,239.533,61.609,22.087,55.255
E01001397,50.202,273.217,69.655,37.474,56.65
E01001398,43.593,51.11,46.712,1.522,46.581
E01001399,45.932,215.148,58.337,22.717,51.21
E01001400,45.589,259.784,56.278,21.232,49.258
E01001401,44.471,168.165,55.659,21.135,48.791
E01001402,43.413,155.36,52.006,13.958,48.198
E01001403,43.687,239.179,56.884,21.328,50.907
E01001404,42.176,253.634,50.015,17.405,45.843
E01001405,41.901,149.113,44.682,4.474,44.228
E01001406,42.165,60.686,45.208,2.094,45.046
E01001407,33.34,164.686,38.978,10.993,36.53
E01001408,38.147,72.423,42.788,4.916,41.541
E01001409,38.976,302.577,57.501,33.27,46.935
E01001410,37.911,45.141,41.106,1.484,41.014
E01001411,37.613,98.142,44.276,7.956,42.098
E01001412,31.703,345.076,41.974,27.898,33.756
E01001413,33.795,70.765,37.673,4.262,37.168
E01001414,33.43,85.0,36.81,5.469,34.799
E01001415,33.55,148.33,42.282,13.206,38.21
E01001416,38.689,57.65,41.881,2.748,41.069
E01001417,32.506,113.384,35.385,5.941,34.118
E01001418,34.993,111.665,41.049,8.626,39.205
E01001419,34.962,133.001,42.548,10.618,40.949
E01001420,40.427,98.32,44.209,7.034,42.535
E01001421,41.863,105.601,47.177,8.96,44.304
E01001422,33.201,67.636,36.18,3.695,35.455
E01001423,46.391,109.901,52.096,8.16,49.48
E01001424,49.685,70.959,52.596,2.692,51.935
E01001425,45.249,306.653,63.779,39.324,51.915
E01001426,45.465,63.146,48.888,2.431,48.388
E01001427,43.079,515.382,59.75,35.112,49.859
E01001428,46.438,67.427,49.732,3.15,49.029
E01001429,46.752,247.695,65.247,29.878,55.454
E01001430,47.85,225.057,62.209,27.421,53.35
E01001431,45.464,65.242,49.603,2.907,49.034
E01001432,49.901,386.189,76.771,47.911,61.223
E01001433,36.313,154.494,42.808,10.367,40.199
E01001434,38.028,47.309,41.016,1.41,40.898
E01001435,38.595,57.2,43.257,2.781,42.671
E01001436,39.244,64.524,43.194,3.278,42.759
E01001437,33.868,168.215,39.288,9.714,37.139
E01001438,38.152,173.45,43.246,11.015,40.836
E01001439,42.623,270.598,63.395,33.432,50.969
E01001440,38.892,219.328,52.441,25.305,45.8
E01001441,36.13,212.911,42.799,16.027,39.168
E01001442,38.066,219.579,51.343,25.194,43.427
E01001444,36.466,239.827,63.767,37.867,49.422
E01001445,33.247,234.559,48.556,28.84,39.112
E01001446,38.725,187.523,49.078,23.32,42.029
E01001447,36.386,68.431,40.909,4.388,39.709
E01001448,37.635,67.311,41.699,4.955,40.327
E01001449,36.712,106.454,43.682,10.464,40.822
E01001450,42.941,248.572,55.7,22.467,47.999
E01001451,38.613,138.048,45.353,11.53,42.869
E01001452,38.669,118.255,43.244,7.671,41.343
E01001453,37.627,87.591,43.699,6.857,42.161
E01001454,39.03,108.34,45.847,6.604,44.222
