LAD22CD,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median
E09000002,40.973,574.546,54.002,15.029,50.646
E09000003,40.907,1106.824,58.259,20.385,53.914
E09000004,39.245,302.072,49.844,11.592,47.792
E09000005,49.959,2985.736,66.691,24.755,63.034
E09000006,30.627,247.37,42.882,10.084,41.559
E09000007,59.63,808.635,82.849,34.707,75.178
E09000001,83.985,1917.997,128.137,115.793,97.728
E09000008,35.15,645.085,49.125,13.173,46.388
E09000009,46.764,1855.444,65.606,22.369,60.959
E09000010,39.498,868.68,52.906,18.743,49.237
E09000011,46.454,599.625,61.337,18.932,57.275
E09000012,58.783,528.596,77.695,23.906,72.084
E09000013,60.713,781.885,78.002,29.462,71.018
E09000014,53.861,645.964,67.39,19.638,63.113
E09000015,40.919,468.57,50.642,10.16,49.165
E09000016,28.227,476.708,41.948,12.935,39.558
E09000017,34.133,6171.476,54.502,24.293,49.948
E09000018,44.666,629.323,61.885,19.366,57.767
E09000019,63.028,552.778,83.366,26.49,77.133
E09000020,66.0,2099.858,88.792,47.411,78.213
E09000021,38.024,671.082,54.081,15.924,51.994
E09000022,53.736,885.483,74.61,24.96,69.089
E09000023,46.741,815.682,63.824,18.479,60.142
E09000024,47.828,489.129,58.266,12.75,55.681
E09000025,50.243,784.793,68.023,21.568,63.599
E09000026,36.669,563.862,55.701,19.586,52.677
E09000027,43.462,821.981,55.643,13.232,52.952
E09000028,55.455,1760.51,76.408,25.2,71.691
E09000029,39.918,338.765,50.204,10.31,49.129
E09000030,62.865,987.793,84.156,33.971,76.443
E09000031,41.373,642.022,61.438,20.06,58.219
E09000032,51.651,454.353,68.529,17.429,64.082
E09000033,69.713,2877.56,101.541,61.374,89.056
