LAD22CD,PM10d-2013-min,PM10d-2013-max,PM10d-2013-mean,PM10d-2013-std,PM10d-2013-median
E09000002,7.704,171.931,10.559,4.415,9.76
E09000003,7.517,185.421,10.857,5.362,9.835
E09000004,7.389,106.366,9.521,2.617,9.078
E09000005,9.037,186.207,12.446,6.74,11.395
E09000006,6.133,62.193,8.423,2.084,8.096
E09000007,10.817,168.592,16.101,7.221,13.923
E09000001,17.001,173.695,25.647,13.977,20.701
E09000008,6.736,100.853,9.587,2.874,8.947
E09000009,8.312,154.656,12.324,6.318,11.034
E09000010,7.386,191.395,9.988,5.801,8.939
E09000011,9.079,159.487,11.981,5.153,10.914
E09000012,10.724,118.175,14.808,5.545,13.536
E09000013,11.591,190.895,15.692,8.532,13.828
E09000014,9.724,104.445,12.361,3.972,11.459
E09000015,7.264,62.865,9.295,2.099,8.966
E09000016,5.491,93.81,8.066,3.232,7.526
E09000017,6.265,201.408,9.386,4.323,8.852
E09000018,7.969,152.238,11.414,5.3,10.281
E09000019,11.494,103.508,16.428,5.565,14.89
E09000020,11.988,131.101,17.82,8.245,15.616
E09000021,7.196,135.996,10.18,3.705,9.64
E09000022,10.63,127.05,14.807,5.536,13.46
E09000023,9.265,98.927,12.468,4.05,11.666
E09000024,9.112,143.728,11.35,3.23,10.775
E09000025,9.452,170.916,13.101,6.356,11.889
E09000026,6.853,182.563,10.618,5.417,9.812
E09000027,8.112,89.935,10.475,2.969,9.837
E09000028,10.658,127.554,14.956,5.379,13.657
E09000029,7.742,141.553,9.84,2.666,9.509
E09000030,11.835,186.442,16.86,9.481,14.565
E09000031,7.601,168.563,11.641,5.856,10.768
E09000032,9.75,99.435,13.529,4.361,12.488
E09000033,12.719,182.762,20.803,11.78,17.75
