MSOA21CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E02000002,13.86,41.633,14.551,1.184,14.272
E02000003,13.956,65.992,15.229,1.771,14.827
E02000004,14.613,24.008,15.633,1.108,15.132
E02000005,14.443,32.613,15.273,1.228,15.001
E02000007,14.456,28.798,15.555,1.169,15.324
E02000008,14.812,27.651,15.601,1.137,15.306
E02000009,14.996,29.543,15.882,1.256,15.521
E02000010,14.916,22.344,15.401,0.554,15.269
E02000011,14.626,26.624,16.641,1.273,16.505
E02000012,15.268,27.844,16.058,1.039,15.817
E02000013,14.988,29.056,15.558,0.848,15.373
E02000014,14.903,25.94,15.408,0.94,15.201
E02000015,14.588,28.762,15.391,1.021,15.199
E02000016,16.032,53.606,17.666,2.213,17.026
E02000017,15.745,26.022,16.505,1.02,16.296
E02000018,15.187,39.034,16.329,2.448,15.651
E02000019,14.716,34.786,15.845,2.243,15.202
E02000020,14.679,43.286,16.17,2.553,15.462
E02000021,14.672,39.476,15.711,1.774,15.258
E02000022,16.669,41.057,18.311,2.853,17.385
E02000023,14.767,34.957,16.436,2.717,15.707
E02006799,14.617,22.601,15.368,0.798,15.176
E02000024,13.668,35.353,14.485,1.026,14.267
E02000025,13.924,30.754,14.569,0.774,14.4
E02000026,14.068,25.219,14.643,0.684,14.556
E02000027,14.145,28.974,14.759,0.837,14.546
E02000028,14.685,33.304,15.638,1.598,15.196
E02000029,14.5,25.204,15.079,0.876,14.874
E02000030,13.714,29.243,14.592,1.164,14.374
E02000031,14.636,38.812,15.549,1.912,15.053
E02000032,14.624,24.396,15.19,0.696,15.049
E02000033,14.742,27.76,15.407,0.95,15.152
E02000034,14.877,35.245,15.381,1.123,15.15
E02000035,14.533,51.124,15.25,2.436,14.915
E02000036,14.194,39.664,15.954,2.232,15.229
E02000037,14.011,29.374,14.876,1.422,14.448
E02000038,14.971,37.651,15.737,1.589,15.353
E02000039,14.813,37.35,16.712,2.524,15.967
E02000040,14.424,24.392,15.076,0.56,14.997
E02000041,14.622,34.364,15.553,1.466,15.136
E02000042,14.994,58.635,15.895,1.959,15.481
E02000043,14.433,20.617,15.173,0.624,15.109
E02000044,15.02,29.751,15.959,1.3,15.54
E02000045,15.224,33.631,16.358,2.232,15.657
E02000046,15.234,41.402,16.056,1.767,15.659
E02000047,15.101,27.533,15.77,1.077,15.494
