MSOA21CD,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median
E02007109,37.529,115.613,41.977,6.725,39.829
E02007110,39.236,125.171,46.618,10.683,43.219
E02007111,39.292,144.631,50.575,14.136,45.787
E02000372,34.538,199.238,40.845,10.695,37.34
E02000373,37.668,130.101,43.659,11.587,40.234
E02000374,37.078,133.177,43.54,12.148,39.482
E02000375,37.73,139.614,44.632,10.582,41.159
E02000376,37.341,102.285,43.29,8.928,39.931
E02000377,36.796,89.803,42.233,8.762,39.067
E02000378,37.83,105.837,46.102,12.822,41.893
E02000379,35.493,91.535,38.495,5.144,37.045
E02000380,37.115,80.679,40.202,5.273,38.592
E02000381,37.671,132.144,42.234,11.779,39.308
E02000382,36.809,118.673,45.128,12.546,41.037
E02000383,37.651,127.033,45.999,11.728,42.077
E02000384,37.361,227.323,52.48,18.901,44.967
E02000385,37.101,133.42,44.663,14.771,39.973
E02000386,37.744,133.428,42.005,7.38,40.229
E02000387,37.045,93.044,41.069,7.817,38.671
E02000388,38.142,95.667,42.141,6.946,39.957
E02000389,34.382,104.661,39.127,8.032,37.134
E02000390,37.145,62.457,40.21,4.328,38.856
E02000391,36.733,103.693,43.451,8.761,40.806
E02000392,36.854,91.817,40.955,6.471,38.904
E02000393,36.773,75.37,39.549,5.085,38.046
E02000394,37.038,71.696,39.041,2.594,38.355
E02000395,34.321,117.028,38.44,7.154,36.401
E02000396,35.805,100.382,39.252,5.878,37.47
E02000397,31.966,71.893,34.478,3.861,33.65
E02000398,30.053,91.172,33.709,4.915,32.744
E02000400,30.531,123.305,35.393,6.442,33.612
E02000401,31.12,90.735,36.226,7.154,34.192
E02000402,31.153,72.656,34.884,4.9,33.569
E02000403,31.179,96.437,36.083,7.036,34.184
E02000404,32.164,76.829,36.301,6.322,34.283
E02000405,30.489,64.941,33.438,3.381,32.672
E02000406,33.275,80.104,36.59,6.019,34.741
E02000407,33.861,119.727,39.433,10.624,36.006
E02000408,33.156,97.288,39.271,10.495,36.053
E02000409,32.659,89.423,35.717,4.901,34.265
E02000410,31.091,93.522,36.155,7.965,33.881
E02000411,31.261,127.104,36.716,8.152,34.354
E02000412,33.139,109.301,39.875,10.043,36.537
E02000413,30.689,65.318,33.121,3.177,32.493
E02000414,33.14,58.634,35.678,2.761,34.992
E02000415,32.885,107.987,37.497,6.774,35.495
E02000416,31.923,70.299,35.994,5.295,34.388
E02000417,32.167,87.557,35.393,5.606,33.741
E02000418,32.208,83.014,36.406,5.601,34.776
E02000419,33.792,112.033,39.697,8.814,36.406
E02000420,34.256,137.256,39.764,10.262,36.307
E02000421,34.495,124.413,43.715,13.117,39.339
E02000422,34.301,120.894,39.136,7.962,36.569
E02000423,34.568,88.052,39.061,6.995,36.704
E02000424,33.497,77.141,35.505,4.081,34.489
E02000425,32.518,104.495,37.406,8.298,35.231
