LSOA21CD,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median
E01000001,12.721,20.29,13.538,1.572,13.001
E01000002,12.688,20.162,13.058,0.908,12.879
E01000003,12.562,21.677,12.878,0.94,12.716
E01000005,12.406,22.884,13.408,1.425,12.986
E01000006,10.431,11.604,10.605,0.101,10.599
E01000007,10.621,15.247,11.018,0.576,10.834
E01000008,10.668,21.77,11.356,1.097,11.002
E01000009,10.658,13.742,10.993,0.484,10.823
E01000011,10.552,12.251,10.721,0.163,10.693
E01000012,10.548,12.853,10.689,0.158,10.667
E01000013,10.148,13.849,10.379,0.448,10.262
E01000014,10.101,12.183,10.196,0.204,10.155
E01000015,10.147,11.257,10.232,0.121,10.201
E01000016,10.125,12.162,10.265,0.232,10.208
E01000017,10.166,12.329,10.3,0.238,10.242
E01000018,10.145,10.587,10.223,0.062,10.207
E01000019,10.097,10.579,10.2,0.067,10.188
E01000020,10.162,12.161,10.362,0.292,10.284
E01000021,10.127,13.697,10.392,0.41,10.268
E01000022,10.203,10.428,10.286,0.039,10.278
E01000024,10.258,13.495,10.533,0.502,10.377
E01000025,10.261,13.023,10.363,0.202,10.322
E01000027,9.598,11.89,9.749,0.202,9.687
E01000028,9.838,10.697,9.928,0.071,9.915
E01000029,9.929,13.264,10.207,0.528,10.056
E01000030,9.764,19.689,10.228,0.807,9.98
E01000031,9.66,28.446,10.136,0.805,9.959
E01000032,9.929,14.776,10.142,0.424,10.04
E01000033,9.928,11.43,10.167,0.189,10.13
E01000034,9.814,11.765,9.978,0.234,9.893
E01000035,10.15,13.943,10.417,0.419,10.306
E01000036,9.885,13.147,10.239,0.254,10.221
E01000037,9.844,11.512,9.986,0.174,9.955
E01000038,9.842,12.122,10.011,0.249,9.966
E01000039,9.733,12.935,9.916,0.214,9.847
E01000040,10.379,12.49,10.541,0.218,10.485
E01000041,10.244,15.426,10.496,0.485,10.376
E01000042,10.269,13.588,10.497,0.352,10.409
