LSOA11CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E01000001,21.401,43.266,23.851,4.364,22.336
E01000002,21.555,42.033,22.713,2.563,22.205
E01000003,20.941,48.336,21.892,2.803,21.452
E01000005,20.569,61.689,23.911,4.951,22.422
E01000006,15.846,18.664,16.259,0.26,16.222
E01000007,16.228,28.554,17.464,1.616,16.961
E01000008,16.407,53.606,18.876,3.543,17.758
E01000009,16.419,26.022,17.382,1.532,16.856
E01000010,16.493,30.47,17.668,1.641,17.143
E01000011,16.055,21.177,16.614,0.599,16.489
E01000012,16.032,20.806,16.457,0.356,16.405
E01000013,15.003,25.94,15.681,1.342,15.325
E01000014,14.903,21.771,15.146,0.657,15.008
E01000015,15.123,18.69,15.58,0.417,15.477
E01000016,15.146,21.778,15.508,0.735,15.326
E01000017,15.053,22.344,15.479,0.798,15.287
E01000018,15.127,16.407,15.323,0.178,15.284
E01000019,14.897,16.169,15.111,0.18,15.066
E01000020,15.029,20.482,15.492,0.709,15.295
E01000021,14.996,25.378,15.718,1.214,15.342
E01000022,15.123,15.797,15.354,0.112,15.341
E01000023,15.177,29.543,16.119,1.47,15.63
E01000024,15.341,25.239,16.176,1.593,15.669
E01000025,15.327,23.749,15.615,0.612,15.483
E01000027,13.86,20.35,14.257,0.59,14.083
E01000028,14.362,16.799,14.586,0.237,14.527
E01000029,14.517,24.18,15.277,1.545,14.81
E01000030,14.208,41.633,15.449,2.283,14.719
E01000031,13.956,65.992,15.162,2.214,14.664
E01000032,14.468,28.925,15.011,1.18,14.719
E01000033,15.325,21.503,16.111,0.699,15.972
E01000034,14.779,20.739,15.559,0.913,15.154
E01000035,15.651,26.624,17.516,1.297,17.325
E01000036,15.793,25.127,17.22,0.894,17.147
E01000037,14.86,19.586,15.196,0.523,15.097
E01000038,14.78,20.491,15.172,0.665,15.035
E01000039,14.613,24.008,15.796,1.24,15.268
E01000040,15.673,21.065,16.19,0.798,15.966
E01000041,15.2,30.103,15.957,1.394,15.599
E01000042,15.37,24.655,15.98,0.916,15.77
E01000043,15.971,34.18,17.111,2.192,16.456
E01000044,15.839,25.408,16.705,1.045,16.455
E01000045,15.585,39.034,18.177,3.953,16.681
E01000046,15.187,17.194,15.547,0.299,15.506
E01000048,16.758,19.062,17.041,0.287,16.992
E01000049,16.669,39.761,18.779,3.568,17.541
E01000050,16.418,28.113,17.258,1.535,16.848
E01000051,16.738,28.121,17.714,1.805,17.102
E01000052,16.462,41.138,18.782,3.665,17.42
E01000053,15.198,26.903,16.157,1.393,15.7
E01000054,14.941,16.672,15.256,0.259,15.182
E01000055,15.101,19.327,15.609,0.614,15.464
E01000056,14.906,20.323,15.638,0.795,15.382
E01000057,15.116,22.195,15.599,0.758,15.364
E01000058,14.991,18.406,15.334,0.538,15.166
E01000059,14.934,17.048,15.15,0.226,15.087
E01000060,14.848,32.613,15.496,1.09,15.294
E01000061,14.456,28.012,15.417,1.502,14.969
E01000062,15.167,17.479,15.379,0.276,15.321
E01000063,14.969,28.355,15.71,1.287,15.367
E01000064,15.219,21.066,15.871,0.8,15.632
E01000065,15.068,23.702,15.648,1.038,15.311
E01000066,15.268,27.844,15.676,0.774,15.564
E01000067,15.6,26.045,16.431,1.462,15.976
E01000068,15.745,25.178,16.136,0.764,15.975
E01000069,15.397,21.957,15.857,0.44,15.802
E01000070,15.677,26.608,16.276,1.047,15.983
