LSOA21CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E01003370,15.597,27.508,16.714,1.932,16.06
E01003371,15.465,16.981,15.773,0.28,15.703
E01003372,15.451,26.268,15.916,1.282,15.654
E01003373,15.109,18.036,15.348,0.336,15.254
E01003374,15.199,38.833,16.657,2.513,15.797
E01003375,14.976,32.806,15.816,1.659,15.341
E01003376,15.09,17.664,15.328,0.255,15.28
E01003377,15.084,15.58,15.233,0.105,15.199
E01003378,15.173,18.643,15.477,0.422,15.367
E01003379,15.32,34.403,16.281,1.815,15.785
E01003380,15.364,26.492,15.921,1.177,15.577
E01003381,15.773,26.487,16.95,1.682,16.309
E01003382,15.588,29.499,16.269,1.423,15.872
E01003383,15.491,26.504,16.413,1.325,15.976
E01003384,15.506,22.427,16.09,0.905,15.812
E01003385,15.385,21.708,15.676,0.585,15.552
E01003386,15.49,21.685,16.048,0.873,15.818
E01003387,15.309,22.167,15.791,0.786,15.564
E01003388,15.537,32.271,16.35,1.635,15.925
E01003389,15.428,41.048,17.016,2.934,16.045
E01003390,15.615,37.495,18.016,3.806,16.724
E01003391,15.428,18.662,15.685,0.454,15.542
E01003392,15.493,29.721,17.0,2.541,16.051
E01003393,15.698,27.512,16.836,2.045,16.083
E01003394,15.638,26.03,16.101,1.178,15.811
E01003395,15.477,23.737,15.869,0.798,15.711
E01003396,15.686,18.318,16.088,0.385,15.971
E01003397,15.657,22.6,15.918,0.494,15.8
E01003398,15.6,26.944,16.208,1.508,15.827
E01003399,15.44,23.051,16.167,1.116,15.809
E01003400,15.508,23.19,16.365,1.116,16.019
E01003401,15.51,24.823,16.076,1.081,15.767
E01003402,15.457,29.708,16.181,1.346,15.828
E01003403,15.293,20.572,15.671,0.613,15.532
E01003404,15.324,20.083,15.691,0.6,15.518
E01003405,15.22,22.586,15.734,0.84,15.541
E01003406,15.355,17.557,15.494,0.198,15.442
E01003407,15.366,24.875,16.252,1.461,15.766
E01003408,15.266,30.076,15.844,1.261,15.587
E01003409,15.384,34.704,16.116,1.703,15.693
E01003410,15.31,21.084,15.681,0.589,15.522
E01003411,15.467,19.819,16.043,0.545,15.963
E01003412,15.526,21.952,15.942,0.76,15.734
E01003413,15.516,18.977,16.084,0.603,15.993
E01003414,15.514,23.433,15.948,0.551,15.856
E01003415,15.508,23.991,16.215,0.97,16.001
E01003416,15.362,21.468,15.701,0.628,15.55
E01003417,14.972,29.76,15.662,1.233,15.37
E01003418,14.925,21.869,15.436,0.779,15.242
E01003419,14.81,16.711,15.599,0.408,15.598
E01003420,14.8,17.43,15.076,0.299,15.006
E01003421,15.753,23.847,16.435,0.898,16.253
E01003422,15.02,24.213,16.026,0.969,15.846
E01003423,15.163,27.594,15.981,1.508,15.597
E01003424,15.164,16.954,15.366,0.218,15.319
E01003425,15.163,16.197,15.358,0.144,15.326
E01003426,15.248,33.819,16.223,2.114,15.662
E01003427,15.048,29.579,16.389,2.009,15.697
E01003428,15.147,27.143,15.881,1.511,15.475
E01003429,15.287,15.834,15.474,0.106,15.451
