LSOA21CD,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median
E01000001,45.633,215.204,54.783,21.612,47.057
E01000002,45.41,135.877,49.559,11.764,46.513
E01000003,45.277,93.024,47.889,6.878,46.201
E01000005,44.227,207.011,54.13,22.014,45.419
E01000006,32.77,35.47,33.606,0.526,33.562
E01000007,34.426,57.605,37.439,4.412,35.979
E01000008,34.513,84.056,38.562,6.195,36.569
E01000009,33.642,63.701,36.96,5.255,35.175
E01000011,33.588,57.896,36.139,3.824,35.212
E01000012,33.827,58.277,35.409,2.397,34.885
E01000013,29.812,60.878,32.722,4.574,31.215
E01000014,30.095,50.6,30.897,1.898,30.484
E01000015,29.315,42.122,30.512,1.84,30.011
E01000016,29.307,43.99,30.744,2.346,30.145
E01000017,29.846,47.244,31.098,2.206,30.517
E01000018,29.303,35.67,30.206,0.79,30.005
E01000019,30.29,34.847,30.975,0.708,30.774
E01000020,30.51,44.247,31.582,1.638,31.118
E01000021,30.603,55.612,32.57,3.193,31.575
E01000022,30.718,32.54,31.308,0.337,31.266
E01000024,31.169,54.103,33.127,3.481,32.041
E01000025,31.134,46.432,32.261,1.545,31.944
E01000027,27.246,49.281,28.471,1.964,27.962
E01000028,28.418,35.345,29.134,0.558,29.019
E01000029,29.191,56.464,31.717,4.758,30.31
E01000030,28.301,78.85,31.414,5.361,29.682
E01000031,27.549,125.201,31.152,5.433,29.768
E01000032,28.955,56.067,30.309,2.294,29.729
E01000033,28.69,49.843,30.324,2.288,29.79
E01000034,28.078,43.515,29.235,1.819,28.671
E01000035,29.001,56.105,31.303,3.583,30.179
E01000036,28.052,53.398,29.79,2.232,29.428
E01000037,28.206,42.104,29.308,1.828,28.897
E01000038,28.459,43.537,29.666,1.776,29.317
E01000039,27.618,42.606,28.387,1.163,28.111
E01000040,32.392,54.837,33.984,2.805,33.302
E01000041,31.292,52.501,33.717,3.239,32.804
E01000042,31.661,51.748,32.919,1.579,32.568
E01000043,33.127,61.77,35.393,4.127,34.164
E01000044,32.764,78.561,35.75,5.331,34.313
E01000045,32.074,89.138,37.172,7.845,34.192
E01000046,31.55,47.5,32.615,1.957,32.088
E01000049,34.231,67.353,37.683,5.864,35.523
E01000050,34.002,64.227,36.286,4.322,35.022
E01000051,34.052,69.332,37.474,5.695,35.535
E01000052,34.129,63.953,38.129,5.344,36.182
E01000053,31.208,80.41,34.988,5.707,33.07
E01000054,30.728,36.033,31.426,0.716,31.222
E01000055,30.932,37.381,31.888,0.905,31.66
E01000056,30.685,47.845,32.531,1.988,31.972
E01000057,30.737,45.558,32.267,1.986,31.651
E01000058,30.454,40.992,31.661,1.851,31.12
E01000059,30.596,36.505,31.313,0.807,31.074
E01000060,28.333,56.591,30.25,2.882,29.72
E01000061,28.332,56.045,30.294,3.43,29.273
E01000062,29.38,40.411,30.252,1.215,30.07
E01000063,29.835,53.187,31.54,3.12,30.611
E01000064,29.4,52.06,30.802,2.818,29.979
E01000065,29.826,50.62,31.59,3.352,30.5
E01000066,31.687,56.247,32.649,1.718,32.355
E01000067,32.163,59.673,34.335,4.221,33.012
E01000068,32.443,56.579,33.671,2.361,33.145
E01000069,31.748,42.336,32.723,0.777,32.62
E01000070,32.092,59.969,34.155,3.485,33.213
E01000071,31.809,43.144,32.942,1.246,32.673
E01000072,31.469,55.403,32.369,1.98,31.728
E01000073,31.381,39.889,32.09,0.821,31.87
E01000074,31.147,46.1,32.229,2.145,31.634
E01000075,30.221,47.195,31.434,1.788,31.087
E01000076,31.117,47.11,32.116,1.785,31.681
E01000077,30.962,60.763,32.839,3.51,31.744
E01000078,30.322,60.713,32.92,4.144,31.624
E01000079,30.025,51.935,31.31,2.933,30.469
E01000080,30.169,51.567,31.816,2.631,31.121
E01000081,29.864,33.398,30.481,0.438,30.391
E01000082,29.884,45.124,31.023,1.896,30.479
E01000083,30.537,59.864,32.557,3.329,31.549
E01000084,30.451,61.929,32.589,3.705,31.387
E01000085,30.396,52.43,31.818,1.863,31.341
E01000086,30.596,52.548,32.035,2.994,31.122
E01000087,30.488,55.068,33.149,4.016,31.689
E01000088,29.512,37.008,30.556,1.037,30.368
E01000089,29.47,31.455,30.238,0.409,30.195
E01000090,29.475,59.249,31.875,3.525,30.886
E01000091,31.194,35.103,31.969,0.762,31.548
E01000093,31.449,90.116,35.904,6.916,33.552
E01000094,30.548,37.23,31.397,0.808,31.173
E01000095,30.417,77.394,33.432,5.483,31.675
E01000096,31.432,89.535,35.491,5.668,33.447
E01000097,30.625,50.802,32.542,2.768,31.538
E01000098,30.619,49.807,32.258,2.573,31.586
E01000099,29.67,53.178,31.338,2.414,30.636
E01000100,29.595,42.198,30.685,1.955,30.217
E01000101,29.752,54.857,31.566,3.562,30.539
E01000102,29.598,36.54,30.786,1.246,30.465
E01000103,28.65,47.632,29.551,1.33,29.332
E01000104,28.527,51.208,31.279,3.425,30.259
E01000105,29.619,50.807,31.005,2.199,30.453
E01000106,29.47,38.409,30.325,1.156,30.009
E01000107,27.886,34.497,28.532,0.571,28.425
E01000108,28.643,54.347,30.431,3.183,29.701
E01000110,29.038,49.632,30.765,2.281,30.206
E01000111,29.746,55.699,32.572,4.14,31.256
E01000112,30.017,84.974,32.64,5.406,30.861
E01000113,30.293,63.408,32.293,3.988,31.213
E01000114,28.786,64.346,31.969,4.717,30.759
E01000115,30.182,51.948,31.721,2.122,31.284
E01000116,30.195,54.168,32.294,2.939,31.585
E01000117,30.76,46.237,31.585,0.95,31.328
E01000118,30.974,53.91,33.143,3.025,32.208
E01000119,31.054,33.721,31.474,0.345,31.362
E01000120,31.134,94.274,32.716,3.868,31.809
E01000121,31.26,42.516,31.94,1.067,31.644
E01000122,31.252,44.771,32.548,1.461,32.182
E01000123,31.569,43.276,32.738,1.382,32.449
E01000124,32.675,62.335,35.578,3.934,34.264
E01000126,32.758,39.755,33.813,1.022,33.619
E01000127,31.892,43.945,32.733,1.492,32.327
E01000128,32.299,39.01,32.905,0.638,32.721
E01000129,32.231,73.583,36.901,7.047,34.415
E01000130,32.294,39.846,33.159,1.156,32.843
E01000131,32.388,73.527,33.59,2.387,33.081
E01000132,31.893,36.68,32.49,0.635,32.312
E01000133,32.166,37.422,32.931,0.762,32.715
E01000134,31.958,56.017,33.872,3.278,32.893
E01000135,36.071,80.021,38.617,5.99,36.855
E01000136,35.532,61.267,36.885,2.142,36.49
E01000137,36.303,56.112,38.157,2.77,37.311
E01000138,36.451,82.945,41.3,8.288,38.214
E01000139,36.191,82.093,39.073,5.527,37.365
E01000140,36.792,66.894,41.201,5.395,39.237
E01000141,36.646,101.784,39.693,5.901,37.99
E01000142,36.428,60.11,37.394,1.844,36.996
E01000143,36.231,86.855,37.831,4.344,37.044
E01000144,36.378,66.748,39.037,4.531,37.733
E01000145,36.306,70.745,37.979,3.851,36.886
E01000146,36.316,72.407,39.986,5.353,37.869
E01000147,35.35,57.457,36.379,2.108,35.935
E01000150,35.242,70.166,36.832,3.416,35.882
E01000151,33.66,40.403,34.764,0.94,34.491
E01000152,33.212,48.847,36.077,3.372,34.79
E01000153,32.616,38.815,33.454,0.696,33.248
E01000154,33.865,40.285,34.945,1.155,34.574
E01000156,34.005,63.936,36.507,4.641,35.081
E01000157,33.731,39.519,34.728,0.681,34.624
E01000158,32.061,51.242,32.99,1.19,32.742
E01000159,31.927,68.671,33.589,3.348,32.717
E01000160,32.592,91.935,35.757,6.988,33.972
E01000161,33.012,63.349,36.235,4.751,34.658
E01000162,32.856,76.213,36.962,6.493,34.814
E01000163,33.809,92.417,38.988,9.633,35.626
E01000164,33.463,84.386,37.571,7.274,35.017
E01000165,33.373,78.606,36.191,5.676,34.735
E01000166,28.032,30.421,28.859,0.451,28.818
E01000167,27.964,33.224,28.55,0.545,28.441
E01000168,28.927,30.967,29.5,0.356,29.418
E01000169,28.73,31.513,29.393,0.419,29.314
E01000170,29.277,51.164,31.043,2.319,30.503
E01000171,28.62,55.293,31.11,3.546,30.322
E01000172,29.596,47.206,30.588,2.136,30.069
E01000173,29.727,50.245,30.868,2.11,30.469
E01000174,30.446,49.453,32.354,3.273,31.229
E01000175,30.066,50.857,31.37,2.181,30.851
E01000176,34.883,80.344,41.843,10.893,37.159
E01000177,34.524,53.398,35.527,1.811,35.134
E01000178,33.728,61.238,35.059,2.819,34.484
E01000179,34.527,38.032,35.182,0.517,35.063
E01000180,34.726,48.543,35.882,1.847,35.421
E01000181,34.505,75.847,37.73,5.02,36.071
E01000182,34.659,64.729,36.959,4.149,35.688
E01000183,34.821,51.868,35.913,2.203,35.317
E01000184,33.669,87.077,37.595,7.244,35.173
E01000185,34.627,61.054,36.651,3.975,35.439
E01000186,30.154,62.13,32.798,4.719,31.742
E01000187,30.026,32.598,30.7,0.475,30.581
E01000188,29.011,64.721,31.468,4.294,29.994
E01000189,30.906,58.391,33.218,4.275,31.892
E01000190,30.901,48.397,31.609,1.627,31.227
E01000191,31.138,60.058,34.272,5.217,32.35
E01000192,31.233,52.833,33.288,3.455,32.139
E01000193,30.834,61.017,32.428,2.836,31.731
E01000194,31.272,72.555,33.907,5.095,32.286
E01000195,29.6,52.435,32.349,3.265,31.354
E01000196,34.238,112.177,37.612,6.686,35.629
E01000197,34.02,59.84,36.223,3.27,35.182
E01000198,34.12,79.085,38.437,6.549,36.014
E01000199,33.266,42.979,34.419,1.396,33.944
E01000200,33.692,56.367,35.83,3.402,34.851
E01000201,34.606,105.858,37.948,5.852,36.24
E01000202,34.436,58.234,35.692,2.614,35.246
E01000203,34.58,122.239,40.307,10.055,37.395
E01000204,33.253,76.998,34.468,2.61,33.953
E01000205,34.873,85.258,38.061,5.868,36.312
E01000206,34.515,65.372,35.656,2.25,35.104
E01000207,34.803,67.289,36.542,3.688,35.432
E01000208,34.895,65.095,37.497,4.618,35.941
E01000209,34.86,38.895,35.706,0.633,35.566
E01000210,34.683,86.498,37.621,7.045,35.601
E01000211,35.586,103.311,43.741,11.142,39.487
E01000212,34.832,63.777,36.756,3.07,35.927
E01000213,34.513,45.008,35.184,1.1,34.91
E01000214,35.246,65.216,36.987,3.174,36.064
E01000215,35.809,88.71,41.612,9.166,38.365
E01000216,35.604,59.897,36.522,1.74,36.199
E01000217,35.512,39.781,36.189,0.709,35.985
E01000218,35.829,61.692,38.187,3.793,37.276
E01000219,36.362,103.247,41.227,8.053,38.72
E01000220,36.359,60.505,37.965,2.975,37.204
E01000221,36.304,139.49,45.162,12.764,39.95
E01000222,35.853,76.738,37.978,4.487,36.726
E01000223,36.322,117.291,39.729,6.173,37.707
E01000224,36.032,46.782,37.332,1.412,36.985
E01000225,36.126,107.936,41.616,9.974,38.128
E01000226,31.379,57.425,33.974,3.752,32.911
E01000227,31.24,55.858,32.864,3.168,31.903
E01000228,28.733,66.551,31.637,4.278,30.512
E01000229,30.63,52.623,32.938,3.27,31.916
E01000230,30.272,49.729,32.092,2.554,31.591
E01000231,31.868,82.643,38.725,8.182,35.393
E01000232,31.515,65.008,35.455,5.687,33.348
E01000233,31.625,60.845,33.703,3.744,32.547
E01000234,32.102,55.866,34.946,3.384,33.799
E01000235,31.76,54.553,34.28,3.27,33.019
E01000236,35.942,92.407,40.015,7.095,37.605
E01000237,35.531,86.967,39.926,7.515,37.297
E01000238,35.635,100.616,39.358,8.724,36.654
E01000239,35.415,78.323,43.47,7.89,40.957
E01000240,34.172,122.015,40.09,7.824,37.279
E01000241,34.048,59.667,35.01,2.047,34.669
E01000242,35.084,79.391,37.959,5.169,36.25
E01000243,34.298,69.751,37.692,4.213,36.6
E01000244,34.272,59.278,36.918,3.1,36.141
E01000245,35.53,56.904,37.095,2.969,36.21
E01000246,27.896,60.69,28.756,1.694,28.322
E01000247,28.239,36.264,29.197,1.111,28.913
E01000248,28.22,53.642,30.352,3.263,29.477
E01000249,27.427,42.205,28.14,1.002,27.885
E01000250,28.088,78.157,30.469,4.642,29.158
E01000251,28.822,49.992,30.641,3.211,29.707
E01000252,28.876,53.722,29.958,1.539,29.57
E01000253,27.574,57.994,29.417,3.018,28.677
E01000254,27.21,46.093,28.236,1.482,27.873
E01000255,30.042,52.161,31.512,1.408,31.352
E01000256,31.696,74.9,35.377,5.618,33.48
E01000257,31.736,48.735,32.995,1.611,32.534
E01000258,31.182,65.976,34.671,4.844,32.868
E01000259,31.798,57.612,33.426,1.538,33.127
E01000260,32.483,80.947,38.296,7.905,34.946
E01000261,30.048,50.184,31.42,1.624,31.102
E01000263,31.36,70.89,34.094,4.697,32.83
E01000264,33.151,83.133,41.001,8.121,37.577
E01000265,31.839,54.224,33.617,3.124,32.637
E01000266,31.599,52.326,32.541,2.016,31.988
E01000267,29.969,50.961,31.376,2.361,30.721
E01000268,29.553,65.529,32.29,5.353,30.471
E01000269,29.634,60.448,31.755,3.951,30.724
E01000270,29.552,57.268,30.683,2.189,30.16
E01000271,29.799,61.764,32.281,4.522,30.945
E01000272,30.35,53.815,31.244,1.386,30.947
E01000273,30.465,72.427,33.601,5.194,32.166
E01000274,31.216,53.58,33.133,2.84,32.332
E01000275,30.784,38.279,31.47,0.797,31.306
E01000276,29.851,40.382,31.088,1.176,30.894
E01000277,31.305,33.355,31.782,0.319,31.697
E01000278,31.171,45.869,32.414,1.666,31.96
E01000279,28.628,54.312,29.867,1.751,29.591
E01000280,29.179,53.683,30.451,1.958,29.959
E01000281,31.726,75.441,34.592,5.67,32.952
E01000282,29.832,60.113,31.851,2.612,31.223
E01000283,30.143,37.915,30.956,0.844,30.799
E01000284,31.086,64.913,32.59,4.662,31.615
E01000285,28.62,34.832,29.331,0.87,29.155
E01000286,28.441,30.507,28.845,0.33,28.746
E01000287,28.527,32.035,29.154,0.546,28.998
E01000288,29.159,65.489,30.542,3.301,29.727
E01000289,29.028,39.868,29.957,1.52,29.584
E01000290,28.444,65.159,29.602,2.739,28.907
E01000291,28.915,34.259,29.341,0.423,29.249
E01000292,28.875,52.913,29.928,1.976,29.434
E01000293,29.016,64.062,30.144,2.898,29.523
E01000294,28.439,51.781,29.31,1.858,28.927
E01000295,33.778,94.389,34.732,2.823,34.331
E01000296,32.64,114.353,35.778,6.211,34.278
E01000297,33.995,59.134,36.423,3.205,35.306
E01000298,33.219,94.194,36.02,6.326,34.288
E01000299,31.924,78.237,35.196,5.346,33.424
E01000300,31.683,36.041,32.5,0.717,32.396
E01000301,31.619,57.929,32.719,1.212,32.54
E01000302,32.279,99.535,34.937,7.315,33.277
E01000303,31.862,39.197,32.948,0.953,32.746
E01000304,31.972,46.455,33.508,1.654,33.152
E01000305,34.337,118.789,38.368,7.196,35.378
E01000306,36.399,62.469,41.223,5.97,38.598
E01000307,36.174,221.121,43.863,12.83,39.252
E01000308,33.595,64.069,34.771,1.833,34.295
E01000309,36.411,86.57,41.052,6.187,38.471
E01000310,35.974,98.376,42.06,9.098,38.709
E01000311,36.196,94.142,38.965,4.873,37.757
E01000312,33.726,65.627,35.878,3.698,34.977
E01000313,35.097,78.105,42.451,7.076,39.808
E01000314,35.84,81.809,38.274,5.553,37.011
E01000315,33.239,72.098,35.778,5.711,34.074
E01000316,33.329,69.884,36.559,5.138,34.788
E01000317,33.291,80.577,34.83,4.511,33.912
E01000318,32.294,59.978,35.036,3.535,34.101
E01000319,33.335,57.801,35.101,2.824,34.056
E01000320,31.59,76.792,32.667,3.813,32.107
E01000321,31.519,76.758,33.974,7.744,31.891
E01000322,31.9,39.797,32.669,0.733,32.502
E01000323,32.374,74.76,35.709,5.528,33.8
E01000324,32.133,63.634,33.876,3.103,33.063
E01000325,28.118,40.969,29.039,0.877,28.89
E01000326,28.07,45.666,29.081,1.662,28.73
E01000327,29.265,50.712,30.443,2.085,29.807
E01000328,28.055,44.435,28.736,0.876,28.573
E01000329,28.641,64.135,30.81,3.633,29.825
E01000330,29.246,54.847,32.074,4.095,30.831
E01000331,28.814,67.028,31.05,3.971,29.696
E01000332,29.475,44.683,30.535,2.096,29.944
E01000333,29.362,44.67,31.001,2.194,30.37
E01000334,29.392,41.316,30.322,1.395,30.063
E01000335,29.201,47.742,30.471,1.985,29.976
E01000336,29.684,34.117,30.734,0.928,30.507
E01000337,29.408,33.744,29.951,0.571,29.812
E01000338,29.654,42.366,30.262,0.946,30.029
E01000339,29.776,42.822,30.765,1.455,30.39
E01000340,30.284,46.535,32.438,2.142,31.934
E01000341,30.109,46.861,31.259,1.613,30.862
E01000342,30.111,31.956,30.541,0.369,30.398
E01000343,29.803,54.246,31.133,2.401,30.47
E01000344,30.045,42.152,30.955,1.501,30.612
E01000345,29.817,33.8,30.437,0.671,30.232
E01000346,29.555,37.329,30.601,1.006,30.413
E01000347,30.43,51.174,32.414,2.722,31.543
E01000348,29.171,38.153,30.708,1.496,30.251
E01000349,29.152,60.953,34.595,6.013,32.205
E01000350,29.475,42.538,30.53,1.374,30.161
E01000351,29.246,46.239,30.685,2.29,30.12
E01000352,30.165,84.028,36.366,7.627,33.685
E01000353,29.349,49.092,30.707,1.99,30.157
E01000354,29.751,39.689,30.859,1.283,30.499
E01000355,29.013,51.236,29.846,1.909,29.418
E01000356,30.075,47.584,31.797,2.498,30.949
E01000357,29.948,33.672,30.312,0.385,30.169
E01000358,29.465,50.267,30.676,2.363,30.104
E01000359,29.724,56.643,31.785,3.348,30.678
E01000360,29.459,58.459,31.922,4.066,30.719
E01000361,29.914,55.866,32.033,4.175,30.7
E01000362,29.647,69.477,31.794,3.594,30.669
E01000363,29.797,60.623,32.745,4.785,30.953
E01000364,29.595,57.268,32.506,4.944,30.621
E01000365,29.368,53.384,30.531,2.659,29.766
E01000366,29.441,42.92,30.846,1.372,30.58
E01000367,28.564,56.014,29.83,3.03,29.01
E01000368,28.207,33.024,28.667,0.559,28.544
E01000369,28.344,34.423,29.197,0.885,28.981
E01000370,28.625,50.692,30.017,2.391,29.393
E01000371,28.267,29.991,28.765,0.352,28.645
E01000372,28.581,32.806,29.013,0.388,28.901
E01000373,28.582,44.451,29.648,1.885,29.19
E01000374,27.368,68.707,30.098,4.915,28.543
E01000375,27.403,55.806,29.062,2.881,28.363
E01000376,27.705,38.507,28.27,0.7,28.074
E01000377,27.73,45.576,28.941,1.948,28.476
E01000379,27.652,47.469,28.304,1.12,28.092
E01000380,27.88,73.819,32.422,6.722,30.279
E01000381,26.948,48.845,28.314,2.026,27.992
E01000382,28.136,34.329,29.068,0.785,29.006
E01000383,26.616,51.114,28.013,2.2,27.478
E01000384,28.606,53.705,30.259,2.607,29.638
E01000385,27.988,53.566,29.235,2.741,28.565
E01000386,28.425,61.189,31.18,5.021,29.388
E01000387,28.459,48.689,29.266,1.179,28.982
E01000388,29.692,54.09,30.836,1.4,30.655
E01000389,29.985,54.658,31.872,3.552,30.778
E01000390,29.703,59.41,32.419,4.859,30.599
