LAD22CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E09000002,3.831,68.572,5.954,3.39,5.316
E09000003,3.473,68.593,6.278,4.295,5.511
E09000004,3.393,67.624,4.971,2.121,4.646
E09000005,4.615,68.593,7.342,4.861,6.583
E09000006,2.582,56.026,4.065,1.589,3.81
E09000007,5.99,68.589,10.373,6.864,8.569
E09000001,11.52,68.593,18.366,12.588,14.161
E09000008,2.904,68.588,4.801,2.35,4.268
E09000009,4.011,68.593,6.933,4.762,6.016
E09000010,3.342,68.587,5.426,4.418,4.619
E09000011,4.428,68.548,7.341,4.6,6.375
E09000012,6.067,68.235,9.58,5.229,8.38
E09000013,6.029,68.556,9.176,6.344,7.842
E09000014,5.315,68.383,7.325,3.677,6.647
E09000015,3.395,68.477,4.865,1.808,4.67
E09000016,2.373,64.696,3.868,2.162,3.555
E09000017,2.675,68.593,4.692,3.054,4.296
E09000018,3.496,68.592,5.844,4.071,5.047
E09000019,6.5,68.45,10.503,5.707,9.077
E09000020,6.706,68.593,10.938,8.011,8.992
E09000021,3.059,68.563,5.058,2.89,4.745
E09000022,5.584,68.593,9.529,5.425,8.141
E09000023,4.616,68.587,7.244,3.744,6.53
E09000024,4.69,68.196,6.024,2.552,5.586
E09000025,5.324,68.593,8.305,5.076,7.184
E09000026,3.17,68.584,5.72,3.987,5.17
E09000027,3.634,68.593,5.288,2.468,4.869
E09000028,5.691,68.593,9.643,5.295,8.537
E09000029,3.463,68.401,4.904,2.18,4.7
E09000030,7.267,68.593,11.695,7.409,9.871
E09000031,3.651,68.565,6.763,4.465,6.106
E09000032,4.78,67.016,7.757,3.901,6.845
E09000033,7.669,68.593,14.427,9.489,11.498
