LSOA11CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E01000001,12.7,68.593,19.692,14.445,13.698
E01000002,12.368,68.251,15.574,9.453,13.074
E01000003,12.239,60.605,14.348,6.847,12.844
E01000005,11.877,68.593,19.251,15.52,12.677
E01000006,5.761,6.867,6.093,0.218,6.065
E01000007,6.088,30.387,7.913,3.916,6.79
E01000008,6.098,64.238,8.625,6.112,6.957
E01000009,6.091,35.409,7.791,4.168,6.651
E01000010,6.202,30.426,7.486,2.669,6.697
E01000011,5.901,20.337,6.966,1.982,6.543
E01000012,5.903,19.059,6.368,1.025,6.194
E01000013,4.824,25.836,6.185,3.14,5.276
E01000014,4.91,23.771,5.241,1.211,5.041
E01000015,4.734,11.034,5.187,0.793,4.978
E01000016,4.704,12.329,5.177,1.139,4.894
E01000017,4.761,14.963,5.221,1.087,4.973
E01000018,4.716,6.834,4.96,0.24,4.89
E01000019,4.88,6.919,5.198,0.311,5.128
E01000020,5.017,11.876,5.418,0.604,5.233
E01000021,5.166,30.388,6.544,2.61,5.861
E01000022,5.211,6.409,5.574,0.237,5.537
E01000023,5.917,28.115,7.827,2.384,7.189
E01000024,5.577,30.45,6.94,3.008,6.131
E01000025,5.701,18.191,6.704,1.158,6.527
E01000027,3.83,20.263,4.24,1.107,4.034
E01000028,4.012,6.141,4.207,0.2,4.161
E01000029,4.177,29.042,5.374,3.159,4.579
E01000030,4.0,52.694,5.422,4.063,4.358
E01000031,3.831,68.572,5.465,4.472,4.469
E01000032,4.276,21.032,4.817,1.161,4.568
E01000033,4.414,22.258,5.245,1.697,4.918
E01000034,4.11,12.102,4.618,0.797,4.346
E01000035,4.871,28.011,6.072,2.553,5.444
E01000036,4.688,26.931,5.484,1.456,5.278
E01000037,4.13,10.603,4.454,0.716,4.309
E01000038,4.216,10.265,4.58,0.709,4.434
E01000039,4.011,11.086,4.62,0.593,4.48
E01000040,5.643,22.611,6.373,1.886,5.95
E01000041,5.309,19.922,6.341,1.881,5.829
E01000042,5.439,21.482,5.911,1.018,5.714
E01000043,5.807,45.969,7.352,4.473,6.28
E01000044,5.757,60.394,7.509,5.967,6.288
E01000045,5.618,67.784,9.112,8.397,6.391
E01000046,5.437,17.719,5.984,1.315,5.674
E01000048,6.267,9.656,6.555,0.37,6.493
E01000049,6.342,49.852,8.93,6.059,7.029
E01000050,6.149,29.757,7.313,3.002,6.572
E01000051,6.273,39.768,7.915,4.337,6.768
E01000052,6.215,50.322,9.128,5.786,7.155
E01000053,5.844,43.063,8.509,4.302,7.256
E01000054,5.392,7.883,5.769,0.378,5.679
E01000055,5.33,8.157,5.749,0.425,5.644
E01000056,5.604,21.766,7.037,1.309,6.781
E01000057,5.096,13.474,5.819,1.064,5.53
E01000058,5.041,9.593,5.535,0.737,5.394
E01000059,5.302,9.712,6.028,0.551,5.961
E01000060,4.224,34.047,5.052,1.934,4.769
E01000061,4.221,30.628,5.158,2.517,4.592
E01000062,4.692,8.832,4.942,0.45,4.873
E01000063,4.757,23.952,5.516,1.957,5.01
E01000064,4.688,20.838,5.339,1.673,4.922
E01000065,4.761,17.174,5.598,2.074,4.986
E01000066,5.692,32.995,6.598,1.651,6.48
E01000067,5.735,32.816,7.09,3.419,6.248
E01000068,5.523,30.202,6.204,2.022,5.856
E01000069,5.67,12.957,5.874,0.377,5.797
E01000070,5.391,32.406,6.467,2.643,5.891
E01000071,5.505,13.917,5.937,0.779,5.766
E01000072,5.431,26.622,6.131,1.287,5.839
E01000073,5.903,10.772,6.677,0.585,6.672
E01000074,5.556,18.727,6.268,1.681,5.909
E01000075,4.948,16.035,5.421,0.913,5.226
E01000076,5.243,17.843,5.785,1.168,5.535
E01000077,5.285,26.249,6.363,2.744,5.633
E01000078,4.935,39.082,6.265,3.231,5.422
E01000079,4.804,26.1,5.54,2.395,5.006
E01000080,4.901,25.408,5.708,1.909,5.252
E01000081,4.757,6.566,4.982,0.181,4.953
E01000082,4.774,15.696,5.288,1.201,4.985
E01000083,5.018,31.627,6.006,2.616,5.403
E01000084,5.05,29.793,6.002,2.157,5.469
E01000085,5.074,23.704,5.706,1.282,5.501
E01000086,5.267,17.209,6.079,1.6,5.699
E01000087,5.077,30.531,6.8,3.207,5.921
E01000088,4.654,7.813,5.102,0.415,5.051
E01000089,4.586,5.324,4.862,0.149,4.848
E01000090,4.535,34.927,5.64,2.685,5.043
E01000091,5.173,6.352,5.456,0.275,5.317
E01000092,4.663,61.575,6.173,4.792,5.295
E01000093,5.285,68.223,9.118,9.612,6.153
E01000094,4.836,7.672,5.215,0.317,5.133
E01000095,4.787,63.332,7.561,5.758,5.94
E01000096,5.236,67.982,8.169,6.147,6.169
E01000097,4.976,17.51,5.817,1.479,5.355
E01000098,4.957,17.984,5.628,1.5,5.29
E01000099,5.017,20.077,5.542,1.235,5.218
E01000100,4.686,11.664,5.23,1.102,4.977
E01000101,4.752,30.708,5.803,2.899,5.068
E01000102,4.689,7.248,5.106,0.463,4.985
E01000103,4.267,13.289,4.631,0.584,4.549
E01000104,4.282,21.881,5.505,2.183,4.908
E01000105,4.798,14.711,5.282,0.892,5.064
E01000106,4.715,8.227,5.015,0.375,4.915
E01000107,4.169,6.871,4.564,0.202,4.561
E01000108,4.697,26.123,5.526,2.216,5.076
E01000109,5.111,13.674,5.513,0.69,5.377
E01000110,4.261,19.565,5.147,1.514,4.843
E01000111,4.795,30.829,6.492,3.29,5.627
E01000112,5.131,62.257,6.539,4.91,5.434
E01000113,5.119,36.022,6.06,3.109,5.321
E01000114,4.409,39.397,6.045,3.527,5.274
E01000115,4.49,20.917,5.016,1.275,4.821
E01000116,4.524,22.715,5.33,1.85,4.936
E01000117,4.849,15.904,5.157,0.895,4.993
E01000118,4.795,19.972,5.665,1.702,5.208
E01000119,4.736,5.557,4.857,0.102,4.822
E01000120,4.784,67.766,5.515,3.253,4.985
E01000121,4.783,10.856,5.083,0.522,4.984
E01000122,4.786,11.736,5.229,0.628,5.068
E01000123,4.913,11.334,5.368,0.65,5.236
E01000124,5.285,32.134,6.724,2.76,5.907
E01000125,5.304,44.055,6.294,3.074,5.598
E01000126,6.276,9.002,7.168,0.609,7.023
E01000127,5.211,12.669,5.606,0.791,5.419
E01000128,5.443,8.147,5.843,0.322,5.765
E01000129,5.356,47.305,8.208,6.551,6.134
E01000130,5.531,8.643,6.115,0.43,6.038
E01000131,5.515,49.56,7.1,2.34,6.784
E01000132,5.198,7.636,5.44,0.304,5.379
E01000133,5.336,7.695,5.816,0.365,5.764
E01000134,5.202,27.383,6.142,2.37,5.566
E01000135,6.495,56.111,8.241,5.927,6.897
E01000136,6.129,28.519,6.774,1.479,6.53
E01000137,6.573,22.447,7.49,1.89,6.995
E01000138,6.809,59.688,10.558,9.104,7.479
E01000139,6.606,58.6,8.502,5.163,7.077
E01000140,6.715,32.703,9.196,4.338,7.685
E01000141,6.966,64.711,8.582,4.871,7.359
E01000142,6.808,25.45,7.234,1.178,7.026
E01000143,6.615,57.961,7.487,3.797,6.943
E01000144,6.623,33.966,7.976,3.292,7.139
E01000145,6.76,43.594,7.747,3.371,7.011
E01000146,6.595,38.347,8.458,3.841,7.201
E01000147,10.916,36.23,13.536,2.916,12.876
E01000148,7.242,51.831,12.014,5.166,11.279
E01000150,6.869,46.904,9.376,3.348,8.882
E01000151,6.858,12.892,7.746,0.551,7.656
E01000152,6.351,14.372,7.678,1.506,7.117
E01000153,5.975,8.756,6.733,0.467,6.701
E01000154,7.66,13.452,9.035,1.052,8.76
E01000155,7.341,24.868,9.883,1.698,9.602
E01000156,5.52,30.624,6.715,3.22,5.878
E01000157,5.444,8.069,5.81,0.29,5.756
E01000158,5.082,18.302,5.426,0.812,5.28
E01000159,5.071,43.199,5.892,2.974,5.303
E01000160,5.24,65.948,7.152,7.15,5.682
E01000161,5.363,38.393,7.136,4.193,5.908
E01000162,5.314,49.109,7.343,5.427,5.902
E01000163,5.537,64.079,9.013,9.677,6.101
E01000164,5.447,58.949,7.827,6.673,5.903
E01000165,5.44,53.258,6.96,5.559,5.861
E01000166,3.897,4.54,4.1,0.118,4.088
E01000167,3.862,5.735,4.047,0.175,4.02
E01000168,4.136,4.804,4.313,0.112,4.309
E01000169,4.087,5.266,4.303,0.135,4.282
E01000170,4.282,18.953,4.948,1.305,4.682
E01000171,4.096,22.349,4.986,1.857,4.618
E01000172,4.334,14.195,4.677,0.966,4.492
E01000173,4.416,13.913,4.839,0.906,4.697
E01000174,4.813,16.597,5.542,1.731,5.021
E01000175,4.568,20.933,5.133,1.155,4.939
E01000176,6.108,62.664,12.392,13.332,7.025
E01000177,5.999,18.714,6.415,1.152,6.198
E01000178,5.444,27.292,6.119,2.087,5.773
E01000179,6.004,7.475,6.246,0.217,6.184
E01000180,6.04,15.008,6.592,1.105,6.318
E01000181,5.78,28.071,7.281,2.969,6.408
E01000182,5.951,42.19,6.951,2.898,6.249
E01000183,6.062,17.337,6.624,1.283,6.314
E01000184,5.415,63.954,7.99,7.144,5.996
E01000185,5.967,29.555,6.983,2.971,6.231
E01000186,4.461,34.147,5.867,3.616,5.144
E01000187,4.32,5.341,4.619,0.204,4.576
E01000188,3.967,37.613,4.749,1.845,4.213
E01000189,5.491,32.484,6.711,3.072,5.974
E01000190,5.377,19.356,5.938,1.235,5.703
E01000191,5.241,33.165,6.948,4.05,5.643
E01000192,5.078,31.316,6.123,2.446,5.442
E01000193,5.155,33.741,5.86,1.891,5.519
E01000194,5.11,46.44,6.544,3.931,5.512
E01000195,4.144,11.992,4.876,1.137,4.524
E01000196,5.828,68.061,7.648,5.544,6.292
E01000197,5.772,28.661,6.706,1.894,6.148
E01000198,5.826,51.687,8.529,6.103,6.625
E01000199,5.573,10.816,5.985,0.658,5.764
E01000200,5.613,26.067,6.648,2.382,6.022
E01000201,5.896,68.27,8.135,6.402,6.531
E01000202,5.841,27.727,6.474,2.279,6.132
E01000203,5.898,68.327,9.566,9.699,6.867
E01000204,5.622,52.465,6.162,2.301,5.837
E01000205,5.87,60.814,7.855,5.882,6.44
E01000206,5.743,35.4,6.317,1.667,6.005
E01000207,5.884,37.724,6.729,2.608,6.09
E01000208,5.948,39.484,7.524,3.819,6.402
E01000209,5.861,7.496,6.209,0.25,6.168
E01000210,5.962,65.315,8.019,7.416,6.294
E01000211,6.193,65.283,11.683,11.212,7.685
E01000212,5.916,31.653,6.818,2.179,6.341
E01000213,5.74,10.439,5.998,0.462,5.892
E01000214,6.096,22.651,6.865,1.774,6.44
E01000215,6.453,65.612,10.436,9.706,7.411
E01000216,6.304,24.361,6.712,1.126,6.555
E01000217,6.285,8.0,6.53,0.257,6.462
E01000218,6.467,24.567,7.531,2.299,7.018
E01000219,6.791,68.334,10.118,8.92,7.702
E01000220,6.761,23.801,7.48,1.693,7.07
E01000221,6.788,68.565,13.671,12.797,8.339
E01000222,6.626,59.483,8.171,5.512,6.969
E01000223,6.731,68.323,8.616,5.326,7.275
E01000224,6.701,11.687,7.214,0.597,7.076
E01000225,6.49,68.34,11.006,11.513,7.308
E01000226,5.143,27.446,6.336,2.745,5.591
E01000227,5.077,28.72,5.827,2.275,5.25
E01000228,3.827,45.933,5.057,3.036,4.477
E01000229,4.439,21.508,5.446,1.966,4.924
E01000230,4.39,34.245,5.344,1.981,5.01
E01000231,4.81,60.486,8.539,7.627,5.961
E01000232,5.064,48.809,6.972,4.176,5.637
E01000233,5.162,31.761,6.139,2.73,5.437
E01000234,5.292,23.08,6.421,1.866,5.88
E01000235,5.153,16.636,6.148,1.429,5.644
E01000236,6.444,64.631,9.21,7.577,7.08
E01000237,6.427,63.153,9.61,8.201,7.226
E01000238,6.37,66.944,8.579,7.393,6.753
E01000239,7.056,56.262,13.08,8.034,10.737
E01000240,6.389,68.001,11.049,8.021,8.144
E01000241,6.298,32.719,6.817,1.906,6.587
E01000242,6.371,48.535,8.169,5.325,6.735
E01000243,6.381,39.496,7.812,3.029,6.932
E01000244,6.431,48.067,7.998,2.958,7.331
E01000245,6.387,21.353,7.195,1.782,6.73
E01000246,3.868,33.499,4.136,1.137,3.973
E01000247,3.952,6.768,4.226,0.358,4.133
E01000248,3.953,19.755,4.778,1.753,4.344
E01000249,3.568,11.285,3.911,0.44,3.82
E01000250,3.903,55.65,4.818,3.269,4.182
E01000251,4.129,16.309,4.721,1.386,4.383
E01000252,4.076,19.378,4.562,1.406,4.309
E01000253,3.533,29.319,4.284,1.56,4.004
E01000254,3.473,11.519,3.878,0.583,3.774
E01000255,4.59,17.648,5.25,0.673,5.205
E01000256,5.139,57.63,7.526,5.991,5.878
E01000257,5.306,15.986,5.956,1.004,5.719
E01000258,4.894,47.113,6.622,3.279,5.683
E01000259,5.268,24.091,5.839,0.945,5.66
E01000260,5.527,59.146,9.327,7.289,6.77
E01000261,4.477,19.741,5.103,1.022,4.941
E01000262,4.511,15.632,5.355,0.637,5.385
E01000263,5.246,53.842,6.825,4.843,5.82
E01000264,5.793,61.854,10.188,7.656,7.335
E01000265,5.11,21.93,5.957,1.9,5.459
E01000266,5.106,23.024,6.005,1.284,5.773
E01000267,4.55,19.083,5.258,1.288,4.961
E01000268,4.4,38.277,5.602,3.886,4.629
E01000269,4.439,36.486,5.546,3.58,4.782
E01000270,4.408,31.589,4.874,1.687,4.608
E01000271,4.583,39.977,5.93,3.788,5.149
E01000272,4.979,21.767,5.371,0.758,5.214
E01000273,5.083,47.987,6.958,4.504,5.986
E01000274,5.068,19.499,5.918,1.684,5.576
E01000275,4.929,8.282,5.255,0.35,5.156
E01000276,4.535,10.735,5.07,0.554,4.996
E01000277,5.084,5.817,5.254,0.124,5.219
E01000278,5.232,14.421,5.673,1.099,5.422
E01000279,4.024,24.29,4.514,0.957,4.383
E01000280,4.302,23.638,4.846,1.139,4.613
E01000281,5.838,53.929,8.153,5.575,6.822
E01000282,4.607,37.528,5.897,2.411,5.532
E01000283,4.601,8.156,4.969,0.4,4.901
E01000284,5.19,48.946,6.906,5.419,5.974
E01000285,4.157,6.325,4.394,0.264,4.343
E01000286,4.003,4.601,4.122,0.088,4.094
E01000287,4.005,5.931,4.229,0.187,4.201
E01000288,4.312,39.262,4.866,2.458,4.487
E01000289,4.388,8.835,4.706,0.58,4.569
E01000290,3.823,50.698,4.402,2.285,4.085
E01000291,4.291,6.319,4.573,0.178,4.558
E01000292,4.303,18.164,4.754,1.289,4.508
E01000293,4.378,33.627,4.728,1.629,4.505
E01000294,4.081,16.939,4.388,0.736,4.295
E01000295,5.685,64.791,6.118,2.636,5.882
E01000296,5.516,67.804,7.008,5.142,5.981
E01000297,5.745,36.691,6.913,2.696,6.219
E01000298,5.55,65.746,7.311,6.284,5.88
E01000299,5.195,45.438,6.918,4.706,5.675
E01000300,5.155,6.858,5.4,0.261,5.358
E01000301,5.157,28.786,5.516,0.922,5.426
E01000302,5.316,67.297,6.967,6.931,5.613
E01000303,5.344,8.335,5.644,0.33,5.572
E01000304,5.455,13.408,5.935,0.855,5.734
E01000305,5.796,67.877,8.12,6.035,6.232
E01000306,6.658,47.644,9.146,4.159,7.495
E01000307,6.601,68.593,12.074,11.296,7.909
E01000308,5.853,35.517,6.369,1.254,6.149
E01000309,6.769,56.063,10.575,6.16,8.415
E01000310,6.524,66.904,11.407,10.481,7.716
E01000311,6.49,64.511,8.572,6.337,7.17
E01000312,6.048,35.739,7.54,3.121,6.829
E01000313,6.558,49.034,10.271,5.616,8.245
E01000314,6.513,60.477,8.105,6.069,7.075
E01000315,5.445,49.373,6.918,5.366,5.708
E01000316,5.539,52.831,7.323,4.892,5.998
E01000317,5.539,61.594,6.56,4.727,5.745
E01000318,5.177,31.279,6.4,2.698,5.784
E01000319,5.54,18.165,6.313,1.679,5.771
E01000320,5.215,61.218,6.154,4.691,5.63
E01000321,5.162,61.5,7.725,8.324,5.586
E01000322,5.13,8.185,5.402,0.274,5.358
E01000323,5.236,47.947,6.891,4.212,5.71
E01000324,5.139,31.316,5.805,2.033,5.38
E01000325,4.018,9.225,4.302,0.288,4.269
E01000326,4.019,40.968,4.417,1.992,4.218
E01000327,4.344,20.995,4.881,1.082,4.632
E01000328,3.983,14.583,4.141,0.373,4.077
E01000329,4.086,37.988,4.963,2.679,4.406
E01000330,4.331,21.628,5.403,2.205,4.799
E01000331,4.054,42.636,4.898,2.269,4.299
E01000332,4.663,13.715,5.245,1.098,5.0
E01000333,4.575,12.236,5.076,0.856,4.829
E01000334,4.479,10.052,4.788,0.563,4.69
E01000335,4.408,21.764,5.579,1.428,5.33
E01000336,4.657,7.269,5.402,0.514,5.265
E01000337,4.479,6.417,4.781,0.242,4.735
E01000338,4.695,9.889,5.119,0.457,5.043
E01000339,4.462,11.153,4.836,0.788,4.646
E01000340,4.681,15.163,5.526,1.217,5.247
E01000341,4.63,15.202,5.089,0.997,4.872
E01000342,4.622,5.21,4.753,0.117,4.704
E01000343,4.509,19.993,4.954,1.011,4.713
E01000344,4.551,11.327,4.908,0.755,4.746
E01000345,4.489,5.462,4.666,0.164,4.619
E01000346,4.379,7.529,4.727,0.348,4.656
E01000347,4.703,16.582,5.471,1.409,5.057
E01000348,4.22,7.74,4.71,0.513,4.556
E01000349,4.201,29.274,6.562,4.023,5.083
E01000350,4.354,10.371,4.713,0.542,4.584
E01000351,4.288,14.89,4.814,1.174,4.548
E01000352,4.542,61.984,8.022,6.984,5.746
E01000353,4.583,18.39,5.055,0.994,4.817
E01000354,4.633,8.546,4.999,0.495,4.857
E01000355,4.497,21.784,4.804,1.129,4.63
E01000356,4.74,18.222,5.438,1.442,5.02
E01000357,4.706,6.141,4.815,0.128,4.769
E01000358,4.566,20.329,5.058,1.477,4.754
E01000359,4.579,21.223,5.455,1.976,4.911
E01000360,4.489,21.96,5.329,1.965,4.816
E01000361,4.555,23.804,5.481,2.73,4.765
E01000362,4.359,20.807,5.238,1.764,4.728
E01000363,4.465,29.889,5.733,2.957,4.819
E01000364,4.325,29.871,5.442,2.763,4.563
E01000365,4.482,46.439,4.873,1.763,4.62
E01000366,4.527,9.285,4.918,0.407,4.834
E01000367,4.422,38.329,5.222,2.428,4.717
E01000368,4.177,5.661,4.377,0.15,4.343
E01000369,4.249,6.074,4.523,0.234,4.464
E01000370,4.245,18.269,4.863,1.319,4.563
E01000371,4.168,4.783,4.324,0.108,4.305
E01000372,4.482,5.431,4.654,0.128,4.617
E01000373,4.636,15.601,5.201,1.171,4.952
E01000374,3.793,48.035,5.341,4.485,4.253
E01000375,3.805,25.107,4.386,1.682,4.072
E01000376,3.917,17.3,4.112,0.432,4.049
E01000377,3.921,15.894,4.303,1.058,4.093
E01000378,3.878,33.132,4.608,1.933,4.129
E01000379,3.841,14.017,4.048,0.527,3.983
E01000380,4.021,47.518,6.292,5.593,4.653
E01000381,3.518,15.814,3.946,0.909,3.826
E01000382,3.902,6.141,4.2,0.274,4.191
E01000383,3.393,19.397,3.869,0.989,3.664
E01000384,4.091,21.306,4.678,1.449,4.4
E01000385,3.871,27.35,4.319,1.674,4.015
E01000386,3.963,37.016,5.129,3.236,4.25
E01000387,3.985,16.83,4.244,0.574,4.144
E01000388,4.743,19.091,5.485,0.672,5.465
E01000389,4.569,23.756,5.411,1.973,4.9
E01000390,4.574,30.894,5.833,3.39,4.786
E01000391,4.725,43.039,6.239,4.47,5.251
E01000392,5.033,18.851,6.295,1.991,5.775
E01000393,4.704,20.602,5.326,1.421,5.017
E01000394,4.721,19.572,5.609,1.868,5.083
E01000395,4.997,20.314,5.561,1.424,5.237
E01000396,4.983,5.805,5.228,0.134,5.188
E01000398,5.111,7.922,5.363,0.283,5.286
E01000399,5.179,20.942,5.772,1.448,5.479
E01000400,5.091,22.814,5.931,1.589,5.546
E01000401,5.191,12.681,5.587,0.711,5.468
E01000402,4.652,13.129,5.16,0.828,5.009
E01000403,4.639,43.005,6.11,3.18,5.291
E01000404,4.73,14.652,5.714,1.397,5.38
E01000405,5.068,16.614,5.971,1.158,5.748
E01000406,4.7,13.025,5.565,0.972,5.348
E01000407,4.572,14.337,5.167,1.073,4.914
E01000408,4.406,20.489,5.887,1.28,5.727
E01000409,5.405,13.965,5.875,0.978,5.625
E01000410,5.045,10.144,5.351,0.324,5.281
E01000411,5.318,37.359,6.168,2.341,5.687
E01000412,5.097,57.269,7.67,7.253,5.681
