LAD22CD,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median
E09000002,11.938,29.371,12.72,0.528,12.647
E09000003,11.724,49.249,12.78,0.761,12.685
E09000004,11.744,19.784,12.448,0.428,12.421
E09000005,12.451,73.297,13.278,0.768,13.207
E09000006,11.118,18.573,12.013,0.556,11.986
E09000007,13.018,31.874,14.253,1.169,13.969
E09000001,14.831,53.667,16.035,2.525,15.444
E09000008,11.441,30.848,12.396,0.606,12.255
E09000009,12.136,71.653,13.173,0.882,13.014
E09000010,11.615,31.708,12.459,0.716,12.381
E09000011,12.375,25.946,13.127,0.689,12.999
E09000012,13.061,25.175,13.92,0.688,13.815
E09000013,13.152,29.345,13.91,0.896,13.744
E09000014,12.736,22.965,13.312,0.519,13.227
E09000015,11.793,26.016,12.433,0.438,12.457
E09000016,10.931,21.867,11.809,0.474,11.77
E09000017,11.234,130.061,12.285,0.718,12.284
E09000018,11.967,33.846,12.805,0.7,12.677
E09000019,13.244,26.033,14.268,0.801,14.06
E09000020,13.426,70.447,14.453,1.298,14.225
E09000021,11.578,27.799,12.571,0.599,12.582
E09000022,12.916,39.714,13.839,0.818,13.655
E09000023,12.418,30.988,13.226,0.559,13.141
E09000024,12.525,24.791,13.01,0.418,12.938
E09000025,12.715,35.904,13.453,0.653,13.338
E09000026,11.552,29.719,12.668,0.711,12.666
E09000027,12.058,42.139,12.684,0.488,12.6
E09000028,12.925,40.794,13.846,0.775,13.687
E09000029,11.869,23.054,12.55,0.447,12.564
E09000030,13.29,35.103,14.228,0.993,14.031
E09000031,11.881,28.53,13.051,0.694,13.02
E09000032,12.543,21.959,13.523,0.624,13.387
E09000033,13.687,67.586,15.25,1.566,14.811
