MSOA21CD,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median
E02000002,40.973,270.637,47.123,11.743,44.441
E02000003,41.556,574.546,53.849,19.183,49.649
E02000004,41.895,96.895,45.06,5.048,43.963
E02000005,44.536,180.343,51.851,11.481,49.188
E02000007,43.345,148.295,49.559,10.046,47.429
E02000008,46.394,170.594,52.712,9.986,50.24
E02000009,48.882,175.275,55.617,10.589,52.726
E02000010,45.852,131.073,50.638,8.129,48.679
E02000011,42.399,152.285,48.127,9.62,46.33
E02000012,51.228,159.071,56.812,10.087,54.441
E02000013,47.63,108.108,52.684,5.976,51.584
E02000014,47.346,186.144,53.363,11.342,50.704
E02000015,44.101,130.366,48.922,7.411,47.165
E02000016,57.057,277.201,68.282,17.54,62.885
E02000017,52.952,251.936,60.971,14.973,57.367
E02000018,50.529,340.925,58.744,18.682,53.968
E02000019,48.03,282.696,57.572,19.992,51.824
E02000020,47.737,272.903,56.954,17.251,51.366
E02000021,46.19,307.863,54.693,14.42,50.618
E02000022,57.403,218.278,68.752,18.677,62.731
E02000023,48.422,347.847,58.906,19.788,53.828
E02006799,46.511,131.871,53.36,8.493,51.17
E02000024,40.907,278.342,46.245,10.11,44.025
E02000025,42.467,178.112,45.796,6.228,44.49
E02000026,42.629,108.245,47.249,4.903,46.678
E02000027,43.899,201.943,47.466,7.344,46.16
E02000028,46.731,201.689,53.417,14.424,49.685
E02000029,44.235,146.166,51.87,9.505,49.79
E02000030,41.614,203.362,48.43,10.534,46.17
E02000031,47.019,252.296,55.276,15.849,51.287
E02000032,47.76,335.91,53.256,8.911,51.585
E02000033,49.448,166.873,55.261,8.564,52.924
E02000034,50.477,245.926,55.087,9.667,52.995
E02000035,47.612,245.928,53.015,14.802,51.081
E02000036,46.331,298.837,61.874,21.537,54.778
E02000037,44.788,191.07,53.655,15.246,49.177
E02000038,51.81,327.8,60.73,19.105,56.339
E02000039,50.031,299.567,65.826,24.167,57.95
E02000040,46.45,125.03,51.169,4.709,50.343
E02000041,49.525,223.377,57.25,13.837,53.347
E02000042,51.313,374.427,61.358,20.484,56.848
E02000043,46.62,150.376,53.013,4.932,52.676
E02000044,51.523,138.886,58.18,9.39,55.027
E02000045,55.263,334.836,67.516,26.855,59.71
E02000046,53.83,483.251,63.688,21.519,58.942
E02000047,51.692,248.237,58.478,14.561,54.899
E02000048,51.559,285.789,62.834,20.283,56.714
E02000049,53.752,111.184,59.674,7.056,57.854
E02000050,55.48,293.765,67.861,25.469,60.425
E02000051,56.161,533.675,69.616,29.277,62.413
E02000052,58.391,233.083,64.484,12.59,61.236
E02000054,56.855,645.753,78.363,29.942,68.357
E02000055,57.442,313.683,70.664,22.569,64.629
E02000056,57.728,297.531,63.726,15.185,60.255
E02000057,61.29,390.845,77.8,32.976,67.788
E02000058,58.513,425.622,69.188,25.622,62.747
E02000059,55.536,520.996,68.947,23.263,61.509
E02000060,61.431,437.921,77.066,32.67,67.252
E02000061,59.847,256.448,68.869,16.808,64.498
E02000062,62.91,1106.824,85.176,47.198,70.179
E02000063,61.421,267.841,71.109,21.035,65.446
E02000064,62.053,291.342,72.221,19.596,66.559
E02006953,55.788,136.07,63.285,8.256,60.922
E02006954,54.389,243.067,65.358,13.117,62.453
E02000065,45.859,104.781,49.091,4.76,47.977
E02000066,45.88,188.111,51.608,10.543,49.107
E02000067,45.404,116.296,49.595,6.365,48.185
E02000068,44.066,222.869,52.234,12.846,48.478
E02000069,44.557,100.238,48.939,6.4,47.428
E02000070,45.877,178.284,50.938,9.414,48.785
E02000071,44.723,104.278,48.253,5.437,47.056
E02000072,39.245,190.263,43.968,7.626,42.189
E02000073,46.898,159.168,52.247,9.371,49.727
E02000074,42.835,302.072,50.291,16.685,45.845
E02000075,45.152,131.462,49.347,6.625,48.031
E02000077,47.238,117.58,50.626,5.351,49.658
E02000078,42.891,129.734,46.546,5.311,45.501
E02000079,45.969,223.788,53.302,12.681,50.109
E02000080,46.287,181.795,54.151,10.611,51.766
E02000081,42.827,199.469,50.28,11.87,47.318
E02000082,48.097,278.844,58.742,21.862,52.805
