LSOA11CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median
E01001798,15.882,19.077,16.155,0.484,16.013
E01001799,16.127,16.445,16.235,0.064,16.228
E01001800,16.154,16.958,16.339,0.175,16.28
E01001801,16.304,18.171,16.465,0.29,16.384
E01001802,16.2,18.3,16.464,0.368,16.352
E01001803,16.226,18.756,16.454,0.268,16.398
E01001804,16.305,17.569,16.471,0.204,16.418
E01001805,16.325,19.45,16.538,0.359,16.427
E01001806,16.225,19.183,16.423,0.34,16.33
E01001807,16.092,18.281,16.37,0.421,16.242
E01001808,16.031,20.881,16.565,0.838,16.237
E01001809,16.042,18.133,16.203,0.289,16.131
E01001811,16.125,20.582,16.799,0.808,16.512
E01001812,16.123,17.713,16.362,0.181,16.333
E01001813,16.296,20.371,16.905,0.87,16.555
E01001814,15.833,20.797,16.283,0.786,16.057
E01001815,16.325,17.149,16.494,0.168,16.451
E01001816,16.314,17.695,16.454,0.205,16.403
E01001819,16.405,18.59,16.709,0.443,16.546
E01001820,16.414,18.075,16.604,0.263,16.532
E01001821,16.406,16.6,16.478,0.048,16.466
E01001822,15.844,18.663,16.095,0.422,15.979
E01001823,15.658,15.89,15.739,0.053,15.729
E01001824,15.682,18.748,16.0,0.462,15.859
E01001825,15.747,16.037,15.853,0.052,15.847
E01001826,15.799,18.701,16.125,0.418,16.023
E01001827,15.68,18.186,15.849,0.271,15.8
E01001828,15.711,16.017,15.828,0.063,15.828
E01001829,16.41,21.143,16.71,0.583,16.542
E01001830,16.377,19.329,16.646,0.503,16.488
E01001831,16.463,20.468,16.884,0.583,16.66
E01001832,16.411,19.985,16.88,0.727,16.584
E01001833,16.32,20.402,16.549,0.434,16.435
E01001834,16.342,18.736,16.595,0.415,16.463
E01001835,16.365,18.745,16.487,0.341,16.421
E01001836,16.236,18.754,16.554,0.443,16.39
E01001837,16.291,19.726,16.761,0.585,16.54
E01001838,16.278,18.073,16.416,0.212,16.374
E01001839,16.337,19.933,16.776,0.683,16.508
E01001840,16.276,19.378,16.632,0.542,16.445
E01001841,16.174,18.994,16.433,0.437,16.297
E01001842,16.306,17.986,16.421,0.144,16.405
E01001843,16.279,17.167,16.36,0.078,16.345
E01001844,16.189,18.796,16.589,0.489,16.408
E01001845,16.175,18.009,16.424,0.36,16.294
E01001846,15.884,24.435,16.715,1.195,16.251
E01001847,16.059,19.39,16.534,0.655,16.283
E01001848,16.148,21.122,16.721,0.887,16.382
E01001849,15.867,25.26,16.644,1.215,16.152
E01001850,16.177,18.198,16.431,0.328,16.315
E01001851,16.479,16.966,16.58,0.086,16.562
E01001852,16.561,20.932,16.762,0.413,16.67
E01001853,16.451,16.965,16.611,0.109,16.593
E01001854,16.587,21.166,17.167,1.178,16.762
E01001855,16.508,16.728,16.57,0.041,16.566
E01001856,16.468,23.545,17.278,1.553,16.664
E01001857,16.681,21.61,17.58,1.246,17.032
E01001858,16.203,20.006,16.559,0.638,16.313
E01001859,16.007,16.936,16.115,0.15,16.069
E01001860,16.207,20.291,16.722,0.835,16.374
E01001861,16.107,20.229,16.751,0.862,16.4
E01001862,16.21,18.325,16.477,0.32,16.368
E01001863,16.195,16.572,16.276,0.069,16.265
E01001864,16.191,18.543,16.34,0.358,16.246
E01001865,16.015,16.726,16.124,0.085,16.106
E01001866,16.447,19.446,16.897,0.62,16.697
