LSOA11CD,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median
E01000001,43.088,127.25,58.167,15.12,51.642
E01000002,42.382,80.745,47.73,6.503,45.893
E01000003,42.943,81.494,47.211,5.849,45.344
E01000005,43.723,234.123,61.021,23.223,52.711
E01000006,31.127,34.916,32.592,0.778,32.567
E01000007,33.76,68.003,38.692,6.11,36.561
E01000008,33.822,120.43,39.997,9.674,36.838
E01000009,32.614,75.034,37.105,6.468,34.95
E01000010,33.448,70.962,38.069,6.058,35.951
E01000011,31.905,59.367,35.501,4.745,34.331
E01000012,32.576,57.513,35.454,3.33,34.648
E01000013,28.214,68.829,32.506,6.516,30.229
E01000014,28.071,56.672,29.56,2.882,28.937
E01000015,27.433,44.726,29.281,2.56,28.557
E01000016,27.529,49.706,29.769,3.436,28.875
E01000017,28.179,55.209,30.372,3.726,29.357
E01000018,27.458,34.962,28.832,1.001,28.631
E01000019,28.274,35.524,29.577,1.089,29.362
E01000020,28.922,47.118,30.476,2.032,29.919
E01000021,28.745,70.434,31.836,4.86,30.288
E01000022,29.197,31.395,30.082,0.405,30.057
E01000023,29.456,70.792,33.112,4.925,31.422
E01000024,29.803,60.685,32.887,5.346,31.183
E01000025,29.708,54.459,31.385,2.345,30.905
E01000027,24.651,54.119,26.453,2.96,25.586
E01000028,26.294,36.189,27.354,0.907,27.185
E01000029,27.175,74.538,31.208,7.154,29.1
E01000030,26.026,98.39,31.116,8.811,28.094
E01000031,24.984,165.587,30.339,8.652,28.022
E01000032,26.648,62.604,28.795,3.556,28.037
E01000033,26.499,49.662,28.869,2.916,28.17
E01000034,26.044,44.463,27.487,2.485,26.829
E01000035,26.412,59.701,30.136,4.904,28.577
E01000036,25.867,55.79,28.102,3.049,27.445
E01000037,26.656,44.019,28.232,2.187,27.846
E01000038,26.568,46.72,28.727,2.786,28.184
E01000039,25.613,43.297,26.344,1.404,26.012
E01000040,30.648,55.018,33.252,3.772,32.14
E01000041,29.802,60.195,33.736,5.303,32.022
E01000042,29.814,58.803,32.045,2.649,31.459
E01000043,31.781,84.301,35.847,6.598,33.624
E01000044,31.107,83.068,36.879,7.779,34.228
E01000045,31.018,123.052,38.584,12.432,34.08
E01000046,30.308,54.944,32.082,3.1,31.177
E01000048,33.022,42.249,34.072,1.131,33.803
E01000049,33.465,89.576,38.25,8.261,35.239
E01000050,33.324,70.531,36.602,5.616,34.795
E01000051,33.172,72.698,37.843,6.81,35.575
E01000052,34.084,92.309,39.764,7.797,36.832
E01000053,30.265,102.836,36.214,9.516,32.895
E01000054,29.317,35.868,30.446,0.924,30.304
E01000055,29.562,38.67,30.952,1.198,30.636
E01000056,29.277,54.88,31.961,2.681,31.235
E01000057,28.95,51.118,31.784,3.434,30.737
E01000058,28.728,42.114,30.629,2.571,29.914
E01000059,29.143,38.024,30.402,1.253,30.126
E01000060,26.011,68.374,28.733,4.038,28.092
E01000061,26.044,65.78,28.81,4.759,27.302
E01000062,27.644,41.172,28.862,1.485,28.66
