LSOA21CD,PM10d-2013-min,PM10d-2013-max,PM10d-2013-mean,PM10d-2013-std,PM10d-2013-median
E01003146,10.841,30.03,11.877,2.137,11.305
E01003147,10.808,34.85,12.106,3.792,11.181
E01003148,11.672,28.419,12.349,1.362,12.026
E01003149,11.301,31.533,12.323,2.26,11.715
E01003150,11.659,55.362,13.723,5.119,12.196
E01003151,11.894,22.469,12.992,1.589,12.591
E01003152,11.638,29.107,13.024,2.467,12.274
E01003153,12.135,94.744,16.193,7.712,13.66
E01003154,11.574,34.101,13.458,3.44,12.277
E01003155,11.699,60.472,12.971,5.206,12.126
E01003156,12.767,16.722,13.562,0.649,13.41
E01003157,12.579,17.1,13.361,0.781,13.108
E01003158,12.568,15.387,13.036,0.624,12.843
E01003159,12.699,28.901,13.947,2.403,13.181
E01003160,12.966,49.316,15.753,5.385,14.225
E01003161,12.973,45.425,14.401,3.099,13.573
E01003162,12.954,59.561,17.296,7.581,14.595
E01003163,12.82,43.53,14.595,3.125,13.744
E01003164,11.674,58.131,15.728,5.956,13.505
E01003165,11.565,32.474,13.368,2.767,12.357
E01003166,11.789,45.627,14.733,4.809,12.914
E01003167,11.496,25.433,12.544,2.148,12.001
E01003168,11.556,14.589,12.106,0.443,12.014
E01003169,11.905,30.943,13.502,3.026,12.583
E01003170,11.533,40.975,12.952,2.939,12.119
E01003171,12.13,48.98,13.493,3.79,12.694
E01003172,11.984,26.245,13.56,2.837,12.657
E01003173,12.136,23.309,12.752,1.256,12.503
E01003174,12.146,36.757,14.004,3.814,12.755
E01003175,12.145,29.781,13.114,2.359,12.554
E01003176,13.384,55.931,17.573,6.939,14.922
E01003177,12.549,42.759,14.637,3.431,13.514
E01003178,12.482,45.029,14.149,3.819,13.136
E01003179,12.171,23.859,13.644,2.633,12.745
E01003180,13.703,46.933,15.425,2.865,14.709
E01003181,14.828,43.658,17.916,5.895,15.966
E01003182,13.383,25.642,14.183,1.339,13.858
E01003183,14.554,53.09,17.005,4.542,15.594
E01003184,14.263,42.157,16.268,4.424,15.239
E01003185,14.19,35.755,15.911,3.209,14.958
E01003186,13.887,52.455,15.823,4.038,14.536
E01003187,14.208,21.961,14.897,1.086,14.574
E01003188,14.298,23.92,15.705,2.041,14.95
E01003189,10.348,16.253,10.694,0.412,10.575
E01003190,10.433,45.171,12.727,4.141,11.272
E01003191,10.037,26.408,11.259,2.332,10.684
E01003192,9.468,32.052,10.39,1.983,9.845
E01003193,10.376,47.418,12.34,4.007,11.235
E01003194,10.476,70.96,12.175,4.234,11.132
E01003195,10.374,37.41,11.721,3.186,11.027
E01003196,10.385,11.462,10.67,0.203,10.62
E01003197,10.343,11.363,10.568,0.196,10.492
E01003198,11.447,20.917,12.112,1.202,11.838
E01003199,11.379,84.486,12.654,3.972,11.785
E01003200,11.246,69.348,13.961,5.627,12.315
E01003201,11.743,53.58,13.643,3.628,12.718
E01003202,11.489,33.982,13.44,3.583,12.266
E01003203,11.485,30.065,12.655,2.682,11.928
E01003204,11.727,64.913,13.89,4.45,12.729
E01003205,12.346,44.591,14.245,3.433,13.195
E01003206,11.421,18.316,11.912,0.491,11.815
E01003207,12.65,60.152,15.737,6.546,13.61
E01003209,12.375,43.338,15.482,5.289,13.633
E01003210,12.185,40.936,14.116,4.183,12.882
E01003211,11.69,41.937,13.839,4.361,12.564
E01003212,12.043,54.212,13.973,4.285,12.727
E01003213,11.625,24.234,12.667,1.672,12.173
E01003214,11.789,29.114,13.314,2.688,12.463
E01003215,12.43,62.856,17.425,7.935,14.585
E01003216,10.508,16.575,11.207,0.598,11.089
E01003217,10.443,16.387,11.114,0.961,10.905
E01003218,10.379,13.056,10.702,0.463,10.558
E01003219,10.203,13.052,10.581,0.326,10.479
E01003220,10.678,41.27,13.254,5.349,11.509
E01003221,10.648,61.034,12.943,5.595,11.374
E01003222,10.461,37.423,11.326,2.495,10.859
E01003223,10.276,44.074,11.277,2.947,10.698
E01003224,10.952,21.496,12.041,1.835,11.4
E01003225,11.078,17.976,11.693,0.924,11.446
E01003226,11.247,59.836,14.152,6.191,12.263
E01003227,11.107,22.708,11.644,0.701,11.485
E01003228,11.212,24.863,11.773,1.05,11.59
E01003229,11.194,27.811,12.607,2.825,11.702
E01003230,11.074,32.145,11.886,2.097,11.463
E01003231,11.375,43.258,12.923,3.832,11.905
E01003232,11.323,61.556,13.195,5.308,11.97
E01003233,11.524,21.449,13.105,2.036,12.283
E01003235,9.446,20.633,9.973,1.126,9.682
E01003236,9.983,33.025,11.399,2.792,10.615
E01003237,9.874,28.013,10.985,2.35,10.251
E01003238,10.038,20.508,10.72,1.274,10.367
E01003239,9.898,19.459,10.393,1.078,10.136
E01003240,9.867,23.166,10.749,1.574,10.367
E01003241,9.761,53.217,12.233,4.059,11.075
E01003243,9.655,32.085,10.923,2.263,10.311
E01003244,12.424,13.602,12.734,0.228,12.666
E01003245,12.616,28.966,13.371,1.085,13.254
E01003246,12.248,30.844,13.065,1.609,12.666
E01003247,12.518,39.408,13.978,3.155,13.191
E01003248,12.046,40.327,13.678,3.483,12.826
E01003249,12.12,13.581,12.564,0.283,12.523
E01003251,12.021,36.51,13.401,3.317,12.431
E01003252,12.435,32.735,13.48,2.713,12.752
E01003253,12.523,45.015,15.425,4.746,13.861
E01003254,11.118,53.628,11.919,2.185,11.421
E01003255,11.325,43.063,14.043,4.626,12.277
E01003256,11.097,25.344,12.108,1.876,11.607
E01003257,11.156,34.416,12.748,3.231,11.768
E01003258,10.928,28.11,12.163,2.622,11.412
E01003259,10.98,25.417,12.55,2.585,11.681
E01003260,11.153,33.925,11.964,1.853,11.509
E01003261,11.359,32.319,12.982,3.098,11.964
E01003262,11.207,16.764,11.826,0.891,11.505
E01003263,10.005,28.639,10.885,1.685,10.402
E01003264,9.82,21.926,10.741,1.908,10.22
E01003265,9.616,23.585,10.824,2.125,10.212
E01003266,9.604,15.332,10.254,0.978,9.983
E01003267,9.265,15.239,9.664,0.511,9.566
E01003268,10.394,94.095,12.731,5.452,11.405
E01003269,10.561,68.586,14.113,7.292,11.901
E01003270,10.17,22.28,10.996,1.194,10.738
E01003271,10.015,18.24,10.717,0.829,10.548
E01003272,11.549,60.288,13.702,6.325,12.11
E01003273,11.391,13.158,11.812,0.354,11.76
E01003274,11.494,29.287,13.155,2.582,12.243
E01003275,11.175,12.598,11.611,0.246,11.588
E01003276,11.391,27.669,12.462,1.927,11.869
E01003277,11.575,34.219,12.264,1.985,11.899
E01003278,11.746,41.378,14.098,4.588,12.868
E01003279,11.436,16.784,11.925,0.512,11.829
E01003280,11.01,68.515,14.879,9.027,11.986
E01003281,10.759,39.723,11.509,2.491,11.06
E01003282,11.212,28.999,12.226,2.163,11.711
E01003283,11.077,29.841,12.054,2.316,11.462
E01003284,11.016,14.482,11.549,0.445,11.426
E01003285,11.11,29.592,12.578,2.556,11.775
E01003286,11.161,43.182,13.169,4.205,11.866
E01003287,10.874,13.366,11.273,0.379,11.17
E01003288,11.609,31.938,13.398,3.205,12.521
E01003290,11.13,22.035,12.326,1.822,11.787
E01003291,11.388,61.682,13.209,5.099,12.031
E01003292,11.091,22.338,11.922,1.605,11.539
E01003293,11.234,60.801,12.832,5.603,11.661
E01003295,10.906,36.098,12.397,2.985,11.471
E01003297,12.448,24.518,13.362,1.871,12.85
E01003298,12.332,22.81,13.171,1.462,12.751
E01003299,12.438,98.927,16.038,9.808,13.344
E01003300,12.261,31.836,13.869,2.748,12.951
E01003301,12.327,24.542,12.941,1.314,12.602
E01003302,12.719,71.831,14.368,5.17,13.291
E01003303,12.624,97.416,16.9,11.136,13.541
E01003304,12.662,42.623,14.114,2.899,13.249
E01003305,12.513,26.641,13.246,1.464,12.902
E01003307,11.096,21.272,11.822,1.179,11.485
E01003308,11.124,37.987,12.688,3.616,11.691
E01003309,10.914,19.147,11.688,1.379,11.298
E01003310,11.09,35.386,12.817,3.002,11.869
E01003311,11.051,36.157,12.159,2.58,11.498
E01003312,10.633,22.813,11.608,1.778,11.154
E01003313,10.584,11.667,10.84,0.213,10.809
E01003314,11.099,14.018,11.566,0.516,11.415
E01003315,11.246,40.468,12.944,3.843,11.84
E01003316,11.154,34.031,13.202,3.894,11.809
E01003318,11.06,86.747,16.14,9.911,12.823
E01003319,11.206,54.52,15.422,6.728,13.072
E01003320,10.905,37.368,12.264,2.989,11.438
E01003321,11.286,40.25,13.843,4.533,12.312
E01003322,11.302,49.407,12.507,3.483,11.765
E01003323,10.909,15.332,11.462,0.528,11.362
E01003324,11.511,67.49,14.335,7.54,12.158
E01003325,11.376,62.183,13.969,6.292,12.237
E01003326,10.434,26.624,11.843,2.491,11.069
E01003327,10.501,28.285,11.98,2.557,11.185
E01003328,10.701,31.022,11.644,1.941,11.179
E01003329,10.859,25.909,11.412,1.314,11.141
E01003330,10.688,40.069,12.104,3.685,11.226
E01003331,10.77,23.979,11.606,1.687,11.167
E01003332,10.681,27.982,11.799,2.281,11.094
E01003333,10.592,25.157,11.422,1.858,10.987
E01003334,10.834,32.671,12.926,3.611,11.688
E01003335,10.593,11.714,10.894,0.209,10.85
E01003336,11.493,17.938,12.063,0.746,11.853
E01003337,11.305,18.077,11.917,1.007,11.632
E01003338,13.745,72.549,18.457,8.061,15.327
E01003339,12.415,51.832,15.387,5.599,13.521
E01003340,12.046,85.282,15.231,8.113,13.016
E01003341,12.033,23.955,12.925,1.681,12.458
E01003342,11.619,28.93,12.992,1.787,12.393
E01003343,12.104,24.948,13.367,1.804,12.692
E01003344,11.935,21.956,12.709,1.61,12.254
E01003345,11.723,21.108,12.729,1.106,12.396
E01003346,10.075,37.562,11.784,3.198,10.923
E01003347,10.244,11.148,10.523,0.203,10.455
E01003348,10.122,40.62,11.441,2.704,10.809
E01003349,10.078,16.118,10.431,0.616,10.27
E01003350,10.117,15.97,10.453,0.514,10.321
E01003351,10.158,36.644,10.96,2.147,10.526
E01003352,10.48,42.371,12.66,4.737,11.167
E01003353,10.113,24.81,11.162,1.641,10.787
E01003354,10.076,50.01,11.472,3.276,10.731
E01003355,11.207,46.813,13.856,5.231,11.97
E01003356,10.442,42.293,11.929,3.306,11.115
E01003357,10.516,53.833,12.988,4.11,11.88
E01003358,11.221,30.976,12.891,3.592,11.713
E01003359,11.055,36.951,12.812,3.723,11.76
E01003360,11.323,63.654,13.72,5.164,12.008
E01003361,10.262,26.124,11.324,2.143,10.705
E01003362,9.624,17.797,10.099,0.609,9.95
E01003363,9.565,14.95,10.079,0.604,9.945
E01003364,9.696,14.412,10.194,0.648,10.039
E01003365,9.92,22.467,10.734,1.261,10.46
E01003366,9.681,30.259,10.918,2.331,10.311
E01003368,10.734,21.473,11.246,0.885,11.077
E01003369,10.901,12.609,11.361,0.298,11.311
E01003370,10.981,32.992,13.137,4.193,11.669
E01003371,10.832,13.149,11.291,0.426,11.192
E01003372,10.844,32.983,11.635,2.338,11.18
E01003373,10.374,17.512,10.905,0.919,10.644
E01003374,10.446,54.42,12.965,4.824,11.369
E01003375,9.692,143.728,12.224,7.984,10.52
E01003376,10.339,17.638,10.831,0.707,10.711
E01003377,10.344,11.279,10.621,0.195,10.559
E01003378,10.417,18.496,11.051,0.948,10.843
E01003379,10.74,43.537,12.534,3.842,11.461
E01003380,10.379,30.504,11.361,1.921,10.877
E01003381,10.435,31.527,12.261,2.832,11.167
E01003382,10.411,21.025,11.437,1.654,10.879
E01003383,10.558,53.912,13.168,4.728,11.887
E01003384,10.8,54.784,13.991,6.838,11.933
E01003385,10.451,14.689,10.897,0.535,10.797
E01003386,10.7,26.238,12.052,2.306,11.449
E01003387,10.662,30.369,11.726,2.017,11.117
E01003388,10.98,39.632,12.401,3.155,11.504
E01003389,10.805,59.666,13.9,6.194,11.852
E01003390,11.081,39.125,14.143,5.138,12.319
E01003391,10.563,17.623,11.155,1.092,10.839
E01003392,10.708,39.694,12.869,3.9,11.438
E01003393,11.028,35.466,12.838,3.78,11.579
E01003394,10.921,24.4,11.624,1.714,11.216
E01003395,10.666,25.454,11.237,1.268,11.006
E01003396,10.997,17.513,11.738,0.676,11.571
E01003397,10.96,20.081,11.459,0.743,11.278
E01003398,10.724,28.779,11.708,2.19,11.176
E01003399,10.486,25.392,12.083,2.524,11.234
E01003400,10.649,25.226,12.684,3.017,11.614
E01003401,10.653,34.376,11.85,2.833,11.081
E01003402,10.573,42.555,12.195,3.341,11.257
E01003403,10.305,26.684,11.18,1.67,10.781
E01003404,10.326,28.393,11.362,2.158,10.764
E01003405,10.593,21.957,11.487,1.424,11.147
E01003406,10.78,15.511,11.0,0.361,10.903
E01003407,10.787,23.753,11.97,2.042,11.25
E01003408,10.599,27.795,11.507,1.56,11.197
E01003409,10.826,36.118,11.946,2.512,11.308
E01003410,10.787,22.147,11.516,1.22,11.186
E01003411,10.509,19.351,11.413,1.252,11.122
E01003412,10.613,19.379,11.332,1.391,10.914
E01003413,10.525,17.245,11.159,0.947,10.898
E01003414,10.572,25.72,11.036,0.757,10.914
E01003415,10.489,25.086,11.578,1.843,11.111
E01003416,10.451,33.093,11.199,2.054,10.773
E01003417,9.541,25.754,10.765,1.82,10.32
E01003418,9.524,19.914,10.066,1.071,9.866
E01003419,9.112,10.507,9.422,0.273,9.323
E01003420,9.237,17.156,9.794,0.62,9.694
E01003421,9.284,32.12,10.666,2.532,10.14
E01003422,9.545,27.314,10.864,1.866,10.324
E01003423,10.167,33.829,11.63,3.23,10.811
E01003424,10.316,24.968,11.281,1.922,10.791
E01003425,10.181,11.789,10.527,0.26,10.445
E01003426,10.504,41.996,12.479,4.044,11.364
E01003427,10.293,96.624,13.87,8.335,11.377
E01003428,10.167,34.683,12.082,3.748,10.935
E01003429,10.135,12.093,10.757,0.324,10.707
E01003430,10.367,27.79,11.731,2.856,10.812
E01003431,9.959,23.987,10.75,1.385,10.495
