LSOA21CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E01000001,60.324,280.432,80.379,46.478,62.718
E01000002,59.658,271.6,67.701,26.47,61.477
E01000003,60.223,299.871,67.631,24.852,62.381
E01000005,56.971,329.421,73.946,36.539,59.306
E01000006,37.461,61.593,40.265,2.399,39.843
E01000007,40.379,145.201,49.244,12.93,44.881
E01000008,41.438,259.456,56.578,23.04,49.291
E01000009,40.221,121.497,47.892,11.116,43.968
E01000011,38.343,72.411,41.448,3.402,40.839
E01000012,38.773,84.702,42.342,3.577,41.781
E01000013,32.314,148.982,38.586,13.729,34.814
E01000014,31.705,84.873,33.685,5.01,32.898
E01000015,31.016,54.538,33.264,2.886,32.546
E01000016,31.102,84.621,34.484,5.947,33.059
E01000017,32.462,86.131,35.592,6.353,33.956
E01000018,31.054,43.291,33.219,1.677,32.836
E01000019,32.417,41.805,34.061,1.307,33.727
E01000020,33.199,74.022,36.735,5.706,35.13
E01000021,32.945,103.201,37.679,8.084,35.174
E01000022,33.653,37.612,34.983,0.699,34.812
E01000024,34.276,91.514,39.12,9.051,36.23
E01000025,34.129,84.014,36.164,3.768,35.385
E01000027,27.932,74.181,30.433,3.861,29.238
E01000028,30.619,47.253,32.011,1.282,31.7
E01000029,31.328,95.208,37.12,10.944,33.892
E01000030,29.971,214.723,38.527,16.043,33.375
E01000031,28.36,402.883,36.602,15.513,32.948
E01000032,30.597,125.981,34.888,9.262,32.621
E01000033,30.018,58.852,33.046,3.165,32.225
E01000034,29.159,71.247,31.514,4.693,30.404
E01000035,29.692,101.535,35.032,7.912,32.693
E01000036,28.529,85.134,31.879,4.368,31.117
E01000037,29.97,69.65,32.794,4.211,31.948
E01000038,29.815,86.371,33.58,6.194,32.476
E01000039,28.25,91.699,29.63,3.232,28.958
E01000040,37.035,86.826,39.876,4.339,38.851
E01000041,34.416,153.483,40.104,10.607,37.425
E01000042,35.393,109.75,39.983,7.429,38.215
E01000043,39.18,139.912,46.244,13.562,41.894
E01000044,37.663,91.313,44.692,7.129,42.178
E01000045,36.844,201.162,54.298,26.946,43.868
E01000046,34.506,47.826,36.555,1.766,36.255
E01000049,41.068,187.354,55.551,24.845,46.686
E01000050,40.458,111.608,44.857,9.068,42.395
E01000051,40.042,120.138,47.176,12.61,42.85
E01000052,41.771,174.884,54.268,18.762,46.964
E01000053,34.341,112.083,41.712,10.824,38.097
E01000054,32.874,46.318,35.129,1.886,34.61
E01000055,33.949,68.321,37.63,4.958,36.291
E01000056,32.655,70.265,37.736,5.87,35.801
E01000057,33.663,90.469,37.555,5.977,35.733
E01000058,32.916,58.38,35.641,4.184,34.337
E01000059,32.765,48.438,34.299,1.791,33.807
E01000060,29.146,123.572,34.003,8.334,32.368
E01000061,29.169,114.368,34.707,9.94,31.764
E01000062,31.415,53.998,33.499,2.71,33.025
E01000063,32.399,114.569,36.527,8.046,34.258
E01000064,31.387,68.69,34.159,5.521,32.606
E01000065,32.345,75.649,36.402,6.625,34.199
E01000066,34.308,107.783,36.599,4.477,35.937
E01000067,35.901,101.239,40.744,9.36,37.813
E01000068,36.187,98.486,38.561,3.848,37.739
E01000069,34.778,87.428,38.045,3.711,37.362
E01000070,35.572,109.224,39.476,6.763,37.817
E01000071,34.755,96.558,39.116,6.575,37.489
E01000072,33.948,133.196,37.447,8.42,35.208
E01000073,33.883,87.061,35.876,3.915,35.038
E01000074,34.248,90.734,37.89,7.429,35.786
E01000075,32.176,146.887,35.855,7.22,34.401
E01000076,34.146,87.499,36.312,4.049,35.403
E01000077,34.01,137.435,40.07,12.191,36.467
E01000078,33.351,174.575,40.464,13.141,36.393
E01000079,31.68,59.537,33.662,3.397,32.902
E01000080,31.915,94.899,36.577,7.626,34.591
E01000081,32.289,43.597,33.794,1.526,33.493
E01000082,32.601,83.129,36.918,8.46,34.345
E01000083,33.491,107.58,38.878,8.469,36.312
E01000084,32.911,107.738,37.608,8.602,35.098
E01000085,33.424,83.61,36.98,6.831,35.365
E01000086,32.791,75.039,36.445,6.787,34.321
E01000087,34.598,114.366,41.455,12.329,37.049
E01000088,31.781,74.335,35.964,6.424,34.407
E01000089,31.613,37.321,33.925,1.15,33.837
E01000090,32.196,197.971,39.414,13.131,35.676
E01000091,34.388,51.213,36.78,2.549,35.984
E01000093,34.78,145.387,47.328,18.201,41.498
E01000094,32.946,60.128,34.748,2.664,33.849
E01000095,32.376,166.423,40.341,15.013,35.565
E01000096,35.361,149.531,47.859,18.949,41.078
E01000097,33.937,88.313,38.708,7.412,36.242
E01000098,33.948,78.146,38.255,6.642,36.186
E01000099,31.261,74.638,34.691,4.456,33.696
E01000100,31.454,85.982,34.152,5.907,32.94
E01000101,31.987,118.223,36.818,9.821,34.164
E01000102,31.544,74.526,34.313,4.271,33.296
E01000103,29.995,80.24,32.714,5.083,31.549
E01000104,30.407,130.577,39.171,12.28,34.917
E01000105,31.665,113.449,35.522,7.56,33.843
E01000106,31.476,58.956,33.766,3.053,33.101
E01000107,28.478,44.477,29.991,1.477,29.596
E01000108,29.505,98.588,33.917,7.295,32.217
E01000110,31.31,107.81,35.791,8.46,33.795
E01000111,31.468,106.776,37.346,8.859,34.822
E01000112,32.008,140.686,38.177,11.631,34.387
E01000113,33.286,126.482,39.222,10.887,36.022
E01000114,30.17,228.704,38.683,16.807,34.585
E01000115,33.165,106.077,37.337,6.572,35.813
E01000116,33.044,96.029,37.412,6.224,36.121
E01000117,34.288,74.594,37.729,5.307,36.313
E01000118,34.675,122.829,41.882,10.491,38.539
E01000119,34.2,41.247,35.329,1.075,34.99
E01000120,34.476,96.298,37.611,6.58,36.034
E01000121,34.47,75.434,36.643,3.572,35.893
E01000122,34.609,54.708,37.061,2.653,36.38
E01000123,34.854,75.573,37.621,3.378,36.887
E01000124,37.19,159.257,44.857,10.98,41.232
E01000126,36.803,62.602,39.1,3.056,38.237
E01000127,35.625,75.006,38.209,4.08,37.238
E01000128,36.305,54.8,38.502,2.259,37.768
E01000129,36.508,130.742,47.508,15.729,41.687
E01000130,36.748,79.645,40.598,6.554,38.482
E01000131,35.906,116.155,38.457,6.298,37.151
E01000132,35.614,75.092,38.149,3.78,37.434
E01000133,36.87,77.536,40.116,5.414,38.675
E01000134,35.751,87.832,39.665,6.391,37.819
E01000135,42.058,200.248,49.529,18.715,44.28
E01000136,41.034,87.379,44.045,4.606,43.12
E01000137,42.929,104.598,48.088,7.055,45.926
E01000138,42.888,176.735,57.994,26.595,48.096
E01000139,42.277,272.948,51.723,21.454,45.206
E01000140,44.119,136.691,52.856,10.65,49.223
E01000141,43.988,220.587,55.546,19.733,49.292
E01000142,42.897,201.883,46.192,8.445,44.642
E01000143,42.475,128.057,47.688,12.379,44.705
E01000144,42.833,117.014,48.598,9.47,45.748
E01000145,42.821,149.83,47.628,11.395,44.424
E01000146,42.537,162.378,49.92,12.909,45.526
E01000147,38.862,91.952,41.916,5.197,40.827
E01000150,39.87,146.208,45.625,10.687,42.49
E01000151,38.365,57.853,40.638,2.708,39.978
E01000152,37.056,115.798,47.197,14.399,41.817
E01000153,36.653,58.032,38.54,2.318,37.809
E01000154,37.896,64.853,40.874,4.125,39.549
E01000156,38.497,119.204,44.289,11.007,40.98
E01000157,38.115,51.339,40.549,1.574,40.221
E01000158,35.623,76.558,38.239,4.008,37.31
E01000159,35.474,98.664,38.906,6.725,37.051
E01000160,36.88,172.471,44.613,16.613,39.713
E01000161,37.764,112.365,45.157,11.88,41.406
E01000162,37.176,162.671,45.681,15.404,40.9
E01000163,38.619,141.312,49.119,20.024,42.066
E01000164,37.909,192.651,48.059,19.316,41.054
E01000165,37.809,131.593,44.208,11.701,41.156
E01000166,29.471,35.04,31.369,0.983,31.352
E01000167,29.351,62.542,31.325,2.868,30.913
E01000168,31.368,36.709,32.612,0.796,32.41
E01000169,31.113,36.636,32.441,0.866,32.238
E01000170,32.069,79.791,36.436,5.701,34.974
E01000171,31.464,116.225,38.24,9.787,35.734
E01000172,32.055,102.777,34.891,6.78,33.328
E01000173,32.074,84.5,34.972,5.088,34.08
E01000174,34.213,104.642,40.022,9.818,36.574
E01000175,32.658,74.237,36.055,4.473,35.029
E01000176,40.497,170.268,58.246,29.221,46.107
E01000177,39.637,100.464,42.197,4.417,41.254
E01000178,37.503,103.665,40.75,5.994,39.591
E01000179,39.645,50.618,41.321,1.322,41.076
E01000180,40.135,81.227,43.251,5.487,41.881
E01000181,39.761,122.195,46.812,10.63,43.343
E01000182,39.884,154.529,46.167,13.028,42.597
E01000183,40.088,85.57,42.986,5.46,41.582
E01000184,37.521,262.032,47.8,20.734,41.215
E01000185,39.869,103.407,44.384,8.934,41.696
E01000186,32.865,98.245,38.59,9.385,36.345
E01000187,32.798,38.645,34.201,1.087,33.987
E01000188,30.629,160.225,38.356,15.16,33.056
E01000189,33.943,152.739,41.08,14.408,36.747
E01000190,33.78,80.202,35.656,3.949,34.724
E01000191,34.435,146.098,42.615,14.319,37.449
E01000192,34.545,93.889,39.823,8.223,37.076
E01000193,33.673,109.833,37.958,7.364,36.12
E01000194,34.518,198.661,42.269,15.333,37.6
E01000195,31.907,116.112,42.239,13.986,37.59
E01000196,39.435,197.928,47.948,16.227,42.83
E01000197,38.824,106.808,44.157,8.017,41.509
E01000198,39.366,145.728,51.527,18.933,44.639
E01000199,37.69,63.504,40.517,3.57,39.237
