LSOA11CD,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median
E01000001,45.645,215.204,55.131,22.02,47.074
E01000002,45.41,135.877,49.652,11.883,46.504
E01000003,45.277,93.024,47.894,6.855,46.215
E01000005,44.227,207.011,54.136,22.092,45.432
E01000006,32.77,35.47,33.611,0.53,33.562
E01000007,34.426,57.605,37.444,4.421,35.972
E01000008,34.493,84.056,38.615,6.066,36.595
E01000009,33.642,63.701,36.909,5.184,35.149
E01000010,34.105,63.271,36.984,4.166,35.602
E01000011,33.616,57.896,36.131,3.79,35.212
E01000012,33.827,56.26,35.34,2.089,34.878
E01000013,29.812,60.878,32.738,4.582,31.22
E01000014,30.095,50.6,30.893,1.888,30.484
E01000015,29.315,42.122,30.496,1.825,30.0
E01000016,29.307,43.99,30.769,2.36,30.148
E01000017,29.846,47.244,31.099,2.227,30.506
E01000018,29.303,35.67,30.215,0.788,30.025
E01000019,30.29,34.847,30.972,0.706,30.772
E01000020,30.51,44.247,31.499,1.453,31.095
E01000021,30.603,55.612,32.617,3.211,31.591
E01000022,30.718,32.54,31.307,0.339,31.265
E01000023,31.223,56.506,33.677,3.273,32.573
E01000024,31.208,54.103,33.153,3.512,32.062
E01000025,31.134,46.432,32.287,1.548,31.954
E01000027,27.246,49.281,28.476,1.975,27.963
E01000028,28.418,35.345,29.179,0.685,29.027
E01000029,29.076,56.464,31.691,4.774,30.295
E01000030,28.301,78.85,31.515,5.505,29.688
E01000031,27.549,125.201,31.101,5.383,29.756
E01000032,28.955,52.728,30.27,2.078,29.73
E01000033,28.681,49.843,30.386,2.465,29.794
E01000034,28.085,43.515,29.233,1.806,28.674
E01000035,29.001,56.105,31.263,3.557,30.162
E01000036,28.052,53.398,29.8,2.251,29.429
E01000037,28.228,43.083,29.306,1.835,28.896
E01000038,28.459,43.537,29.737,1.98,29.322
E01000039,27.618,42.606,28.378,1.11,28.112
E01000040,32.392,54.837,34.036,2.903,33.313
E01000041,31.292,52.501,33.711,3.231,32.766
E01000042,31.661,51.748,32.914,1.585,32.564
E01000043,32.931,61.77,35.391,4.2,34.154
E01000044,32.764,78.561,35.771,5.328,34.319
E01000045,32.074,85.174,36.836,7.114,34.19
E01000046,31.55,47.5,32.616,1.964,32.083
E01000048,34.006,40.471,34.598,0.758,34.431
E01000049,34.231,64.803,37.382,5.023,35.523
E01000050,34.002,64.227,36.266,4.333,34.996
E01000051,34.052,69.332,37.251,5.384,35.441
E01000052,34.129,63.953,38.143,5.331,36.168
E01000053,31.242,60.752,34.85,5.165,33.05
E01000054,30.728,36.033,31.43,0.717,31.223
E01000055,30.932,37.381,31.887,0.907,31.665
E01000056,30.685,47.845,32.409,1.765,31.964
E01000057,30.737,45.558,32.299,2.04,31.637
E01000058,30.454,40.992,31.645,1.84,31.117
