LSOA11CD,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median
E01000001,25.125,85.981,27.932,7.265,25.52
E01000002,24.988,53.434,26.14,3.499,25.276
E01000003,24.934,39.803,25.652,2.061,25.183
E01000005,24.78,83.626,27.72,7.417,25.116
E01000006,21.266,22.095,21.526,0.166,21.508
E01000007,21.525,30.385,22.518,1.56,22.041
E01000008,21.533,42.577,22.835,2.248,22.156
E01000009,21.528,31.614,22.43,1.599,21.943
E01000010,21.612,30.395,22.357,1.187,21.976
E01000011,21.379,27.724,22.062,0.956,21.865
E01000012,21.38,27.342,21.708,0.503,21.606
E01000013,20.437,29.235,21.338,1.481,20.854
E01000014,20.519,28.688,20.771,0.639,20.642
E01000015,20.35,24.407,20.738,0.561,20.583
E01000016,20.32,24.972,20.702,0.732,20.504
E01000017,20.376,25.99,20.749,0.682,20.579
E01000018,20.332,22.072,20.561,0.212,20.5
E01000019,20.49,22.13,20.778,0.259,20.722
E01000020,20.62,24.78,20.957,0.437,20.816
E01000021,20.756,30.385,21.705,1.191,21.347
E01000022,20.797,21.768,21.107,0.197,21.08
E01000023,21.392,29.818,22.6,1.075,22.313
E01000024,21.113,30.401,21.948,1.323,21.559
E01000025,21.216,27.073,21.94,0.616,21.854
E01000027,19.367,27.702,19.77,0.71,19.608
E01000028,19.582,21.566,19.798,0.201,19.751
E01000029,19.769,30.051,20.627,1.547,20.195
E01000030,19.569,36.348,20.558,1.835,19.965
E01000031,19.369,65.081,20.579,2.092,20.082
E01000032,19.877,27.926,20.367,0.707,20.184
E01000033,20.024,28.273,20.721,0.913,20.527
E01000034,19.693,24.876,20.188,0.622,19.952
E01000035,20.482,29.792,21.339,1.204,21.001
E01000036,20.304,29.517,20.969,0.731,20.856
E01000037,19.716,24.207,20.03,0.532,19.913
E01000038,19.812,24.045,20.16,0.541,20.046
E01000039,19.581,24.43,20.207,0.521,20.094
E01000040,21.169,28.371,21.643,0.913,21.417
E01000041,20.884,27.602,21.606,0.985,21.321
E01000042,20.996,28.055,21.351,0.556,21.227
E01000043,21.303,34.305,22.134,1.654,21.671
E01000044,21.262,39.68,22.172,2.001,21.678
E01000045,21.148,49.821,22.826,3.082,21.754
E01000046,20.995,26.923,21.383,0.725,21.195
E01000048,21.662,23.742,21.868,0.239,21.829
E01000049,21.718,35.43,22.961,2.112,22.205
