LSOA21CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median
E01000001,17.645,23.13,18.628,1.043,18.19
E01000002,17.574,20.011,17.895,0.418,17.777
E01000003,17.589,20.257,17.874,0.386,17.752
E01000005,17.588,30.743,18.449,1.449,17.928
E01000006,15.629,15.954,15.773,0.067,15.775
E01000007,15.784,18.74,16.189,0.56,16.009
E01000008,15.749,23.671,16.195,0.825,15.943
E01000009,15.798,18.854,16.118,0.491,15.959
E01000011,15.715,17.451,15.954,0.293,15.884
E01000012,15.713,17.309,15.836,0.16,15.8
E01000013,15.22,18.202,15.545,0.508,15.373
E01000014,15.207,17.88,15.312,0.234,15.26
E01000015,15.137,16.593,15.321,0.212,15.266
E01000016,15.147,16.84,15.292,0.256,15.223
E01000017,15.175,17.048,15.329,0.266,15.261
E01000018,15.163,15.691,15.255,0.072,15.239
E01000019,15.233,15.803,15.333,0.087,15.314
E01000020,15.292,16.527,15.402,0.149,15.356
E01000021,15.261,18.676,15.522,0.41,15.4
E01000022,15.305,15.498,15.375,0.038,15.371
E01000024,15.352,18.166,15.621,0.481,15.47
E01000025,15.352,17.641,15.518,0.216,15.479
E01000027,14.755,17.551,14.951,0.263,14.881
E01000028,14.946,15.771,15.032,0.067,15.021
E01000029,15.048,18.89,15.405,0.639,15.218
E01000030,14.974,21.613,15.427,0.8,15.166
E01000031,14.867,29.406,15.347,0.73,15.164
E01000032,15.025,17.984,15.2,0.305,15.132
E01000033,14.961,17.774,15.181,0.295,15.116
E01000034,14.919,16.467,15.04,0.207,14.978
E01000035,14.982,17.97,15.317,0.439,15.186
E01000036,14.977,17.559,15.153,0.26,15.098
E01000037,14.966,16.336,15.089,0.179,15.055
E01000038,14.973,16.594,15.126,0.205,15.089
E01000039,14.875,16.384,14.975,0.12,14.962
E01000040,15.547,17.601,15.725,0.268,15.653
E01000041,15.359,17.47,15.652,0.362,15.539
E01000042,15.43,18.039,15.599,0.202,15.556
E01000043,15.607,20.306,15.881,0.531,15.718
E01000044,15.623,20.681,16.029,0.687,15.833
E01000045,15.489,24.945,16.178,1.267,15.741
E01000046,15.4,17.157,15.542,0.215,15.487
E01000049,15.833,21.635,16.261,0.846,15.993
E01000050,15.845,18.421,16.072,0.393,15.954
E01000051,15.938,18.699,16.25,0.502,16.068
E01000052,15.704,21.119,16.152,0.619,15.95
