MSOA21CD,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median
E02000002,27.246,78.85,29.28,3.284,28.499
E02000003,27.549,125.201,31.445,4.592,30.44
E02000004,27.618,43.537,28.758,1.526,28.469
E02000005,28.786,64.346,31.164,3.121,30.394
E02000007,28.332,56.591,30.338,2.889,29.741
E02000008,29.598,60.713,31.56,2.801,30.841
E02000009,30.603,60.763,32.733,2.991,31.944
E02000010,29.303,51.935,30.812,2.27,30.26
E02000011,27.886,56.105,29.834,2.697,29.382
E02000012,31.687,59.969,33.426,2.795,32.746
E02000013,30.221,47.195,31.871,1.744,31.598
E02000014,29.812,61.929,31.749,2.921,31.028
E02000015,28.527,51.208,30.19,2.071,29.68
E02000016,33.827,84.056,37.14,4.58,35.668
E02000017,32.443,78.561,34.808,3.894,33.823
E02000018,31.292,89.138,33.698,4.545,32.423
E02000019,30.417,77.394,33.062,4.867,31.605
E02000020,30.287,77.25,33.234,4.495,31.727
E02000021,29.47,80.41,32.048,3.702,30.972
E02000022,33.986,72.644,37.231,4.772,35.63
E02000023,30.548,90.116,33.642,4.854,32.334
E02006799,29.67,53.178,31.781,2.452,31.143
E02000024,27.21,78.157,28.988,2.678,28.355
E02000025,27.896,60.69,29.047,1.767,28.676
E02000026,28.032,47.206,29.722,1.513,29.592
E02000027,28.439,65.489,29.651,1.923,29.304
E02000028,29.552,65.529,31.525,3.718,30.504
E02000029,28.62,55.293,31.26,2.681,30.725
E02000030,27.574,66.551,30.102,2.96,29.531
E02000031,29.799,75.441,32.451,4.033,31.357
E02000032,30.182,94.274,32.062,2.374,31.572
E02000033,30.76,62.335,32.837,2.509,32.114
E02000034,31.216,76.792,32.825,2.605,32.218
E02000035,30.143,76.758,31.968,3.771,31.493
E02000036,29.6,82.643,34.411,5.611,32.55
E02000037,29.011,64.721,31.749,4.246,30.484
E02000038,31.927,91.935,34.627,4.762,33.496
E02000039,31.182,83.133,35.894,6.241,33.813
E02000040,29.785,52.161,31.569,1.495,31.341
E02000041,30.834,72.555,33.258,3.846,32.136
E02000042,31.683,99.535,34.773,5.062,33.637
E02000043,29.851,57.929,32.221,1.593,32.142
E02000044,31.76,55.866,33.829,2.711,32.918
E02000045,33.239,92.417,36.749,6.611,34.715
E02000046,32.64,114.353,35.757,5.0,34.516
E02000047,31.892,73.583,33.867,3.583,32.944
E02000048,31.798,80.947,35.46,5.292,33.81
E02000049,32.616,48.847,34.632,2.072,34.166
E02000050,33.329,87.077,37.031,6.435,35.077
E02000051,33.692,122.239,37.625,6.641,35.774
E02000052,34.505,75.847,36.331,3.404,35.401
E02000054,34.048,122.015,40.114,7.318,37.633
E02000055,34.272,86.967,38.163,5.42,36.621
E02000056,34.513,86.498,36.243,3.898,35.269
E02000057,35.635,100.616,40.146,7.624,37.684
E02000058,34.832,103.311,37.757,5.932,36.118
E02000059,33.595,118.789,37.603,5.784,35.612
E02000060,35.809,107.936,40.072,7.642,37.587
E02000061,35.246,80.021,37.939,4.33,36.763
E02000062,36.174,221.121,42.085,10.302,38.481
E02000063,35.853,82.945,38.594,5.357,37.083
E02000064,36.191,86.855,39.04,5.043,37.507
E02006953,33.543,54.944,36.072,2.325,35.436
E02006954,33.068,73.312,36.638,3.528,35.897
E02000065,29.378,46.021,30.474,1.409,30.139
E02000066,29.4,62.856,31.175,2.822,30.469
E02000067,29.201,47.742,30.48,1.796,30.064
E02000068,28.388,65.249,30.959,3.117,30.023
E02000069,28.679,44.683,30.155,1.89,29.718
E02000070,29.257,61.051,30.901,2.579,30.282
E02000071,28.757,45.629,29.912,1.578,29.548
E02000072,26.396,60.514,28.144,2.092,27.654
E02000073,29.656,56.643,31.329,2.575,30.62
E02000074,27.88,73.819,30.077,3.948,28.966
E02000075,29.013,51.236,30.344,1.839,29.968
E02000077,29.912,48.902,31.023,1.568,30.758
E02000078,28.07,50.692,29.248,1.517,28.94
E02000079,29.368,69.477,31.509,3.346,30.653
E02000080,29.692,64.169,32.16,2.908,31.508
E02000081,28.055,67.028,30.436,3.28,29.616
E02000082,30.284,82.443,33.495,5.521,31.916
E02000083,27.368,68.707,29.41,3.443,28.489
E02000084,29.152,60.953,32.341,4.427,30.842
E02000085,29.475,84.028,32.735,5.288,31.073
E02000086,29.146,54.246,30.524,1.495,30.258
E02000087,26.981,59.434,30.26,3.892,29.286
E02000088,27.966,50.373,30.009,2.092,29.601
E02000089,29.558,55.769,30.757,2.081,30.305
E02000090,29.234,64.216,31.263,3.279,30.288
E02000091,28.136,63.689,30.23,3.211,29.482
E02000092,26.616,61.189,28.529,2.751,28.017
E02006785,30.313,55.319,31.676,2.196,31.167
E02000093,31.803,66.4,33.437,2.518,32.796
E02000094,32.397,74.779,35.048,3.429,34.263
E02000095,31.382,62.667,33.984,3.681,32.947
E02000096,31.234,60.596,32.446,2.389,31.926
E02000097,32.272,57.655,34.26,2.124,33.89
E02000098,31.934,60.663,33.565,2.303,32.991
E02000099,31.771,58.168,33.074,2.072,32.59
E02000100,31.233,63.736,32.879,2.997,32.161
E02000101,32.857,81.547,36.216,4.108,35.145
E02000102,34.106,99.771,37.784,7.067,36.024
E02000103,34.793,108.588,38.286,5.583,36.82
E02000104,32.93,68.504,35.586,3.795,34.579
E02000105,32.233,78.678,34.484,3.9,33.368
E02000106,35.191,104.799,41.998,8.694,39.136
E02000107,35.81,83.343,37.931,3.831,36.961
E02000108,32.119,49.282,34.009,2.312,33.417
E02000110,35.871,64.638,37.398,2.127,36.969
E02000111,32.708,76.42,35.666,4.114,34.551
E02000112,33.938,93.19,38.36,6.212,36.521
E02000113,34.883,97.545,41.971,9.489,38.705
E02000114,36.509,97.204,38.75,4.711,37.529
E02000115,36.756,82.602,39.216,3.768,38.027
E02000116,36.393,97.902,38.787,5.261,37.332
E02000117,36.67,114.178,41.079,7.228,38.856
E02000118,34.499,73.452,36.402,2.474,35.829
E02000119,36.137,119.318,39.523,6.957,37.519
E02000120,37.801,75.825,40.433,4.45,39.173
E02000121,33.667,78.913,36.854,4.288,35.782
E02000122,36.56,59.814,37.812,1.97,37.278
E02000123,37.066,447.855,41.623,12.92,39.34
E02000124,37.209,77.058,40.097,4.096,38.93
E02000125,37.213,79.217,39.802,4.226,38.559
E02000126,39.112,69.056,41.469,3.365,40.523
E02006955,34.561,63.535,36.886,4.1,35.593
E02006956,34.362,74.012,36.539,3.036,35.896
E02000127,29.751,49.681,31.504,1.684,31.133
E02000128,28.549,50.131,29.944,1.667,29.628
E02000130,31.657,58.695,33.215,2.231,32.709
E02000131,32.226,62.237,34.282,2.889,33.519
E02000132,31.039,70.125,33.072,2.956,32.225
E02000133,27.305,65.815,29.785,2.429,29.458
E02000134,29.923,60.418,32.226,3.202,31.346
E02000135,31.901,56.516,33.49,2.596,32.87
E02000136,27.246,61.641,28.849,2.434,28.227
E02000137,29.716,51.053,31.155,1.792,30.752
E02000138,30.435,54.905,31.913,2.132,31.35
E02000139,30.94,55.23,32.339,2.222,31.786
E02000140,27.255,67.183,29.538,3.741,28.512
E02000141,31.006,69.884,33.007,3.083,32.234
E02000142,28.702,68.022,31.235,3.047,30.463
E02000144,29.184,74.967,31.483,3.344,30.551
E02000145,24.478,61.021,26.486,2.056,26.076
E02000146,28.251,62.455,30.168,3.16,29.424
E02000147,28.925,60.02,30.533,2.284,30.017
E02000148,26.786,43.315,28.105,1.105,27.836
E02000149,26.813,69.19,28.291,2.849,27.638
E02000150,29.102,52.269,30.879,1.882,30.671
E02000151,26.626,49.693,27.785,1.609,27.44
E02000152,26.782,58.513,28.224,2.057,27.85
E02000153,27.968,53.671,29.529,2.056,29.067
E02000154,26.456,66.284,28.327,3.359,27.374
E02000155,24.999,68.327,27.332,2.46,26.864
E02000156,28.266,58.567,29.829,2.421,29.252
E02000157,26.054,49.516,27.448,1.956,27.032
E02000158,24.794,51.529,26.263,1.663,26.006
E02000159,25.266,70.538,27.516,2.931,27.025
E02000160,25.556,63.392,27.663,2.09,27.457
E02000161,25.204,49.586,26.673,1.832,26.369
E02000162,22.956,54.872,24.906,1.714,24.608
E02000163,22.89,50.593,24.871,1.889,24.55
E02000165,22.677,42.397,23.96,1.189,23.815
E02006782,29.635,50.745,30.973,1.615,30.867
E02006787,30.545,74.153,32.938,4.128,31.835
E02006789,22.212,42.517,23.961,1.376,23.841
E02000166,35.344,71.321,37.193,2.762,36.576
E02000167,35.424,70.92,38.334,3.854,37.406
E02000168,37.559,74.83,41.524,4.619,40.018
E02000169,36.531,105.004,39.053,5.168,37.948
E02000170,36.259,100.718,39.218,5.48,37.984
E02000171,38.054,84.528,41.745,4.947,40.204
E02000172,39.002,74.771,41.29,3.385,40.297
E02000173,38.601,98.351,42.331,6.483,40.341
E02000174,39.248,75.784,42.134,3.931,40.955
E02000175,37.882,111.943,41.455,6.504,39.751
E02000176,39.001,87.742,41.749,5.032,40.19
E02000177,39.383,69.968,42.567,4.364,41.219
E02000178,37.419,74.088,41.018,4.889,39.407
E02000179,38.977,74.525,42.828,5.065,41.388
E02000180,40.568,87.995,44.498,5.651,42.548
E02000181,38.628,58.347,40.177,2.755,39.344
E02000182,39.157,99.676,43.281,7.134,40.986
E02000183,40.155,69.371,42.357,3.431,41.286
E02000184,40.806,101.446,46.196,6.063,44.548
E02000185,39.22,77.12,41.954,3.926,40.69
E02000186,40.968,160.251,46.473,8.8,43.834
E02000187,40.98,165.122,46.1,9.975,43.9
E02000188,42.528,108.618,46.831,7.387,44.927
E02000191,44.626,156.795,52.056,14.029,47.144
E02000192,45.586,136.523,49.419,9.637,46.753
E02000193,45.672,170.194,52.701,14.201,47.847
E02007115,44.433,143.094,49.164,10.458,45.994
E02000001,44.201,335.378,54.214,20.31,48.386
E02000194,31.959,65.54,34.553,3.22,33.642
E02000195,32.453,64.746,34.28,2.839,33.603
E02000196,32.434,71.32,33.762,2.699,33.182
E02000197,32.352,74.174,33.832,3.192,33.084
E02000198,32.547,65.239,34.423,3.589,33.383
E02000199,32.489,69.971,34.08,3.11,33.155
E02000200,31.876,53.777,33.34,2.423,32.735
E02000201,30.763,56.016,33.142,2.837,32.39
E02000202,32.262,59.826,33.319,2.309,32.829
E02000203,32.207,67.841,34.355,3.583,33.303
E02000204,31.738,65.155,33.88,3.356,33.085
E02000206,31.53,65.471,33.591,3.196,32.853
E02000207,29.877,61.303,32.414,3.151,31.744
E02000208,32.212,65.362,34.124,3.541,33.17
E02000209,31.17,65.621,33.781,3.99,32.875
E02000210,31.249,55.018,32.231,1.317,32.007
E02000211,29.316,51.657,30.203,0.883,30.045
E02000212,30.849,73.943,34.08,4.074,33.214
E02000213,32.636,92.151,36.053,5.818,34.323
E02000214,29.899,54.681,31.783,2.862,31.103
