LSOA21CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E01000001,74.74,368.453,116.488,46.721,96.488
E01000002,72.606,191.722,86.478,17.184,81.608
E01000003,74.267,189.02,85.769,16.943,80.407
E01000005,76.567,893.091,132.11,89.434,101.741
E01000006,46.913,57.438,51.315,2.19,51.291
E01000007,53.603,164.944,67.77,17.516,61.503
E01000008,52.994,333.414,69.024,28.781,59.926
E01000009,51.263,176.081,63.376,18.059,57.389
E01000011,48.646,127.238,58.718,13.349,55.665
E01000012,50.749,121.878,59.785,11.703,56.652
E01000013,41.104,164.069,52.235,18.512,46.011
E01000014,39.46,120.003,43.994,8.246,42.171
E01000015,39.042,84.596,43.863,6.622,42.118
E01000016,39.35,100.895,45.358,9.307,43.137
E01000017,40.852,117.578,46.962,10.156,44.298
E01000018,39.092,58.406,42.852,2.576,42.441
E01000019,40.552,59.964,44.55,2.842,44.071
E01000020,42.624,93.24,47.453,6.222,45.584
E01000021,41.947,159.957,49.798,12.923,45.912
E01000022,43.681,48.825,45.976,0.988,45.879
E01000024,44.927,130.865,52.853,14.203,48.49
E01000025,44.316,110.507,48.616,6.094,47.444
E01000027,32.884,112.71,37.407,7.869,35.129
E01000028,36.928,60.546,39.423,1.756,39.236
E01000029,39.497,192.677,49.772,19.074,44.318
E01000030,36.024,258.345,49.231,24.066,41.54
E01000031,33.373,528.407,48.109,27.274,41.015
E01000032,37.345,133.783,43.295,9.766,41.379
E01000033,37.083,113.291,43.209,7.817,41.471
E01000034,35.577,83.526,39.558,6.411,37.809
E01000035,36.363,127.854,46.483,13.134,42.446
E01000036,34.927,116.404,40.908,8.209,39.057
E01000037,37.404,81.071,42.284,5.577,41.36
E01000038,37.104,89.859,42.976,6.621,41.795
E01000039,34.542,80.057,36.495,3.744,35.536
E01000040,45.709,117.05,52.437,9.186,50.025
E01000041,44.45,136.579,55.116,15.675,50.32
E01000042,43.405,121.537,49.637,7.339,47.968
E01000043,49.115,219.625,60.032,19.373,53.681
E01000044,46.865,198.656,63.779,22.822,55.707
E01000045,46.827,374.263,69.962,44.179,54.421
E01000046,45.625,120.53,50.331,9.095,47.768
E01000049,52.538,267.842,68.045,31.268,57.24
E01000050,52.232,162.051,62.16,16.097,57.159
E01000051,51.873,170.105,65.535,20.685,58.146
E01000052,55.276,249.404,72.379,24.769,62.861
E01000053,45.493,375.628,63.101,34.267,52.11
E01000054,42.824,59.331,46.094,2.206,45.894
E01000055,43.523,65.712,47.201,2.926,46.283
E01000056,42.614,115.665,49.964,8.03,47.561
E01000057,41.796,105.891,49.557,9.475,46.863
E01000058,41.419,78.186,46.722,6.807,44.879
E01000059,42.454,65.782,45.893,3.296,45.227
E01000060,35.472,141.114,42.625,11.04,40.906
E01000061,35.541,140.638,42.411,12.322,38.503
E01000062,39.942,75.999,42.975,3.92,42.406
E01000063,41.053,132.428,47.812,11.721,44.321
E01000064,39.76,126.264,45.328,9.879,42.368
E01000065,40.542,113.947,47.164,10.832,43.867
E01000066,42.958,135.07,47.912,6.68,47.244
E01000067,46.706,145.102,55.276,15.547,50.468
E01000068,44.298,145.93,50.256,9.859,48.031
E01000069,43.123,90.211,48.066,3.284,47.944
E01000070,43.409,165.767,52.916,14.641,49.565
E01000071,43.043,94.544,48.583,5.664,47.455
