MSOA21CD,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median
E02000002,19.368,36.348,19.969,1.073,19.703
E02000003,19.369,65.081,20.863,1.734,20.605
E02000004,19.581,24.876,20.181,0.548,20.024
E02000005,20.019,32.596,21.005,1.039,20.823
E02000007,19.817,30.464,20.586,1.037,20.411
E02000008,20.305,32.517,20.969,1.007,20.713
E02000009,20.756,30.401,21.856,1.127,21.574
E02000010,20.32,29.303,20.758,0.789,20.567
E02000011,19.764,29.792,20.788,0.951,20.662
E02000012,20.956,31.025,21.649,0.971,21.401
E02000013,20.555,27.24,21.318,0.721,21.133
E02000014,20.437,30.238,21.186,0.944,20.986
E02000015,19.873,28.168,20.49,0.695,20.385
E02000016,21.38,42.577,22.379,1.538,21.934
E02000017,21.068,39.68,21.846,1.305,21.561
E02000018,20.884,52.591,21.804,1.889,21.331
E02000019,20.401,41.729,21.945,1.947,21.356
E02000020,20.284,40.41,21.488,1.735,21.044
E02000021,20.159,40.809,21.15,1.374,20.731
E02000022,21.657,37.406,22.698,1.839,22.107
E02000023,20.449,53.108,21.669,2.051,21.162
E02006799,20.49,27.647,21.026,0.741,20.818
E02000024,18.914,37.434,19.714,0.883,19.52
E02000025,19.406,31.148,19.763,0.559,19.648
E02000026,19.447,25.709,19.984,0.499,19.951
E02000027,19.574,32.562,20.113,0.625,20.056
E02000028,20.01,32.318,20.688,1.268,20.387
E02000029,19.678,28.298,20.571,0.859,20.437
E02000030,18.994,35.693,20.06,1.005,19.921
E02000031,20.199,36.782,21.427,1.421,21.061
E02000032,20.091,49.726,20.673,0.868,20.512
E02000033,20.397,30.815,20.976,0.81,20.749
E02000034,20.683,40.179,21.3,0.929,21.12
E02000035,20.218,40.361,21.108,1.482,20.826
E02000036,19.748,39.734,21.295,1.781,20.859
E02000037,19.53,32.154,20.48,1.264,20.061
E02000038,20.67,44.766,21.453,1.654,21.062
E02000039,20.504,40.598,22.105,2.058,21.509
E02000040,20.092,27.208,20.882,0.531,20.877
E02000041,20.675,34.436,21.376,1.269,21.021
E02000042,20.746,47.826,21.575,1.737,21.18
E02000043,20.15,29.987,20.983,0.533,20.974
E02000044,20.745,28.5,21.446,0.756,21.261
E02000045,20.994,42.417,21.962,2.177,21.323
E02000046,21.062,49.927,21.823,1.704,21.436
E02000047,20.789,35.866,21.658,1.26,21.305
E02000048,20.847,41.328,21.955,1.817,21.371
E02000049,21.453,25.774,22.545,0.683,22.437
E02000050,20.976,42.295,22.155,2.325,21.489
E02000051,21.144,54.696,22.329,2.432,21.713
E02000052,21.281,33.302,21.903,0.977,21.648
E02000054,21.685,51.137,23.706,2.481,22.818
E02000055,21.739,41.578,22.698,1.884,22.189
E02000056,21.249,43.832,21.837,1.327,21.544
E02000057,21.739,46.799,23.149,2.765,22.288
E02000058,21.347,43.789,22.269,1.952,21.8
E02000059,21.298,50.334,22.689,1.852,22.166
E02000060,21.803,51.732,23.161,2.894,22.307
E02000061,21.531,39.178,22.342,1.403,22.019
E02000062,21.91,121.133,23.809,4.058,22.549
E02000063,21.925,39.287,22.731,1.86,22.232
E02000064,21.887,38.729,22.718,1.596,22.249
E02006953,22.719,31.272,24.36,1.125,24.341
E02006954,22.347,36.058,24.615,1.34,24.555
E02000065,20.01,26.78,20.402,0.543,20.24
E02000066,20.072,32.776,20.634,1.01,20.388
E02000067,20.017,28.135,20.863,0.807,20.626
E02000068,20.016,33.513,21.298,1.017,21.1
E02000069,20.188,25.762,20.826,0.688,20.658
E02000070,20.093,32.21,20.546,0.89,20.336
E02000071,20.027,25.578,20.357,0.516,20.237
E02000072,18.921,49.061,20.154,1.329,19.855
E02000073,20.167,28.685,20.718,0.873,20.489
E02000074,19.614,34.74,20.505,1.416,20.213
E02000075,20.122,28.14,20.474,0.614,20.349
E02000077,20.302,26.652,20.786,0.514,20.698
E02000078,19.59,27.098,20.054,0.523,19.973
E02000079,19.964,34.435,20.668,0.973,20.422
E02000080,20.359,32.092,21.305,0.837,21.165
E02000081,19.549,33.417,20.238,1.036,19.998
E02000082,20.297,40.744,21.415,1.929,20.909
E02000083,19.324,34.889,19.993,1.215,19.685
E02000084,19.801,30.51,20.902,1.409,20.461
E02000085,19.961,40.688,21.062,1.742,20.585
E02000086,19.878,27.623,20.34,0.481,20.268
E02000087,18.986,30.257,20.03,1.236,19.754
E02000088,19.338,27.498,20.118,0.761,19.986
E02000089,20.029,28.522,20.398,0.694,20.245
E02000090,19.831,31.952,20.533,1.038,20.23
E02000091,19.454,30.739,20.163,0.943,19.96
E02000092,18.807,32.007,19.519,0.916,19.396
E02006785,20.478,28.427,21.017,0.682,20.89
E02000093,20.63,33.971,21.247,0.899,21.026
E02000094,20.98,36.605,22.42,1.339,22.088
E02000095,20.409,30.275,21.279,1.193,20.96
E02000096,20.35,30.46,20.7,0.774,20.527
E02000097,20.771,29.198,21.429,0.684,21.362
E02000098,20.559,30.63,21.144,0.772,20.93
E02000099,20.38,28.7,20.912,0.643,20.786
E02000100,20.231,32.878,20.796,1.059,20.572
E02000101,20.975,39.185,22.106,1.353,21.788
E02000102,21.256,52.099,22.499,2.934,21.826
