LSOA11CD,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median
E01003247,10.801,14.813,11.078,0.507,10.945
E01003248,10.722,15.825,11.069,0.639,10.902
E01003249,10.721,11.027,10.832,0.061,10.836
E01003250,10.804,15.107,11.002,0.412,10.889
E01003251,10.73,16.207,11.09,0.696,10.892
E01003252,10.844,16.433,11.072,0.623,10.915
E01003253,10.893,17.671,11.316,0.73,11.109
E01003254,10.441,14.866,10.612,0.379,10.51
E01003255,10.487,14.84,10.939,0.688,10.693
E01003256,10.471,12.811,10.636,0.281,10.564
E01003257,10.44,13.429,10.686,0.461,10.542
E01003258,10.339,11.238,10.43,0.11,10.402
E01003259,10.362,14.118,10.655,0.437,10.518
E01003260,10.452,12.941,10.619,0.294,10.529
E01003261,10.436,13.031,10.662,0.353,10.559
E01003262,10.421,11.881,10.509,0.148,10.475
E01003263,10.136,12.734,10.356,0.337,10.258
E01003264,10.104,11.962,10.272,0.248,10.207
E01003265,10.043,12.198,10.291,0.342,10.201
E01003266,10.051,11.471,10.178,0.168,10.133
E01003267,9.926,10.695,10.035,0.082,10.033
E01003268,10.232,17.791,10.624,0.782,10.411
E01003269,10.247,14.568,10.661,0.66,10.449
E01003270,10.198,12.719,10.371,0.285,10.31
E01003271,10.127,12.637,10.308,0.241,10.256
E01003272,10.574,13.591,10.76,0.388,10.65
E01003273,10.501,10.806,10.588,0.068,10.593
E01003274,10.513,13.014,10.749,0.353,10.649
E01003275,10.433,10.69,10.538,0.056,10.537
E01003276,10.504,13.229,10.666,0.256,10.592
E01003277,10.569,12.38,10.665,0.167,10.632
E01003278,10.584,15.235,10.96,0.654,10.779
E01003279,10.506,11.275,10.608,0.082,10.592
E01003280,10.386,16.684,10.879,0.905,10.561
E01003281,10.348,15.004,10.506,0.405,10.417
E01003282,10.45,13.722,10.612,0.326,10.536
E01003283,10.422,14.121,10.572,0.346,10.475
E01003284,10.398,11.488,10.514,0.104,10.481
E01003285,10.327,14.289,10.659,0.532,10.508
E01003286,10.333,15.083,10.669,0.602,10.496
E01003287,10.361,11.217,10.455,0.118,10.427
E01003288,10.519,15.129,10.865,0.632,10.685
E01003290,10.439,13.4,10.689,0.338,10.596
E01003291,10.453,15.601,10.704,0.514,10.579
E01003292,10.439,12.28,10.604,0.227,10.548
E01003293,10.481,15.167,10.7,0.604,10.563
E01003295,10.389,15.417,10.651,0.527,10.5
E01003296,10.565,16.453,11.123,0.918,10.821
E01003297,10.8,12.576,10.914,0.191,10.865
E01003298,10.809,12.001,10.923,0.162,10.879
E01003299,10.842,19.324,11.448,1.256,11.05
E01003300,10.815,13.207,11.039,0.324,10.945
E01003301,10.811,12.146,10.9,0.131,10.865
E01003302,10.848,15.85,11.123,0.59,10.973
E01003303,10.887,19.719,11.294,0.825,11.039
E01003304,10.913,15.492,11.056,0.346,10.987
E01003305,10.854,14.012,10.995,0.293,10.925
E01003307,10.491,12.801,10.581,0.183,10.536
E01003308,10.451,12.79,10.604,0.315,10.517
E01003309,10.459,12.438,10.635,0.277,10.554
E01003310,10.496,14.167,10.783,0.434,10.64
E01003311,10.456,13.102,10.615,0.282,10.544
E01003312,10.46,12.023,10.587,0.218,10.521
E01003313,10.418,11.431,10.485,0.112,10.455
E01003314,10.454,11.079,10.523,0.091,10.494
E01003315,10.501,14.467,10.781,0.563,10.607
E01003316,10.479,13.578,10.675,0.425,10.545
E01003317,10.428,16.49,10.559,0.348,10.476
E01003318,10.399,17.804,10.969,0.912,10.667
E01003319,10.473,15.885,11.02,0.81,10.751
E01003320,10.408,13.296,10.62,0.339,10.517
E01003321,10.458,13.644,10.793,0.559,10.617
E01003322,10.438,14.465,10.598,0.271,10.553
E01003323,10.407,11.095,10.546,0.121,10.529
E01003324,10.498,14.843,10.847,0.724,10.6
E01003325,10.507,14.465,10.796,0.483,10.656
E01003326,10.36,13.722,10.63,0.405,10.515
E01003327,10.389,14.033,10.751,0.573,10.569
E01003328,10.359,15.394,10.539,0.409,10.45
E01003329,10.447,14.172,10.552,0.263,10.492
E01003330,10.307,13.878,10.481,0.342,10.395
E01003331,10.332,13.149,10.531,0.379,10.435
E01003332,10.307,13.057,10.5,0.366,10.393
E01003333,10.421,13.65,10.633,0.396,10.53
E01003334,10.377,15.915,10.803,0.636,10.603
E01003335,10.443,11.568,10.544,0.143,10.512
E01003336,10.57,11.853,10.68,0.161,10.631
E01003337,10.515,12.215,10.648,0.214,10.594
E01003338,10.949,15.693,11.361,0.691,11.122
E01003339,10.786,14.248,11.117,0.57,10.918
E01003340,10.683,19.647,11.065,0.89,10.846
E01003341,10.677,15.136,10.772,0.251,10.74
E01003342,10.575,12.555,10.742,0.205,10.691
E01003343,10.723,14.038,11.047,0.456,10.882
E01003344,10.67,13.207,10.826,0.336,10.739
E01003345,10.608,11.867,10.775,0.185,10.72
E01003346,10.218,11.958,10.333,0.177,10.292
E01003347,10.258,10.446,10.307,0.04,10.292
E01003348,10.248,14.995,10.448,0.387,10.375
E01003349,10.198,10.993,10.278,0.075,10.26
E01003350,10.246,10.576,10.306,0.046,10.298
E01003351,10.205,12.096,10.298,0.142,10.261
E01003352,10.315,14.469,10.66,0.64,10.462
E01003353,10.279,16.232,10.548,0.57,10.424
E01003354,10.186,15.652,10.365,0.301,10.299
E01003355,10.496,13.662,10.891,0.627,10.665
E01003356,10.321,16.182,10.609,0.575,10.471
E01003357,10.35,17.036,10.836,0.672,10.691
E01003358,10.531,13.386,10.719,0.375,10.612
E01003359,10.616,15.703,10.948,0.664,10.745
E01003360,10.623,15.84,11.039,0.784,10.763
E01003361,10.333,13.297,10.58,0.464,10.441
E01003362,10.183,11.647,10.27,0.094,10.244
E01003363,10.128,10.911,10.243,0.1,10.23
E01003364,10.221,10.966,10.326,0.083,10.309
E01003365,10.19,12.72,10.365,0.246,10.323
E01003366,10.205,15.641,10.512,0.553,10.366
E01003367,10.446,15.62,10.83,0.632,10.642
E01003368,10.416,12.581,10.515,0.152,10.486
E01003369,10.558,10.884,10.639,0.058,10.626
E01003370,10.507,14.807,10.915,0.677,10.691
E01003371,10.457,10.948,10.572,0.099,10.552
E01003372,10.441,13.704,10.594,0.352,10.527
E01003373,10.277,11.408,10.393,0.138,10.36
E01003374,10.32,18.131,10.829,0.838,10.551
E01003375,10.143,16.082,10.492,0.523,10.366
E01003376,10.268,11.394,10.386,0.11,10.369
E01003377,10.264,10.485,10.348,0.045,10.339
E01003378,10.309,11.627,10.451,0.161,10.414
E01003379,10.38,16.448,10.718,0.622,10.545
E01003380,10.353,14.185,10.558,0.408,10.454
E01003381,10.449,14.431,10.858,0.604,10.626
E01003382,10.418,15.386,10.651,0.515,10.497
E01003383,10.427,13.8,10.793,0.464,10.65
E01003384,10.443,12.538,10.655,0.296,10.569
E01003385,10.382,12.528,10.509,0.195,10.469
E01003386,10.417,12.864,10.631,0.348,10.538
E01003387,10.344,12.903,10.529,0.288,10.444
E01003388,10.429,15.84,10.714,0.575,10.561
E01003389,10.411,18.614,10.887,0.881,10.597
E01003390,10.462,16.704,11.162,1.102,10.793
E01003391,10.371,11.602,10.466,0.165,10.414
E01003392,10.428,15.119,10.894,0.757,10.615
E01003393,10.541,14.065,10.917,0.653,10.669
E01003394,10.502,13.668,10.661,0.354,10.571
E01003395,10.421,12.923,10.559,0.224,10.514
E01003396,10.555,11.27,10.685,0.117,10.652
E01003397,10.551,13.461,10.65,0.223,10.602
E01003398,10.464,14.082,10.687,0.459,10.579
E01003399,10.38,13.156,10.638,0.405,10.51
E01003400,10.504,14.854,10.823,0.456,10.688
E01003401,10.482,13.333,10.679,0.349,10.584
E01003402,10.436,12.975,10.677,0.334,10.591
E01003403,10.328,12.426,10.509,0.228,10.466
E01003404,10.334,11.956,10.49,0.214,10.431
E01003405,10.35,12.664,10.516,0.265,10.454
E01003406,10.401,11.275,10.454,0.065,10.435
E01003407,10.405,13.567,10.724,0.518,10.549
E01003408,10.369,15.751,10.564,0.385,10.498
E01003409,10.408,15.418,10.638,0.495,10.505
E01003410,10.384,12.195,10.525,0.218,10.467
E01003411,10.367,12.068,10.559,0.208,10.526
E01003412,10.4,12.778,10.558,0.265,10.483
E01003413,10.385,11.418,10.546,0.178,10.513
E01003414,10.398,12.851,10.535,0.198,10.496
E01003415,10.38,12.73,10.584,0.273,10.521
E01003416,10.345,12.346,10.471,0.191,10.433
E01003417,10.179,15.812,10.444,0.435,10.343
E01003418,10.204,12.448,10.322,0.21,10.289
E01003419,10.108,10.463,10.214,0.069,10.2
E01003420,10.142,11.178,10.267,0.122,10.243
E01003421,10.233,13.016,10.424,0.312,10.362
E01003422,10.18,13.21,10.452,0.333,10.372
E01003423,10.273,14.535,10.578,0.534,10.453
E01003424,10.312,10.967,10.401,0.081,10.386
E01003425,10.287,10.687,10.377,0.06,10.358
E01003426,10.334,17.155,10.705,0.764,10.51
E01003427,10.235,15.279,10.732,0.714,10.493
E01003428,10.271,14.273,10.546,0.492,10.424
E01003429,10.32,10.571,10.415,0.049,10.41
E01003430,10.327,11.342,10.442,0.167,10.393
E01003431,10.321,11.909,10.4,0.114,10.372
E01003432,10.301,14.238,10.41,0.326,10.35
E01003433,10.333,12.296,10.524,0.254,10.463
E01003434,10.329,12.402,10.5,0.216,10.459
E01003435,10.269,15.452,10.558,0.533,10.415
E01003436,10.273,15.605,10.558,0.637,10.384
E01003437,10.266,14.173,10.478,0.371,10.373
E01003438,10.304,13.037,10.561,0.395,10.438
E01003439,10.264,17.899,10.801,0.866,10.508
E01003440,10.259,13.353,10.485,0.389,10.368
E01003441,10.31,13.313,10.56,0.396,10.461
E01003442,10.294,11.922,10.435,0.199,10.378
E01003443,10.287,11.257,10.388,0.104,10.365
E01003444,10.189,12.392,10.352,0.213,10.297
E01003445,10.172,14.497,10.534,0.533,10.358
E01003446,10.319,14.861,10.748,0.57,10.57
E01003447,10.204,16.43,10.824,0.786,10.549
E01003448,10.214,15.23,10.519,0.577,10.374
E01003449,10.167,12.154,10.359,0.266,10.305
E01003450,10.168,13.855,10.401,0.317,10.332
E01003451,10.126,16.158,10.329,0.45,10.215
E01003452,10.126,13.249,10.336,0.295,10.248
E01003453,10.225,13.716,10.481,0.406,10.384
E01003454,10.573,13.964,10.781,0.288,10.698
E01003455,10.553,13.548,10.687,0.33,10.599
E01003456,10.552,13.2,10.719,0.286,10.638
E01003457,10.565,10.807,10.616,0.042,10.605
E01003458,10.578,13.587,10.784,0.425,10.661
E01003459,10.586,14.149,10.775,0.446,10.657
E01003460,9.994,13.6,10.14,0.211,10.088
E01003461,10.332,13.391,10.626,0.385,10.507
E01003462,10.097,11.711,10.305,0.205,10.267
E01003463,10.109,15.575,10.352,0.38,10.24
E01003464,10.093,12.654,10.328,0.202,10.298
E01003465,10.237,13.07,10.409,0.251,10.362
E01003466,10.263,11.806,10.425,0.206,10.367
E01003467,10.237,13.2,10.395,0.324,10.311
E01003468,10.174,10.755,10.293,0.075,10.273
E01003469,10.264,15.789,10.941,0.959,10.589
E01003470,10.348,15.724,10.811,0.87,10.493
E01003471,10.322,17.141,10.742,0.752,10.518
E01003472,10.44,10.854,10.609,0.079,10.608
E01003473,10.367,13.148,10.642,0.257,10.628
E01003474,10.296,10.919,10.465,0.122,10.441
E01003475,10.555,15.624,10.873,0.478,10.736
E01003476,10.553,13.468,10.727,0.277,10.658
E01003477,10.639,14.208,10.935,0.505,10.785
E01003478,10.62,13.924,10.811,0.371,10.714
E01003479,10.613,11.765,10.962,0.193,10.963
E01003480,10.528,13.447,10.854,0.396,10.723
E01003481,10.549,13.446,11.093,0.385,10.991
E01003482,10.26,21.684,10.671,0.838,10.429
E01003483,10.841,21.756,11.854,1.964,11.118
E01003484,10.775,15.397,11.022,0.495,10.919
E01003485,10.693,11.294,10.843,0.105,10.832
E01003486,10.533,13.996,10.818,0.369,10.727
E01003487,10.484,12.468,10.643,0.244,10.596
E01003488,10.738,15.984,10.836,0.382,10.788
E01003489,10.765,11.334,10.836,0.087,10.808
E01003490,10.735,16.576,10.849,0.389,10.799
E01003491,10.752,15.418,10.883,0.374,10.828
E01003492,10.802,11.135,10.891,0.049,10.878
E01003493,10.78,16.497,11.12,1.137,10.84
E01003494,10.828,11.233,10.919,0.064,10.907
E01003495,10.786,11.044,10.855,0.039,10.845
E01003496,10.766,13.713,10.936,0.332,10.844
E01003497,10.926,26.864,11.315,1.132,11.094
E01003498,10.766,11.408,10.869,0.096,10.847
E01003499,10.834,13.16,11.079,0.408,10.957
E01003500,10.768,14.025,10.974,0.246,10.925
E01003501,10.838,13.638,11.012,0.294,10.956
E01003502,10.956,21.784,11.831,1.389,11.396
E01003503,11.15,34.692,13.043,3.747,11.698
E01003506,11.022,12.265,11.163,0.189,11.117
E01003507,10.879,17.713,11.191,0.587,11.022
E01003508,10.983,20.174,12.029,1.804,11.346
E01003509,10.979,19.898,11.565,1.032,11.254
E01003511,10.999,11.382,11.114,0.073,11.104
E01003512,10.896,13.137,11.118,0.361,11.017
E01003513,10.689,13.755,11.08,0.438,10.968
E01003514,10.776,11.162,10.912,0.075,10.915
E01003515,10.898,14.098,11.123,0.31,11.041
E01003516,10.867,23.269,11.716,1.317,11.309
E01003517,10.919,19.625,11.481,1.262,11.066
E01003518,10.754,22.008,11.107,0.916,10.933
E01003519,10.876,11.35,11.018,0.08,11.013
E01003520,10.705,15.487,10.883,0.511,10.779
E01003521,10.685,15.586,10.957,0.507,10.823
E01003522,10.733,12.04,10.811,0.133,10.785
E01003523,10.678,15.419,10.98,0.603,10.797
E01003524,10.764,15.693,11.0,0.6,10.856
E01003525,10.767,21.519,11.189,1.344,10.83
E01003526,10.698,18.498,10.846,0.507,10.786
E01003527,10.702,14.753,10.819,0.341,10.777
E01003528,10.516,11.219,10.582,0.095,10.549
E01003529,10.601,12.895,10.73,0.339,10.661
E01003530,10.526,11.284,10.609,0.087,10.592
E01003531,10.638,15.444,10.844,0.475,10.73
E01003532,10.616,11.277,10.748,0.101,10.718
E01003533,10.706,12.724,10.874,0.256,10.791
E01003534,10.557,13.244,10.693,0.355,10.631
E01003535,10.547,20.896,11.447,1.51,10.836
E01003536,10.673,17.411,11.106,0.99,10.815
E01003537,10.728,14.519,10.853,0.237,10.817
E01003538,10.746,13.921,11.001,0.402,10.899
E01003539,10.866,23.452,11.378,1.26,11.043
E01003540,10.794,16.727,11.472,0.889,11.174
E01003541,11.012,20.784,11.522,1.117,11.164
E01003542,10.582,14.276,10.795,0.336,10.732
E01003543,10.552,13.841,10.872,0.444,10.755
E01003544,10.717,14.172,10.845,0.221,10.799
E01003545,10.715,11.931,10.848,0.126,10.819
E01003546,10.713,12.994,10.834,0.168,10.801
E01003547,10.472,10.858,10.622,0.071,10.624
E01003548,10.736,12.853,10.914,0.186,10.88
