LAD22CD,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median
E09000002,19.368,65.081,21.171,1.51,20.89
E09000003,18.914,121.133,21.309,1.931,21.058
E09000004,18.807,49.061,20.417,1.15,20.262
E09000005,20.231,177.184,22.131,2.088,21.894
E09000006,17.54,37.585,19.444,1.291,19.343
E09000007,21.449,71.743,23.751,2.613,23.157
E09000001,24.625,142.55,27.471,7.044,25.696
E09000008,18.086,70.644,20.173,1.442,19.869
E09000009,19.581,178.096,21.804,2.009,21.469
E09000010,18.737,70.156,20.568,1.942,20.235
E09000011,20.04,61.878,22.074,1.918,21.743
E09000012,21.509,53.25,23.446,1.856,23.049
E09000013,21.48,62.749,23.194,2.254,22.729
E09000014,20.889,55.482,22.209,1.411,21.94
E09000015,18.809,57.938,20.337,1.085,20.286
E09000016,17.147,43.07,19.175,1.308,19.022
E09000017,17.705,137.608,19.989,1.638,19.899
E09000018,18.946,76.687,20.98,1.821,20.648
E09000019,21.834,57.091,23.906,1.991,23.438
E09000020,21.981,143.385,24.061,3.14,23.392
E09000021,18.328,63.57,20.397,1.49,20.361
E09000022,21.119,100.159,23.36,2.157,22.909
E09000023,20.233,69.897,22.128,1.547,21.856
E09000024,20.306,52.81,21.333,1.155,21.121
E09000025,20.897,100.633,22.755,1.929,22.309
E09000026,18.492,68.502,20.891,1.834,20.76
E09000027,19.125,96.133,20.692,1.239,20.48
E09000028,21.208,93.077,23.448,2.03,23.139
E09000029,18.901,55.85,20.361,1.151,20.316
E09000030,22.364,87.771,24.453,2.705,23.851
E09000031,19.146,63.889,21.72,1.855,21.539
E09000032,20.394,46.99,22.44,1.566,22.079
E09000033,22.622,145.387,25.563,3.845,24.615
