LSOA11CD,PM10d-2013-min,PM10d-2013-max,PM10d-2013-mean,PM10d-2013-std,PM10d-2013-median
E01000001,17.654,79.206,25.844,10.241,21.244
E01000002,17.269,34.632,19.522,3.101,18.564
E01000003,17.461,40.611,19.486,3.251,18.487
E01000005,17.592,173.695,26.691,17.708,20.746
E01000006,10.5,12.018,11.039,0.322,11.016
E01000007,11.146,31.847,13.455,3.77,12.237
E01000008,11.15,120.694,14.669,8.989,12.499
E01000009,11.072,34.344,13.054,3.593,11.914
E01000010,11.308,33.221,13.094,2.995,12.101
E01000011,10.818,23.027,12.194,2.026,11.693
E01000012,10.824,22.247,11.473,0.924,11.316
E01000013,9.094,32.247,11.047,3.627,9.855
E01000014,9.118,28.999,9.672,1.578,9.331
E01000015,8.807,17.231,9.577,1.173,9.244
E01000016,8.836,20.449,9.673,1.715,9.232
E01000017,9.022,21.687,9.871,1.774,9.401
E01000018,8.845,11.729,9.29,0.377,9.213
E01000019,9.148,12.481,9.602,0.499,9.479
E01000020,9.368,17.709,9.953,0.869,9.688
E01000021,9.271,34.212,10.677,2.728,9.865
E01000022,9.417,10.305,9.72,0.176,9.687
E01000023,9.609,36.214,11.366,2.698,10.442
E01000024,9.659,31.169,11.233,3.388,10.194
E01000025,9.603,25.364,10.363,1.382,10.079
E01000027,7.704,25.747,8.495,1.495,8.118
E01000028,8.309,12.282,8.678,0.363,8.601
E01000029,8.63,44.777,10.552,4.336,9.346
E01000030,8.346,63.669,10.829,5.764,9.083
E01000031,7.965,171.931,10.643,6.661,9.155
E01000032,8.498,29.067,9.316,1.789,8.939
E01000033,8.312,22.968,9.342,1.705,8.945
E01000034,8.171,16.334,8.706,1.048,8.415
E01000035,8.361,28.335,9.947,2.734,9.121
E01000036,8.2,25.364,9.043,1.511,8.783
E01000037,8.376,16.176,8.913,0.935,8.733
E01000038,8.383,17.026,9.135,1.15,8.905
E01000039,8.04,16.0,8.331,0.582,8.223
E01000040,10.279,23.367,11.32,1.895,10.767
E01000041,9.695,25.209,11.335,2.49,10.55
E01000042,9.899,28.129,10.769,1.364,10.483
E01000043,10.67,68.494,12.685,5.416,11.368
E01000044,10.482,56.616,12.826,5.514,11.362
E01000045,10.295,148.829,15.654,14.393,11.657
E01000046,9.893,23.733,10.738,1.632,10.306
E01000048,11.507,15.423,11.889,0.491,11.757
E01000049,11.556,76.457,14.784,7.863,12.447
E01000050,11.183,31.228,12.659,2.911,11.864
E01000051,11.515,34.599,13.481,3.596,12.257
E01000052,11.206,83.4,14.703,6.765,12.506
E01000053,9.88,65.658,12.659,6.144,10.844
E01000054,9.492,12.221,9.863,0.408,9.757
E01000055,9.591,13.342,10.159,0.549,10.018
E01000056,9.487,22.974,10.612,1.222,10.289
E01000057,9.41,19.662,10.522,1.638,10.019
E01000058,9.258,14.609,9.918,0.993,9.624
E01000059,9.445,14.002,9.949,0.663,9.795
E01000060,8.211,34.677,9.367,2.167,8.96
E01000061,8.237,35.745,9.556,2.886,8.735
E01000062,8.778,14.083,9.241,0.594,9.16
E01000063,9.02,30.468,10.2,2.489,9.467
E01000064,8.772,27.383,9.752,2.201,9.116
E01000065,9.023,21.81,10.133,2.205,9.432
E01000066,9.862,31.889,10.455,1.462,10.244
E01000067,10.078,34.018,11.552,3.258,10.558
E01000068,10.271,36.117,11.173,2.194,10.722
E01000069,9.884,19.066,10.429,0.548,10.348
E01000070,10.044,35.834,11.555,3.02,10.765
E01000071,9.893,19.443,10.672,1.036,10.44
E01000072,9.758,28.929,10.399,1.638,9.911
E01000073,9.71,20.209,10.201,0.839,10.018
E01000074,9.587,22.559,10.485,2.047,9.917
E01000075,9.159,23.316,9.862,1.244,9.598
E01000076,9.599,22.049,10.209,1.288,9.9
E01000077,9.557,35.2,11.037,2.985,10.078
E01000078,9.235,39.767,11.104,3.483,10.003
E01000079,9.08,28.851,10.115,2.726,9.385
E01000080,9.161,28.077,10.317,2.33,9.693
E01000081,9.011,12.3,9.35,0.295,9.29
E01000082,9.019,22.239,10.037,2.105,9.392
E01000083,9.377,32.896,10.823,2.902,9.961
E01000084,9.284,24.292,10.695,2.368,9.979
E01000085,9.491,26.53,10.519,2.079,10.024
E01000086,9.478,21.422,10.424,2.055,9.839
E01000087,9.474,46.332,11.34,4.185,10.067
E01000088,8.999,12.934,9.523,0.551,9.426
E01000089,9.01,9.972,9.333,0.187,9.297
E01000090,8.767,45.81,10.249,3.51,9.345
E01000091,9.809,11.95,10.292,0.485,10.088
E01000092,9.258,113.694,11.179,6.374,10.021
E01000093,9.836,149.273,15.621,15.092,11.246
E01000094,9.589,13.152,10.382,0.465,10.389
E01000095,9.234,112.46,12.072,6.598,10.467
E01000096,9.996,159.687,13.898,8.326,11.382
E01000097,9.459,21.105,10.678,1.984,9.948
E01000098,9.49,22.286,10.469,1.738,9.987
E01000099,8.779,27.406,9.842,1.658,9.396
E01000100,8.897,18.65,9.554,1.518,9.195
E01000101,8.954,34.968,10.334,3.139,9.404
E01000102,8.882,13.869,9.566,0.81,9.335
E01000103,8.7,21.399,9.147,0.919,8.977
E01000104,8.539,25.662,10.356,2.622,9.486
