MSOA21CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E02000002,3.831,52.694,4.514,2.07,4.118
E02000003,3.831,68.572,5.657,3.751,5.002
E02000004,4.011,12.102,4.599,0.664,4.413
E02000005,4.409,39.397,5.607,2.188,5.241
E02000007,4.221,30.708,5.132,2.017,4.797
E02000008,4.689,39.082,5.554,2.011,5.118
E02000009,5.166,30.45,6.726,2.335,6.152
E02000010,4.704,26.1,5.256,1.49,4.96
E02000011,4.173,28.011,5.328,1.811,5.063
E02000012,5.392,32.995,6.397,2.253,5.93
E02000013,4.948,18.727,5.897,1.149,5.6
E02000014,4.824,29.793,5.794,1.848,5.427
E02000015,4.272,21.881,4.942,1.105,4.77
E02000016,5.903,64.238,7.627,3.928,6.639
E02000017,5.523,60.394,6.766,3.495,6.135
E02000018,5.309,68.174,6.86,4.843,5.842
E02000019,4.787,63.332,7.22,5.045,5.873
E02000020,4.668,61.575,6.467,4.552,5.495
E02000021,4.543,62.155,5.895,2.963,5.138
E02000022,6.261,55.578,8.295,5.21,6.886
E02000023,4.836,68.223,6.814,5.197,5.634
E02006799,4.88,20.077,5.551,1.276,5.235
E02000024,3.473,55.65,4.223,1.586,3.959
E02000025,3.862,33.499,4.21,0.918,4.069
E02000026,3.897,14.195,4.406,0.715,4.344
E02000027,4.005,39.262,4.551,1.291,4.444
E02000028,4.4,38.277,5.325,2.861,4.772
E02000029,4.096,22.349,5.064,1.431,4.824
E02000030,3.533,50.698,4.581,1.935,4.317
E02000031,4.583,53.929,6.263,3.534,5.514
E02000032,4.478,67.766,5.155,1.71,4.902
E02000033,4.783,32.134,5.507,1.462,5.158
E02000034,5.086,61.218,5.92,2.219,5.584
E02000035,4.601,61.5,5.881,4.167,5.244
E02000036,4.158,60.486,6.253,4.223,5.281
E02000037,3.967,37.613,5.08,2.282,4.449
E02000038,5.071,65.948,6.354,4.243,5.515
E02000039,4.894,61.854,7.515,5.438,6.067
E02000040,4.479,18.623,5.344,0.789,5.301
E02000041,5.077,46.44,6.144,2.799,5.468
E02000042,5.155,67.297,6.54,4.454,5.656
E02000043,4.535,28.786,5.46,0.837,5.413
E02000044,5.153,23.08,6.067,1.292,5.755
E02000045,5.436,64.079,7.353,6.168,5.832
E02000046,5.516,67.804,6.823,4.429,5.973
E02000047,5.202,51.241,6.499,3.144,5.809
E02000048,5.268,62.846,7.161,4.78,5.892
E02000049,5.995,14.372,7.619,1.185,7.38
E02000050,5.415,63.954,7.683,6.629,6.041
E02000051,5.613,68.34,7.742,6.086,6.335
E02000052,5.78,42.19,6.747,2.235,6.248
E02000054,6.298,68.001,10.517,6.988,7.989
E02000055,6.371,63.153,8.281,5.492,7.005
E02000056,5.74,65.315,6.747,3.564,6.112
E02000057,6.37,66.944,9.447,8.114,7.152
E02000058,5.861,65.283,7.609,5.612,6.453
E02000059,5.8,67.877,8.228,4.574,6.972
E02000060,6.458,68.079,9.411,8.314,7.181
E02000061,6.096,59.483,7.527,3.863,6.759
E02000062,6.606,68.593,10.71,9.539,7.554
E02000063,6.626,59.688,8.354,5.583,7.069
E02000064,6.573,58.6,8.234,4.327,7.095
E02006953,7.827,34.007,11.157,2.828,10.891
E02006954,7.242,51.831,11.807,3.717,11.363
E02000065,4.4,17.273,4.824,0.751,4.623
E02000066,4.459,40.12,5.178,2.112,4.773
E02000067,4.406,21.764,5.37,1.203,5.024
E02000068,4.406,43.005,5.95,1.991,5.56
E02000069,4.572,14.337,5.306,1.043,5.058
E02000070,4.479,37.839,5.05,1.73,4.72
E02000071,4.416,13.85,4.775,0.753,4.621
E02000072,3.478,67.624,4.717,2.411,4.256
E02000073,4.552,23.76,5.23,1.55,4.879
E02000074,4.04,47.518,5.183,3.261,4.597
E02000075,4.508,21.784,4.912,1.029,4.734
E02000077,4.686,16.884,5.233,0.758,5.102
