MSOA21CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E02000078,4.018,18.269,4.476,0.782,4.365
E02000079,4.356,46.439,5.2,1.757,4.809
E02000080,4.743,37.359,5.912,1.622,5.639
E02000081,3.983,42.636,4.764,1.9,4.389
E02000082,4.681,62.063,6.475,5.295,5.338
E02000083,3.794,48.035,4.584,2.468,4.102
E02000084,4.206,30.894,5.619,2.8,4.849
E02000085,4.354,61.984,5.952,4.248,4.98
E02000086,4.277,19.993,4.753,0.709,4.652
E02000087,3.527,29.871,4.616,2.073,4.164
E02000088,3.806,19.575,4.575,1.108,4.378
E02000089,4.419,23.16,4.848,1.137,4.629
E02000090,4.234,36.79,5.07,1.794,4.614
E02000091,3.902,31.823,4.664,1.614,4.353
E02000092,3.393,37.016,4.059,1.463,3.854
E02006785,4.867,22.814,5.527,1.171,5.317
E02000093,5.028,44.74,5.857,1.954,5.474
E02000094,5.419,53.434,7.63,3.276,6.858
E02000095,4.795,29.941,5.991,2.464,5.397
E02000096,4.735,30.69,5.19,1.547,4.918
E02000097,5.183,25.693,6.033,1.24,5.88
E02000098,4.952,31.38,5.699,1.476,5.362
E02000099,4.766,23.814,5.399,1.144,5.199
E02000100,4.615,40.524,5.374,2.24,4.965
E02000101,5.414,59.496,7.151,3.511,6.437
E02000102,5.749,68.122,8.192,7.98,6.489
E02000103,5.917,68.288,7.912,5.64,6.756
E02000104,5.339,46.942,7.19,2.841,6.626
E02000105,4.986,44.312,6.02,2.462,5.476
E02000106,6.164,68.59,11.694,10.619,8.308
E02000107,6.305,51.587,7.495,2.973,6.914
E02000108,4.955,14.281,5.521,0.734,5.364
E02000110,6.274,32.624,6.953,1.642,6.68
E02000111,5.248,40.449,6.457,2.57,5.909
E02000112,5.839,65.316,8.565,5.44,7.248
E02000113,6.173,67.069,11.013,10.913,7.543
E02000114,6.37,62.918,7.472,3.796,6.774
E02000115,6.644,52.804,7.717,2.87,7.035
E02000116,6.336,62.71,7.678,4.719,6.707
E02000117,6.527,68.586,9.268,6.933,7.399
E02000118,5.826,36.283,6.827,1.881,6.495
E02000119,6.377,68.57,8.638,6.882,7.033
E02000120,7.081,45.344,9.075,3.934,8.184
E02000121,5.401,50.553,6.912,3.128,6.271
E02000122,6.396,20.468,6.984,1.168,6.702
E02000123,6.6,68.593,8.926,6.08,7.403
E02000124,6.812,37.397,8.288,2.731,7.522
E02000125,6.558,39.718,7.692,2.779,7.01
E02000126,8.254,42.375,9.915,3.154,9.05
E02006955,6.521,32.961,8.184,3.102,7.344
E02006956,6.176,48.558,7.052,2.343,6.622
E02000127,4.577,17.525,5.095,0.798,4.939
E02000128,4.041,18.916,4.518,0.747,4.402
E02000130,5.176,26.177,5.868,1.393,5.592
E02000131,5.409,30.992,6.222,1.985,5.777
E02000132,5.198,48.41,5.94,2.004,5.448
E02000133,3.759,43.132,4.604,1.317,4.431
E02000134,4.836,30.336,5.858,1.972,5.416
E02000135,5.352,26.383,6.069,1.828,5.694
E02000136,3.761,33.283,4.253,1.314,4.026
E02000137,4.707,19.48,5.271,1.014,5.083
E02000138,4.954,24.66,6.05,1.462,5.756
E02000139,4.977,24.878,5.582,1.42,5.3
E02000140,3.812,47.728,4.688,2.619,4.234
E02000141,4.955,45.074,5.927,2.183,5.484
E02000142,4.36,43.632,5.296,1.994,4.888
E02000144,4.444,56.026,5.379,2.178,4.931
E02000145,2.933,34.664,3.451,0.697,3.332
E02000146,4.237,36.327,5.077,2.335,4.67
E02000147,4.45,34.631,5.179,1.707,4.848
E02000148,3.676,11.811,4.054,0.396,3.959
E02000149,3.653,51.274,4.229,2.153,3.902
E02000150,4.452,24.793,5.939,1.441,5.739
E02000151,3.629,17.034,3.965,0.629,3.851
E02000152,3.712,33.091,4.208,1.349,4.007
E02000153,4.172,25.057,4.69,1.09,4.473
E02000154,3.53,42.801,4.213,1.787,3.829
E02000155,3.148,44.789,3.88,1.343,3.707
E02000156,3.988,27.937,4.794,1.407,4.508
E02000157,3.491,15.366,3.885,0.868,3.736
E02000158,3.095,18.441,3.528,0.724,3.43
E02000159,3.282,45.502,4.113,1.866,3.872
E02000160,3.322,41.523,4.083,1.251,3.956
E02000161,3.234,22.637,3.637,0.991,3.507
E02000162,2.729,32.086,3.245,0.861,3.091
E02000163,2.716,23.404,3.152,0.705,3.034
E02000165,2.674,12.756,2.963,0.403,2.919
E02006782,4.639,18.659,5.185,0.771,5.076
E02006787,4.91,47.621,6.243,3.515,5.57
E02006789,2.582,12.011,2.97,0.385,2.939
E02000166,5.99,41.762,6.788,1.844,6.423
E02000167,6.027,41.938,7.426,3.04,6.751
E02000168,6.918,39.742,9.073,3.412,8.115
E02000169,6.578,67.636,8.135,4.953,7.253
E02000170,6.646,67.58,8.432,5.292,7.323
E02000171,7.098,55.067,9.413,4.373,8.234
E02000172,7.9,44.458,9.066,2.736,8.434
E02000173,7.366,64.114,9.766,5.932,8.209
E02000174,7.802,38.404,9.35,2.838,8.596
E02000175,7.375,68.033,9.471,5.769,8.231
E02000176,7.631,54.826,9.142,3.802,8.154
E02000177,7.948,43.699,10.119,4.172,8.919
E02000178,7.0,42.802,9.041,3.902,8.048
E02000179,7.628,53.422,10.239,5.479,8.858
E02000180,8.478,56.712,11.106,5.535,9.482
E02000181,7.922,25.087,8.932,1.778,8.472
E02000182,8.084,65.284,10.643,6.821,8.912
E02000183,8.139,35.908,9.452,2.718,8.722
E02000184,8.684,65.993,12.04,5.676,10.468
E02000185,8.386,53.945,10.538,3.734,9.541
E02000186,8.496,68.582,12.32,7.853,9.903
E02000187,8.818,68.589,12.379,8.389,10.531
E02000188,9.318,66.981,12.583,7.33,10.879
E02000191,11.43,68.567,18.903,12.386,14.787
E02000192,12.995,68.227,16.098,8.496,13.852
E02000193,12.845,68.588,19.411,11.827,15.186
E02007115,11.244,68.547,15.216,9.248,12.551
E02000001,11.52,68.593,18.366,12.588,14.161
E02000194,5.328,33.272,6.212,2.081,5.703
E02000195,5.31,36.458,6.053,1.934,5.684
E02000196,5.266,44.714,5.868,1.965,5.566
E02000197,5.302,50.394,6.066,2.42,5.63
E02000198,5.355,33.944,6.309,2.599,5.712
E02000199,5.475,33.1,6.193,2.026,5.706
E02000200,5.273,19.455,5.857,1.38,5.561
E02000201,4.882,26.29,5.902,1.851,5.489
E02000202,5.332,32.772,5.832,1.706,5.582
E02000203,5.354,32.032,6.249,1.916,5.77
E02000204,5.291,36.598,6.228,2.423,5.745
E02000206,5.124,33.889,6.194,2.097,5.756
E02000207,4.569,26.22,5.591,1.965,5.228
E02000208,5.549,34.918,6.579,2.471,6.066
E02000209,5.204,38.36,6.494,3.236,5.864
E02000210,5.185,23.602,5.735,0.873,5.613
E02000211,4.474,24.042,4.751,0.556,4.684
E02000212,4.896,50.887,6.887,3.389,6.241
E02000213,5.936,66.36,8.216,5.374,6.909
E02000214,4.566,23.875,5.394,1.862,4.999
E02000215,5.021,42.285,6.672,2.525,6.144
E02000216,4.193,43.975,5.069,1.631,4.697
E02000217,4.991,52.523,7.46,3.765,6.568
E02000218,3.947,35.841,4.487,1.718,4.194
E02000219,3.734,29.416,4.428,1.226,4.184
E02000221,4.197,68.584,5.806,4.114,4.992
E02000222,3.94,39.183,4.876,1.596,4.543
E02000223,3.647,37.186,4.157,1.728,3.893
E02000224,4.197,68.588,4.979,2.252,4.594
E02000225,3.352,9.296,3.683,0.281,3.625
E02000226,3.557,20.171,4.139,1.118,3.96
E02000227,3.121,42.161,3.848,1.649,3.637
E02000228,3.574,18.005,4.061,0.788,3.93
E02000229,3.081,6.964,3.479,0.409,3.425
E02000230,3.823,52.5,5.117,3.091,4.467
E02000231,3.575,32.943,4.17,1.075,3.987
E02000232,3.182,17.139,3.503,0.709,3.413
E02000233,3.401,21.859,4.023,1.334,3.74
E02000234,3.38,42.404,4.249,2.342,3.849
E02000235,3.146,18.233,3.524,0.671,3.413
E02000236,3.052,51.952,3.999,1.991,3.719
E02000237,2.904,9.418,3.266,0.376,3.224
E02006788,4.812,52.632,5.536,3.183,5.049
E02006987,5.597,57.959,8.03,4.75,6.775
E02006988,4.6,64.632,6.407,3.256,5.601
E02000238,4.787,51.013,5.475,2.223,5.071
E02000239,4.837,47.553,5.72,2.755,5.166
E02000240,4.221,43.436,5.225,2.467,4.644
E02000241,4.436,41.677,5.437,2.605,4.931
E02000242,5.122,16.048,5.745,0.675,5.623
E02000243,4.68,58.255,6.71,5.261,5.388
E02000244,5.032,62.033,7.851,6.554,5.967
E02000245,4.24,55.959,5.573,3.742,4.737
E02000246,4.011,45.51,4.788,2.403,4.328
E02000247,4.414,51.68,6.009,3.904,5.123
E02000248,6.118,68.547,11.148,10.822,7.686
E02000249,4.934,52.28,6.165,3.518,5.389
E02000250,5.489,49.244,6.822,2.78,6.365
E02000251,4.919,17.692,5.427,0.862,5.278
E02000252,6.601,68.575,10.155,8.417,7.759
E02000253,5.153,22.85,5.91,1.6,5.538
E02000254,4.577,18.14,5.372,1.261,5.171
E02000255,5.295,50.403,6.954,3.724,6.146
E02000256,6.422,52.989,8.035,4.075,7.011
E02000258,6.622,52.828,8.073,3.81,7.227
E02000259,5.034,43.779,5.891,2.236,5.453
E02000260,4.794,62.196,6.806,4.538,5.694
E02000261,6.696,67.726,9.39,7.645,7.47
E02000262,6.427,57.463,8.29,4.233,7.413
E02000263,4.606,48.528,5.894,3.932,5.075
E02000264,6.255,68.593,8.007,4.821,6.863
E02000265,6.067,48.105,8.037,4.362,7.092
E02000266,4.998,60.055,6.542,3.624,5.871
E02000267,5.414,51.292,7.205,4.136,6.288
E02000268,6.041,35.187,6.931,1.838,6.557
E02000269,5.928,48.558,6.992,2.559,6.571
E02000270,6.445,66.506,7.705,4.048,7.03
E02000271,6.65,59.23,7.56,4.208,7.018
E02000272,5.367,25.593,6.089,1.462,5.851
E02000275,4.936,35.559,6.262,2.914,5.599
E02000276,5.771,41.273,6.97,2.012,6.68
E02006791,6.38,30.224,7.351,1.438,7.014
E02006968,6.281,59.751,7.549,3.354,6.825
E02006969,6.531,52.36,9.453,6.166,7.726
E02006970,4.842,39.069,6.007,3.485,5.243
E02006971,4.812,35.736,5.487,1.666,5.163
E02000277,3.813,60.058,6.78,7.361,4.396
E02000278,3.821,64.324,6.031,6.116,4.311
E02000279,3.536,46.559,4.944,4.334,4.028
E02000280,3.342,68.124,4.796,5.882,3.588
E02000281,3.617,65.407,5.095,4.118,4.227
E02000282,4.046,54.515,5.539,4.46,4.592
E02000283,4.046,33.318,4.79,1.665,4.571
E02000284,4.027,39.65,4.701,1.369,4.431
E02000285,4.226,32.698,4.843,1.586,4.508
E02000286,3.518,32.363,4.388,1.396,4.225
E02000287,3.505,40.656,3.985,1.124,3.811
E02000288,4.621,68.272,6.214,4.255,5.401
E02000289,3.599,17.604,4.184,0.749,4.212
E02000290,3.724,51.003,5.095,2.394,4.62
E02000291,4.683,32.056,5.489,2.246,4.976
E02000292,4.417,58.23,6.197,3.894,5.523
E02000293,4.272,29.231,4.805,0.983,4.609
E02000294,4.568,62.097,5.807,2.619,5.614
E02000295,4.284,26.64,4.864,1.477,4.632
E02000296,3.874,24.499,5.021,1.845,4.64
E02000297,4.642,54.423,5.959,3.675,5.147
E02000298,4.541,31.539,5.024,1.047,4.835
E02000299,5.241,19.519,5.862,1.221,5.63
E02000300,5.133,67.675,6.383,3.944,5.529
E02000301,4.5,54.917,6.122,3.337,5.659
E02000302,4.877,45.103,5.667,2.163,5.276
E02000303,5.151,67.128,6.709,5.56,5.59
E02000304,4.795,64.837,5.832,2.198,5.413
E02000305,4.922,60.075,6.109,2.953,5.599
E02000306,5.114,68.557,7.964,6.445,6.531
E02000307,5.21,64.64,7.49,6.213,5.867
E02000308,5.303,68.352,7.79,6.548,6.287
E02000309,5.665,68.587,9.346,8.735,7.297
E02000311,5.453,63.008,7.66,6.609,6.036
E02000312,5.337,66.98,7.614,6.312,6.254
E02006793,5.505,64.694,7.687,6.348,6.335
E02000313,4.693,20.553,5.328,0.994,4.994
E02000314,4.616,63.031,5.736,2.809,5.2
E02000315,4.805,37.611,5.253,1.433,5.034
E02000317,6.185,37.703,6.996,2.456,6.546
E02000318,4.891,46.805,5.948,3.469,5.345
E02000319,5.247,59.952,6.522,3.637,5.829
E02000320,4.648,26.214,5.36,1.782,4.954
E02000321,5.588,54.721,7.014,4.219,6.114
E02000323,5.672,64.588,7.347,2.573,6.945
E02000324,5.988,34.24,7.085,2.13,6.714
E02000326,6.896,66.764,9.442,6.413,7.951
E02000327,5.999,39.292,7.419,2.676,6.793
E02000328,6.744,55.421,8.618,4.593,7.68
E02000329,4.902,19.735,5.33,0.871,5.183
E02000331,6.151,58.824,7.874,4.256,6.811
E02000332,5.055,36.104,6.224,1.656,5.917
E02000333,6.623,61.637,8.848,4.811,7.633
E02000334,6.329,41.8,7.649,2.858,6.99
E02000335,5.018,63.348,6.459,3.945,5.742
E02000337,5.982,62.894,10.081,6.411,8.296
E02000339,5.162,63.022,7.812,6.473,6.294
E02000340,4.662,62.626,5.711,3.594,5.072
E02000341,5.071,58.563,6.598,3.889,5.689
E02000342,4.565,16.176,4.976,0.911,4.755
E02000343,4.593,30.479,5.614,2.238,5.048
E02000344,4.428,50.116,5.587,2.68,4.926
E02006786,4.66,44.145,5.478,1.961,5.163
E02006927,6.017,65.232,9.615,4.709,8.554
E02006928,7.427,51.479,9.323,4.296,8.094
E02006930,7.503,66.555,12.428,7.993,10.321
E02006931,6.683,57.032,8.707,5.164,7.548
E02006991,6.02,68.548,8.68,6.189,7.336
E02006992,7.506,68.529,13.094,9.094,10.73
E02006993,7.525,45.319,10.143,3.09,9.532
E02006994,6.111,53.3,8.658,5.215,7.242
E02000345,6.067,56.774,8.072,5.206,7.134
E02000346,6.998,57.83,9.601,6.212,7.737
E02000347,7.011,26.188,7.688,1.968,7.274
E02000348,6.094,43.46,7.911,4.154,7.156
E02000350,6.726,52.17,8.506,4.789,7.452
E02000351,7.217,51.745,9.104,4.935,7.793
E02000352,7.143,34.63,8.029,2.079,7.518
E02000353,7.428,59.006,9.807,5.22,8.353
E02000354,6.988,45.356,8.255,2.592,7.652
E02000355,6.656,59.46,8.803,5.49,7.539
E02000356,7.483,44.156,8.549,2.444,7.931
E02000357,6.203,43.895,7.651,2.669,6.949
E02000358,7.655,45.668,9.04,3.975,8.144
E02000359,6.86,42.336,8.089,2.832,7.542
E02000360,7.612,37.255,9.242,3.038,8.403
E02000361,7.327,67.924,11.145,6.877,9.021
E02000362,8.06,67.889,14.044,9.387,11.157
E02000363,7.388,39.728,9.371,3.509,8.58
E02000364,7.877,50.729,9.421,3.417,8.627
E02000366,8.092,43.113,10.132,3.897,8.942
E02000367,7.85,56.45,9.957,4.703,8.78
E02000368,7.923,38.965,9.471,2.468,8.881
E02000369,8.752,36.353,10.445,3.106,9.563
E02000370,9.233,65.29,11.087,4.078,10.309
E02006918,6.161,47.691,7.399,3.701,6.692
E02006921,6.08,32.712,7.316,2.422,6.889
E02007108,8.244,50.488,11.801,6.921,9.656
E02007109,8.235,63.633,10.278,3.86,9.3
E02007110,9.407,65.205,12.412,5.97,10.8
E02007111,9.262,68.235,13.779,8.898,11.406
E02000372,6.399,68.501,8.684,6.233,7.08
E02000373,6.967,66.924,9.494,8.2,7.586
E02000374,6.898,67.241,9.178,6.983,7.526
E02000375,7.109,68.556,9.996,6.171,8.38
E02000376,7.475,50.518,9.451,5.753,8.09
E02000377,7.118,48.782,9.635,5.906,7.952
E02000378,7.795,68.295,10.32,6.931,8.634
E02000379,6.706,39.269,7.9,2.53,7.385
E02000380,7.626,68.512,8.734,3.645,8.026
E02000381,7.515,59.857,8.965,5.683,7.977
E02000382,7.473,66.302,11.351,9.324,8.605
E02000383,7.519,66.045,10.538,8.28,8.293
E02000384,7.288,68.543,13.608,12.722,8.691
E02000385,7.289,67.288,10.544,9.58,7.924
E02000386,7.483,66.423,9.021,4.208,8.254
E02000387,6.929,67.891,8.463,5.214,7.451
E02000388,7.622,57.014,9.048,4.163,8.133
E02000389,6.031,66.653,7.444,4.561,6.846
E02000390,7.178,22.873,8.21,1.756,7.762
E02000391,7.345,54.693,9.343,4.833,8.152
E02000392,7.35,56.415,8.625,3.329,7.854
E02000393,7.073,30.18,8.192,2.884,7.478
E02000394,7.493,31.656,8.01,1.102,7.802
E02000395,6.029,64.702,7.862,3.945,7.115
E02000396,7.378,56.634,8.637,3.056,7.964
E02000397,5.686,25.827,6.248,1.527,6.0
E02000398,5.735,56.297,7.508,3.071,7.21
E02000400,5.318,64.99,6.624,3.098,5.939
E02000401,5.519,41.191,7.106,3.621,6.189
E02000402,5.711,36.12,6.776,2.228,6.274
E02000403,5.525,47.07,6.94,3.092,6.21
E02000404,5.867,31.905,7.145,2.739,6.369
E02000405,5.315,25.227,6.225,1.409,5.985
E02000406,6.233,34.915,7.159,2.751,6.54
E02000407,6.381,60.511,7.708,4.644,6.792
E02000408,6.205,62.044,8.145,6.034,6.845
E02000409,6.024,41.216,6.961,2.535,6.367
E02000410,5.538,52.068,7.264,4.479,6.267
E02000411,5.974,63.49,8.012,5.262,6.751
E02000412,6.424,68.383,8.562,6.74,7.016
E02000413,5.369,44.694,6.184,1.713,5.928
E02000414,6.213,16.571,6.934,0.979,6.741
E02000415,6.059,52.718,7.506,3.415,6.698
E02000416,6.415,42.381,8.015,2.733,7.443
E02000417,5.869,39.102,7.063,2.288,6.551
E02000418,6.097,29.286,7.381,2.745,6.748
E02000419,6.511,54.45,8.317,4.251,7.14
E02000420,6.52,62.128,8.152,5.141,6.919
E02000421,6.351,65.354,9.896,7.932,7.736
E02000422,6.493,49.931,7.759,4.022,6.851
E02000423,6.459,40.253,7.868,3.535,6.922
E02000424,6.3,30.323,7.017,1.644,6.658
E02000425,6.045,56.297,7.503,4.588,6.623
E02000426,5.826,47.247,6.957,2.907,6.246
E02000427,6.502,66.023,7.698,3.032,6.985
E02000428,6.522,56.146,7.915,4.592,7.038
E02000429,6.02,30.194,6.785,1.608,6.451
E02000430,6.424,36.239,7.459,2.896,6.744
E02000431,6.386,46.498,7.839,4.06,6.866
E02000432,6.394,22.849,7.293,1.522,6.938
E02006794,5.923,44.489,7.507,3.235,6.9
E02000433,3.578,35.881,4.465,1.783,3.989
E02000434,4.801,45.468,5.58,1.53,5.336
E02000435,3.897,32.448,4.583,1.382,4.361
E02000436,3.446,24.218,3.971,1.05,3.778
E02000437,4.017,36.985,5.09,2.14,4.724
E02000438,3.687,24.937,4.596,1.845,4.143
E02000439,4.817,38.987,5.609,2.163,5.221
E02000440,4.363,27.621,5.053,1.381,4.766
E02000441,3.395,25.373,3.934,1.104,3.773
E02000442,4.728,21.738,5.374,1.252,5.092
E02000443,4.753,22.729,5.55,1.256,5.332
E02000444,4.62,34.654,5.358,1.939,4.898
E02000445,4.857,50.743,5.837,2.207,5.309
E02000447,3.741,17.928,4.909,1.162,4.766
E02000448,3.781,14.545,4.167,0.756,4.012
E02000449,4.832,37.741,5.682,2.541,5.155
E02000451,3.795,20.489,4.475,1.158,4.276
E02000452,4.897,67.75,5.909,2.333,5.445
E02000453,4.486,35.202,5.396,1.679,5.059
E02000454,3.792,10.671,4.183,0.547,4.101
E02000455,4.636,68.477,6.404,4.566,5.43
E02000456,4.502,22.112,5.064,1.473,4.761
E02000457,4.06,21.257,4.708,1.045,4.551
E02000459,4.554,20.439,5.167,1.383,4.832
E02000460,4.32,18.901,4.944,1.518,4.628
E02000461,4.552,38.778,5.205,1.895,4.797
E02000462,4.439,21.419,5.197,1.651,4.8
E02000463,4.378,17.319,4.746,0.972,4.573
E02006795,4.111,22.42,4.601,1.089,4.43
E02006882,4.786,65.981,5.432,1.791,5.155
E02000464,2.909,40.741,3.843,3.255,3.165
E02000465,3.079,54.415,4.225,3.235,3.554
E02000466,2.926,15.471,3.282,0.478,3.179
E02000467,3.596,19.049,4.249,0.992,4.105
E02000468,3.048,18.34,3.47,0.658,3.317
E02000469,3.369,45.552,4.029,1.995,3.614
E02000470,2.896,57.387,3.743,2.58,3.174
E02000471,3.401,64.696,4.08,1.957,3.79
E02000472,3.671,39.481,4.407,2.438,3.954
E02000473,3.065,41.149,4.179,1.522,3.912
E02000474,3.762,41.522,4.644,2.803,4.062
E02000475,3.531,56.377,4.178,1.9,3.858
E02000476,3.763,64.57,6.096,5.403,4.854
E02000477,3.612,17.844,4.033,0.735,3.906
E02000478,3.06,19.472,3.555,0.47,3.551
E02000479,3.859,51.134,5.399,3.677,4.468
E02000480,4.093,53.385,4.887,2.282,4.413
E02000481,2.373,38.939,3.303,2.712,2.867
E02000482,2.994,21.01,3.234,0.748,3.11
E02000483,3.417,17.102,3.831,0.828,3.68
E02000484,3.646,29.034,4.233,1.596,3.99
E02000485,3.09,41.408,3.567,0.93,3.456
E02000486,3.611,13.337,3.907,0.593,3.794
E02000487,2.752,34.599,3.262,1.528,3.069
E02000488,3.39,11.938,3.857,0.665,3.764
E02000489,3.413,28.675,4.256,1.519,4.111
E02000490,3.508,29.451,4.149,1.559,3.964
E02000491,3.686,35.265,4.978,2.135,4.465
E02000492,3.069,61.963,3.865,1.425,3.606
E02000493,3.523,60.046,4.536,3.144,4.032
E02000494,2.919,30.291,3.423,1.253,3.276
E02000495,3.324,26.508,3.992,1.418,3.682
E02000496,2.675,14.139,3.003,0.383,2.95
E02000497,3.333,23.896,3.933,0.954,3.822
E02000498,3.055,53.376,3.726,1.723,3.5
E02000499,3.8,14.165,4.238,0.702,4.134
E02000500,3.333,37.434,4.229,1.618,3.97
E02000501,3.98,14.92,4.298,0.525,4.224
E02000502,3.802,25.137,4.557,1.278,4.256
E02000503,3.951,16.109,4.468,0.847,4.313
E02000504,3.296,51.932,4.304,1.908,3.996
E02000506,3.013,60.011,4.714,3.896,3.962
E02000507,3.988,38.189,5.339,2.402,4.705
E02000508,3.647,40.739,5.431,2.639,4.842
E02000509,3.438,31.802,4.425,2.035,3.976
E02000510,3.893,43.938,6.267,2.698,5.927
E02000511,4.006,21.441,4.445,0.647,4.357
E02000512,4.337,23.447,5.18,1.302,4.887
E02000513,4.215,22.882,4.777,1.377,4.491
E02000514,4.264,26.256,4.843,1.276,4.619
E02000515,3.427,50.698,4.216,2.004,3.966
E02000516,4.478,39.989,5.157,2.09,4.674
E02000517,4.493,29.093,5.221,1.443,4.831
E02000518,4.036,50.323,5.577,2.141,5.21
E02000519,4.465,45.638,5.601,2.878,4.923
E02000520,4.542,60.567,5.899,3.523,5.201
E02000521,4.902,66.012,6.392,3.446,5.715
E02000522,3.844,36.793,5.895,2.561,5.405
E02000523,4.847,51.68,6.555,3.229,5.623
E02000524,3.674,68.593,5.464,5.065,4.409
E02000525,4.277,63.962,5.635,3.696,4.684
E02006796,3.913,33.519,4.737,2.086,4.308
E02000526,6.67,68.103,10.142,9.148,7.478
E02000529,4.806,28.706,5.83,2.147,5.191
E02000530,4.479,62.98,6.247,4.549,5.043
E02000531,5.013,67.212,7.503,5.651,6.153
E02000532,5.506,66.912,7.408,5.594,6.248
E02000533,5.606,67.522,7.873,6.074,6.462
E02000534,4.783,46.372,6.008,2.993,5.304
E02000535,4.409,55.726,5.703,3.525,4.892
E02000536,4.69,63.752,6.628,4.372,5.657
E02000537,4.773,54.554,5.979,3.071,5.402
E02000538,4.191,54.355,5.555,3.812,4.678
E02000539,4.736,57.261,6.175,2.848,5.608
E02000540,4.776,39.754,5.907,2.502,5.422
E02000541,4.339,28.773,5.262,2.238,4.715
E02000542,4.594,62.301,5.853,2.837,5.188
E02000543,4.595,60.327,5.888,3.157,5.33
E02000544,4.605,11.992,4.948,0.481,4.822
E02000545,4.677,68.592,5.675,2.299,5.334
E02000546,4.109,23.923,4.529,1.065,4.308
E02000547,3.971,45.081,4.848,2.596,4.339
E02000548,3.496,26.996,4.205,1.508,3.864
