LSOA21CD,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median
E01000001,88.004,1119.726,128.9,115.48,92.58
E01000002,87.382,511.24,103.693,51.553,91.147
E01000003,87.152,293.129,97.028,29.204,90.175
E01000005,84.059,1029.032,131.193,120.749,88.186
E01000006,54.121,62.589,56.692,1.646,56.567
E01000007,58.879,145.807,69.259,16.07,64.069
E01000008,59.108,277.201,72.902,24.593,65.305
E01000009,56.701,177.18,68.382,20.301,61.673
E01000011,56.461,155.016,65.481,14.945,61.707
E01000012,57.057,156.635,62.365,9.325,60.389
E01000013,47.394,181.823,57.326,18.039,51.611
E01000014,47.346,125.196,50.292,7.088,48.7
E01000015,45.898,90.533,49.767,6.25,48.047
E01000016,45.927,99.402,50.751,8.404,48.629
E01000017,47.302,113.472,51.686,8.053,49.589
E01000018,45.852,67.225,48.726,2.551,48.102
E01000019,48.011,63.445,50.357,2.342,49.735
E01000020,48.99,100.316,52.633,5.939,50.916
E01000021,48.882,144.39,55.226,11.431,51.813
E01000022,49.484,55.09,51.234,0.973,51.057
E01000024,50.742,134.065,57.092,12.289,53.41
E01000025,50.393,103.24,53.76,5.196,52.688
E01000027,40.973,121.302,44.618,6.777,42.914
E01000028,43.952,65.528,46.044,1.687,45.714
E01000029,46.101,161.279,54.638,17.259,49.655
E01000030,43.646,270.637,54.104,20.412,47.856
E01000031,41.556,574.546,53.777,23.719,48.16
E01000032,44.979,144.797,49.342,7.912,47.542
E01000033,44.425,122.711,49.627,8.119,47.801
E01000034,43.247,95.673,46.389,6.102,44.689
E01000035,44.996,152.285,52.794,13.142,48.793
E01000036,42.644,139.141,47.781,7.959,46.296
E01000037,43.775,91.433,47.252,6.219,45.937
E01000038,44.055,96.895,48.114,6.081,46.952
E01000039,41.895,93.316,43.851,3.714,43.025
E01000040,53.183,135.946,58.561,10.164,56.106
E01000041,50.746,140.366,59.099,12.747,55.521
E01000042,51.247,124.41,55.44,5.674,54.23
E01000043,55.915,176.51,63.829,16.063,59.111
E01000044,54.132,251.936,64.519,21.461,59.029
E01000045,53.062,340.925,71.91,33.668,59.772
E01000046,51.552,115.151,55.248,7.502,53.214
E01000049,58.594,200.282,71.402,23.896,62.874
E01000050,57.84,184.262,66.081,17.155,61.247
E01000051,57.693,211.396,70.218,23.263,62.511
E01000052,58.999,188.259,73.994,22.309,65.802
E01000053,51.153,307.863,65.173,25.024,57.039
E01000054,49.084,66.526,51.365,2.302,50.736
E01000055,49.658,71.026,52.765,2.98,52.014
E01000056,48.953,114.717,55.091,6.931,53.064
E01000057,49.147,104.249,54.282,7.232,52.069
E01000058,48.491,85.065,52.404,6.34,50.555
E01000059,48.957,69.717,51.285,2.761,50.494
E01000060,43.345,148.295,49.262,10.043,47.368
E01000061,43.349,141.001,49.473,11.78,46.023
E01000062,46.325,85.375,49.016,4.23,48.377
E01000063,47.378,133.158,53.064,10.838,49.779
E01000064,46.384,133.169,51.135,10.155,48.264
E01000065,47.274,128.373,53.189,11.965,49.404
E01000066,51.228,143.42,54.402,6.182,53.466
E01000067,52.831,158.253,60.258,15.53,55.504
E01000068,52.952,142.206,56.979,8.394,55.182
E01000069,51.308,89.892,54.423,2.6,54.06
E01000070,52.095,159.071,59.031,12.566,55.732
E01000071,51.49,93.525,55.065,4.432,54.017
E01000072,50.529,139.351,53.598,6.831,51.344
E01000073,50.8,78.43,52.803,2.659,52.028
E01000074,50.332,101.124,53.806,7.182,51.84
E01000075,47.63,108.108,51.546,6.191,50.267
E01000076,50.215,104.91,53.383,6.114,51.922
E01000077,50.04,175.275,56.508,12.974,52.666
E01000078,48.632,170.594,57.241,15.235,52.565
E01000079,47.343,131.073,51.857,10.792,49.093
E01000080,47.584,129.184,53.25,9.372,50.868
E01000081,47.264,58.067,49.13,1.328,48.815
E01000082,47.351,97.395,50.894,6.045,49.241
