LSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01004643,26.375,46.875,27.528,2.306,27.023
E01004644,26.113,54.313,27.258,2.199,26.678
E01004645,26.226,31.528,26.696,0.619,26.489
E01004646,31.468,63.322,32.66,3.005,32.059
E01004647,32.138,91.331,33.665,4.496,32.835
E01004648,31.436,48.919,32.882,2.404,32.08
E01004649,31.858,70.128,34.365,6.455,32.448
E01004650,31.802,50.281,33.375,2.099,32.787
E01004651,32.288,50.83,34.135,2.581,33.214
E01004652,33.588,58.897,37.169,4.451,35.528
E01004653,31.758,55.725,33.505,2.831,32.565
E01004654,32.522,61.556,34.274,3.303,33.356
E01004656,33.372,77.277,38.904,7.733,36.569
E01004657,36.635,91.347,40.438,7.085,38.293
E01004658,35.843,111.305,44.081,13.869,38.488
E01004659,35.431,70.11,37.514,4.749,36.086
E01004660,35.506,200.962,42.922,16.558,36.516
E01004661,35.878,212.598,48.323,25.867,37.347
E01004662,35.478,130.554,43.088,15.584,37.47
E01004663,35.823,133.795,38.82,8.411,37.013
E01004665,33.137,55.569,34.687,3.043,33.844
E01004668,33.597,60.829,35.653,3.529,34.548
E01004669,33.053,60.523,36.271,5.689,33.802
E01004670,34.23,51.539,35.824,2.456,35.096
E01004674,31.301,42.237,32.695,1.407,32.34
E01004675,32.322,57.237,35.535,3.891,34.256
E01004676,32.323,52.277,34.215,3.269,33.207
E01004677,31.04,43.843,32.29,2.103,31.586
E01004678,30.886,41.048,32.142,1.365,31.778
E01004679,31.059,66.541,34.635,5.13,32.656
E01004680,36.826,97.21,42.919,10.486,38.865
E01004681,35.509,88.398,41.816,8.31,38.718
E01004682,35.312,76.196,38.999,5.225,37.143
E01004683,35.919,74.908,40.135,6.234,37.88
E01004684,35.644,160.48,42.537,18.109,36.2
E01004686,35.903,97.86,40.582,11.962,36.908
E01004687,34.113,93.876,37.013,5.22,35.656
E01004690,35.267,75.617,39.704,5.884,37.758
E01004691,34.604,142.273,40.804,11.538,37.107
E01004692,34.451,61.043,38.05,4.962,36.018
E01004693,32.602,67.117,34.232,3.894,33.499
E01004694,34.237,64.261,36.959,4.409,35.701
E01004695,33.483,65.253,37.048,5.532,35.099
E01004696,33.916,71.662,37.529,5.683,35.396
E01004697,33.494,48.055,35.576,2.583,34.821
E01004698,33.506,56.132,34.732,2.365,34.157
E01004699,32.788,76.595,34.997,4.637,33.756
E01004700,33.89,38.462,34.847,0.841,34.67
E01004701,32.171,53.957,33.904,2.8,33.137
E01004702,34.464,86.461,42.43,10.71,38.21
E01004703,32.888,55.948,35.734,2.84,34.853
E01004705,32.57,52.806,34.661,3.333,33.486
E01004706,31.165,37.069,31.871,0.798,31.67
E01004707,31.722,36.695,32.266,0.49,32.096
E01004708,31.3,46.212,33.458,2.724,32.599
E01004709,31.721,47.611,33.589,2.535,32.808
E01004710,31.229,48.73,32.73,2.425,31.94
E01004711,31.236,50.999,32.965,2.975,32.131
E01004712,36.178,101.418,42.281,10.225,37.835
E01004713,38.048,91.002,40.886,5.029,39.33
E01004714,36.602,101.777,41.394,9.602,38.139
E01004715,38.053,127.005,43.238,10.353,40.013
E01004716,36.831,166.674,44.095,14.561,38.635
E01004717,36.706,95.51,40.77,8.469,38.348
E01004718,30.623,39.454,31.368,1.012,31.096
E01004719,30.256,32.856,30.657,0.32,30.535
E01004720,30.553,66.863,33.101,3.985,31.79
E01004721,30.465,50.658,32.909,3.898,31.555
E01004722,30.265,31.54,30.649,0.272,30.554
E01004723,30.313,50.604,32.142,3.181,31.18
E01004724,32.804,44.679,33.751,1.079,33.578
E01004725,33.168,74.482,37.057,5.851,35.089
E01004726,32.979,68.611,35.123,4.148,33.733
E01004727,32.689,88.191,35.343,4.131,34.304
E01004728,34.225,71.649,38.134,5.489,35.965
E01004729,33.435,71.934,36.547,5.128,34.722
E01004730,32.606,66.519,34.12,3.519,32.973
E01004731,35.289,112.136,39.81,9.948,36.492
E01004732,35.041,87.6,37.425,6.173,35.751
E01004733,34.438,84.286,39.321,6.719,36.775
E01004734,37.525,137.49,40.942,10.332,38.269
E01004735,37.416,154.723,43.761,13.197,38.937
E01004736,35.537,194.171,40.376,10.45,37.566
E01004737,33.519,81.872,39.674,9.443,35.346
