MSOA21CD,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median
E02000324,24.262,31.908,24.811,0.796,24.645
E02000326,24.602,45.247,25.603,2.01,25.006
E02000327,24.148,32.227,24.703,0.986,24.404
E02000328,24.709,39.901,25.435,1.471,24.996
E02000329,23.712,29.296,23.955,0.437,23.86
E02000331,24.311,41.926,25.168,1.494,24.722
E02000332,23.785,32.678,24.219,0.649,24.111
E02000333,24.583,41.551,25.572,1.711,25.03
E02000334,24.284,36.601,24.837,1.147,24.546
E02000335,23.884,40.141,24.566,1.432,24.268
E02000337,24.432,43.076,25.935,2.169,25.258
E02000339,24.098,41.556,25.381,2.108,24.759
E02000340,23.752,39.992,24.412,1.284,24.084
E02000341,24.079,40.52,25.219,1.55,24.798
E02000342,23.682,28.869,23.999,0.554,23.841
E02000343,23.767,32.829,24.459,1.096,24.133
E02000344,23.633,36.408,24.424,1.26,24.047
E02006786,23.631,33.362,24.154,0.777,23.969
E02006927,24.626,39.864,25.497,1.489,25.044
E02006928,24.99,36.151,25.871,1.386,25.395
E02006930,24.986,47.149,26.394,2.411,25.617
E02006931,24.733,39.569,25.695,1.626,25.262
E02006991,24.155,37.191,25.212,1.81,24.642
E02006992,24.717,55.598,26.572,3.025,25.703
E02006993,24.614,34.331,25.373,1.005,25.089
E02006994,24.327,36.213,25.334,1.679,24.804
E02000345,24.433,38.266,25.406,1.576,25.118
E02000346,25.232,40.609,26.551,1.9,25.901
E02000347,25.129,31.027,25.558,0.697,25.394
E02000348,24.455,34.219,25.389,1.235,25.125
E02000350,24.863,36.64,25.642,1.357,25.28
E02000351,25.453,36.688,26.263,1.53,25.773
E02000352,25.248,33.141,25.728,0.81,25.502
E02000353,25.345,39.135,26.398,1.611,25.866
E02000354,24.993,35.407,25.623,1.059,25.328
E02000355,24.808,38.882,25.753,1.556,25.313
E02000356,25.418,33.839,25.928,0.864,25.663
E02000357,24.48,32.772,24.824,0.713,24.651
E02000358,25.426,34.606,26.037,1.243,25.683
E02000359,24.765,34.413,25.358,0.981,25.135
E02000360,25.211,35.564,26.017,1.103,25.679
E02000361,25.146,41.54,26.802,2.012,26.053
E02000362,24.845,47.133,26.839,2.915,25.723
E02000363,25.128,33.36,26.015,1.155,25.685
E02000364,25.423,41.144,26.121,1.169,25.783
E02000366,25.3,34.286,26.214,1.274,25.772
E02000367,25.405,37.94,26.292,1.5,25.841
E02000368,25.441,34.01,26.134,0.865,25.879
E02000369,25.768,34.191,26.537,1.053,26.203
E02000370,26.005,37.034,26.855,1.091,26.551
E02006918,24.486,37.054,25.115,1.223,24.83
E02006921,24.441,32.049,25.148,0.958,24.962
E02007108,25.572,37.921,26.912,1.889,26.241
E02007109,25.586,39.588,26.368,1.128,26.024
E02007110,26.132,41.416,27.459,1.886,26.905
E02007111,26.077,47.324,28.078,2.476,27.27
E02000372,24.831,56.389,25.945,2.234,25.26
E02000373,25.293,47.117,26.466,2.548,25.761
E02000374,25.225,47.716,26.479,2.611,25.636
E02000375,25.357,45.631,26.674,1.951,26.076
E02000376,25.414,38.066,26.524,1.713,25.896
E02000377,25.278,36.239,26.326,1.797,25.687
E02000378,25.695,39.054,27.08,2.429,26.327
E02000379,25.078,35.206,25.643,0.978,25.404
E02000380,25.517,33.726,26.034,0.915,25.764
E02000381,25.647,43.629,26.45,2.18,25.927
E02000382,25.433,47.116,27.114,3.045,26.161
E02000383,25.643,46.236,27.126,2.427,26.367
E02000384,25.54,68.889,28.411,4.031,26.883
E02000385,25.568,47.483,27.116,3.425,26.07
E02000386,25.699,47.504,26.481,1.537,26.142
E02000387,25.497,34.836,26.149,1.31,25.767
E02000388,25.753,36.916,26.449,1.254,26.084
E02000389,24.864,36.773,25.702,1.366,25.377
E02000390,25.479,30.723,26.064,0.752,25.848
E02000391,25.374,37.813,26.543,1.529,26.113
E02000392,25.418,35.313,26.161,1.155,25.803
E02000393,25.398,33.215,25.914,0.998,25.624
E02000394,25.5,31.671,25.766,0.391,25.684
E02000395,24.854,43.66,25.652,1.383,25.268
E02000396,25.217,38.49,25.818,1.101,25.5
E02000397,24.242,31.094,24.623,0.681,24.47
E02000398,23.953,38.874,24.574,1.097,24.343
E02000400,24.032,45.041,24.849,1.283,24.49
E02000401,24.137,36.225,25.049,1.374,24.641
E02000402,24.142,32.701,24.805,0.958,24.547
E02000403,24.167,36.262,24.962,1.226,24.629
E02000404,24.386,31.968,25.14,1.21,24.75
E02000405,24.024,30.61,24.515,0.629,24.362
E02000406,24.591,33.368,25.144,1.078,24.823
E02000407,24.549,39.055,25.389,1.69,24.836
E02000408,24.334,37.153,25.293,1.717,24.777
E02000409,24.429,35.583,24.956,0.968,24.667
E02000410,24.131,37.111,24.994,1.571,24.539
E02000411,24.203,43.653,25.179,1.771,24.66
E02000412,24.515,37.666,25.59,1.623,25.058
E02000413,24.077,30.531,24.479,0.591,24.359
E02000414,24.45,28.686,24.84,0.477,24.714
E02000415,24.492,36.904,25.273,1.187,24.919
E02000416,24.321,32.356,25.046,0.953,24.784
E02000417,24.297,33.345,24.872,0.927,24.587
E02000418,24.34,32.925,25.05,1.036,24.754
E02000419,24.738,38.752,25.672,1.509,25.131
E02000420,24.668,42.68,25.54,1.712,24.983
E02000421,24.538,41.331,26.211,2.471,25.417
E02000422,24.747,40.286,25.522,1.384,25.099
E02000423,24.852,33.643,25.554,1.24,25.156
E02000424,24.698,32.772,25.029,0.7,24.854
E02000425,24.389,38.883,25.188,1.535,24.822
E02000426,24.349,34.996,24.971,1.135,24.611
E02000427,24.743,36.267,25.632,1.147,25.307
E02000428,24.952,36.222,25.618,1.288,25.3
E02000429,24.416,32.042,24.931,0.705,24.753
E02000430,24.793,33.158,25.36,1.083,25.026
E02000431,24.678,36.064,25.505,1.479,25.057
E02000432,24.805,30.826,25.353,0.656,25.193
E02006794,24.197,35.041,24.825,1.13,24.517
E02000433,22.962,32.783,23.558,0.878,23.353
E02000434,23.387,35.446,23.83,0.703,23.666
E02000435,23.069,32.179,23.5,0.675,23.343
E02000436,22.756,31.153,23.13,0.61,22.986
E02000437,23.15,33.603,23.721,0.924,23.484
E02000438,22.952,31.127,23.657,1.005,23.361
E02000439,23.633,32.945,24.182,0.909,23.957
E02000440,23.32,31.045,23.801,0.773,23.591
E02000441,22.67,30.892,23.1,0.681,22.95
E02000442,23.609,30.375,24.103,0.711,23.918
E02000443,23.322,29.379,23.744,0.613,23.597
E02000444,23.477,32.213,24.002,0.939,23.698
E02000445,23.457,35.066,24.056,0.978,23.731
E02000447,22.99,28.018,23.437,0.522,23.332
E02000448,23.054,28.534,23.428,0.541,23.288
E02000449,23.663,34.064,24.316,1.109,24.009
E02000451,23.056,29.524,23.545,0.647,23.408
E02000452,23.395,35.232,24.059,0.968,23.813
E02000453,23.398,34.395,23.842,0.833,23.61
E02000454,23.115,26.857,23.406,0.399,23.312
E02000455,23.676,38.095,24.623,1.428,24.199
E02000456,23.481,33.127,23.92,0.83,23.698
E02000457,23.277,30.076,23.754,0.599,23.605
E02000459,23.566,30.072,24.074,0.753,23.856
E02000460,23.434,29.42,23.866,0.793,23.65
E02000461,23.586,33.974,24.063,0.905,23.808
E02000462,23.607,29.885,24.072,0.808,23.833
E02000463,23.472,29.156,23.837,0.543,23.719
E02006795,23.287,29.882,23.674,0.548,23.575
E02006882,23.469,36.959,23.915,0.739,23.741
E02000464,22.218,38.861,22.839,1.678,22.412
E02000465,22.288,42.562,23.086,1.787,22.627
E02000466,22.22,28.402,22.544,0.378,22.444
E02000467,22.568,29.178,23.026,0.594,22.894
E02000468,22.317,29.853,22.67,0.476,22.51
E02000469,22.581,38.735,23.151,1.092,22.852
E02000470,22.253,41.403,22.877,1.397,22.476
E02000471,22.636,32.719,23.235,0.924,23.047
E02000472,22.862,37.62,23.44,1.142,23.156
E02000473,22.36,37.569,23.169,1.018,22.918
E02000474,22.905,34.834,23.577,1.326,23.263
E02000475,22.793,38.268,23.297,0.936,23.071
E02000476,23.001,43.311,24.445,1.982,23.905
E02000477,22.835,29.441,23.214,0.513,23.099
E02000478,22.364,29.359,22.717,0.31,22.7
E02000479,23.075,38.683,24.138,1.586,23.618
E02000480,23.206,37.124,23.763,1.097,23.442
E02000481,21.633,38.637,22.629,1.636,22.319
E02000482,22.345,30.603,22.633,0.543,22.503
E02000483,22.679,29.119,23.069,0.576,22.927
E02000484,22.846,31.324,23.357,0.799,23.193
E02000485,22.401,33.355,22.862,0.596,22.762
E02000486,22.814,28.183,23.104,0.459,23.005
E02000487,22.199,37.951,22.62,0.891,22.473
E02000488,22.663,27.462,23.042,0.509,22.945
E02000489,22.716,31.398,23.368,0.797,23.252
E02000490,22.816,31.302,23.371,0.684,23.298
E02000491,22.98,35.356,23.834,1.147,23.522
E02000492,22.482,39.803,23.119,0.953,22.927
E02000493,22.876,39.765,23.632,1.285,23.346
E02000494,22.315,32.476,22.742,0.713,22.611
E02000495,22.616,31.275,23.102,0.774,22.915
E02000496,22.099,28.228,22.408,0.34,22.343
E02000497,22.651,31.048,23.206,0.613,23.101
E02000498,22.448,36.415,22.982,0.819,22.835
E02000499,23.116,28.091,23.451,0.465,23.341
E02000500,22.652,32.806,23.364,0.872,23.22
E02000501,23.22,28.517,23.455,0.354,23.384
E02000502,22.859,33.754,23.4,0.797,23.201
E02000503,23.173,28.549,23.599,0.519,23.484
E02000504,22.68,36.15,23.346,0.978,23.147
E02000506,22.436,44.071,23.526,1.61,23.272
E02000507,23.149,33.644,23.75,1.246,23.401
E02000508,23.032,34.512,23.967,1.138,23.68
E02000509,22.912,33.002,23.662,1.11,23.352
E02000510,23.215,34.227,23.909,1.012,23.659
E02000511,23.187,29.84,23.482,0.385,23.414
E02000512,23.223,30.223,23.705,0.733,23.548
E02000513,23.412,33.517,23.93,0.879,23.732
E02000514,23.447,31.927,23.899,0.693,23.751
E02000515,22.998,37.007,23.517,0.825,23.345
E02000516,23.711,34.249,24.172,1.035,23.891
E02000517,23.406,31.613,23.858,0.756,23.671
E02000518,23.34,34.789,23.827,0.84,23.624
E02000519,23.685,36.702,24.431,1.311,24.049
E02000520,23.409,43.805,24.23,1.318,23.913
E02000521,23.618,46.015,24.301,1.409,23.915
E02000522,23.414,35.241,24.241,1.093,23.983
E02000523,23.761,37.495,24.835,1.419,24.388
E02000524,23.277,119.399,24.605,2.113,24.109
E02000525,23.763,41.214,24.639,1.63,24.134
E02006796,23.142,34.606,23.826,1.152,23.545
E02000526,25.059,53.857,26.764,3.274,25.697
E02000529,23.992,34.893,24.771,1.209,24.371
E02000530,23.891,42.619,24.944,1.833,24.344
E02000531,24.079,48.043,25.405,2.09,24.842
E02000532,24.502,46.956,25.493,1.989,24.998
E02000533,24.55,46.977,25.73,2.144,25.106
E02000534,23.906,38.117,24.726,1.367,24.342
E02000535,23.837,37.74,24.664,1.511,24.216
E02000536,23.953,37.53,24.787,1.593,24.319
E02000537,23.899,37.133,24.522,1.23,24.248
E02000538,23.679,41.295,24.635,1.598,24.162
E02000539,23.905,38.869,24.725,1.088,24.445
E02000540,24.0,34.919,24.62,1.017,24.346
E02000541,23.808,33.468,24.502,1.166,24.145
E02000542,23.993,35.422,24.74,1.169,24.358
E02000543,23.884,35.884,24.642,1.178,24.309
E02000544,23.851,27.925,24.128,0.357,24.038
E02000545,23.867,32.703,24.42,0.824,24.244
E02000546,23.506,30.946,23.903,0.625,23.741
E02000547,23.565,36.707,24.23,1.154,23.906
E02000548,23.12,34.386,23.821,0.956,23.581
E02000549,23.475,34.871,24.078,1.12,23.778
E02000550,23.421,31.759,23.817,0.589,23.696
E02000551,23.386,34.76,24.164,1.344,23.764
E02000552,23.054,30.631,23.517,0.615,23.378
E02000553,23.227,38.184,23.877,1.074,23.575
E02006792,24.901,46.556,26.315,2.383,25.556
E02006972,24.674,45.226,25.976,2.508,25.208
E02006973,24.314,43.428,25.798,2.295,25.221
E02000554,24.837,31.512,25.491,0.896,25.242
E02000555,24.788,36.92,25.641,1.31,25.255
E02000556,25.131,35.715,25.715,0.949,25.473
E02000557,25.217,40.235,26.326,1.765,25.7
E02000558,25.29,41.357,26.559,2.001,25.976
E02000559,25.489,39.621,26.25,1.306,25.84
E02000560,25.533,43.299,26.844,1.8,26.221
E02000561,25.21,35.598,25.602,0.806,25.427
E02000562,25.49,31.462,26.126,0.948,25.801
E02000563,25.33,40.419,26.23,1.439,25.804
E02000564,25.665,38.833,26.578,1.449,26.086
E02000565,25.511,32.666,26.301,0.937,25.981
E02000566,25.615,38.237,26.391,1.298,26.061
E02000567,25.732,37.903,26.509,1.191,26.107
E02000568,25.71,34.312,26.514,1.03,26.221
E02000569,25.839,35.733,26.953,1.497,26.448
E02000570,25.885,32.317,26.554,0.672,26.388
E02000571,26.039,35.702,26.753,1.24,26.365
E02000572,26.232,38.798,27.408,1.351,27.05
E02000573,26.218,41.332,27.563,2.089,26.915
E02000574,26.716,44.888,28.269,2.17,27.49
E02000575,26.979,43.063,28.374,1.804,27.675
E02000576,26.937,41.63,28.036,1.871,27.375
