MSOA21CD,PM10d-2013-min,PM10d-2013-max,PM10d-2013-mean,PM10d-2013-std,PM10d-2013-median
E02000002,7.704,63.669,9.037,2.951,8.436
E02000003,7.965,171.931,10.357,4.951,9.272
E02000004,8.04,17.026,8.532,0.841,8.318
E02000005,8.446,40.376,9.82,2.468,9.239
E02000007,8.211,35.745,9.478,2.355,8.972
E02000008,8.882,39.767,10.163,2.329,9.558
E02000009,9.271,36.214,10.771,2.512,10.091
E02000010,8.807,28.851,9.744,1.878,9.296
E02000011,8.196,28.335,9.153,1.932,8.766
E02000012,9.865,35.834,11.003,2.338,10.455
E02000013,9.159,23.316,10.137,1.371,9.872
E02000014,9.094,32.247,10.28,2.252,9.756
E02000015,8.543,25.662,9.514,1.451,9.153
E02000016,10.824,120.694,13.228,5.062,12.027
E02000017,10.271,56.616,11.868,3.32,11.139
E02000018,9.695,149.273,11.92,8.198,10.413
E02000019,9.234,112.46,11.622,5.765,10.321
E02000020,9.258,113.694,11.525,5.861,10.34
E02000021,8.764,94.796,10.446,3.835,9.512
E02000022,11.505,92.861,14.103,6.553,12.395
E02000023,9.591,159.687,12.309,7.413,10.652
E02006799,8.778,27.406,10.141,1.652,9.719
E02000024,7.517,38.652,8.412,1.801,8.021
E02000025,7.718,28.786,8.332,1.103,8.132
E02000026,7.783,19.697,8.673,0.982,8.573
E02000027,7.967,47.548,8.577,1.509,8.309
E02000028,8.437,43.283,9.716,3.097,8.927
E02000029,8.147,25.658,9.451,1.807,9.022
E02000030,7.532,60.273,8.809,2.611,8.341
E02000031,8.517,50.85,9.988,3.33,9.14
E02000032,8.756,26.377,9.764,1.486,9.441
E02000033,8.895,36.277,10.079,1.804,9.567
E02000034,9.06,29.616,10.141,2.05,9.68
E02000035,8.584,31.315,9.755,2.556,9.222
E02000036,8.341,88.677,11.313,5.223,9.856
E02000037,8.197,59.849,9.725,2.933,9.024
E02000038,9.449,106.188,11.291,5.105,10.182
E02000039,9.106,73.677,12.477,6.381,10.589
E02000040,8.406,22.519,9.305,0.992,9.168
E02000041,9.046,48.198,10.757,3.174,9.865
E02000042,9.298,56.191,11.424,3.813,10.394
E02000043,8.427,23.057,9.622,1.003,9.546
E02000044,9.498,33.718,10.862,1.729,10.371
E02000045,10.038,77.698,12.716,7.214,10.735
E02000046,9.757,46.526,11.733,3.332,10.72
E02000047,9.653,54.733,11.144,3.385,10.438
E02000048,9.295,103.621,11.791,5.509,10.269
E02000049,10.45,20.106,11.98,1.226,11.758
E02000050,10.055,97.845,12.982,7.813,10.918
E02000051,10.11,151.997,13.375,8.646,11.353
E02000052,10.479,40.585,11.695,2.475,11.044
E02000054,10.467,137.141,15.053,7.599,12.538
E02000055,10.577,81.468,13.422,6.125,11.889
E02000056,10.43,98.951,11.732,4.063,10.894
E02000057,11.295,113.658,15.555,10.512,12.514
E02000058,10.602,110.521,13.045,7.528,11.416
E02000059,10.477,141.925,13.211,6.224,11.636
E02000060,11.281,164.967,15.322,11.689,12.353
E02000061,10.842,76.994,12.705,4.417,11.718
E02000062,11.382,185.421,17.396,15.372,12.856
E02000063,11.178,77.765,13.587,6.646,11.936
E02000064,11.231,78.09,13.512,4.344,12.232
E02006953,11.269,27.761,12.336,1.733,11.831
E02006954,10.573,50.385,12.392,2.955,11.666
E02000065,8.52,20.385,9.307,1.028,9.079
E02000066,8.754,42.439,10.016,2.376,9.476
E02000067,8.25,42.417,9.261,1.387,8.996
E02000068,8.212,46.143,9.586,2.483,8.958
E02000069,8.477,19.931,9.189,1.272,8.841
E02000070,8.673,36.12,9.722,1.969,9.29
E02000071,8.541,20.434,9.162,1.051,8.915
E02000072,7.389,106.366,8.465,3.16,7.982
E02000073,8.982,28.076,10.035,1.976,9.503
E02000074,8.156,53.485,9.71,3.895,8.765
E02000075,8.684,25.698,9.448,1.36,9.176
E02000077,9.013,22.971,9.565,0.951,9.383
E02000078,8.206,23.589,8.808,0.997,8.615
E02000079,8.884,35.369,10.116,2.258,9.521
E02000080,8.905,41.254,10.207,1.976,9.761
E02000081,8.193,43.848,9.525,2.428,8.963
E02000082,9.242,58.39,11.475,5.344,10.026
E02000083,7.995,55.235,9.199,2.984,8.472
E02000084,8.717,58.868,10.738,3.745,9.558
E02000085,8.872,65.113,11.141,4.854,9.732
E02000086,8.731,24.764,9.434,0.963,9.249
E02000087,7.804,43.306,9.649,2.956,8.911
E02000088,8.216,24.323,9.369,1.567,9.019
E02000089,8.945,31.673,9.69,1.778,9.31
E02000090,8.83,42.52,10.084,2.46,9.364
E02000091,8.197,40.335,9.399,2.18,8.885
E02000092,7.586,43.788,8.61,1.995,8.205
E02006785,9.105,24.969,9.873,1.419,9.525
E02000093,9.481,46.48,10.661,2.372,10.114
E02000094,9.819,51.581,11.581,2.887,10.9
E02000095,9.225,33.06,10.844,2.717,10.092
E02000096,9.132,31.96,9.799,1.696,9.428
E02000097,9.681,29.649,10.813,1.561,10.55
E02000098,9.422,35.233,10.354,1.82,9.924
E02000099,9.22,27.984,9.883,1.36,9.593
E02000100,9.037,35.453,10.082,2.568,9.489
E02000101,9.806,64.625,11.91,3.598,11.014
E02000102,10.471,137.454,13.998,11.899,11.508
E02000103,10.906,156.131,13.494,8.683,11.751
E02000104,9.756,53.718,11.417,3.092,10.617
E02000105,9.431,44.836,10.774,2.684,10.05
E02000106,10.859,186.207,18.532,17.85,13.503
E02000107,11.031,40.22,12.457,2.846,11.7
E02000108,9.52,20.211,10.321,1.026,10.056
E02000110,11.049,32.938,11.83,1.37,11.552
