LAD22CD,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median
E09000002,9.598,28.446,10.314,0.572,10.21
E09000003,9.445,24.115,10.343,0.752,10.225
E09000004,9.443,22.703,10.114,0.536,10.053
E09000005,10.053,24.407,10.797,0.729,10.725
E09000006,8.903,18.001,9.651,0.509,9.606
E09000007,10.488,35.828,11.715,1.266,11.304
E09000001,12.406,29.359,13.365,1.401,13.007
E09000008,9.162,19.063,10.007,0.604,9.897
E09000009,9.828,23.873,10.662,0.728,10.484
E09000010,9.362,26.769,10.122,0.716,10.027
E09000011,9.947,21.674,10.642,0.719,10.449
E09000012,10.533,22.535,11.352,0.724,11.178
E09000013,10.563,35.158,11.364,0.934,11.183
E09000014,10.267,26.298,10.814,0.57,10.71
E09000015,9.464,16.717,10.07,0.446,10.061
E09000016,8.81,21.52,9.581,0.504,9.506
E09000017,9.024,117.826,9.944,0.671,9.907
E09000018,9.607,29.564,10.441,0.809,10.259
E09000019,10.776,24.307,11.777,0.856,11.525
E09000020,10.868,28.084,11.858,1.145,11.619
E09000021,9.216,21.413,10.113,0.642,10.086
E09000022,10.391,26.339,11.147,0.785,10.959
E09000023,9.926,19.853,10.65,0.53,10.551
E09000024,9.994,18.614,10.512,0.476,10.424
E09000025,10.26,34.692,11.042,0.821,10.921
E09000026,9.318,22.88,10.338,0.726,10.278
E09000027,9.569,21.352,10.18,0.476,10.068
E09000028,10.306,24.006,11.19,0.731,11.039
E09000029,9.473,22.154,10.08,0.438,10.077
E09000030,10.707,32.696,11.698,1.057,11.413
E09000031,9.595,20.966,10.628,0.708,10.564
E09000032,10.01,23.115,10.929,0.649,10.777
E09000033,11.113,41.234,12.535,1.417,12.106
