LAD22CD,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median
E09000002,22.911,59.221,24.251,1.399,23.97
E09000003,22.809,65.069,24.348,1.671,24.007
E09000004,22.739,45.356,23.801,0.991,23.631
E09000005,23.611,65.535,25.049,1.803,24.742
E09000006,22.021,37.974,23.248,0.94,23.122
E09000007,24.476,58.143,26.492,2.105,25.836
E09000001,27.037,59.832,29.5,3.147,28.331
E09000008,22.372,44.455,23.817,1.149,23.565
E09000009,23.236,54.415,24.994,1.795,24.577
E09000010,22.737,69.326,23.914,1.742,23.56
E09000011,23.631,55.598,24.877,1.584,24.521
E09000012,24.433,47.324,26.061,1.662,25.676
E09000013,24.831,68.889,26.323,2.163,25.797
E09000014,23.953,45.041,25.087,1.301,24.772
E09000015,22.67,38.095,23.702,0.865,23.574
E09000016,21.633,43.311,23.025,1.197,22.814
E09000017,22.099,119.399,23.673,1.458,23.516
E09000018,23.054,53.857,24.61,1.641,24.223
E09000019,24.788,44.888,26.692,1.67,26.228
E09000020,25.01,49.595,27.118,2.179,26.512
E09000021,22.632,50.506,24.084,1.308,23.912
E09000022,24.388,48.865,26.057,1.686,25.644
E09000023,23.725,44.142,25.133,1.309,24.865
E09000024,23.648,52.027,24.663,1.067,24.457
E09000025,23.819,58.883,25.342,1.727,24.965
E09000026,22.439,63.536,24.235,1.67,23.996
E09000027,23.13,42.68,24.255,1.073,24.008
E09000028,24.402,48.955,26.123,1.651,25.727
E09000029,22.932,51.588,23.962,0.955,23.847
E09000030,24.941,65.678,26.729,2.364,26.098
E09000031,22.855,58.134,24.708,1.681,24.453
E09000032,23.966,44.225,25.577,1.393,25.229
E09000033,25.329,63.636,28.032,2.85,27.31
