LSOA21CD,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median
E01000001,43.215,127.25,57.812,14.922,51.574
E01000002,42.382,80.745,47.683,6.433,45.854
E01000003,42.915,81.494,47.176,5.882,45.236
E01000005,43.723,234.123,61.116,23.241,52.928
E01000006,31.127,34.916,32.585,0.773,32.558
E01000007,33.76,68.003,38.692,6.1,36.587
E01000008,33.822,120.43,39.927,9.81,36.811
E01000009,32.614,75.034,37.16,6.495,34.97
E01000011,31.862,59.367,35.499,4.789,34.306
E01000012,32.576,57.513,35.507,3.451,34.661
E01000013,28.214,68.829,32.469,6.493,30.204
E01000014,28.071,56.672,29.573,2.92,28.936
E01000015,27.433,44.726,29.306,2.586,28.568
E01000016,27.529,49.706,29.725,3.42,28.868
E01000017,28.179,55.209,30.365,3.691,29.383
E01000018,27.458,34.962,28.821,1.003,28.63
E01000019,28.274,35.524,29.584,1.094,29.364
E01000020,28.922,47.118,30.592,2.274,29.94
E01000021,28.745,70.434,31.766,4.833,30.274
E01000022,29.197,31.395,30.08,0.396,30.058
E01000024,29.803,60.685,32.846,5.299,31.162
E01000025,29.708,54.459,31.358,2.365,30.901
E01000027,24.651,54.119,26.445,2.942,25.581
E01000028,26.294,36.189,27.292,0.737,27.175
E01000029,27.313,74.538,31.229,7.067,29.121
E01000030,26.026,98.39,30.994,8.653,28.101
E01000031,24.984,165.587,30.41,8.719,28.052
E01000032,26.648,62.604,28.846,3.757,28.032
E01000033,26.504,54.473,28.853,3.007,28.16
E01000034,26.044,44.463,27.487,2.503,26.815
E01000035,26.412,59.701,30.192,4.939,28.601
E01000036,25.84,55.79,28.089,3.028,27.445
E01000037,26.625,43.401,28.237,2.196,27.846
E01000038,26.568,46.72,28.643,2.588,28.171
E01000039,25.613,43.297,26.355,1.466,26.012
E01000040,30.648,55.018,33.102,3.425,32.124
E01000041,29.802,60.195,33.751,5.319,32.058
E01000042,29.814,58.803,32.051,2.638,31.469
E01000043,32.071,84.301,35.847,6.44,33.651
E01000044,31.107,83.068,36.815,7.766,34.194
E01000045,31.018,123.232,39.135,13.622,34.139
E01000046,30.395,54.944,32.078,3.089,31.182
E01000049,33.465,97.906,38.821,9.973,35.239
E01000050,33.326,70.531,36.615,5.586,34.865
E01000051,33.172,72.698,38.127,7.23,35.593
E01000052,34.084,92.309,39.819,7.831,36.833
E01000053,30.265,120.029,36.455,10.454,32.935
E01000054,29.317,35.868,30.437,0.922,30.289
E01000055,29.562,38.67,30.955,1.196,30.637
E01000056,29.277,54.88,32.152,3.035,31.239
E01000057,28.95,51.118,31.731,3.343,30.759
E01000058,28.728,42.114,30.656,2.596,29.917
E01000059,29.143,38.024,30.408,1.252,30.131
E01000060,26.011,64.705,28.816,4.213,28.106
E01000061,26.044,65.78,28.835,4.814,27.296
E01000062,27.644,41.172,28.861,1.491,28.654
E01000063,28.172,61.407,30.804,4.52,29.399
E01000064,27.648,59.098,29.74,3.776,28.564
E01000065,28.084,54.276,30.578,4.113,29.273
E01000066,29.694,62.435,31.362,2.451,31.073
E01000067,30.736,66.094,33.958,5.707,32.047
E01000068,30.304,66.294,32.398,3.609,31.526
E01000069,29.704,46.042,31.341,1.186,31.254
E01000070,29.918,72.614,33.397,5.365,32.049
E01000071,29.733,46.962,31.622,2.002,31.143
E01000072,29.357,60.165,30.906,3.08,29.811
E01000073,29.683,48.428,30.771,1.65,30.396
E01000074,29.63,49.652,31.364,3.243,30.508
E01000075,28.171,53.757,30.155,2.785,29.607
E01000076,29.571,48.7,30.95,2.232,30.454
E01000077,29.474,66.391,32.578,5.04,30.96
E01000078,28.8,72.05,32.678,6.031,30.648
E01000079,28.068,56.672,30.256,4.286,29.141
E01000080,28.184,55.853,30.929,3.969,29.997
E01000081,28.155,33.187,29.09,0.604,29.007
E01000082,28.171,49.276,30.246,3.538,29.158
E01000083,28.988,67.367,32.175,4.98,30.556
E01000084,28.849,63.351,32.189,4.985,30.642
E01000085,29.213,60.733,31.692,4.175,30.728
E01000086,29.147,54.286,31.516,4.171,30.294
E01000087,28.99,76.774,33.296,6.639,30.903
E01000088,27.78,37.554,29.263,1.454,29.019
E01000089,27.884,30.74,29.07,0.54,29.052
E01000090,28.031,78.968,31.317,5.923,29.514
E01000091,29.896,42.25,31.267,1.501,30.773
E01000093,29.971,121.615,37.693,11.77,33.296
E01000094,29.57,43.184,31.281,1.418,31.12
E01000095,28.935,119.071,34.376,9.058,31.713
E01000096,30.667,134.619,36.99,9.188,33.824
E01000097,29.147,52.58,32.097,4.118,30.533
E01000098,29.218,52.323,31.715,3.502,30.697
E01000099,27.168,62.329,29.978,3.6,29.063
E01000100,27.547,46.807,29.265,2.806,28.73
E01000101,27.91,62.229,30.701,4.608,29.327
E01000102,27.549,38.761,29.431,1.956,28.926
E01000103,27.382,49.193,28.365,1.926,27.846
E01000104,27.501,54.024,30.902,4.524,29.381
E01000105,27.793,58.566,30.061,3.289,29.353
E01000106,27.83,40.28,29.45,1.886,28.994
E01000107,26.128,35.035,27.227,0.793,27.267
E01000108,26.482,58.047,29.254,4.271,28.31
E01000110,26.883,52.473,29.524,3.295,28.735
E01000111,27.787,65.457,32.275,6.072,30.188
E01000112,27.957,106.815,32.316,7.523,29.752
E01000113,28.891,63.503,31.75,5.126,30.123
E01000114,26.653,77.184,31.294,6.679,29.456
E01000115,28.049,57.718,30.568,3.265,29.792
E01000116,27.963,57.856,30.82,3.792,29.964
E01000117,28.654,48.412,29.892,1.474,29.525
E01000118,28.844,58.474,32.094,4.212,30.672
E01000119,28.64,40.937,29.541,1.138,29.22
E01000120,28.926,56.092,31.223,3.755,30.283
E01000121,28.825,42.584,29.866,1.588,29.407
E01000122,28.915,45.491,30.769,1.953,30.286
E01000123,28.999,43.193,30.719,1.93,30.268
E01000124,30.354,73.388,35.037,5.74,33.002
E01000126,32.382,41.125,34.263,1.546,34.007
E01000127,30.048,45.548,31.613,2.385,31.052
E01000128,30.941,39.797,32.086,0.979,31.886
E01000129,30.863,97.634,38.322,11.177,34.339
E01000130,31.226,43.011,32.822,1.775,32.446
E01000131,31.018,88.947,32.943,4.071,32.068
E01000132,30.034,38.894,31.317,1.187,31.153
E01000133,30.931,40.14,32.61,1.505,32.275
E01000134,30.08,60.987,33.304,4.644,31.818
E01000135,33.735,96.225,37.599,8.962,35.058
E01000136,32.843,70.029,35.186,3.495,34.505
E01000137,34.072,62.09,36.985,4.152,35.714
E01000138,34.378,103.25,42.067,12.655,37.196
E01000139,33.602,118.62,38.656,8.352,36.217
E01000140,34.911,79.488,41.655,7.75,38.461
E01000141,34.352,104.897,39.97,7.996,37.141
E01000142,34.403,55.157,36.078,2.608,35.49
E01000143,33.719,67.339,36.82,4.503,35.615
E01000144,34.436,78.532,38.906,6.875,36.771
E01000145,34.083,87.625,36.685,5.749,35.103
E01000146,34.268,92.91,40.219,8.192,36.966
E01000147,33.21,56.699,34.921,2.531,34.434
E01000150,33.142,91.642,36.365,5.496,34.858
E01000151,34.056,44.773,35.666,1.473,35.304
E01000152,33.308,58.137,37.869,5.527,35.514
E01000153,32.174,43.155,33.764,1.154,33.475
E01000154,34.106,44.392,35.617,1.962,34.956
E01000156,31.93,71.952,35.995,6.897,33.791
E01000157,31.487,40.018,33.248,0.991,33.085
E01000158,29.523,57.925,31.017,1.875,30.588
E01000159,29.545,66.59,32.076,4.662,30.748
E01000160,30.313,117.937,35.239,10.682,32.369
E01000161,30.998,71.754,36.051,7.426,33.502
E01000162,30.98,91.919,37.208,9.526,33.799
E01000163,31.713,108.352,39.954,14.693,34.66
E01000164,31.211,108.627,37.655,11.415,33.599
E01000165,31.183,98.724,35.479,8.668,33.234
E01000166,25.359,28.737,26.715,0.707,26.702
E01000167,25.285,33.643,26.163,0.883,26.018
E01000168,26.707,29.517,27.595,0.52,27.494
E01000169,26.365,30.743,27.327,0.572,27.232
E01000170,27.015,54.588,29.532,3.215,28.791
E01000171,26.188,58.686,29.798,4.784,28.748
E01000172,27.299,48.481,28.82,2.797,28.125
E01000173,27.297,53.579,29.033,2.875,28.581
E01000174,28.362,53.6,31.485,4.65,29.792
E01000175,27.556,53.394,29.539,2.908,28.909
E01000176,32.686,98.541,43.503,16.696,36.215
E01000177,32.192,65.454,33.801,2.845,33.257
E01000178,30.808,65.598,32.862,3.69,32.15
E01000179,32.19,37.196,33.308,0.734,33.212
E01000180,32.426,49.715,34.249,2.576,33.613
E01000181,32.469,83.699,37.246,7.111,34.744
E01000182,32.458,70.33,35.978,5.662,34.298
E01000183,32.348,53.758,34.149,2.98,33.363
E01000184,30.874,110.892,37.002,10.854,33.308
E01000185,32.502,61.886,35.351,5.236,33.631
E01000186,28.225,74.806,32.019,6.763,30.396
E01000187,27.915,31.197,28.929,0.652,28.904
E01000188,26.618,80.761,30.532,6.486,28.521
E01000189,29.039,68.068,32.726,6.459,30.562
E01000190,29.127,49.148,30.242,1.922,29.832
E01000191,29.618,86.64,34.714,8.193,31.584
E01000192,29.49,69.342,33.387,5.952,31.268
E01000193,28.976,74.774,31.805,4.537,30.691
