MSOA21CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E02000002,32.884,258.345,40.531,13.672,37.4
E02000003,33.373,528.407,48.52,21.221,44.042
E02000004,34.542,89.859,38.228,5.427,36.507
E02000005,37.076,193.208,45.894,12.048,43.355
E02000007,35.472,141.114,42.97,10.544,41.021
E02000008,39.06,168.285,47.314,10.822,44.6
E02000009,41.947,161.017,50.476,11.773,47.166
E02000010,39.042,120.178,44.985,9.058,42.995
E02000011,34.927,127.854,41.873,9.596,39.932
E02000012,42.958,165.767,50.68,11.202,48.265
E02000013,39.666,109.828,46.759,7.269,45.562
E02000014,39.46,164.069,48.077,12.271,45.448
E02000015,38.029,128.864,43.423,7.915,41.647
E02000016,50.749,333.414,65.664,19.909,59.153
E02000017,44.298,198.656,55.897,15.647,52.066
E02000018,42.083,374.263,53.549,24.159,48.021
E02000019,41.164,362.103,54.293,25.166,47.334
E02000020,41.098,359.965,51.96,20.773,45.686
E02000021,39.162,375.628,49.315,18.904,43.989
E02000022,51.094,267.842,65.304,22.025,58.511
E02000023,42.557,421.357,55.951,24.801,49.307
E02006799,37.98,132.568,47.845,9.157,45.704
E02000024,32.735,206.258,39.239,11.025,36.606
E02000025,33.974,151.348,38.124,6.946,36.697
E02000026,34.147,96.678,40.337,5.046,39.545
E02000027,36.069,221.992,41.001,8.668,39.489
E02000028,39.221,214.475,48.178,16.023,43.675
E02000029,36.325,131.206,45.278,10.115,43.253
E02000030,33.02,219.504,40.32,12.399,37.465
E02000031,39.074,237.713,48.834,17.798,43.905
E02000032,40.082,129.572,46.444,8.176,44.911
E02000033,41.215,179.03,48.443,10.051,45.698
E02000034,41.048,142.217,48.094,10.992,45.585
E02000035,39.05,156.804,46.341,12.622,43.706
E02000036,38.544,311.64,58.584,26.226,49.659
E02000037,36.414,231.467,47.668,17.535,42.941
E02000038,42.882,320.251,54.558,21.607,49.041
E02000039,40.967,279.095,60.712,29.29,50.597
E02000040,37.245,137.775,42.724,6.352,41.313
E02000041,42.688,236.62,53.862,18.618,48.588
E02000042,43.76,271.466,56.732,21.824,50.54
E02000043,37.41,124.709,46.016,6.501,45.635
E02000044,44.147,203.287,55.612,14.781,50.856
E02000045,46.105,293.331,61.056,29.589,52.575
E02000046,46.334,241.397,56.839,19.277,50.85
E02000047,44.173,296.651,53.833,18.31,49.411
E02000048,42.771,295.322,55.294,23.761,48.317
E02000049,49.402,137.321,57.897,10.567,55.11
E02000050,45.077,297.997,60.148,28.172,51.738
E02000051,46.96,534.916,63.117,31.119,54.18
E02000052,49.331,199.078,57.004,12.958,53.521
E02000054,47.187,608.501,73.541,33.873,62.224
E02000055,47.628,290.762,62.674,24.167,56.13
E02000056,47.245,309.046,55.153,16.144,51.719
E02000057,50.961,367.22,71.507,36.892,59.971
E02000058,47.996,419.751,62.011,29.668,54.118
E02000059,46.623,525.706,63.709,28.623,54.914
E02000060,51.258,447.265,69.72,36.092,58.804
E02000061,49.558,263.075,61.917,20.234,56.402
E02000062,53.133,606.775,80.883,48.326,63.476
E02000063,50.401,268.011,63.598,23.659,57.279
E02000064,51.534,354.628,65.548,21.798,59.428
E02006953,50.219,134.268,58.183,10.734,54.806
E02006954,47.11,250.86,59.386,17.039,55.139
E02000065,37.972,100.395,42.864,5.852,41.217
E02000066,38.319,206.243,47.668,13.052,44.865
E02000067,36.914,190.671,43.904,8.629,42.7
E02000068,36.786,237.212,47.406,16.547,42.671
E02000069,37.651,103.63,43.139,6.95,41.604
E02000070,38.34,169.641,45.311,10.275,43.447
E02000071,38.551,106.333,43.274,6.521,42.097
E02000072,33.26,194.459,38.672,9.209,36.107
E02000073,41.228,138.419,47.551,9.774,44.884
E02000074,37.127,276.975,46.709,19.054,41.64
E02000075,38.444,126.035,44.3,7.738,42.898
E02000077,40.911,111.89,45.144,5.328,44.165
E02000078,36.175,120.655,41.54,5.953,40.516
E02000079,39.54,198.011,49.314,14.577,45.514
E02000080,38.421,177.721,48.51,11.473,46.191
E02000081,36.079,191.987,45.368,13.945,41.913
E02000082,41.144,217.215,54.189,22.654,47.599
E02000083,35.827,259.104,43.211,14.404,39.384
E02000084,38.442,211.42,51.379,18.491,45.412
E02000085,39.286,241.446,52.968,22.453,45.944
E02000086,38.19,126.963,44.332,5.853,43.558
E02000087,34.167,190.21,46.183,16.199,42.04
E02000088,36.067,118.85,44.274,8.959,42.459
E02000089,40.917,136.341,46.498,9.084,44.483
E02000090,38.921,228.59,49.366,15.015,45.138
E02000091,35.681,185.749,44.655,13.004,41.779
E02000092,33.274,183.197,39.083,10.976,36.185
E02006785,40.12,123.953,45.987,8.037,44.588
E02000093,43.849,204.593,51.78,12.244,48.874
E02000094,44.948,258.218,55.779,15.201,52.124
E02000095,42.747,157.462,52.512,13.934,48.765
E02000096,41.872,160.605,47.398,10.255,45.186
E02000097,43.071,139.706,50.677,8.687,49.532
E02000098,42.845,159.61,49.148,9.326,47.451
E02000099,43.141,134.879,48.454,7.849,46.88
E02000100,41.341,189.672,49.421,13.384,45.873
E02000101,44.088,222.061,56.285,15.692,51.93
E02000102,46.323,360.556,61.484,33.604,53.12
E02000103,48.311,448.642,62.302,27.222,55.722
E02000104,45.316,222.546,55.463,15.337,51.298
E02000105,43.761,254.789,53.01,15.576,48.72
E02000106,49.489,406.114,78.705,42.322,64.674
E02000107,50.272,239.65,62.448,18.027,57.775
E02000108,45.016,122.228,53.506,10.308,50.843
E02000110,50.358,136.704,58.846,7.144,57.729
E02000111,45.286,251.388,57.302,17.349,52.884
E02000112,48.36,406.463,65.236,28.57,57.131
E02000113,48.512,387.366,78.677,46.07,63.12
E02000114,52.423,188.676,65.738,19.067,59.273
E02000115,54.356,248.109,66.36,17.923,60.208
E02000116,51.515,375.458,63.701,24.14,56.511
E02000117,53.321,396.951,73.184,31.272,62.794
E02000118,47.906,228.836,55.221,10.511,52.098
E02000119,51.159,447.055,67.095,33.524,57.835
E02000120,56.659,261.11,69.569,22.712,62.858
E02000121,46.036,216.199,56.226,16.555,51.606
E02000122,52.534,139.506,58.154,8.592,55.584
E02000123,54.741,474.342,80.474,33.456,68.978
E02000124,54.84,188.044,67.142,16.962,61.418
E02000125,54.869,231.195,67.397,16.973,62.403
E02000126,60.284,219.82,69.756,14.606,65.118
E02006955,48.419,167.912,57.576,15.229,53.164
E02006956,47.656,212.577,56.779,13.002,54.03
E02000127,40.882,123.378,46.956,6.699,45.639
E02000128,37.282,128.342,42.969,6.77,41.556
E02000130,44.097,181.58,50.444,9.638,48.137
E02000131,46.058,194.236,54.26,14.092,50.577
E02000132,44.086,183.641,51.678,12.129,48.369
E02000133,35.133,217.28,43.257,9.609,41.56
E02000134,39.777,234.224,51.18,14.749,47.737
E02000135,44.745,162.887,53.179,13.179,50.046
E02000136,35.108,152.797,40.364,9.2,38.077
E02000137,41.508,117.654,46.644,6.434,45.332
E02000138,41.564,131.413,47.804,7.84,45.841
E02000139,43.15,149.025,48.863,9.36,46.682
E02000140,36.17,229.878,44.542,15.711,40.378
E02000141,42.772,202.147,50.741,12.442,47.464
E02000142,40.054,209.763,48.574,12.457,45.412
E02000144,40.985,264.463,51.5,16.869,46.621
E02000145,29.654,168.331,34.679,7.176,32.784
E02000146,39.219,197.443,47.079,13.127,44.053
E02000147,39.018,157.806,45.21,8.438,43.388
E02000148,34.387,91.603,39.254,4.379,38.59
E02000149,35.263,227.572,41.978,11.883,39.468
E02000150,38.589,128.941,44.392,7.929,42.383
E02000151,34.126,115.507,39.751,6.028,38.695
E02000152,34.379,166.207,40.268,8.947,38.855
E02000153,37.259,128.17,43.765,8.249,42.093
E02000154,35.272,209.464,42.85,14.206,39.025
E02000155,30.812,207.023,39.249,9.364,37.541
E02000156,36.7,173.177,43.866,10.861,41.271
E02000157,33.379,118.651,38.958,7.506,37.756
E02000158,30.581,126.52,35.901,6.058,35.003
E02000159,31.487,237.631,38.868,12.505,36.058
E02000160,31.961,184.089,37.433,7.988,35.901
E02000161,32.577,119.734,37.807,7.136,36.632
E02000162,27.357,136.876,31.787,6.19,30.548
E02000163,27.299,121.618,32.255,6.863,30.557
E02000165,26.775,91.446,30.416,4.433,29.511
E02006782,39.434,130.012,44.594,6.562,44.079
E02006787,42.572,223.148,53.043,17.346,48.392
E02006789,25.945,95.168,29.829,3.991,29.384
E02000166,48.539,234.376,56.524,12.524,53.328
E02000167,49.095,205.482,60.255,16.613,55.768
E02000168,57.368,221.981,74.442,21.706,67.016
E02000169,52.522,303.987,64.627,23.865,58.354
E02000170,51.616,304.658,66.516,26.241,60.365
E02000171,58.711,261.988,73.857,22.482,66.472
E02000172,61.668,209.932,72.055,16.614,67.037
E02000173,59.981,358.465,79.765,29.871,69.106
E02000174,60.737,228.442,72.276,17.016,66.833
E02000175,58.16,361.113,77.301,29.048,68.868
E02000176,59.873,301.019,72.906,25.222,64.551
E02000177,61.235,194.576,75.277,19.437,68.629
E02000178,57.287,253.695,73.93,25.345,64.909
E02000179,59.864,213.643,75.944,22.304,68.777
E02000180,65.158,352.192,82.941,27.382,73.049
E02000181,57.593,149.097,65.155,12.734,61.36
E02000182,60.077,408.523,81.556,38.824,68.018
E02000183,60.327,199.219,71.839,15.312,66.736
E02000184,66.966,407.355,89.336,30.203,79.787
E02000185,60.765,248.408,72.149,18.355,65.997
E02000186,60.887,605.205,90.728,43.08,76.925
