LSOA11CD,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median
E01000001,15.14,38.534,16.317,2.854,15.41
E01000002,15.079,27.277,15.595,1.486,15.264
E01000003,14.986,20.698,15.287,0.783,15.128
E01000005,14.831,34.406,15.957,2.477,15.136
E01000006,12.864,13.174,12.979,0.062,12.98
E01000007,13.033,16.55,13.412,0.628,13.211
E01000008,13.025,19.761,13.468,0.765,13.224
E01000009,12.987,16.768,13.321,0.596,13.136
E01000010,12.999,16.254,13.258,0.417,13.13
E01000011,12.947,15.085,13.186,0.318,13.123
E01000012,12.967,14.938,13.109,0.182,13.07
E01000013,12.556,15.676,12.865,0.529,12.696
E01000014,12.544,15.493,12.648,0.231,12.597
E01000015,12.499,14.023,12.635,0.21,12.583
E01000016,12.493,14.114,12.646,0.251,12.579
E01000017,12.537,14.453,12.677,0.232,12.622
E01000018,12.503,13.124,12.602,0.077,12.587
E01000019,12.55,13.121,12.671,0.086,12.657
E01000020,12.632,14.015,12.748,0.141,12.71
E01000021,12.619,16.123,12.928,0.42,12.807
E01000022,12.674,12.949,12.772,0.05,12.769
E01000023,12.769,15.886,13.158,0.403,13.022
E01000024,12.763,16.129,13.048,0.484,12.896
E01000025,12.782,14.905,12.984,0.21,12.951
E01000027,11.938,15.071,12.095,0.261,12.031
E01000028,12.096,12.958,12.212,0.089,12.192
E01000029,12.208,16.005,12.575,0.616,12.407
E01000030,12.079,19.087,12.507,0.744,12.278
E01000031,11.982,29.371,12.458,0.739,12.291
E01000032,12.293,15.281,12.479,0.258,12.414
E01000033,12.252,15.4,12.532,0.346,12.462
E01000034,12.122,14.183,12.304,0.236,12.212
E01000035,12.42,15.836,12.723,0.458,12.601
E01000036,12.22,15.708,12.529,0.297,12.512
E01000037,12.144,13.965,12.284,0.217,12.24
E01000038,12.183,13.94,12.339,0.223,12.294
E01000039,12.047,13.926,12.228,0.17,12.181
E01000040,12.812,15.641,13.011,0.351,12.928
E01000041,12.695,14.868,12.933,0.333,12.838
E01000042,12.713,15.412,12.858,0.192,12.813
E01000043,12.835,16.836,13.149,0.537,12.999
E01000044,12.862,19.939,13.239,0.77,13.043
E01000045,12.737,21.639,13.315,0.984,12.967
E01000046,12.701,14.559,12.816,0.227,12.753
E01000048,12.965,13.646,13.048,0.08,13.03
E01000049,13.016,17.074,13.375,0.628,13.152
E01000050,12.991,15.97,13.213,0.432,13.095
E01000051,12.977,16.764,13.299,0.55,13.132
E01000052,13.003,17.216,13.437,0.627,13.204
E01000053,12.717,16.57,13.136,0.558,12.963
E01000054,12.651,13.254,12.734,0.082,12.717
E01000055,12.649,13.343,12.74,0.102,12.712
E01000056,12.664,14.724,12.895,0.204,12.849
E01000057,12.605,14.223,12.784,0.223,12.716
E01000058,12.586,13.754,12.727,0.199,12.679
E01000059,12.625,13.46,12.753,0.105,12.734
E01000060,12.18,16.649,12.484,0.379,12.44
E01000061,12.179,16.318,12.459,0.467,12.331
E01000062,12.44,13.572,12.557,0.128,12.537
E01000063,12.502,15.607,12.72,0.392,12.61
E01000064,12.422,15.235,12.613,0.344,12.523
E01000065,12.508,14.893,12.752,0.424,12.619
E01000066,12.782,16.285,12.976,0.242,12.957
E01000067,12.835,16.404,13.111,0.501,12.97
E01000068,12.813,16.184,12.978,0.31,12.914
E01000069,12.778,14.058,12.879,0.087,12.863
E01000070,12.747,16.403,13.021,0.44,12.916
E01000071,12.747,14.186,12.886,0.149,12.855
E01000072,12.706,15.971,12.869,0.266,12.796
E01000073,12.824,13.984,12.957,0.109,12.945
E01000074,12.762,15.145,12.93,0.335,12.845
E01000075,12.556,14.733,12.711,0.211,12.671
E01000076,12.679,15.013,12.822,0.234,12.767
E01000077,12.7,15.933,12.953,0.469,12.815
E01000078,12.615,16.964,12.933,0.527,12.773
E01000079,12.544,15.717,12.719,0.404,12.619
E01000080,12.56,15.661,12.793,0.364,12.707
E01000081,12.539,13.126,12.629,0.062,12.619
E01000082,12.551,14.783,12.708,0.281,12.631
E01000083,12.636,16.376,12.885,0.411,12.768
