MSOA21CD,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median
E02000002,9.598,19.689,9.877,0.43,9.768
E02000003,9.66,28.446,10.19,0.629,10.07
E02000004,9.733,12.935,9.944,0.221,9.896
E02000005,9.847,16.06,10.219,0.404,10.146
E02000007,9.828,14.126,10.145,0.384,10.099
E02000008,10.082,14.377,10.355,0.367,10.262
E02000009,10.127,14.952,10.445,0.415,10.331
E02000010,10.102,12.329,10.241,0.172,10.203
E02000011,9.758,13.943,10.194,0.348,10.18
E02000012,10.236,14.369,10.506,0.342,10.429
E02000013,10.13,15.152,10.353,0.301,10.291
E02000014,10.08,13.849,10.273,0.301,10.21
E02000015,9.843,15.028,10.182,0.378,10.137
E02000016,10.548,21.77,11.007,0.686,10.798
E02000017,10.41,13.742,10.676,0.316,10.606
E02000018,10.208,17.031,10.579,0.754,10.373
E02000019,9.919,15.7,10.299,0.601,10.161
E02000020,9.917,18.228,10.473,0.761,10.317
E02000021,9.919,15.62,10.253,0.437,10.135
E02000022,10.58,17.922,11.081,0.862,10.794
E02000023,9.955,15.89,10.524,0.782,10.328
E02006799,10.004,12.768,10.306,0.284,10.247
E02000024,9.445,17.319,9.8,0.374,9.726
E02000025,9.574,15.044,9.814,0.269,9.768
E02000026,9.637,13.68,9.939,0.253,9.924
E02000027,9.7,14.48,9.9,0.277,9.846
E02000028,9.907,16.217,10.231,0.539,10.076
E02000029,9.804,13.557,10.128,0.31,10.069
E02000030,9.48,14.314,9.836,0.378,9.767
E02000031,9.905,18.501,10.306,0.632,10.148
E02000032,10.0,13.37,10.232,0.241,10.189
E02000033,10.047,15.72,10.347,0.356,10.252
E02000034,10.124,17.16,10.326,0.394,10.247
E02000035,9.896,23.077,10.231,0.86,10.12
E02000036,9.733,18.669,10.419,0.774,10.192
E02000037,9.628,15.493,9.952,0.475,9.817
E02000038,10.168,17.541,10.461,0.545,10.327
E02000039,9.959,18.196,10.575,0.831,10.327
E02000040,9.799,13.128,10.028,0.208,9.995
E02000041,9.952,16.947,10.31,0.497,10.171
E02000042,10.158,24.054,10.507,0.661,10.374
E02000043,9.815,12.511,10.199,0.265,10.181
E02000044,10.135,15.091,10.48,0.537,10.308
E02000045,10.275,16.119,10.634,0.673,10.432
E02000046,10.263,19.189,10.57,0.607,10.433
E02000047,10.158,14.079,10.388,0.361,10.292
E02000048,10.08,18.548,10.537,0.712,10.33
E02000049,10.191,14.133,10.402,0.378,10.311
E02000050,10.288,18.813,10.676,0.683,10.477
E02000051,10.332,23.95,10.89,1.011,10.619
E02000052,10.452,15.374,10.687,0.4,10.586
E02000054,10.339,18.976,11.028,0.922,10.737
E02000055,10.388,21.259,10.897,0.777,10.698
E02000056,10.42,17.239,10.681,0.508,10.563
E02000057,10.59,23.89,11.236,1.261,10.836
E02000058,10.497,20.298,10.885,0.767,10.691
E02000059,10.325,20.545,10.772,0.726,10.522
E02000060,10.665,24.115,11.336,1.305,10.953
E02000061,10.575,19.287,10.919,0.571,10.798
E02000062,10.663,22.26,11.566,1.317,11.087
E02000063,10.728,18.326,11.101,0.793,10.889
E02000064,10.732,22.642,11.139,0.823,10.92
E02006953,10.255,14.073,10.51,0.389,10.392
E02006954,10.211,15.306,10.646,0.578,10.482
E02000065,9.866,12.245,10.017,0.199,9.974
E02000066,9.933,17.298,10.157,0.406,10.056
E02000067,9.861,16.3,10.151,0.353,10.09
E02000068,9.763,15.127,10.251,0.469,10.16
E02000069,9.868,13.019,10.117,0.289,10.054
E02000070,9.942,13.202,10.172,0.307,10.106
E02000071,9.919,12.492,10.096,0.188,10.055
E02000072,9.46,15.488,9.736,0.371,9.664
E02000073,10.045,15.908,10.256,0.266,10.194
E02000074,9.766,15.408,10.085,0.565,9.944
E02000075,9.992,13.808,10.185,0.275,10.138
E02000077,10.099,13.797,10.284,0.245,10.242
E02000078,9.779,13.955,10.021,0.26,9.975
E02000079,10.014,17.66,10.331,0.438,10.229
E02000080,10.021,16.542,10.405,0.428,10.319
E02000081,9.776,17.067,10.166,0.56,10.038
E02000082,10.098,17.767,10.642,0.891,10.396
E02000083,9.662,22.703,9.986,0.63,9.828
E02000084,9.937,19.891,10.457,0.789,10.206
