LSOA11CD,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median
E01000001,88.024,1119.726,130.547,117.56,92.669
E01000002,87.382,511.24,104.05,51.951,91.134
E01000003,87.152,293.129,97.034,29.105,90.19
E01000005,84.059,1029.032,131.295,121.264,88.225
E01000006,54.121,62.589,56.709,1.66,56.57
E01000007,58.879,145.807,69.292,16.136,64.023
E01000008,59.047,277.201,73.029,23.914,65.39
E01000009,56.701,177.18,68.194,20.043,61.539
E01000010,57.926,176.642,67.928,15.94,62.65
E01000011,56.557,155.016,65.445,14.814,61.707
E01000012,57.057,147.487,62.087,7.971,60.363
E01000013,47.394,181.823,57.384,18.07,51.657
E01000014,47.346,125.196,50.278,7.055,48.704
E01000015,45.898,90.533,49.716,6.202,48.015
E01000016,45.927,99.402,50.836,8.451,48.635
E01000017,47.302,113.472,51.692,8.129,49.534
E01000018,45.852,67.225,48.752,2.546,48.148
E01000019,48.011,63.445,50.343,2.335,49.718
E01000020,48.99,100.316,52.332,5.244,50.877
E01000021,48.882,144.39,55.375,11.481,51.842
E01000022,49.484,55.09,51.235,0.985,51.052
E01000023,50.403,146.981,58.103,11.473,54.255
E01000024,50.747,134.065,57.183,12.403,53.417
E01000025,50.393,103.24,53.84,5.194,52.7
E01000027,40.973,121.302,44.633,6.815,42.918
E01000028,43.952,65.528,46.184,2.078,45.716
E01000029,45.81,161.279,54.555,17.308,49.603
E01000030,43.646,270.637,54.479,20.949,47.862
E01000031,41.556,574.546,53.595,23.544,48.112
E01000032,44.979,130.316,49.197,7.074,47.55
E01000033,44.404,122.711,49.847,8.76,47.843
E01000034,43.276,95.673,46.383,6.049,44.694
E01000035,44.996,152.285,52.653,13.047,48.739
E01000036,42.644,139.141,47.813,8.033,46.311
E01000037,43.846,95.12,47.246,6.244,45.937
E01000038,44.055,96.895,48.36,6.796,47.004
E01000039,41.895,93.316,43.819,3.516,43.029
E01000040,53.183,135.946,58.743,10.513,56.108
E01000041,50.746,140.366,59.077,12.703,55.454
E01000042,51.247,124.41,55.423,5.696,54.211
E01000043,55.267,176.51,63.852,16.449,59.07
E01000044,54.132,251.936,64.589,21.45,59.163
E01000045,53.062,314.583,70.365,29.769,59.719
E01000046,51.552,115.151,55.255,7.531,53.192
E01000048,57.458,79.802,59.576,2.546,59.019
E01000049,58.594,187.164,70.107,20.027,62.837
E01000050,57.84,184.262,66.002,17.185,61.149
E01000051,57.693,211.396,69.356,22.117,62.51
E01000052,58.999,188.259,74.02,22.161,65.795
E01000053,51.242,183.292,64.445,21.427,56.916
E01000054,49.084,66.526,51.38,2.305,50.75
E01000055,49.658,71.026,52.761,2.985,52.02
E01000056,48.953,114.717,54.66,6.143,53.057
E01000057,49.147,104.249,54.398,7.429,52.024
E01000058,48.491,85.065,52.353,6.303,50.534
E01000059,48.957,69.717,51.277,2.754,50.494
E01000060,43.345,161.656,49.162,10.032,47.341
E01000061,43.349,141.001,49.405,11.636,46.029
E01000062,46.341,85.375,49.027,4.256,48.377
E01000063,47.378,133.158,52.833,10.588,49.689
E01000064,46.325,133.169,51.155,9.983,48.269
E01000065,47.274,128.373,53.22,12.022,49.404
E01000066,51.228,143.42,54.416,6.217,53.462
E01000067,52.766,158.253,59.615,14.113,55.418
E01000068,52.952,142.206,56.889,8.196,55.181
E01000069,51.308,89.892,54.472,2.618,54.105
E01000070,52.124,159.071,59.163,12.84,55.745
E01000071,51.352,93.525,55.051,4.421,54.021
E01000072,50.529,139.351,53.607,6.83,51.346
E01000073,50.8,78.403,52.756,2.488,52.013
E01000074,50.332,104.91,54.05,7.96,51.824
E01000075,47.63,108.108,51.542,6.138,50.267
E01000076,50.215,102.166,53.241,5.566,51.922
E01000077,50.04,175.275,56.977,14.377,52.693
E01000078,48.632,170.594,56.851,14.103,52.58
E01000079,47.343,131.073,51.817,10.66,49.109
E01000080,47.584,129.184,53.259,9.544,50.753
E01000081,47.264,60.23,49.16,1.426,48.823
E01000082,47.351,97.395,50.948,6.227,49.224
E01000083,49.209,163.951,55.88,11.763,52.402
E01000084,48.631,186.144,56.488,14.605,52.015
E01000085,49.051,153.155,54.083,8.618,52.031
E01000086,49.031,124.493,53.917,10.402,50.981
E01000087,49.203,146.183,58.607,15.828,52.86
E01000088,46.254,74.136,49.647,3.878,48.878
E01000089,46.342,52.56,48.791,1.229,48.634
E01000090,46.485,166.238,54.059,13.483,50.342
E01000091,50.095,62.918,52.494,2.489,51.182
E01000092,47.735,272.903,54.438,16.657,50.367
E01000093,50.572,347.847,68.406,33.368,57.539
E01000094,48.428,70.911,50.927,2.654,50.079
E01000095,48.03,307.863,59.002,22.727,51.991
E01000096,50.921,344.408,66.029,23.887,57.648
E01000097,49.668,121.834,56.128,9.686,52.667
E01000098,49.731,118.285,55.065,9.039,52.673
E01000099,46.515,131.871,51.952,8.106,49.68
E01000100,46.39,88.361,50.088,6.754,48.44
E01000101,47.022,146.876,54.029,14.664,49.753
E01000102,46.394,71.795,50.166,4.056,49.13
E01000103,44.078,97.225,46.642,4.033,45.955
E01000104,44.093,129.635,53.283,12.789,49.347
E01000105,46.414,130.366,51.378,8.162,49.348
E01000106,46.246,78.035,49.253,3.846,48.264
E01000107,42.405,63.559,44.11,1.635,43.707
E01000108,44.097,143.834,50.039,11.703,47.375
E01000109,46.491,96.307,49.343,4.526,48.385
E01000110,45.023,115.12,51.141,7.941,49.165
E01000111,47.58,149.797,57.072,15.245,52.39
E01000112,47.704,334.594,57.517,23.87,50.685
E01000113,48.763,178.479,56.292,16.338,51.812
E01000114,44.552,180.343,55.108,17.473,50.667
E01000115,47.777,127.759,52.384,7.1,51.045
E01000116,47.668,137.603,54.558,10.771,51.958
E01000117,49.448,107.259,52.192,5.098,51.072
E01000118,50.03,143.451,56.828,10.713,53.674
E01000119,49.68,57.929,50.969,1.078,50.614
E01000120,50.245,335.91,55.453,15.354,52.387
E01000121,50.07,87.926,52.347,3.653,51.402
E01000122,50.25,94.985,54.239,4.872,52.891
E01000123,50.96,89.54,54.446,4.403,53.556
E01000124,54.023,166.873,63.542,13.954,59.025
E01000125,52.601,212.121,59.551,14.415,55.52
E01000126,53.985,78.779,57.088,3.523,56.37
E01000127,51.692,93.802,54.655,5.355,53.221
E01000128,52.867,76.441,54.97,2.343,54.277
E01000129,53.265,238.641,70.418,29.286,60.477
E01000130,52.799,79.743,55.532,3.943,54.39
E01000131,53.115,247.08,56.734,9.962,54.839
E01000132,51.708,66.202,53.714,1.982,53.202
E01000133,52.693,71.053,55.11,2.583,54.443
E01000134,51.919,140.677,58.278,11.114,55.22
E01000135,62.145,256.448,70.704,21.661,64.706
E01000136,60.275,159.088,64.805,7.496,63.437
E01000137,62.838,135.021,68.869,9.449,66.196
E01000138,63.384,267.841,81.095,33.342,69.03
E01000139,62.053,260.467,72.908,22.975,66.183
E01000140,64.391,185.88,79.203,20.229,71.927
E01000141,63.933,397.728,75.495,26.058,68.388
E01000142,63.303,152.304,66.514,6.847,65.072
E01000143,62.212,291.342,67.829,16.826,65.047
E01000144,63.198,187.704,72.595,17.494,67.668
E01000145,62.924,185.048,68.551,13.802,64.81
E01000146,63.063,218.121,76.747,21.473,68.56
E01000147,60.283,141.95,63.877,7.41,62.463
E01000148,55.439,243.067,68.22,18.799,62.346
E01000150,60.06,209.638,65.723,13.452,62.368
E01000151,56.569,87.014,59.985,3.645,58.899
E01000152,55.062,111.184,64.812,11.82,60.2
E01000153,53.752,73.687,56.066,2.234,55.425
E01000154,56.639,77.1,60.029,3.819,58.75
E01000155,54.389,109.715,58.809,4.558,58.058
E01000156,57.094,177.58,65.818,17.62,60.543
E01000157,56.009,80.029,59.762,2.719,59.27
E01000158,52.041,121.113,55.148,4.85,54.118
E01000159,51.81,199.183,57.127,12.07,54.16
E01000160,53.573,327.8,64.513,30.046,57.578
E01000161,54.859,199.025,66.607,19.995,60.007
E01000162,54.747,250.185,68.359,25.557,60.552
E01000163,57.041,334.836,76.752,42.028,62.796
E01000164,55.863,290.987,70.738,29.702,60.637
E01000165,55.624,256.214,65.602,23.756,60.123
E01000166,42.629,49.77,45.033,1.34,44.907
E01000167,42.503,60.269,44.151,1.738,43.805
E01000168,45.048,51.161,46.682,1.076,46.371
