LAD22CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E09000002,27.932,402.883,37.438,11.593,34.646
E09000003,28.069,384.449,40.895,15.39,37.576
E09000004,26.67,277.684,35.231,10.839,33.081
E09000005,34.351,300.315,45.149,14.193,42.618
E09000006,20.576,229.446,29.067,7.782,27.936
E09000007,40.304,882.427,57.4,25.773,52.112
E09000001,56.971,716.87,77.369,44.213,64.677
E09000008,23.71,252.527,33.377,9.857,31.32
E09000009,32.482,340.692,44.633,14.878,41.21
E09000010,27.532,383.952,37.569,15.003,34.489
E09000011,31.224,405.386,42.123,14.26,38.711
E09000012,39.678,444.35,51.779,14.791,48.407
E09000013,39.864,652.625,52.399,20.778,47.539
E09000014,36.482,355.966,45.093,11.814,42.429
E09000015,27.167,197.859,35.283,8.296,34.044
E09000016,19.87,262.858,29.938,11.656,27.58
E09000017,23.121,5889.501,39.468,21.607,34.955
E09000018,29.846,625.524,44.333,17.07,40.924
E09000019,42.598,464.091,56.701,17.293,53.224
E09000020,43.336,540.059,59.778,28.624,52.925
E09000021,24.96,270.286,36.445,11.908,34.752
E09000022,35.732,472.273,49.13,16.257,45.324
E09000023,30.894,346.034,41.878,11.057,39.571
E09000024,31.273,269.614,39.743,10.149,37.611
E09000025,33.931,476.532,46.187,16.333,42.798
E09000026,25.13,369.508,38.483,13.782,36.169
E09000027,28.381,402.552,37.266,9.001,35.267
E09000028,36.18,406.285,50.093,14.403,47.328
E09000029,26.159,282.574,33.739,7.821,32.85
E09000030,41.535,870.164,57.255,22.027,52.115
E09000031,28.407,284.553,42.007,13.867,39.641
E09000032,34.028,305.73,45.971,12.522,42.763
E09000033,46.564,1859.226,67.623,34.649,60.346
