MSOA21CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median
E02000002,14.755,21.613,15.071,0.467,14.981
E02000003,14.867,29.406,15.342,0.583,15.203
E02000004,14.875,16.594,15.012,0.164,14.977
E02000005,14.999,19.178,15.302,0.377,15.212
E02000007,14.932,18.74,15.2,0.364,15.13
E02000008,15.156,18.964,15.396,0.353,15.303
E02000009,15.261,18.815,15.561,0.38,15.462
E02000010,15.137,17.87,15.32,0.279,15.25
E02000011,14.968,17.97,15.172,0.318,15.105
E02000012,15.448,18.855,15.669,0.336,15.586
E02000013,15.221,17.382,15.442,0.226,15.408
E02000014,15.207,18.202,15.451,0.329,15.39
E02000015,15.058,17.586,15.306,0.236,15.248
E02000016,15.713,23.671,16.097,0.545,15.951
E02000017,15.583,20.681,15.889,0.443,15.789
E02000018,15.359,24.945,15.696,0.689,15.527
E02000019,15.249,23.193,15.692,0.604,15.575
E02000020,15.259,23.121,15.688,0.563,15.591
E02000021,15.165,22.8,15.444,0.421,15.338
E02000022,15.833,21.635,16.197,0.584,16.016
E02000023,15.356,26.08,15.777,0.663,15.62
E02006799,15.117,17.981,15.428,0.28,15.365
E02000024,14.641,18.567,14.886,0.305,14.818
E02000025,14.724,17.578,14.898,0.21,14.863
E02000026,14.756,16.985,15.016,0.204,14.993
E02000027,14.813,19.283,14.958,0.221,14.913
E02000028,14.95,19.196,15.197,0.45,15.061
E02000029,14.897,17.592,15.199,0.315,15.128
E02000030,14.667,20.269,14.979,0.359,14.918
E02000031,14.965,19.855,15.274,0.47,15.144
E02000032,15.077,17.698,15.294,0.243,15.241
E02000033,15.098,19.107,15.368,0.321,15.27
E02000034,15.159,18.117,15.391,0.328,15.314
E02000035,15.009,18.43,15.276,0.397,15.195
E02000036,14.925,22.461,15.516,0.691,15.317
E02000037,14.881,20.636,15.213,0.463,15.108
E02000038,15.252,23.68,15.571,0.602,15.417
E02000039,15.161,21.401,15.732,0.782,15.481
E02000040,14.957,17.304,15.194,0.187,15.179
E02000041,15.168,20.021,15.5,0.473,15.362
E02000042,15.225,20.794,15.62,0.534,15.474
E02000043,14.963,17.321,15.285,0.203,15.283
E02000044,15.279,18.587,15.59,0.341,15.502
E02000045,15.382,21.921,15.779,0.82,15.532
E02000046,15.366,19.838,15.711,0.471,15.563
E02000047,15.331,20.259,15.652,0.436,15.556
E02000048,15.219,23.317,15.671,0.687,15.456
E02000049,15.628,17.915,16.024,0.261,15.999
E02000050,15.399,22.907,15.834,0.826,15.587
E02000051,15.429,27.842,15.943,0.89,15.686
E02000052,15.542,19.496,15.764,0.38,15.657
E02000054,15.544,26.538,16.252,0.904,15.958
E02000055,15.576,22.093,16.033,0.692,15.837
E02000056,15.547,23.22,15.759,0.485,15.642
E02000057,15.722,24.51,16.278,1.058,15.937
E02000058,15.558,24.634,15.94,0.797,15.749
