LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_mean_2001,HHI_mean_2002,HHI_mean_2003,HHI_mean_2004,HHI_mean_2005,HHI_mean_2006,HHI_mean_2007,HHI_mean_2008,HHI_mean_2009,HHI_mean_2010,HHI_mean_2011,HHI_mean_2012
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,31540,31780,33050,34950,35460,37560,38110,40750,40670,42120,43550,44390
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,28740,29080,30370,32250,32860,34950,35610,38230,38310,39830,41330,42280
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,26180,26520,27740,29530,30150,32150,32840,35360,35520,37030,38520,39510
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,28500,28850,30150,32050,32680,34800,35490,38150,38280,39850,41400,42410
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,29130,29520,30870,32840,33490,35670,36390,39110,39240,40830,42410,43430
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,29330,29820,31290,33380,34150,36480,37310,40210,40440,42190,43920,45070
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,32250,32640,34100,36220,36890,39240,39970,42910,42990,44690,46360,47420
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,30700,31040,32400,34380,34990,37190,37870,40630,40680,42270,43830,44810
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,33330,33440,34630,36470,36850,38880,39300,41870,41660,43010,44330,45060
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,24730,25210,26540,28410,29180,31280,32110,34730,35060,36700,38350,39490
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,25540,25910,27150,28940,29600,31630,32370,34910,35150,36710,38270,39340
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,25200,25500,26640,28330,28900,30810,31460,33860,34020,35480,36920,37890
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,26970,27300,28540,30350,30960,32970,33640,36160,36290,37780,39250,40220
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,28680,28960,30180,31980,32500,34490,35060,37550,37550,38960,40350,41210
