LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_median_2001,HHI_median_2002,HHI_median_2003,HHI_median_2004,HHI_median_2005,HHI_median_2006,HHI_median_2007,HHI_median_2008,HHI_median_2009,HHI_median_2010,HHI_median_2011,HHI_median_2012
E01001389,Ealing 028F,E09000009,Ealing,30620,30770,31360,32920,32690,34310,35040,35860,37160,37900,39500,39990
E01032572,Ealing 040D,E09000009,Ealing,34160,34550,35430,37390,37330,39350,40360,41480,43140,44150,46150,46870
E01032743,Ealing 010F,E09000009,Ealing,23300,23500,24060,25370,25320,26710,27420,28210,29380,30120,31530,32070
E01032744,Ealing 010G,E09000009,Ealing,21820,22090,22690,24020,24070,25490,26270,27140,28380,29210,30700,31360
E01001390,Enfield 036A,E09000010,Enfield,29250,29610,30400,32140,32150,33970,34920,35970,37490,38460,40300,41010
E01001391,Enfield 036B,E09000010,Enfield,25500,25800,26480,27990,28000,29600,30440,31380,32750,33640,35290,35970
E01001392,Enfield 032A,E09000010,Enfield,29640,29920,30640,32320,32260,34020,34920,35920,37390,38320,40100,40780
E01001393,Enfield 036C,E09000010,Enfield,28570,28790,29430,30990,30870,32490,33270,34140,35460,36250,37850,38410
E01001394,Enfield 035A,E09000010,Enfield,24740,24940,25530,26920,26870,28330,29090,29920,31160,31950,33450,34030
E01001395,Enfield 035B,E09000010,Enfield,23890,24070,24630,25960,25900,27310,28030,28840,30040,30800,32260,32830
E01001396,Enfield 036D,E09000010,Enfield,26790,27050,27720,29240,29200,30800,31610,32510,33840,34670,36270,36870
E01001397,Enfield 035C,E09000010,Enfield,25100,25300,25880,27270,27210,28680,29430,30260,31510,32290,33810,34400
E01001398,Enfield 021A,E09000010,Enfield,32160,32610,33540,35500,35550,37600,38680,39870,41580,42680,44730,45540
E01001399,Enfield 021B,E09000010,Enfield,31440,31780,32580,34370,34320,36180,37120,38150,39690,40630,42480,43150
E01001400,Enfield 021C,E09000010,Enfield,30640,31060,31930,33790,33840,35790,36820,37960,39610,40670,42640,43440
E01001401,Enfield 016A,E09000010,Enfield,29060,29470,30310,32090,32140,34000,34980,36060,37610,38600,40450,41180
E01001402,Enfield 021D,E09000010,Enfield,32020,32410,33280,35170,35160,37120,38140,39250,40880,41900,43860,44590
E01001403,Enfield 021E,E09000010,Enfield,28730,29070,29830,31520,31510,33280,34200,35210,36690,37630,39410,40110
E01001404,Enfield 026A,E09000010,Enfield,27790,28100,28840,30480,30500,32230,33160,34180,35670,36630,38420,39150
E01001405,Enfield 015A,E09000010,Enfield,29670,29890,30560,32170,32050,33750,34590,35520,36930,37790,39500,40120
E01001406,Enfield 015B,E09000010,Enfield,28500,28670,29270,30780,30640,32240,33010,33870,35190,36000,37610,38180
E01001407,Enfield 005A,E09000010,Enfield,26570,26870,27580,29150,29160,30820,31700,32670,34070,34970,36660,37330
E01001408,Enfield 004A,E09000010,Enfield,28100,28530,29370,31130,31220,33060,34050,35130,36670,37670,39500,40240
E01001409,Enfield 005B,E09000010,Enfield,24420,24560,25070,26360,26240,27610,28280,29030,30170,30870,32260,32760
E01001410,Enfield 005C,E09000010,Enfield,22780,22910,23400,24630,24540,25840,26500,27240,28340,29040,30400,30920
E01001411,Enfield 004B,E09000010,Enfield,28050,28460,29300,31050,31130,32950,33940,35010,36540,37530,39350,40080
E01001412,Enfield 004C,E09000010,Enfield,26500,26860,27610,29220,29260,30940,31830,32800,34200,35090,36750,37390
E01001413,Enfield 004D,E09000010,Enfield,29270,29770,30710,32610,32750,34730,35820,37000,38670,39760,41740,42550
E01001414,Enfield 004E,E09000010,Enfield,22040,22450,23200,24690,24870,26460,27380,28400,29800,30770,32450,33230
E01001415,Enfield 011A,E09000010,Enfield,29890,30120,30800,32410,32280,33970,34770,35680,37050,37870,39540,40120
E01001416,Enfield 013A,E09000010,Enfield,33050,33600,34630,36730,36850,39040,40230,41520,43350,44540,46720,47600
E01001417,Enfield 011B,E09000010,Enfield,39970,40370,41340,43570,43430,45720,46810,48010,49820,50870,53030,53700
E01001418,Enfield 011C,E09000010,Enfield,29630,30010,30820,32590,32610,34460,35440,36510,38070,39080,40960,41710
E01001419,Enfield 020A,E09000010,Enfield,30090,30240,30840,32390,32200,33820,34580,35430,36750,37530,39140,39660
E01001420,Enfield 020B,E09000010,Enfield,27440,27640,28250,29740,29640,31220,32020,32910,34250,35100,36730,37360
E01001421,Enfield 020C,E09000010,Enfield,27350,27430,27930,29290,29080,30520,31190,31950,33140,33850,35330,35830
E01001422,Enfield 011D,E09000010,Enfield,44340,44810,45920,48430,48320,50910,52170,53550,55620,56840,59310,60120
E01001423,Enfield 027A,E09000010,Enfield,21200,21470,22070,23380,23440,24840,25610,26450,27660,28460,29900,30510
E01001424,Enfield 030A,E09000010,Enfield,18310,18660,19320,20610,20820,22230,23080,24020,25290,26210,27720,28480
E01001425,Enfield 027B,E09000010,Enfield,20160,20230,20610,21640,21530,22630,23160,23760,24670,25230,26360,26770
E01001426,Enfield 030B,E09000010,Enfield,19790,19940,20420,21550,21530,22740,23370,24080,25110,25780,27030,27530
E01001427,Enfield 030C,E09000010,Enfield,18930,19070,19520,20600,20580,21740,22350,23040,24040,24690,25910,26410
E01001428,Enfield 027C,E09000010,Enfield,19980,20230,20810,22050,22130,23460,24210,25030,26200,26990,28400,29020
E01001429,Enfield 030D,E09000010,Enfield,17650,17930,18490,19670,19800,21080,21830,22660,23810,24620,26000,26660
E01001430,Enfield 030E,E09000010,Enfield,18920,18980,19340,20310,20210,21250,21770,22340,23220,23770,24840,25240
E01001431,Enfield 033A,E09000010,Enfield,20320,20510,21020,22200,22190,23440,24090,24810,25870,26550,27820,28330
E01001432,Enfield 033B,E09000010,Enfield,20950,21150,21670,22880,22870,24150,24810,25550,26620,27310,28610,29120
E01001433,Enfield 007A,E09000010,Enfield,21540,21790,22380,23680,23700,25070,25810,26620,27780,28540,29940,30510
E01001434,Enfield 007B,E09000010,Enfield,23870,24100,24680,26040,26000,27420,28130,28930,30100,30820,32230,32750
E01001435,Enfield 007C,E09000010,Enfield,24230,24480,25100,26500,26470,27940,28680,29500,30710,31450,32900,33430
E01001436,Enfield 007D,E09000010,Enfield,24590,24770,25320,26660,26560,27960,28630,29370,30500,31180,32540,33000
E01001437,Enfield 014A,E09000010,Enfield,21480,21570,22000,23120,23020,24220,24810,25470,26480,27100,28340,28790
E01001438,Enfield 007E,E09000010,Enfield,24130,24230,24700,25930,25760,27040,27620,28280,29300,29880,31130,31510
E01001439,Enfield 006A,E09000010,Enfield,21590,21630,22010,23090,22940,24090,24630,25260,26220,26800,27990,28400
E01001440,Enfield 012A,E09000010,Enfield,22600,22780,23300,24560,24510,25840,26520,27270,28380,29070,30420,30920
E01001441,Enfield 006B,E09000010,Enfield,22480,22490,22860,23940,23750,24900,25430,26030,26980,27530,28700,29080
E01001442,Enfield 002A,E09000010,Enfield,21400,21350,21640,22590,22350,23370,23790,24290,25110,25560,26580,26870
E01001444,Enfield 001A,E09000010,Enfield,23750,23990,24590,25960,25930,27370,28100,28920,30110,30860,32300,32840
E01001445,Enfield 003B,E09000010,Enfield,24930,25050,25540,26820,26650,27980,28580,29260,30320,30920,32200,32590
E01001446,Enfield 001B,E09000010,Enfield,24620,24670,25080,26270,26040,27270,27790,28390,29360,29880,31070,31390
E01001447,Enfield 003C,E09000010,Enfield,22110,22240,22700,23870,23760,24990,25570,26230,27230,27820,29030,29440
E01001448,Enfield 003D,E09000010,Enfield,23170,23350,23870,25140,25060,26390,27040,27770,28860,29520,30840,31300
E01001449,Enfield 003E,E09000010,Enfield,23450,23660,24220,25530,25470,26850,27530,28290,29420,30110,31470,31950
E01001450,Enfield 015C,E09000010,Enfield,29510,29630,30190,31680,31470,33040,33760,34570,35840,36580,38130,38630
E01001451,Enfield 017A,E09000010,Enfield,32220,32720,33700,35710,35790,37870,38980,40190,41920,43030,45110,45930
E01001452,Enfield 017B,E09000010,Enfield,35450,36020,37090,39300,39390,41670,42880,44190,46070,47260,49500,50360
E01001453,Enfield 017C,E09000010,Enfield,35070,35430,36290,38250,38130,40130,41090,42130,43710,44620,46510,47100
E01001454,Enfield 017D,E09000010,Enfield,32490,33140,34270,36450,36670,38940,40220,41600,43540,44830,47120,48110
E01001455,Enfield 021F,E09000010,Enfield,31730,32080,32900,34730,34690,36590,37560,38630,40210,41200,43110,43820
E01001456,Enfield 022A,E09000010,Enfield,36050,36640,37740,40000,40100,42430,43670,45020,46950,48170,50470,51350
E01001457,Enfield 010A,E09000010,Enfield,32110,32500,33360,35240,35210,37160,38150,39240,40840,41840,43770,44480
E01001458,Enfield 037A,E09000010,Enfield,19860,19950,20370,21430,21360,22510,23090,23750,24730,25350,26550,27010
E01001459,Enfield 024A,E09000010,Enfield,24480,24700,25290,26660,26590,28020,28720,29500,30660,31370,32770,33260
E01001460,Enfield 024B,E09000010,Enfield,22660,22780,23240,24430,24300,25540,26120,26770,27780,28370,29600,30010
E01001461,Enfield 027D,E09000010,Enfield,20410,20600,21110,22290,22280,23540,24200,24940,26010,26710,28010,28540
E01001462,Enfield 024C,E09000010,Enfield,23460,23570,24030,25230,25070,26320,26890,27540,28540,29120,30350,30740
E01001463,Enfield 031A,E09000010,Enfield,24380,24550,25100,26420,26320,27700,28360,29110,30230,30910,32270,32740
E01001464,Enfield 027E,E09000010,Enfield,21130,21320,21830,23040,23020,24300,24970,25700,26780,27470,28770,29270
E01001465,Enfield 031B,E09000010,Enfield,24320,24520,25080,26420,26340,27750,28440,29210,30370,31070,32460,32950
E01001466,Enfield 031C,E09000010,Enfield,23910,24000,24450,25660,25490,26750,27320,27970,28980,29560,30800,31170
E01001467,Enfield 031D,E09000010,Enfield,23560,23810,24410,25770,25750,27190,27930,28750,29940,30700,32140,32690
E01001468,Enfield 010B,E09000010,Enfield,31600,32010,32880,34770,34770,36710,37710,38800,40390,41370,43260,43950
E01001469,Enfield 008A,E09000010,Enfield,28640,29010,29810,31540,31570,33390,34360,35420,36960,37960,39810,40560
E01001470,Enfield 013B,E09000010,Enfield,31370,31810,32710,34620,34660,36650,37690,38830,40480,41520,43490,44250
E01001471,Enfield 010C,E09000010,Enfield,30400,30770,31590,33380,33370,35230,36180,37230,38770,39730,41580,42280
E01001472,Enfield 010D,E09000010,Enfield,30700,31010,31770,33500,33420,35210,36090,37060,38510,39390,41140,41740
E01001473,Enfield 013C,E09000010,Enfield,29860,30220,31010,32760,32750,34570,35510,36540,38050,38990,40810,41490
E01001474,Enfield 010E,E09000010,Enfield,32860,33300,34220,36190,36200,38230,39280,40430,42100,43140,45130,45870
E01001475,Enfield 013D,E09000010,Enfield,32530,33000,33940,35930,35980,38050,39140,40340,42060,43160,45220,46020
E01001476,Enfield 018A,E09000010,Enfield,23290,23530,24130,25490,25480,26920,27670,28500,29710,30480,31940,32520
E01001477,Enfield 018B,E09000010,Enfield,22250,22460,23020,24300,24290,25650,26360,27140,28290,29020,30410,30960
E01001478,Enfield 016B,E09000010,Enfield,24600,24920,25620,27110,27150,28710,29540,30440,31750,32590,34150,34770
E01001479,Enfield 023A,E09000010,Enfield,22780,23010,23590,24910,24890,26290,27020,27830,29010,29770,31190,31750
E01001480,Enfield 024D,E09000010,Enfield,24150,24390,25000,26390,26360,27810,28560,29390,30610,31380,32850,33420
E01001481,Enfield 018C,E09000010,Enfield,23760,23960,24510,25840,25770,27160,27860,28630,29780,30500,31890,32390
E01001482,Enfield 023B,E09000010,Enfield,22080,22230,22720,23930,23860,25140,25790,26510,27590,28270,29580,30090
E01001483,Enfield 025A,E09000010,Enfield,20360,20470,20910,22000,21930,23110,23720,24390,25410,26050,27290,27780
E01001484,Enfield 016C,E09000010,Enfield,24300,24610,25290,26760,26790,28330,29140,30040,31320,32150,33690,34300
E01001485,Enfield 025B,E09000010,Enfield,21660,21750,22180,23310,23200,24400,24980,25630,26630,27240,28460,28900
E01001486,Enfield 025C,E09000010,Enfield,21130,21160,21510,22550,22380,23480,23980,24560,25460,25990,27100,27460
E01001487,Enfield 023C,E09000010,Enfield,22490,22560,22960,24080,23910,25080,25620,26220,27170,27720,28890,29260
E01001488,Enfield 024E,E09000010,Enfield,24070,24260,24800,26120,26030,27400,28060,28800,29920,30590,31940,32400
E01001489,Enfield 023D,E09000010,Enfield,22140,22360,22920,24210,24200,25560,26270,27050,28200,28940,30320,30860
E01001491,Enfield 023E,E09000010,Enfield,21950,22160,22710,23970,23950,25290,25980,26760,27890,28610,29970,30510
E01001492,Enfield 025E,E09000010,Enfield,22670,22780,23250,24440,24330,25590,26200,26890,27940,28580,29860,30310
E01001493,Enfield 026B,E09000010,Enfield,26130,26310,26890,28310,28220,29730,30480,31330,32610,33410,34970,35570
E01001494,Enfield 026C,E09000010,Enfield,27850,28040,28640,30140,30020,31600,32370,33230,34540,35330,36920,37480
E01001495,Enfield 029A,E09000010,Enfield,30500,30710,31370,32990,32830,34520,35320,36220,37590,38420,40090,40660
E01001496,Enfield 026D,E09000010,Enfield,29680,29910,30570,32190,32070,33770,34590,35520,36910,37760,39460,40050
E01001497,Enfield 031E,E09000010,Enfield,26420,26680,27340,28850,28820,30400,31210,32100,33420,34240,35830,36430
E01001498,Enfield 029B,E09000010,Enfield,29380,29630,30320,31950,31860,33560,34410,35350,36760,37640,39360,39990
E01001499,Enfield 031F,E09000010,Enfield,26700,26970,27650,29200,29180,30800,31630,32560,33910,34770,36400,37030
E01001500,Enfield 035D,E09000010,Enfield,28590,28820,29490,31070,30980,32640,33470,34380,35760,36600,38270,38870
E01001501,Enfield 036E,E09000010,Enfield,27840,28050,28690,30210,30100,31690,32470,33340,34640,35440,37030,37600
E01001502,Enfield 018D,E09000010,Enfield,22880,23040,23540,24790,24700,26010,26660,27380,28460,29130,30440,30920
E01001503,Enfield 018E,E09000010,Enfield,24040,24140,24590,25820,25650,26930,27510,28170,29200,29790,31040,31440
E01001504,Enfield 012B,E09000010,Enfield,23300,23440,23950,25200,25100,26420,27070,27790,28880,29550,30880,31350
E01001505,Enfield 012C,E09000010,Enfield,22730,22870,23350,24560,24460,25750,26370,27080,28140,28790,30090,30550
E01001506,Enfield 014B,E09000010,Enfield,21540,21680,22160,23350,23290,24560,25210,25940,27010,27700,29010,29520
E01001507,Enfield 012D,E09000010,Enfield,21610,21680,22080,23170,23020,24170,24710,25320,26270,26830,28000,28390
E01001508,Enfield 012E,E09000010,Enfield,23720,23760,24160,25310,25100,26310,26840,27450,28410,28960,30150,30500
E01001509,Enfield 014C,E09000010,Enfield,22250,22240,22590,23630,23420,24540,25030,25600,26510,27030,28160,28520
E01001510,Enfield 014D,E09000010,Enfield,18400,18580,19060,20160,20200,21400,22070,22810,23880,24610,25900,26490
E01001511,Enfield 016D,E09000010,Enfield,26750,27060,27770,29330,29310,30930,31760,32660,33990,34820,36410,36990
E01001512,Enfield 015D,E09000010,Enfield,27510,27640,28180,29590,29420,30900,31590,32370,33580,34290,35770,36250
E01001513,Enfield 012F,E09000010,Enfield,23940,24080,24600,25880,25770,27110,27770,28490,29600,30260,31600,32060
E01001514,Enfield 016E,E09000010,Enfield,26760,27080,27800,29380,29370,31010,31850,32770,34120,34960,36570,37160
E01001515,Enfield 015E,E09000010,Enfield,23670,23730,24140,25310,25120,26360,26920,27570,28590,29190,30450,30870
E01001516,Enfield 005D,E09000010,Enfield,23990,24150,24680,25990,25910,27290,27980,28760,29920,30640,32050,32580
E01001517,Enfield 006C,E09000010,Enfield,20680,20690,21030,22030,21870,22960,23470,24050,24970,25520,26650,27050
E01001518,Enfield 016F,E09000010,Enfield,26700,27110,27930,29610,29700,31460,32410,33450,34930,35890,37650,38360
E01001519,Enfield 020D,E09000010,Enfield,30730,30790,31290,32760,32460,33990,34650,35400,36610,37280,38790,39220
E01001520,Enfield 019A,E09000010,Enfield,29390,29730,30510,32230,32220,34020,34950,35980,37490,38440,40260,40970
E01001521,Enfield 028A,E09000010,Enfield,32910,33400,34370,36380,36420,38490,39560,40720,42410,43460,45470,46210
E01001522,Enfield 019B,E09000010,Enfield,32340,32480,33080,34700,34430,36090,36820,37640,38940,39670,41270,41730
E01001523,Enfield 019C,E09000010,Enfield,30800,31140,31940,33730,33690,35560,36510,37560,39110,40080,41950,42660
E01001524,Enfield 019D,E09000010,Enfield,29560,29890,30650,32370,32350,34150,35090,36130,37660,38650,40500,41250
E01001525,Enfield 020E,E09000010,Enfield,29860,30070,30730,32350,32230,33940,34780,35720,37140,38010,39740,40370
E01001526,Enfield 019E,E09000010,Enfield,31790,32090,32860,34640,34550,36400,37310,38310,39820,40730,42540,43180
E01001527,Enfield 036F,E09000010,Enfield,29850,30240,31080,32890,32930,34820,35820,36910,38500,39510,41410,42160
E01001528,Enfield 032B,E09000010,Enfield,23830,24050,24650,26020,26010,27480,28260,29140,30410,31240,32790,33440
E01001529,Enfield 032C,E09000010,Enfield,26080,26140,26590,27870,27650,29000,29610,30310,31420,32080,33450,33910
E01001530,Enfield 032D,E09000010,Enfield,28240,28550,29280,30940,30930,32680,33600,34630,36120,37080,38880,39610
E01001531,Enfield 028B,E09000010,Enfield,35050,35620,36690,38880,38960,41220,42410,43710,45570,46750,48970,49820
E01001532,Enfield 028C,E09000010,Enfield,33290,33910,35030,37220,37390,39650,40900,42250,44150,45390,47650,48590
E01001533,Enfield 028D,E09000010,Enfield,34150,34690,35730,37860,37940,40130,41290,42530,44330,45460,47590,48390
E01001534,Enfield 032E,E09000010,Enfield,30090,30430,31230,33000,33010,34890,35880,36980,38570,39610,41530,42320
E01001535,Enfield 028E,E09000010,Enfield,31510,32080,33100,35150,35290,37410,38570,39830,41620,42780,44910,45790
E01001536,Enfield 008B,E09000010,Enfield,31070,31440,32270,34100,34090,36010,37000,38090,39680,40680,42590,43320
E01001537,Enfield 005E,E09000010,Enfield,28270,28610,29380,31070,31100,32890,33840,34890,36400,37390,39210,39940
E01001538,Enfield 009A,E09000010,Enfield,30730,31110,31950,33770,33770,35670,36660,37740,39320,40320,42210,42940
E01001539,Enfield 009B,E09000010,Enfield,30120,30480,31280,33060,33050,34910,35870,36930,38470,39450,41310,42030
E01001540,Enfield 008C,E09000010,Enfield,30140,30450,31200,32910,32850,34640,35550,36550,38030,38950,40740,41400
E01001541,Enfield 008D,E09000010,Enfield,31260,31650,32520,34390,34410,36360,37390,38530,40170,41220,43200,43970
